<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAN_PE,D,20141203,000000,14.4669,14.4669,14.4669,14.4669,0,0
SAN_PE,D,20141204,000000,14.8025,14.8025,14.5513,14.5513,0,0
SAN_PE,D,20141205,000000,14.6351,14.6351,14.1328,14.3002,0,0
SAN_PE,D,20141208,000000,14.3002,14.4669,14.3002,14.3002,0,0
SAN_PE,D,20141209,000000,14.3839,14.3839,13.8817,13.8817,0,0
SAN_PE,D,20141210,000000,13.8817,13.8817,13.7152,13.7152,0,0
SAN_PE,D,20141211,000000,13.7152,13.7152,13.6324,13.6324,0,0
SAN_PE,D,20141212,000000,13.3802,13.3802,13.2975,13.3802,0,0
SAN_PE,D,20141215,000000,13.0464,13.2975,13.0464,13.1291,0,0
SAN_PE,D,20141216,000000,13.0464,13.0464,12.5433,12.5433,0,0
SAN_PE,D,20141217,000000,13.2129,13.2975,12.9626,13.2129,0,0
SAN_PE,D,20141218,000000,13.3802,13.7989,13.3802,13.7152,0,0
SAN_PE,D,20141219,000000,13.8817,13.8817,13.6324,13.7989,0,0
SAN_PE,D,20141222,000000,13.8817,13.8817,13.5469,13.7989,0,0
SAN_PE,D,20141223,000000,13.7989,13.8817,13.7989,13.8817,0,0
SAN_PE,D,20141229,000000,14.1328,14.1328,13.3802,13.7152,0,0
SAN_PE,D,20150102,000000,13.464,13.7989,13.464,13.7989,0,0
SAN_PE,D,20150105,000000,13.1291,13.7152,13.1291,13.7152,0,0
SAN_PE,D,20150107,000000,12.9626,13.1291,12.8788,12.9626,0,0
SAN_PE,D,20150108,000000,13.2129,13.5469,12.8788,12.8788,0,0
SAN_PE,D,20150109,000000,12.2092,12.7952,11.29,11.3737,0,0
SAN_PE,D,20150112,000000,11.7078,11.7905,11.1226,11.5404,0,0
SAN_PE,D,20150113,000000,11.9588,12.7115,11.4567,12.7115,0,0
SAN_PE,D,20150114,000000,12.2937,12.9626,12.2937,12.2937,0,0
SAN_PE,D,20150115,000000,12.6278,12.7115,12.3766,12.4602,0,0
SAN_PE,D,20150116,000000,12.9626,12.9626,12.7952,12.7952,0,0
SAN_PE,D,20150119,000000,12.9626,12.9626,12.6278,12.6278,0,0
