<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCP_PE,D,20170929,000000,0,0,0,0,0,0
SCP_PE,D,20221121,000000,1.21307,1.21307,1.21307,1.21307,0,0
SCP_PE,D,20221122,000000,1.14171,1.21307,1.14171,1.21307,0,0
SCP_PE,D,20221123,000000,1.21307,1.21307,1.21307,1.21307,0,0
SCP_PE,D,20221124,000000,1.21307,1.21307,1.21307,1.21307,0,0
SCP_PE,D,20221125,000000,1.21307,1.21307,1.21307,1.21307,0,0
SCP_PE,D,20221128,000000,1.21307,1.21307,1.21307,1.21307,0,0
SCP_PE,D,20221129,000000,1.21307,1.21307,1.21307,1.21307,0,0
SCP_PE,D,20221130,000000,1.21307,1.21307,1.21307,1.21307,0,0
SCP_PE,D,20221201,000000,1.21307,1.28442,1.21307,1.21307,0,0
SCP_PE,D,20221202,000000,1.21307,1.21307,1.21307,1.21307,0,0
SCP_PE,D,20221205,000000,1.21307,1.28442,1.21307,1.21307,0,0
SCP_PE,D,20221206,000000,1.21307,1.28442,1.21307,1.21307,0,0
SCP_PE,D,20221207,000000,1.21307,1.21307,1.21307,1.21307,0,0
SCP_PE,D,20221208,000000,1.21307,1.21307,1.21307,1.21307,0,0
SCP_PE,D,20221209,000000,1.21307,1.21307,1.21307,1.21307,0,0
SCP_PE,D,20221212,000000,1.21307,1.21307,1.21307,1.21307,0,0
SCP_PE,D,20221213,000000,1.21307,1.21307,1.21307,1.21307,0,0
SCP_PE,D,20221214,000000,1.21307,1.21307,1.21307,1.21307,0,0
SCP_PE,D,20221215,000000,1.21307,1.21307,1.21307,1.21307,0,0
SCP_PE,D,20221216,000000,1.21307,1.21307,1.21307,1.21307,0,0
SCP_PE,D,20221219,000000,1.21307,1.21307,1.21307,1.21307,0,0
SCP_PE,D,20221220,000000,1.21307,1.21307,1.21307,1.21307,0,0
SCP_PE,D,20221221,000000,1.21307,1.21307,1.21307,1.21307,0,0
SCP_PE,D,20221222,000000,1.21307,1.21307,1.21307,1.21307,0,0
SCP_PE,D,20221223,000000,1.21307,1.28442,1.21307,1.21307,0,0
SCP_PE,D,20221227,000000,1.21307,1.21307,1.14171,1.14171,0,0
SCP_PE,D,20221228,000000,1.14171,1.14171,1.14171,1.14171,0,0
SCP_PE,D,20221229,000000,1.14171,1.21307,1.14171,1.21307,0,0
SCP_PE,D,20221230,000000,1.21307,1.28442,1.21307,1.21307,0,0
SCP_PE,D,20230102,000000,1.21307,1.21307,1.14171,1.21307,0,0
SCP_PE,D,20230103,000000,1.21307,1.21307,1.21307,1.21307,0,0
