<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEK_PB,D,20070813,000000,1.60734,1.60734,1.60734,1.60734,0,0
SEK_PB,D,20070814,000000,1.60181,1.60181,1.60181,1.60181,0,0
SEK_PB,D,20070816,000000,1.55693,1.55693,1.55693,1.55693,0,0
SEK_PB,D,20070817,000000,1.52899,1.52899,1.52899,1.52899,0,0
SEK_PB,D,20070820,000000,1.54014,1.54014,1.54014,1.54014,0,0
SEK_PB,D,20070821,000000,1.54014,1.54014,1.54014,1.54014,0,0
SEK_PB,D,20070822,000000,1.59611,1.59611,1.59611,1.59611,0,0
SEK_PB,D,20070823,000000,1.6242,1.6242,1.6242,1.6242,0,0
SEK_PB,D,20070824,000000,1.65222,1.65222,1.65222,1.65222,0,0
SEK_PB,D,20070827,000000,1.60181,1.60181,1.60181,1.60181,0,0
SEK_PB,D,20070828,000000,1.59611,1.59611,1.59611,1.59611,0,0
SEK_PB,D,20070829,000000,1.60181,1.60181,1.60181,1.60181,0,0
SEK_PB,D,20070830,000000,1.60181,1.60181,1.60181,1.60181,0,0
SEK_PB,D,20070831,000000,1.64099,1.64099,1.64099,1.64099,0,0
SEK_PB,D,20070903,000000,1.62983,1.62983,1.62983,1.62983,0,0
SEK_PB,D,20070904,000000,1.62983,1.62983,1.62983,1.62983,0,0
SEK_PB,D,20070905,000000,1.60181,1.60181,1.60181,1.60181,0,0
SEK_PB,D,20070906,000000,1.59057,1.59057,1.59057,1.59057,0,0
SEK_PB,D,20070907,000000,1.62983,1.62983,1.62983,1.62983,0,0
SEK_PB,D,20070910,000000,1.61297,1.61297,1.61297,1.61297,0,0
SEK_PB,D,20070911,000000,1.61297,1.61297,1.61297,1.61297,0,0
SEK_PB,D,20070912,000000,1.61858,1.61858,1.61858,1.61858,0,0
SEK_PB,D,20070913,000000,1.61858,1.61858,1.61858,1.61858,0,0
SEK_PB,D,20070914,000000,1.61297,1.61297,1.61297,1.61297,0,0
SEK_PB,D,20070917,000000,1.61858,1.61858,1.61858,1.61858,0,0
SEK_PB,D,20070918,000000,1.61858,1.61858,1.61858,1.61858,0,0
