<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEK_PE,D,20070813,000000,15.0659,15.0659,15.0659,15.0659,0,0
SEK_PE,D,20070814,000000,15.0098,15.0098,15.0098,15.0098,0,0
SEK_PE,D,20070816,000000,14.618,14.618,14.618,14.618,0,0
SEK_PE,D,20070817,000000,14.3378,14.3378,14.3378,14.3378,0,0
SEK_PE,D,20070820,000000,14.451,14.451,14.451,14.451,0,0
SEK_PE,D,20070821,000000,14.5064,14.5064,14.5064,14.5064,0,0
SEK_PE,D,20070822,000000,15.0098,15.0098,15.0098,15.0098,0,0
SEK_PE,D,20070823,000000,15.2338,15.2338,15.2338,15.2338,0,0
SEK_PE,D,20070824,000000,15.5131,15.5131,15.5131,15.5131,0,0
SEK_PE,D,20070827,000000,15.0659,15.0659,15.0659,15.0659,0,0
SEK_PE,D,20070828,000000,15.0098,15.0098,15.0098,15.0098,0,0
SEK_PE,D,20070829,000000,15.0659,15.0659,15.0659,15.0659,0,0
SEK_PE,D,20070830,000000,15.0659,15.0659,15.0659,15.0659,0,0
SEK_PE,D,20070831,000000,15.4014,15.4014,15.4014,15.4014,0,0
SEK_PE,D,20070903,000000,15.2899,15.2899,15.2899,15.2899,0,0
SEK_PE,D,20070904,000000,15.2899,15.2899,15.2899,15.2899,0,0
SEK_PE,D,20070905,000000,15.0659,15.0659,15.0659,15.0659,0,0
SEK_PE,D,20070906,000000,14.9535,14.9535,14.9535,14.9535,0,0
SEK_PE,D,20070907,000000,15.2899,15.2899,15.2899,15.2899,0,0
SEK_PE,D,20070910,000000,15.1213,15.1213,15.1213,15.1213,0,0
SEK_PE,D,20070911,000000,15.1213,15.1213,15.1213,15.1213,0,0
SEK_PE,D,20070912,000000,15.1783,15.1783,15.1783,15.1783,0,0
SEK_PE,D,20070913,000000,15.1783,15.1783,15.1783,15.1783,0,0
SEK_PE,D,20070914,000000,15.1213,15.1213,15.1213,15.1213,0,0
