<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SFS_PE,D,20070813,000000,29.3,29.3,29.3,29.3,0,0
SFS_PE,D,20070814,000000,29.3,29.3,29.3,29.3,0,0
SFS_PE,D,20070816,000000,29.3,29.3,29.3,29.3,0,0
SFS_PE,D,20070817,000000,30.5,30.5,30.5,30.5,0,0
SFS_PE,D,20070820,000000,30.1,30.1,30.1,30.1,0,0
SFS_PE,D,20070821,000000,29.3,29.3,29.3,29.3,0,0
SFS_PE,D,20070822,000000,29.3,29.3,29.3,29.3,0,0
SFS_PE,D,20070823,000000,29.3,29.3,29.3,29.3,0,0
SFS_PE,D,20070824,000000,29.3,29.3,29.3,29.3,0,0
SFS_PE,D,20070827,000000,29.1,29.1,29.1,29.1,0,0
SFS_PE,D,20070828,000000,28.7,28.7,28.7,28.7,0,0
SFS_PE,D,20070829,000000,28.7,28.7,28.7,28.7,0,0
SFS_PE,D,20070830,000000,42.6,42.6,42.6,42.6,0,0
SFS_PE,D,20070831,000000,41.6,41.6,41.6,41.6,0,0
SFS_PE,D,20070903,000000,40.8,40.8,40.8,40.8,0,0
SFS_PE,D,20070904,000000,40.8,40.8,40.8,40.8,0,0
SFS_PE,D,20070905,000000,40.7,40.7,40.7,40.7,0,0
SFS_PE,D,20070906,000000,40.7,40.7,40.7,40.7,0,0
SFS_PE,D,20070907,000000,39,39,39,39,0,0
SFS_PE,D,20070910,000000,38.1,38.1,38.1,38.1,0,0
SFS_PE,D,20070911,000000,37.6,37.6,37.6,37.6,0,0
SFS_PE,D,20070912,000000,39.2,39.2,39.2,39.2,0,0
SFS_PE,D,20070913,000000,39.6,39.6,39.6,39.6,0,0
SFS_PE,D,20070914,000000,38.1,38.1,38.1,38.1,0,0
SFS_PE,D,20070917,000000,36.1,36.1,36.1,36.1,0,0
SFS_PE,D,20070918,000000,36.1,36.1,36.1,36.1,0,0
SFS_PE,D,20070919,000000,35.8,35.8,35.8,35.8,0,0
