<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SIM_MV,D,20200409,000000,59.953,67.37,55.622,67.37,0,0
SIM_MV,D,20200414,000000,80.284,96.343,70.85,96.343,0,0
SIM_MV,D,20200415,000000,105.06,135.85,105.06,132.26,0,0
SIM_MV,D,20200416,000000,132.14,132.14,93.633,97.529,0,0
SIM_MV,D,20200417,000000,98.884,105.06,92.951,98.568,0,0
SIM_MV,D,20200420,000000,101.36,101.36,91.22,94.681,0,0
SIM_MV,D,20200421,000000,95.176,96.896,88.996,89.619,0,0
SIM_MV,D,20200422,000000,86.523,92.694,82.212,90.232,0,0
SIM_MV,D,20200423,000000,90.36,103.22,90.36,98.202,0,0
SIM_MV,D,20200424,000000,98.083,99.63,94.741,98.271,0,0
SIM_MV,D,20200427,000000,98.884,108.77,98.083,100.43,0,0
SIM_MV,D,20200428,000000,105,105,99.378,102.59,0,0
SIM_MV,D,20200429,000000,102.59,102.59,98.884,102.59,0,0
SIM_MV,D,20200430,000000,102.59,102.59,97.954,97.954,0,0
SIM_MV,D,20200504,000000,97.954,100.11,93.94,97.035,0,0
SIM_MV,D,20200505,000000,98.884,98.884,96.412,98.884,0,0
SIM_MV,D,20200506,000000,98.142,99.19,94.187,94.187,0,0
SIM_MV,D,20200507,000000,94.246,95.176,92.704,92.763,0,0
SIM_MV,D,20200508,000000,95.116,97.648,91.774,93.633,0,0
SIM_MV,D,20200511,000000,95.799,98.884,92.704,94.869,0,0
SIM_MV,D,20200512,000000,93.633,98.271,92.704,96.402,0,0
SIM_MV,D,20200513,000000,98.142,99.51,95.799,96.412,0,0
SIM_MV,D,20200514,000000,97.035,103.22,92.704,94.929,0,0
SIM_MV,D,20200515,000000,98.884,100.1,96.788,98.884,0,0
SIM_MV,D,20200518,000000,100.74,109.82,100.74,109.64,0,0
SIM_MV,D,20200519,000000,108.09,109.27,105.39,105.99,0,0
SIM_MV,D,20200520,000000,107.23,108.09,105.06,107.87,0,0
SIM_MV,D,20200521,000000,109.02,125.46,109.02,125.46,0,0
SIM_MV,D,20200522,000000,122.37,126.08,119.9,123.6,0,0
