<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLV_MV,D,20191016,000000,338.02,338.02,338.02,338.02,0,0
SLV_MV,D,20191017,000000,350.9,350.9,329.97,342.85,0,0
SLV_MV,D,20191018,000000,334.8,342.85,334.8,342.85,0,0
SLV_MV,D,20191021,000000,342.85,352.51,338.02,352.51,0,0
SLV_MV,D,20191022,000000,354.12,392.75,354.12,392.75,0,0
SLV_MV,D,20191023,000000,393.39,426.55,373.43,391.14,0,0
SLV_MV,D,20191024,000000,391.14,391.14,364.74,374.24,0,0
SLV_MV,D,20191025,000000,374.24,386.79,370.21,373.43,0,0
SLV_MV,D,20191028,000000,385.67,390.01,365.46,388.64,0,0
SLV_MV,D,20191029,000000,392.75,400.8,385.5,399.19,0,0
SLV_MV,D,20191030,000000,399.99,418.5,399.99,413.67,0,0
SLV_MV,D,20191031,000000,416.89,416.89,402.41,408.84,0,0
SLV_MV,D,20191104,000000,417.7,417.7,394.36,395.97,0,0
SLV_MV,D,20191105,000000,417.7,417.7,386.31,410.53,0,0
SLV_MV,D,20191106,000000,402.41,415.28,402.41,409.41,0,0
SLV_MV,D,20191107,000000,408.84,413.19,402.41,410.45,0,0
SLV_MV,D,20191108,000000,402.41,410.45,397.58,402.41,0,0
SLV_MV,D,20191112,000000,402.41,408.84,399.19,399.19,0,0
SLV_MV,D,20191113,000000,402.41,407.23,402.41,405.62,0,0
SLV_MV,D,20191114,000000,405.62,412.06,405.62,405.62,0,0
SLV_MV,D,20191115,000000,412.06,412.06,391.14,395.97,0,0
SLV_MV,D,20191118,000000,396.77,410.45,396.77,402.41,0,0
SLV_MV,D,20191119,000000,410.45,410.45,396.77,400.8,0,0
SLV_MV,D,20191120,000000,402.41,402.41,395.97,399.19,0,0
SLV_MV,D,20191121,000000,399.27,402.41,396.13,396.13,0,0
SLV_MV,D,20191122,000000,396.29,399.19,392.75,392.75,0,0
SLV_MV,D,20191125,000000,395.97,395.97,366.99,376.65,0,0
SLV_MV,D,20191126,000000,365.38,376.65,362.17,370.21,0,0
SLV_MV,D,20191127,000000,375.85,375.85,366.99,369.41,0,0
SLV_MV,D,20191128,000000,378.26,378.26,363.77,363.77,0,0
SLV_MV,D,20191129,000000,363.77,370.21,363.77,365.38,0,0
SLV_MV,D,20191202,000000,366.99,366.99,342.85,354.12,0,0
SLV_MV,D,20191203,000000,352.51,354.12,350.09,351.7,0,0
SLV_MV,D,20191204,000000,354.12,375.04,352.59,375.04,0,0
SLV_MV,D,20191205,000000,378.26,386.31,376.65,385.5,0,0
SLV_MV,D,20191206,000000,389.53,402.41,376.65,383.09,0,0
SLV_MV,D,20191209,000000,386.31,386.31,370.21,385.02,0,0
SLV_MV,D,20191210,000000,386.31,386.31,370.54,370.54,0,0
SLV_MV,D,20191211,000000,378.18,378.18,366.99,366.99,0,0
SLV_MV,D,20191212,000000,378.1,378.1,355.73,376.65,0,0
SLV_MV,D,20191213,000000,378.26,378.26,363.77,370.21,0,0
SLV_MV,D,20191216,000000,370.21,370.21,354.12,370.21,0,0
SLV_MV,D,20191217,000000,370.21,373.11,354.12,370.21,0,0
SLV_MV,D,20191218,000000,378.26,378.26,362.17,363.77,0,0
SLV_MV,D,20191219,000000,373.43,373.43,360.56,373.43,0,0
SLV_MV,D,20191220,000000,373.43,373.43,357.34,358.95,0,0
SLV_MV,D,20191223,000000,367.8,371.66,362.17,370.21,0,0
SLV_MV,D,20191227,000000,371.1,371.1,370.21,370.21,0,0
SLV_MV,D,20191230,000000,370.21,378.26,362.17,378.26,0,0
SLV_MV,D,20200102,000000,379.87,379.87,372.63,378.26,0,0
SLV_MV,D,20200103,000000,378.26,380.68,370.21,370.21,0,0
SLV_MV,D,20200107,000000,376.65,396.77,376.65,394.36,0,0
SLV_MV,D,20200108,000000,394.36,402.41,386.31,397.58,0,0
SLV_MV,D,20200109,000000,405.71,410.37,402.41,402.41,0,0
SLV_MV,D,20200110,000000,402.41,402.41,391.14,399.19,0,0
SLV_MV,D,20200113,000000,387.92,397.58,386.31,392.75,0,0
SLV_MV,D,20200114,000000,394.36,399.19,386.39,391.14,0,0
SLV_MV,D,20200115,000000,387.92,399.19,383.09,399.19,0,0
SLV_MV,D,20200116,000000,402.08,415.28,402.08,407.23,0,0
