<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNK_PE,D,20070813,000000,7.1618,7.1618,7.1618,7.1618,0,0
SNK_PE,D,20070814,000000,7.11566,7.11566,7.11566,7.11566,0,0
SNK_PE,D,20070816,000000,6.92996,6.92996,6.92996,6.92996,0,0
SNK_PE,D,20070817,000000,6.78962,6.78962,6.78962,6.78962,0,0
SNK_PE,D,20070820,000000,6.88248,6.88248,6.88248,6.88248,0,0
SNK_PE,D,20070821,000000,6.88248,6.88248,6.88248,6.88248,0,0
SNK_PE,D,20070822,000000,6.92996,6.92996,6.92996,6.92996,0,0
SNK_PE,D,20070823,000000,6.92996,6.92996,6.92996,6.92996,0,0
SNK_PE,D,20070824,000000,7.02214,7.02214,7.02214,7.02214,0,0
SNK_PE,D,20070827,000000,6.92996,6.92996,6.92996,6.92996,0,0
SNK_PE,D,20070828,000000,6.6446,6.6446,6.6446,6.6446,0,0
SNK_PE,D,20070829,000000,6.6446,6.6446,6.6446,6.6446,0,0
SNK_PE,D,20070830,000000,6.7372,6.7372,6.7372,6.7372,0,0
SNK_PE,D,20070831,000000,6.7372,6.7372,6.7372,6.7372,0,0
SNK_PE,D,20070903,000000,6.88248,6.88248,6.88248,6.88248,0,0
SNK_PE,D,20070904,000000,6.88248,6.88248,6.88248,6.88248,0,0
SNK_PE,D,20070905,000000,6.69081,6.69081,6.69081,6.69081,0,0
SNK_PE,D,20070906,000000,6.78962,6.78962,6.78962,6.78962,0,0
SNK_PE,D,20070907,000000,6.55123,6.55123,6.55123,6.55123,0,0
SNK_PE,D,20070910,000000,6.55123,6.55123,6.55123,6.55123,0,0
SNK_PE,D,20070911,000000,6.55123,6.55123,6.55123,6.55123,0,0
SNK_PE,D,20070912,000000,6.55123,6.55123,6.55123,6.55123,0,0
SNK_PE,D,20070913,000000,6.41083,6.41083,6.41083,6.41083,0,0
SNK_PE,D,20070914,000000,6.31796,6.31796,6.31796,6.31796,0,0
SNK_PE,D,20070917,000000,6.31796,6.31796,6.31796,6.31796,0,0
SNK_PE,D,20070918,000000,6.6446,6.6446,6.6446,6.6446,0,0
SNK_PE,D,20070919,000000,6.69081,6.69081,6.69081,6.69081,0,0
SNK_PE,D,20070920,000000,6.69081,6.69081,6.69081,6.69081,0,0
SNK_PE,D,20070921,000000,6.69081,6.69081,6.69081,6.69081,0,0
SNK_PE,D,20070924,000000,6.50418,6.50418,6.50418,6.50418,0,0
SNK_PE,D,20070925,000000,6.50418,6.50418,6.50418,6.50418,0,0
SNK_PE,D,20070926,000000,6.55123,6.55123,6.55123,6.55123,0,0
SNK_PE,D,20070927,000000,6.55123,6.55123,6.55123,6.55123,0,0
SNK_PE,D,20070928,000000,6.55123,6.55123,6.55123,6.55123,0,0
SNK_PE,D,20071001,000000,6.36393,6.36393,6.36393,6.36393,0,0
SNK_PE,D,20071002,000000,6.41083,6.41083,6.41083,6.41083,0,0
SNK_PE,D,20071003,000000,6.50418,6.50418,6.50418,6.50418,0,0
SNK_PE,D,20071004,000000,6.45796,6.45796,6.45796,6.45796,0,0
SNK_PE,D,20071005,000000,6.50418,6.50418,6.50418,6.50418,0,0
SNK_PE,D,20071008,000000,6.45796,6.45796,6.45796,6.45796,0,0
SNK_PE,D,20071009,000000,6.55123,6.55123,6.55123,6.55123,0,0
SNK_PE,D,20071010,000000,6.55123,6.55123,6.55123,6.55123,0,0
SNK_PE,D,20071011,000000,6.55123,6.55123,6.55123,6.55123,0,0
SNK_PE,D,20071012,000000,6.55123,6.55123,6.55123,6.55123,0,0
SNK_PE,D,20071015,000000,6.45796,6.45796,6.45796,6.45796,0,0
SNK_PE,D,20071016,000000,6.55123,6.55123,6.55123,6.55123,0,0
SNK_PE,D,20071017,000000,6.55123,6.55123,6.55123,6.55123,0,0
SNK_PE,D,20071018,000000,6.41083,6.41083,6.41083,6.41083,0,0
SNK_PE,D,20071019,000000,6.31796,6.31796,6.31796,6.31796,0,0
SNK_PE,D,20071022,000000,6.17729,6.17729,6.17729,6.17729,0,0
SNK_PE,D,20071023,000000,6.50418,6.50418,6.50418,6.50418,0,0
SNK_PE,D,20071024,000000,6.50418,6.50418,6.50418,6.50418,0,0
SNK_PE,D,20071025,000000,6.50418,6.50418,6.50418,6.50418,0,0
SNK_PE,D,20071026,000000,6.50418,6.50418,6.50418,6.50418,0,0
SNK_PE,D,20071029,000000,6.50418,6.50418,6.50418,6.50418,0,0
SNK_PE,D,20071030,000000,6.59754,6.59754,6.59754,6.59754,0,0
SNK_PE,D,20071031,000000,6.59754,6.59754,6.59754,6.59754,0,0
SNK_PE,D,20071102,000000,6.59754,6.59754,6.59754,6.59754,0,0
SNK_PE,D,20071105,000000,6.59754,6.59754,6.59754,6.59754,0,0
SNK_PE,D,20071106,000000,6.59754,6.59754,6.59754,6.59754,0,0
SNK_PE,D,20071107,000000,6.41083,6.41083,6.41083,6.41083,0,0
SNK_PE,D,20071108,000000,6.50418,6.50418,6.50418,6.50418,0,0
SNK_PE,D,20071109,000000,6.45796,6.50418,6.45796,6.50418,0,0
SNK_PE,D,20071112,000000,6.69081,6.69081,6.50418,6.50418,0,0
SNK_PE,D,20071113,000000,6.69081,6.7372,6.08453,6.69081,0,0
SNK_PE,D,20071114,000000,6.7372,6.7372,6.22393,6.59754,0,0
SNK_PE,D,20071115,000000,6.7372,6.7372,6.27116,6.27116,0,0
SNK_PE,D,20071116,000000,6.13124,6.27116,5.99092,6.27116,0,0
SNK_PE,D,20071119,000000,6.13124,6.27116,5.94444,5.94444,0,0
SNK_PE,D,20071120,000000,6.0378,6.0378,6.0378,6.0378,0,0
SNK_PE,D,20071121,000000,5.94444,6.0378,5.6647,5.99092,0,0
SNK_PE,D,20071122,000000,5.99092,5.99092,5.6647,5.99092,0,0
SNK_PE,D,20071123,000000,5.99092,5.99092,5.85143,5.99092,0,0
SNK_PE,D,20071126,000000,5.99092,5.99092,5.99092,5.99092,0,0
SNK_PE,D,20071127,000000,5.99092,5.99092,5.85143,5.85143,0,0
SNK_PE,D,20071128,000000,5.85143,5.85143,5.6647,5.6647,0,0
SNK_PE,D,20071129,000000,5.6647,5.94444,5.6647,5.94444,0,0
SNK_PE,D,20071130,000000,5.99092,6.0378,5.94444,5.94444,0,0
SNK_PE,D,20071203,000000,5.80453,5.94444,5.80453,5.94444,0,0
SNK_PE,D,20071205,000000,5.94444,5.99092,5.8978,5.99092,0,0
SNK_PE,D,20071206,000000,5.94444,5.94444,5.94444,5.94444,0,0
SNK_PE,D,20071210,000000,5.85143,5.99092,5.85143,5.99092,0,0
SNK_PE,D,20071211,000000,5.94444,5.99092,5.85143,5.99092,0,0
SNK_PE,D,20071212,000000,5.85143,5.99092,5.75807,5.99092,0,0
SNK_PE,D,20071214,000000,5.80453,5.94444,5.80453,5.94444,0,0
SNK_PE,D,20071217,000000,5.85143,5.85143,5.80453,5.80453,0,0
SNK_PE,D,20071218,000000,5.71126,5.8978,5.6647,5.6647,0,0
SNK_PE,D,20071219,000000,5.8978,5.8978,5.8978,5.8978,0,0
SNK_PE,D,20071220,000000,5.8978,5.8978,5.8978,5.8978,0,0
SNK_PE,D,20071221,000000,5.94444,5.94444,5.71126,5.94444,0,0
SNK_PE,D,20071227,000000,5.94444,5.94444,5.6647,5.71126,0,0
SNK_PE,D,20071228,000000,5.80453,5.80453,5.6647,5.6647,0,0
SNK_PE,D,20080102,000000,5.94444,5.94444,5.94444,5.94444,0,0
SNK_PE,D,20080103,000000,5.6647,5.6647,5.6647,5.6647,0,0
SNK_PE,D,20080104,000000,5.80453,5.80453,5.57143,5.6647,0,0
