<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNT_PE,D,20110809,000000,33.6108,33.6108,33.6108,33.6108,0,0
SNT_PE,D,20110810,000000,39.9626,39.9626,33.0816,33.2574,0,0
SNT_PE,D,20110811,000000,36.7867,36.7867,36.7867,36.7867,0,0
SNT_PE,D,20110812,000000,39.6101,39.6101,36.7867,39.2567,0,0
SNT_PE,D,20110816,000000,39.6975,44.991,39.6975,44.991,0,0
SNT_PE,D,20110818,000000,33.6992,34.0524,33.6992,33.6992,0,0
SNT_PE,D,20110902,000000,33.3466,36.1691,33.3466,36.1691,0,0
SNT_PE,D,20110905,000000,36.1691,36.1691,36.1691,36.1691,0,0
SNT_PE,D,20110906,000000,36.1691,36.1691,36.1691,36.1691,0,0
SNT_PE,D,20110907,000000,34.9351,40.2276,34.9351,40.2276,0,0
SNT_PE,D,20110908,000000,38.6392,38.6392,37.7576,37.7576,0,0
SNT_PE,D,20110909,000000,38.1101,39.6101,33.8749,33.8749,0,0
SNT_PE,D,20110912,000000,35.9934,36.0808,31.5825,36.0808,0,0
SNT_PE,D,20110913,000000,34.1399,35.7283,34.1399,35.7283,0,0
SNT_PE,D,20110915,000000,34.0524,36.9633,34.0524,36.9633,0,0
SNT_PE,D,20110919,000000,35.7283,35.7283,35.7283,35.7283,0,0
SNT_PE,D,20110920,000000,35.5526,35.7283,35.5526,35.7283,0,0
SNT_PE,D,20110921,000000,35.2866,35.2866,32.4641,33.5224,0,0
SNT_PE,D,20110922,000000,33.1709,33.1709,33.0816,33.0816,0,0
SNT_PE,D,20110923,000000,34.3167,34.67,34.3167,34.67,0,0
SNT_PE,D,20110926,000000,34.67,38.7276,34.3167,38.6392,0,0
SNT_PE,D,20110927,000000,38.6392,38.7276,37.6683,37.7576,0,0
SNT_PE,D,20110928,000000,35.9041,37.14,34.67,37.14,0,0
SNT_PE,D,20110929,000000,34.3167,37.14,32.8165,37.14,0,0
SNT_PE,D,20110930,000000,37.14,37.14,37.14,37.14,0,0
SNT_PE,D,20111003,000000,37.14,37.14,37.14,37.14,0,0
SNT_PE,D,20111004,000000,35.1107,37.14,34.0524,37.14,0,0
SNT_PE,D,20111005,000000,37.0508,37.14,37.0508,37.14,0,0
SNT_PE,D,20111006,000000,37.7576,37.7576,37.14,37.14,0,0
SNT_PE,D,20111007,000000,37.7576,37.7576,37.7576,37.7576,0,0
SNT_PE,D,20111010,000000,37.4925,41.8152,37.4925,41.8152,0,0
SNT_PE,D,20111011,000000,41.551,41.551,40.2276,41.4617,0,0
SNT_PE,D,20111012,000000,41.8152,41.8152,40.2276,40.2276,0,0
SNT_PE,D,20111013,000000,40.2276,40.2276,40.2276,40.2276,0,0
SNT_PE,D,20111014,000000,40.8442,40.8442,40.6684,40.6684,0,0
SNT_PE,D,20111017,000000,40.4918,40.4918,40.4918,40.4918,0,0
SNT_PE,D,20111018,000000,40.4918,40.4918,40.4918,40.4918,0,0
SNT_PE,D,20111019,000000,40.4918,40.4918,40.4918,40.4918,0,0
SNT_PE,D,20111020,000000,40.4918,40.4918,40.4918,40.4918,0,0
SNT_PE,D,20111021,000000,40.4918,40.4918,40.4918,40.4918,0,0
SNT_PE,D,20111024,000000,40.2276,40.4918,40.2276,40.4918,0,0
SNT_PE,D,20111025,000000,40.2276,40.2276,40.2276,40.2276,0,0
SNT_PE,D,20111026,000000,40.2276,40.2276,40.2276,40.2276,0,0
SNT_PE,D,20111027,000000,40.2276,40.2276,40.2276,40.2276,0,0
SNT_PE,D,20111028,000000,40.2276,40.2276,40.2276,40.2276,0,0
SNT_PE,D,20111031,000000,40.2276,40.2276,40.2276,40.2276,0,0
SNT_PE,D,20111103,000000,40.2276,43.0502,40.2276,43.0502,0,0
SNT_PE,D,20111104,000000,43.0502,43.0502,43.0502,43.0502,0,0
SNT_PE,D,20111107,000000,43.0502,43.0502,41.1977,41.4617,0,0
SNT_PE,D,20111108,000000,41.4617,41.8152,41.4617,41.8152,0,0
SNT_PE,D,20111109,000000,41.8152,42.1686,41.8152,42.0792,0,0
SNT_PE,D,20111110,000000,42.0792,42.4336,42.0792,42.4336,0,0
SNT_PE,D,20111114,000000,42.4336,42.4336,42.4336,42.4336,0,0
SNT_PE,D,20111115,000000,42.4336,42.4336,42.3443,42.4336,0,0
SNT_PE,D,20111116,000000,42.4336,42.4336,42.3443,42.3443,0,0
SNT_PE,D,20111117,000000,42.2559,42.2559,42.2559,42.2559,0,0
SNT_PE,D,20111118,000000,42.2559,42.2559,42.2559,42.2559,0,0
