<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNX_PE,D,20120606,000000,245.43,255.927,245.43,255.927,0,0
SNX_PE,D,20120628,000000,245.43,284.37,245.43,284.37,0,0
SNX_PE,D,20120629,000000,272.719,298.601,272.719,298.601,0,0
SNX_PE,D,20120702,000000,272.719,326.946,272.719,326.946,0,0
SNX_PE,D,20120703,000000,259.065,270.159,259.065,270.159,0,0
SNX_PE,D,20120704,000000,286.374,300.029,286.374,300.029,0,0
SNX_PE,D,20120705,000000,340.884,369.62,327.328,369.62,0,0
SNX_PE,D,20120706,000000,409.138,511.757,409.138,511.757,0,0
SNX_PE,D,20120711,000000,395.493,483.412,395.493,483.412,0,0
SNX_PE,D,20120712,000000,409.138,426.506,409.138,426.506,0,0
SNX_PE,D,20120713,000000,436.339,454.959,436.339,454.959,0,0
SNX_PE,D,20120716,000000,436.339,436.339,409.138,426.506,0,0
SNX_PE,D,20120717,000000,409.138,426.506,409.138,426.506,0,0
SNX_PE,D,20120719,000000,409.138,426.506,409.138,426.506,0,0
SNX_PE,D,20120724,000000,409.138,409.138,368.184,383.832,0,0
SNX_PE,D,20120725,000000,395.493,412.285,395.493,412.285,0,0
SNX_PE,D,20120730,000000,409.138,426.506,409.138,426.506,0,0
SNX_PE,D,20120802,000000,422.782,449.993,422.782,440.738,0,0
SNX_PE,D,20120806,000000,381.838,381.838,381.838,381.838,0,0
SNX_PE,D,20120809,000000,395.493,412.285,395.493,412.285,0,0
SNX_PE,D,20120810,000000,381.838,383.832,368.184,383.832,0,0
SNX_PE,D,20120827,000000,409.138,409.138,99.7552,99.7552,0,0
SNX_PE,D,20120907,000000,88.8727,96.4116,85.6277,96.4116,0,0
SNX_PE,D,20120912,000000,88.8727,93.0727,79.0409,93.0727,0,0
SNX_PE,D,20120913,000000,88.8727,99.7552,88.8727,99.7552,0,0
SNX_PE,D,20120919,000000,98.7093,99.7552,82.286,99.7552,0,0
SNX_PE,D,20120925,000000,82.286,83.1441,82.286,83.1441,0,0
SNX_PE,D,20120928,000000,85.6277,85.6277,69.1123,83.1441,0,0
SNX_PE,D,20121001,000000,82.286,83.1441,82.286,83.1441,0,0
SNX_PE,D,20121002,000000,69.1123,69.1123,65.8672,66.5358,0,0
SNX_PE,D,20121003,000000,72.4531,73.1207,72.4531,73.1207,0,0
SNX_PE,D,20121009,000000,62.5265,63.194,62.5265,63.194,0,0
SNX_PE,D,20121010,000000,62.5265,69.8757,62.5265,69.8757,0,0
SNX_PE,D,20121011,000000,55.9386,73.1207,55.9386,73.1207,0,0
SNX_PE,D,20121012,000000,72.4531,73.1207,72.4531,73.1207,0,0
SNX_PE,D,20121015,000000,72.4531,73.1207,72.4531,73.1207,0,0
SNX_PE,D,20121016,000000,72.4531,76.4624,72.4531,76.4624,0,0
SNX_PE,D,20121017,000000,72.4531,73.1207,72.4531,73.1207,0,0
SNX_PE,D,20121018,000000,79.0409,79.8043,79.0409,79.8043,0,0
SNX_PE,D,20121019,000000,79.0409,79.8043,79.0409,79.8043,0,0
SNX_PE,D,20121022,000000,79.0409,79.8043,79.0409,79.8043,0,0
SNX_PE,D,20121023,000000,82.286,83.1441,82.286,83.1441,0,0
SNX_PE,D,20121025,000000,82.286,98.7093,75.6991,86.4859,0,0
SNX_PE,D,20121026,000000,82.286,82.286,72.4531,79.8043,0,0
SNX_PE,D,20121029,000000,72.4531,76.4624,69.1123,76.4624,0,0
SNX_PE,D,20121030,000000,79.0409,79.8043,79.0409,79.8043,0,0
SNX_PE,D,20121031,000000,79.0409,79.8043,72.4531,79.8043,0,0
SNX_PE,D,20121102,000000,72.4531,75.6991,50.6889,50.6889,0,0
SNX_PE,D,20121106,000000,50.8796,53.0748,48.7801,50.6889,0,0
SNX_PE,D,20121107,000000,53.0748,53.0748,52.7894,52.7894,0,0
SNX_PE,D,20121108,000000,53.0748,53.0748,52.7894,52.7894,0,0
SNX_PE,D,20121109,000000,50.8796,50.8796,46.4889,46.4889,0,0
SNX_PE,D,20121113,000000,46.6796,46.6796,42.3838,46.4889,0,0
SNX_PE,D,20121114,000000,44.5801,48.7801,42.3838,48.5884,0,0
SNX_PE,D,20121116,000000,44.5801,48.7801,44.5801,48.5884,0,0
SNX_PE,D,20121119,000000,42.3838,44.5801,40.2843,44.2937,0,0
SNX_PE,D,20121120,000000,38.1838,42.3838,38.1838,42.1932,0,0
SNX_PE,D,20121122,000000,44.2937,44.2937,44.2937,44.2937,0,0
