<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SON_MV,D,20080811,000000,46.7666,46.7666,46.7666,46.7666,0,0
SON_MV,D,20080812,000000,48.201,48.201,48.201,48.201,0,0
SON_MV,D,20080818,000000,48.201,48.201,46.314,46.314,0,0
SON_MV,D,20080820,000000,46.314,46.314,46.314,46.314,0,0
SON_MV,D,20080822,000000,48.138,48.138,48.138,48.138,0,0
SON_MV,D,20080825,000000,48.138,48.138,48.138,48.138,0,0
SON_MV,D,20080829,000000,49.0515,49.0515,49.0515,49.0515,0,0
SON_MV,D,20080902,000000,49.0515,49.0515,49.0515,49.0515,0,0
SON_MV,D,20080905,000000,49.1164,49.1164,48.0714,48.8572,0,0
SON_MV,D,20080908,000000,47.878,47.878,47.878,47.878,0,0
SON_MV,D,20080909,000000,47.878,47.878,47.878,47.878,0,0
SON_MV,D,20080912,000000,48.5964,48.5964,45.3322,45.9867,0,0
SON_MV,D,20080915,000000,45.0092,46.9635,45.0092,46.9635,0,0
SON_MV,D,20080916,000000,45.9867,46.9635,45.9867,46.9635,0,0
SON_MV,D,20080917,000000,45.9867,45.9867,45.6595,45.6595,0,0
SON_MV,D,20080918,000000,44.7442,44.7442,44.7442,44.7442,0,0
SON_MV,D,20080919,000000,43.8348,44.7442,42.9195,43.8348,0,0
SON_MV,D,20080922,000000,44.7442,44.7442,44.7442,44.7442,0,0
SON_MV,D,20080923,000000,45.6595,45.6595,44.7442,44.7442,0,0
SON_MV,D,20080925,000000,43.049,43.7683,42.7235,43.7683,0,0
SON_MV,D,20080930,000000,46.8961,46.8961,46.8961,46.8961,0,0
SON_MV,D,20081002,000000,43.7683,46.8961,43.7683,44.6828,0,0
SON_MV,D,20081003,000000,43.1188,43.1188,43.1188,43.1188,0,0
SON_MV,D,20081006,000000,42.5931,42.5931,42.5931,42.5931,0,0
SON_MV,D,20081008,000000,41.9419,42.5931,40.8987,40.8987,0,0
SON_MV,D,20081010,000000,38.9394,38.9394,38.9394,38.9394,0,0
SON_MV,D,20081013,000000,38.2226,38.9394,38.2226,38.2226,0,0
SON_MV,D,20081014,000000,38.4817,38.4817,37.6337,37.6337,0,0
SON_MV,D,20081016,000000,36.5275,38.4186,35.9402,35.9402,0,0
SON_MV,D,20081017,000000,35.2226,35.2226,34.3755,34.3755,0,0
SON_MV,D,20081023,000000,32.9419,34.3755,31.7002,31.7002,0,0
SON_MV,D,20081027,000000,31.9634,31.9634,31.9634,31.9634,0,0
SON_MV,D,20081029,000000,29.4178,29.6786,29.4178,29.6786,0,0
SON_MV,D,20081031,000000,33.9185,33.9185,33.9185,33.9185,0,0
SON_MV,D,20081103,000000,37.3124,40.4403,37.3124,40.4403,0,0
SON_MV,D,20081104,000000,38.4817,38.4877,38.4817,38.4877,0,0
SON_MV,D,20081105,000000,38.4817,42.3331,38.4817,39.2666,0,0
SON_MV,D,20081107,000000,42.3331,42.3331,39.2666,42.3331,0,0
SON_MV,D,20081110,000000,38.1604,38.4817,38.1604,38.1604,0,0
SON_MV,D,20081112,000000,40.7683,40.7683,40.7683,40.7683,0,0
SON_MV,D,20081113,000000,40.3746,40.3746,40.3746,40.3746,0,0
SON_MV,D,20081119,000000,39.1362,39.1362,39.1362,39.1362,0,0
SON_MV,D,20081124,000000,37.5042,37.5042,34.5724,37.5042,0,0
SON_MV,D,20081125,000000,34.5724,34.5724,34.5724,34.5724,0,0
SON_MV,D,20081127,000000,32.6138,32.6138,32.6138,32.6138,0,0
SON_MV,D,20081128,000000,37.5042,37.5042,37.5042,37.5042,0,0
SON_MV,D,20081202,000000,37.1827,37.5042,36.5275,36.5275,0,0
SON_MV,D,20081205,000000,32.8721,32.8721,32.8721,32.8721,0,0
SON_MV,D,20081208,000000,36.1388,36.1388,32.8721,32.8721,0,0
SON_MV,D,20081210,000000,33.2683,33.2683,31.3089,33.133,0,0
SON_MV,D,20081211,000000,33.0025,33.0025,31.3089,31.3089,0,0
SON_MV,D,20081215,000000,30.6594,30.6594,30.6594,30.6594,0,0
SON_MV,D,20081223,000000,29.3556,29.3556,29.3556,29.3556,0,0
SON_MV,D,20081229,000000,29.6146,29.6146,29.6146,29.6146,0,0
