<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPH_PE,D,20111128,000000,8.0925,8.0925,8.0925,8.0925,0,0
SPH_PE,D,20111129,000000,7.64984,8.0925,7.58592,7.77686,0,0
SPH_PE,D,20111201,000000,7.58592,7.58592,7.58592,7.58592,0,0
SPH_PE,D,20111202,000000,7.58592,7.58592,7.58592,7.58592,0,0
SPH_PE,D,20111205,000000,7.77686,7.77686,7.77686,7.77686,0,0
SPH_PE,D,20111206,000000,8.0925,8.0925,7.71372,7.71372,0,0
SPH_PE,D,20111207,000000,8.0925,8.0925,7.71372,8.0925,0,0
SPH_PE,D,20111212,000000,7.83998,7.83998,7.64984,7.64984,0,0
SPH_PE,D,20111223,000000,7.20724,7.64984,7.01842,7.01842,0,0
SPH_PE,D,20111227,000000,6.51188,7.01842,6.51188,6.51188,0,0
SPH_PE,D,20111229,000000,6.51188,7.01842,6.51188,7.01842,0,0
SPH_PE,D,20120113,000000,7.01842,7.01842,7.01842,7.01842,0,0
SPH_PE,D,20120120,000000,8.40738,8.40738,8.34576,8.34576,0,0
SPH_PE,D,20120124,000000,8.28109,8.28109,8.28109,8.28109,0,0
SPH_PE,D,20120125,000000,7.33342,8.28109,7.33342,7.33342,0,0
SPH_PE,D,20120126,000000,7.46045,7.46045,7.27115,7.33342,0,0
SPH_PE,D,20120131,000000,7.0198,7.33265,7.0198,7.07785,0,0
SPH_PE,D,20120206,000000,7.01842,7.08007,6.57552,6.57552,0,0
SPH_PE,D,20120208,000000,6.76506,6.76506,6.57552,6.76506,0,0
SPH_PE,D,20120209,000000,7.01842,7.01842,6.57552,6.57552,0,0
SPH_PE,D,20120214,000000,6.51188,6.51188,6.51188,6.51188,0,0
SPH_PE,D,20120216,000000,6.51188,6.51188,6.38545,6.38545,0,0
SPH_PE,D,20120223,000000,5.87975,5.87975,5.87975,5.87975,0,0
SPH_PE,D,20120227,000000,6.25912,6.25912,6.25912,6.25912,0,0
SPH_PE,D,20120315,000000,5.68999,5.68999,5.68999,5.68999,0,0
SPH_PE,D,20120319,000000,6.06944,6.06944,5.68999,6.06944,0,0
SPH_PE,D,20120327,000000,5.43703,6.06944,5.43703,5.50038,0,0
SPH_PE,D,20120328,000000,5.50038,5.50038,4.9946,4.9946,0,0
SPH_PE,D,20120507,000000,4.74164,4.74164,4.74164,4.74164,0,0
SPH_PE,D,20120508,000000,4.55203,4.61515,4.55203,4.61515,0,0
SPH_PE,D,20120514,000000,4.80491,4.80491,4.61515,4.74164,0,0
SPH_PE,D,20120517,000000,4.74164,4.74164,4.74164,4.74164,0,0
SPH_PE,D,20120523,000000,5.05773,5.05773,5.05773,5.05773,0,0
SPH_PE,D,20120627,000000,4.86703,4.86703,4.48759,4.48759,0,0
SPH_PE,D,20120730,000000,4.38297,4.38297,4.38297,4.38297,0,0
SPH_PE,D,20120820,000000,3.92507,4.25211,3.92507,4.25211,0,0
SPH_PE,D,20120822,000000,4.25211,4.25211,4.25211,4.25211,0,0
SPH_PE,D,20120907,000000,3.53261,3.92507,3.3363,3.3363,0,0
SPH_PE,D,20120913,000000,3.3363,3.66333,3.3363,3.66333,0,0
SPH_PE,D,20120914,000000,3.66333,3.66333,3.66333,3.66333,0,0
SPH_PE,D,20121015,000000,3.79419,3.85955,3.79419,3.85955,0,0
SPH_PE,D,20121016,000000,3.85955,3.85955,3.85955,3.85955,0,0
