<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPL_MV,D,20070813,000000,10884.3,10884.3,10884.3,10884.3,0,0
SPL_MV,D,20070814,000000,10871.3,10871.3,10871.3,10871.3,0,0
SPL_MV,D,20070816,000000,10517.8,10517.8,10517.8,10517.8,0,0
SPL_MV,D,20070817,000000,10776.5,10776.5,10776.5,10776.5,0,0
SPL_MV,D,20070820,000000,10961.8,10961.8,10961.8,10961.8,0,0
SPL_MV,D,20070821,000000,10539.4,10539.4,10539.4,10539.4,0,0
SPL_MV,D,20070822,000000,10948.9,10948.9,10948.9,10948.9,0,0
SPL_MV,D,20070823,000000,10910.1,10910.1,10910.1,10910.1,0,0
SPL_MV,D,20070824,000000,10802.3,10802.3,10802.3,10802.3,0,0
SPL_MV,D,20070827,000000,10918.8,10918.8,10918.8,10918.8,0,0
SPL_MV,D,20070828,000000,10711.7,10711.7,10711.7,10711.7,0,0
SPL_MV,D,20070829,000000,10599.8,10599.8,10599.8,10599.8,0,0
SPL_MV,D,20070830,000000,10496.3,10496.3,10496.3,10496.3,0,0
SPL_MV,D,20070831,000000,10992,10992,10992,10992,0,0
SPL_MV,D,20070903,000000,11086.8,11086.8,11086.8,11086.8,0,0
SPL_MV,D,20070904,000000,11035.1,11035.1,11035.1,11035.1,0,0
SPL_MV,D,20070905,000000,10819.6,10819.6,10819.6,10819.6,0,0
SPL_MV,D,20070906,000000,10560.9,10560.9,10560.9,10560.9,0,0
SPL_MV,D,20070907,000000,10560.9,10560.9,10560.9,10560.9,0,0
SPL_MV,D,20070910,000000,10474.8,10474.8,10474.8,10474.8,0,0
SPL_MV,D,20070911,000000,10750.6,10750.6,10750.6,10750.6,0,0
SPL_MV,D,20070912,000000,11302.3,11302.3,11302.3,11302.3,0,0
SPL_MV,D,20070913,000000,11617.1,11617.1,11617.1,11617.1,0,0
SPL_MV,D,20070914,000000,11595.5,11595.5,11595.5,11595.5,0,0
SPL_MV,D,20070917,000000,11586.9,11586.9,11586.9,11586.9,0,0
SPL_MV,D,20070918,000000,11681.7,11681.7,11681.7,11681.7,0,0
SPL_MV,D,20070919,000000,11897.3,11897.3,11897.3,11897.3,0,0
SPL_MV,D,20070920,000000,11983.4,11983.4,11983.4,11983.4,0,0
SPL_MV,D,20070921,000000,11401.5,11401.5,11401.5,11401.5,0,0
SPL_MV,D,20070924,000000,11298.1,11298.1,11298.1,11298.1,0,0
SPL_MV,D,20070925,000000,10996.4,10996.4,10996.4,10996.4,0,0
SPL_MV,D,20070926,000000,10966.2,10966.2,10966.2,10966.2,0,0
SPL_MV,D,20070927,000000,11164.5,11164.5,11164.5,11164.5,0,0
SPL_MV,D,20070928,000000,10905.8,10905.8,10905.8,10905.8,0,0
SPL_MV,D,20071001,000000,10905.8,10905.8,10905.8,10905.8,0,0
SPL_MV,D,20071002,000000,11293.8,11293.8,11293.8,11293.8,0,0
SPL_MV,D,20071003,000000,11423.1,11423.1,11423.1,11423.1,0,0
SPL_MV,D,20071004,000000,11548.1,11548.1,11548.1,11548.1,0,0
SPL_MV,D,20071005,000000,11854.2,11854.2,11854.2,11854.2,0,0
SPL_MV,D,20071008,000000,11940.3,11940.3,11940.3,11940.3,0,0
SPL_MV,D,20071009,000000,12263.6,12263.6,12263.6,12263.6,0,0
SPL_MV,D,20071010,000000,12048.1,12048.1,12048.1,12048.1,0,0
SPL_MV,D,20071011,000000,12285.2,12285.2,12285.2,12285.2,0,0
SPL_MV,D,20071012,000000,12069.6,12069.6,12069.6,12069.6,0,0
SPL_MV,D,20071015,000000,12285.2,12285.2,12285.2,12285.2,0,0
SPL_MV,D,20071016,000000,11918.8,11918.8,11918.8,11918.8,0,0
SPL_MV,D,20071017,000000,12061,12061,12061,12061,0,0
SPL_MV,D,20071018,000000,11574,11574,11574,11574,0,0
SPL_MV,D,20071019,000000,11854.2,11854.2,11854.2,11854.2,0,0
SPL_MV,D,20071022,000000,11474.7,11474.7,11474.7,11474.7,0,0
SPL_MV,D,20071023,000000,11720.5,11720.5,11720.5,11720.5,0,0
SPL_MV,D,20071024,000000,11526.5,11526.5,11526.5,11526.5,0,0
SPL_MV,D,20071025,000000,11595.5,11595.5,11595.5,11595.5,0,0
SPL_MV,D,20071026,000000,11466.1,11466.1,11466.1,11466.1,0,0
SPL_MV,D,20071029,000000,11642.9,11642.9,11642.9,11642.9,0,0
SPL_MV,D,20071030,000000,11849.7,11849.7,11849.7,11849.7,0,0
SPL_MV,D,20071031,000000,11974.8,11974.8,11974.8,11974.8,0,0
SPL_MV,D,20071102,000000,11578.3,11578.3,11578.3,11578.3,0,0
SPL_MV,D,20071105,000000,11293.8,11293.8,11293.8,11293.8,0,0
SPL_MV,D,20071106,000000,11250.6,11250.6,11250.6,11250.6,0,0
SPL_MV,D,20071107,000000,11250.6,11250.6,11250.6,11250.6,0,0
SPL_MV,D,20071108,000000,11086.8,11086.8,11086.8,11086.8,0,0
SPL_MV,D,20071109,000000,11198.9,11198.9,10595.4,10698.9,0,0
SPL_MV,D,20071112,000000,10539.4,10776.5,10444.6,10517.8,0,0
SPL_MV,D,20071113,000000,10517.8,10647.1,10483.4,10647.1,0,0
SPL_MV,D,20071114,000000,10823.9,10823.9,10384.3,10410.1,0,0
SPL_MV,D,20071115,000000,10410.1,10500.6,10129.9,10345.4,0,0
SPL_MV,D,20071116,000000,10129.9,10690.3,10129.9,10647.1,0,0
SPL_MV,D,20071119,000000,10772.1,10772.1,10371.3,10474.8,0,0
SPL_MV,D,20071120,000000,10548,10798,10345.4,10798,0,0
SPL_MV,D,20071121,000000,10560.9,11035.1,10560.9,10767.8,0,0
SPL_MV,D,20071122,000000,10733.3,10948.9,10604,10733.3,0,0
SPL_MV,D,20071123,000000,10819.6,10858.4,10690.3,10690.3,0,0
SPL_MV,D,20071126,000000,10798,10798,10371.3,10431.6,0,0
SPL_MV,D,20071127,000000,10410.1,10552.4,10203.2,10535,0,0
SPL_MV,D,20071128,000000,10474.8,10685.9,10431.6,10560.9,0,0
SPL_MV,D,20071129,000000,10819.6,10936,10698.9,10793.7,0,0
SPL_MV,D,20071130,000000,10884.3,10884.3,10129.9,10129.9,0,0
SPL_MV,D,20071203,000000,10427.3,10474.8,10259.2,10354.1,0,0
SPL_MV,D,20071204,000000,10457.4,10504.9,10263.5,10345.4,0,0
SPL_MV,D,20071205,000000,10431.6,10556.6,10375.6,10479.1,0,0
SPL_MV,D,20071206,000000,10565.2,10711.7,10556.6,10655.7,0,0
SPL_MV,D,20071207,000000,10733.3,11099.8,10733.3,11099.8,0,0
SPL_MV,D,20071210,000000,11078.2,11380,11078.2,11380,0,0
SPL_MV,D,20071211,000000,11125.7,11311,11104.2,11164.5,0,0
