<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STF_PE,D,20070813,000000,13.0988,13.0988,13.0988,13.0988,0,0
STF_PE,D,20070814,000000,12.5754,12.5754,12.5754,12.5754,0,0
STF_PE,D,20070816,000000,10.6327,10.6327,10.6327,10.6327,0,0
STF_PE,D,20070817,000000,9.98483,9.98483,9.98483,9.98483,0,0
STF_PE,D,20070820,000000,9.98483,9.98483,9.98483,9.98483,0,0
STF_PE,D,20070821,000000,9.27205,9.27205,9.27205,9.27205,0,0
STF_PE,D,20070822,000000,9.53618,9.53618,9.53618,9.53618,0,0
STF_PE,D,20070823,000000,9.91995,9.91995,9.91995,9.91995,0,0
STF_PE,D,20070824,000000,10.3091,10.3091,10.3091,10.3091,0,0
STF_PE,D,20070827,000000,10.9577,10.9577,10.9577,10.9577,0,0
STF_PE,D,20070828,000000,10.5669,10.5669,10.5669,10.5669,0,0
STF_PE,D,20070829,000000,10.5075,10.5075,10.5075,10.5075,0,0
STF_PE,D,20070830,000000,10.5075,10.5075,10.5075,10.5075,0,0
STF_PE,D,20070831,000000,10.6999,10.6999,10.6999,10.6999,0,0
STF_PE,D,20070903,000000,11.2805,11.2805,11.2805,11.2805,0,0
STF_PE,D,20070904,000000,11.3476,11.3476,11.3476,11.3476,0,0
STF_PE,D,20070905,000000,11.3476,11.3476,11.3476,11.3476,0,0
STF_PE,D,20070906,000000,11.0225,11.0225,11.0225,11.0225,0,0
STF_PE,D,20070907,000000,10.6327,10.6327,10.6327,10.6327,0,0
STF_PE,D,20070910,000000,10.4403,10.4403,10.4403,10.4403,0,0
STF_PE,D,20070911,000000,10.5075,10.5075,10.5075,10.5075,0,0
STF_PE,D,20070912,000000,10.4403,10.4403,10.4403,10.4403,0,0
STF_PE,D,20070913,000000,10.4403,10.4403,10.4403,10.4403,0,0
STF_PE,D,20070914,000000,10.5669,10.5669,10.5669,10.5669,0,0
STF_PE,D,20070917,000000,10.5075,10.5075,10.5075,10.5075,0,0
STF_PE,D,20070918,000000,10.5075,10.5075,10.5075,10.5075,0,0
STF_PE,D,20070919,000000,11.4133,11.4133,11.4133,11.4133,0,0
STF_PE,D,20070920,000000,11.221,11.221,11.221,11.221,0,0
STF_PE,D,20070921,000000,11.2805,11.2805,11.2805,11.2805,0,0
STF_PE,D,20070924,000000,10.9577,10.9577,10.9577,10.9577,0,0
STF_PE,D,20070925,000000,11.1546,11.1546,11.1546,11.1546,0,0
STF_PE,D,20070926,000000,10.8975,10.8975,10.8975,10.8975,0,0
STF_PE,D,20070927,000000,10.8975,10.8975,10.8975,10.8975,0,0
STF_PE,D,20070928,000000,10.8318,10.8318,10.8318,10.8318,0,0
STF_PE,D,20071001,000000,10.2426,10.2426,10.2426,10.2426,0,0
STF_PE,D,20071002,000000,9.98483,9.98483,9.98483,9.98483,0,0
STF_PE,D,20071003,000000,10.0512,10.0512,10.0512,10.0512,0,0
STF_PE,D,20071004,000000,9.91995,9.91995,9.91995,9.91995,0,0
STF_PE,D,20071005,000000,10.3755,10.3755,10.3755,10.3755,0,0
STF_PE,D,20071008,000000,10.5669,10.5669,10.5669,10.5669,0,0
STF_PE,D,20071009,000000,10.7646,10.7646,10.7646,10.7646,0,0
STF_PE,D,20071010,000000,10.7646,10.7646,10.7646,10.7646,0,0
STF_PE,D,20071011,000000,11.0225,11.0225,11.0225,11.0225,0,0
STF_PE,D,20071012,000000,10.8975,10.8975,10.8975,10.8975,0,0
STF_PE,D,20071015,000000,10.9577,10.9577,10.9577,10.9577,0,0
STF_PE,D,20071016,000000,10.8975,10.8975,10.8975,10.8975,0,0
STF_PE,D,20071017,000000,11.221,11.221,11.221,11.221,0,0
STF_PE,D,20071018,000000,11.4788,11.4788,11.4788,11.4788,0,0
STF_PE,D,20071019,000000,11.5462,11.5462,11.5462,11.5462,0,0
STF_PE,D,20071022,000000,11.2805,11.2805,11.2805,11.2805,0,0
STF_PE,D,20071023,000000,11.9955,11.9955,11.9955,11.9955,0,0
STF_PE,D,20071024,000000,11.6711,11.6711,11.6711,11.6711,0,0
STF_PE,D,20071025,000000,11.2805,11.2805,11.2805,11.2805,0,0
STF_PE,D,20071026,000000,11.221,11.221,11.221,11.221,0,0
STF_PE,D,20071029,000000,11.1546,11.1546,11.1546,11.1546,0,0
STF_PE,D,20071030,000000,10.9577,10.9577,10.9577,10.9577,0,0
STF_PE,D,20071031,000000,10.9577,10.9577,10.9577,10.9577,0,0
STF_PE,D,20071102,000000,10.5669,10.5669,10.5669,10.5669,0,0
STF_PE,D,20071105,000000,10.0512,10.0512,10.0512,10.0512,0,0
STF_PE,D,20071106,000000,9.21103,9.21103,9.21103,9.21103,0,0
STF_PE,D,20071107,000000,8.68828,8.68828,8.68828,8.68828,0,0
STF_PE,D,20071108,000000,8.29838,8.29838,8.29838,8.29838,0,0
STF_PE,D,20071109,000000,8.82193,8.82193,7.84822,7.90999,0,0
STF_PE,D,20071112,000000,8.04048,8.04048,7.78336,7.84822,0,0
STF_PE,D,20071113,000000,7.84822,8.04048,7.78336,7.90999,0,0
STF_PE,D,20071114,000000,8.17407,8.17407,7.52468,7.78336,0,0
STF_PE,D,20071115,000000,7.58567,8.88752,6.81067,8.88752,0,0
STF_PE,D,20071116,000000,8.7555,8.88752,8.17407,8.68828,0,0
STF_PE,D,20071119,000000,8.68828,8.68828,8.10767,8.10767,0,0
STF_PE,D,20071120,000000,8.17407,8.17407,7.64977,8.04048,0,0
STF_PE,D,20071121,000000,7.58567,7.58567,7.58567,7.58567,0,0
STF_PE,D,20071122,000000,7.58567,8.10767,7.20069,7.90999,0,0
STF_PE,D,20071123,000000,8.17407,8.23352,7.97485,8.04048,0,0
STF_PE,D,20071126,000000,8.49605,8.94698,8.49605,8.55783,0,0
STF_PE,D,20071127,000000,8.36401,8.68828,8.29838,8.43119,0,0
STF_PE,D,20071128,000000,8.88752,9.07823,8.49605,9.01188,0,0
STF_PE,D,20071129,000000,9.21103,9.40262,9.01188,9.27205,0,0
STF_PE,D,20071130,000000,9.33616,9.98483,9.33616,9.91995,0,0
STF_PE,D,20071203,000000,9.98483,10.5669,9.98483,10.4403,0,0
STF_PE,D,20071204,000000,10.3091,10.3091,9.91995,9.91995,0,0
STF_PE,D,20071205,000000,10.0512,10.5669,10.0512,10.5669,0,0
STF_PE,D,20071206,000000,10.8318,11.1546,10.6999,10.9577,0,0
STF_PE,D,20071207,000000,11.1546,11.1546,10.5669,10.9577,0,0
STF_PE,D,20071210,000000,10.8975,10.8975,10.6999,10.7646,0,0
STF_PE,D,20071211,000000,10.6999,10.6999,10.1168,10.5669,0,0
STF_PE,D,20071212,000000,10.2426,10.3091,10.1168,10.3091,0,0
STF_PE,D,20071213,000000,10.3091,10.3091,9.85893,9.85893,0,0
STF_PE,D,20071214,000000,10.1168,10.1168,9.46973,9.59482,0,0
STF_PE,D,20071217,000000,9.59482,9.59482,9.21103,9.46973,0,0
STF_PE,D,20071218,000000,9.27205,9.27205,8.94698,9.14468,0,0
STF_PE,D,20071219,000000,9.21103,9.21103,8.82193,8.94698,0,0
STF_PE,D,20071220,000000,8.62348,8.88752,8.62348,8.82193,0,0
STF_PE,D,20071221,000000,8.7555,9.14468,8.7555,8.94698,0,0
STF_PE,D,20071227,000000,9.01188,9.07823,9.01188,9.01188,0,0
STF_PE,D,20071228,000000,9.07823,9.07823,8.94698,9.01188,0,0
STF_PE,D,20080102,000000,9.07823,9.14468,8.94698,9.14468,0,0
STF_PE,D,20080103,000000,9.01188,10.0512,8.7555,10.0512,0,0
STF_PE,D,20080104,000000,10.5075,10.5075,9.66044,9.66044,0,0
STF_PE,D,20080107,000000,9.33616,9.40262,9.14468,9.21103,0,0
STF_PE,D,20080108,000000,9.21103,9.21103,8.94698,8.94698,0,0
STF_PE,D,20080109,000000,8.7555,8.7555,8.23352,8.36401,0,0
STF_PE,D,20080110,000000,8.10767,8.10767,7.90999,8.10767,0,0
STF_PE,D,20080111,000000,7.97485,8.23352,7.78336,8.10767,0,0
STF_PE,D,20080114,000000,8.43119,8.43119,8.43119,8.43119,0,0
STF_PE,D,20080115,000000,8.29838,8.29838,7.78336,7.78336,0,0
STF_PE,D,20080116,000000,7.45982,7.45982,7.06787,7.32608,0,0
STF_PE,D,20080117,000000,7.58567,7.58567,7.32608,7.52468,0,0
STF_PE,D,20080118,000000,7.39265,7.90999,7.32608,7.52468,0,0
STF_PE,D,20080121,000000,7.32608,7.58567,6.937,6.937,0,0
STF_PE,D,20080122,000000,6.48675,6.87637,6.48675,6.67869,0,0
STF_PE,D,20080123,000000,6.87637,7.06787,6.61245,6.74481,0,0
STF_PE,D,20080124,000000,7.06787,7.45982,7.06787,7.45982,0,0
STF_PE,D,20080125,000000,7.64977,7.78336,7.52468,7.78336,0,0
STF_PE,D,20080128,000000,7.20069,7.52468,7.20069,7.32608,0,0
STF_PE,D,20080129,000000,7.45982,7.97485,7.45982,7.84822,0,0
STF_PE,D,20080130,000000,7.84822,7.90999,7.64977,7.78336,0,0
STF_PE,D,20080131,000000,7.78336,8.17407,7.78336,8.04048,0,0
STF_PE,D,20080201,000000,8.23352,8.55783,8.23352,8.49605,0,0
STF_PE,D,20080204,000000,8.62348,8.82193,8.36401,8.43119,0,0
STF_PE,D,20080205,000000,8.17407,8.36401,8.10767,8.36401,0,0
STF_PE,D,20080206,000000,7.97485,8.62348,7.97485,8.29838,0,0
STF_PE,D,20080207,000000,8.29838,8.36401,7.90999,8.23352,0,0
STF_PE,D,20080208,000000,8.29838,8.36401,8.10767,8.29838,0,0
STF_PE,D,20080211,000000,8.29838,8.43119,8.29838,8.36401,0,0
STF_PE,D,20080212,000000,8.62348,8.62348,8.36401,8.43119,0,0
STF_PE,D,20080213,000000,8.43119,8.7555,8.23352,8.7555,0,0
STF_PE,D,20080214,000000,8.82193,9.14468,8.82193,9.01188,0,0
