<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STP_MV,D,20070813,000000,4936.1,4936.1,4936.1,4936.1,0,0
STP_MV,D,20070814,000000,4936.1,4936.1,4936.1,4936.1,0,0
STP_MV,D,20070816,000000,4705.92,4705.92,4705.92,4705.92,0,0
STP_MV,D,20070817,000000,4859.38,4859.38,4859.38,4859.38,0,0
STP_MV,D,20070820,000000,4961.68,4961.68,4961.68,4961.68,0,0
STP_MV,D,20070821,000000,4777.53,4777.53,4777.53,4777.53,0,0
STP_MV,D,20070822,000000,5191.86,5191.86,5191.86,5191.86,0,0
STP_MV,D,20070823,000000,5166.28,5166.28,5166.28,5166.28,0,0
STP_MV,D,20070824,000000,5166.28,5166.28,5166.28,5166.28,0,0
STP_MV,D,20070827,000000,5166.28,5166.28,5166.28,5166.28,0,0
STP_MV,D,20070828,000000,5125.37,5125.37,5125.37,5125.37,0,0
STP_MV,D,20070829,000000,5166.28,5166.28,5166.28,5166.28,0,0
STP_MV,D,20070830,000000,5115.13,5115.13,5115.13,5115.13,0,0
STP_MV,D,20070831,000000,5181.64,5181.64,5181.64,5181.64,0,0
STP_MV,D,20070903,000000,5447.62,5447.62,5447.62,5447.62,0,0
STP_MV,D,20070904,000000,5422.04,5422.04,5422.04,5422.04,0,0
STP_MV,D,20070905,000000,5324.86,5324.86,5324.86,5324.86,0,0
STP_MV,D,20070906,000000,5455.28,5455.28,5455.28,5455.28,0,0
STP_MV,D,20070907,000000,5294.17,5294.17,5294.17,5294.17,0,0
STP_MV,D,20070910,000000,5294.17,5294.17,5294.17,5294.17,0,0
STP_MV,D,20070911,000000,5345.33,5345.33,5345.33,5345.33,0,0
STP_MV,D,20070912,000000,5396.97,5396.97,5396.97,5396.97,0,0
STP_MV,D,20070913,000000,5371.13,5371.13,5371.13,5371.13,0,0
STP_MV,D,20070914,000000,5360.8,5360.8,5360.8,5360.8,0,0
STP_MV,D,20070917,000000,5350.47,5350.47,5350.47,5350.47,0,0
STP_MV,D,20070918,000000,5417.62,5417.62,5417.62,5417.62,0,0
STP_MV,D,20070919,000000,5624.2,5624.2,5624.2,5624.2,0,0
STP_MV,D,20070920,000000,5577.7,5577.7,5577.7,5577.7,0,0
STP_MV,D,20070921,000000,5634.52,5634.52,5634.52,5634.52,0,0
STP_MV,D,20070924,000000,5629.36,5629.36,5629.36,5629.36,0,0
STP_MV,D,20070925,000000,5497.65,5497.65,5497.65,5497.65,0,0
STP_MV,D,20070926,000000,5422.78,5422.78,5422.78,5422.78,0,0
STP_MV,D,20070927,000000,5319.48,5319.48,5319.48,5319.48,0,0
STP_MV,D,20070928,000000,5164.55,5164.55,5164.55,5164.55,0,0
STP_MV,D,20071001,000000,5097.42,5097.42,5097.42,5097.42,0,0
STP_MV,D,20071002,000000,5159.4,5159.4,5159.4,5159.4,0,0
STP_MV,D,20071003,000000,5076.75,5076.75,5076.75,5076.75,0,0
STP_MV,D,20071004,000000,5076.75,5076.75,5076.75,5076.75,0,0
STP_MV,D,20071005,000000,5211.03,5211.03,5211.03,5211.03,0,0
STP_MV,D,20071008,000000,5112.91,5112.91,5112.91,5112.91,0,0
STP_MV,D,20071009,000000,5242.02,5242.02,5242.02,5242.02,0,0
STP_MV,D,20071010,000000,5252.36,5252.36,5252.36,5252.36,0,0
STP_MV,D,20071011,000000,5544.15,5544.15,5544.15,5544.15,0,0
STP_MV,D,20071012,000000,5412.44,5412.44,5412.44,5412.44,0,0
STP_MV,D,20071015,000000,5474.42,5474.42,5474.42,5474.42,0,0
STP_MV,D,20071016,000000,5319.48,5319.48,5319.48,5319.48,0,0
STP_MV,D,20071017,000000,5319.48,5319.48,5319.48,5319.48,0,0
STP_MV,D,20071018,000000,5174.88,5174.88,5174.88,5174.88,0,0
STP_MV,D,20071019,000000,5205.89,5205.89,5205.89,5205.89,0,0
STP_MV,D,20071022,000000,5203.28,5203.28,5203.28,5203.28,0,0
