<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STP_PE,D,20070813,000000,13.9928,13.9928,13.9928,13.9928,0,0
STP_PE,D,20070814,000000,13.9928,13.9928,13.9928,13.9928,0,0
STP_PE,D,20070816,000000,13.3884,13.3884,13.3884,13.3884,0,0
STP_PE,D,20070817,000000,13.7649,13.7649,13.7649,13.7649,0,0
STP_PE,D,20070820,000000,14.0723,14.0723,14.0723,14.0723,0,0
STP_PE,D,20070821,000000,13.5368,13.5368,13.5368,13.5368,0,0
STP_PE,D,20070822,000000,14.7537,14.7537,14.7537,14.7537,0,0
STP_PE,D,20070823,000000,14.6829,14.6829,14.6829,14.6829,0,0
STP_PE,D,20070824,000000,14.6829,14.6829,14.6829,14.6829,0,0
STP_PE,D,20070827,000000,14.6829,14.6829,14.6829,14.6829,0,0
STP_PE,D,20070828,000000,14.5265,14.5265,14.5265,14.5265,0,0
STP_PE,D,20070829,000000,14.6829,14.6829,14.6829,14.6829,0,0
STP_PE,D,20070830,000000,15.138,15.138,15.138,15.138,0,0
STP_PE,D,20070831,000000,15.2892,15.2892,15.2892,15.2892,0,0
STP_PE,D,20070903,000000,16.1287,16.1287,16.1287,16.1287,0,0
STP_PE,D,20070904,000000,16.0491,16.0491,16.0491,16.0491,0,0
STP_PE,D,20070905,000000,15.7424,15.7424,15.7424,15.7424,0,0
STP_PE,D,20070906,000000,16.1287,16.1287,16.1287,16.1287,0,0
STP_PE,D,20070907,000000,15.6656,15.6656,15.6656,15.6656,0,0
STP_PE,D,20070910,000000,15.6656,15.6656,15.6656,15.6656,0,0
STP_PE,D,20070911,000000,15.822,15.822,15.822,15.822,0,0
STP_PE,D,20070912,000000,15.9723,15.9723,15.9723,15.9723,0,0
STP_PE,D,20070913,000000,15.9006,15.9006,15.9006,15.9006,0,0
STP_PE,D,20070914,000000,15.822,15.822,15.822,15.822,0,0
STP_PE,D,20070917,000000,15.822,15.822,15.822,15.822,0,0
STP_PE,D,20070918,000000,16.0491,16.0491,16.0491,16.0491,0,0
STP_PE,D,20070919,000000,16.6623,16.6623,16.6623,16.6623,0,0
STP_PE,D,20070920,000000,16.513,16.513,16.513,16.513,0,0
STP_PE,D,20070921,000000,16.6623,16.6623,16.6623,16.6623,0,0
STP_PE,D,20070924,000000,16.6623,16.6623,16.6623,16.6623,0,0
STP_PE,D,20070925,000000,16.2771,16.2771,16.2771,16.2771,0,0
STP_PE,D,20070926,000000,16.0491,16.0491,16.0491,16.0491,0,0
STP_PE,D,20070927,000000,15.7424,15.7424,15.7424,15.7424,0,0
STP_PE,D,20070928,000000,15.2803,15.2803,15.2803,15.2803,0,0
STP_PE,D,20071001,000000,15.0523,15.0523,15.0523,15.0523,0,0
STP_PE,D,20071002,000000,15.2803,15.2803,15.2803,15.2803,0,0
STP_PE,D,20071003,000000,14.9754,14.9754,14.9754,14.9754,0,0
STP_PE,D,20071004,000000,14.9754,14.9754,14.9754,14.9754,0,0
STP_PE,D,20071005,000000,15.4385,15.4385,15.4385,15.4385,0,0
STP_PE,D,20071008,000000,15.13,15.13,15.13,15.13,0,0
STP_PE,D,20071009,000000,15.5163,15.5163,15.5163,15.5163,0,0
STP_PE,D,20071010,000000,15.5163,15.5163,15.5163,15.5163,0,0
STP_PE,D,20071011,000000,16.3566,16.3566,16.3566,16.3566,0,0
STP_PE,D,20071012,000000,15.9723,15.9723,15.9723,15.9723,0,0
STP_PE,D,20071015,000000,16.2072,16.2072,16.2072,16.2072,0,0
STP_PE,D,20071016,000000,15.7424,15.7424,15.7424,15.7424,0,0
STP_PE,D,20071017,000000,15.7424,15.7424,15.7424,15.7424,0,0
STP_PE,D,20071018,000000,15.2803,15.2803,15.2803,15.2803,0,0
STP_PE,D,20071019,000000,15.3589,15.3589,15.3589,15.3589,0,0
STP_PE,D,20071022,000000,15.3589,15.3589,15.3589,15.3589,0,0
STP_PE,D,20071023,000000,15.3589,15.3589,15.3589,15.3589,0,0
STP_PE,D,20071024,000000,14.9754,14.9754,14.9754,14.9754,0,0
STP_PE,D,20071025,000000,14.5115,14.5115,14.5115,14.5115,0,0
STP_PE,D,20071026,000000,13.749,13.749,13.749,13.749,0,0
STP_PE,D,20071029,000000,14.1333,14.1333,14.1333,14.1333,0,0
STP_PE,D,20071030,000000,14.1333,14.1333,14.1333,14.1333,0,0
STP_PE,D,20071031,000000,14.1333,14.1333,14.1333,14.1333,0,0
STP_PE,D,20071102,000000,14.1333,14.1333,14.1333,14.1333,0,0
STP_PE,D,20071105,000000,13.9769,13.9769,13.9769,13.9769,0,0
STP_PE,D,20071106,000000,13.9769,13.9769,13.9769,13.9769,0,0
STP_PE,D,20071107,000000,13.3627,13.3627,13.3627,13.3627,0,0
STP_PE,D,20071108,000000,13.749,13.749,13.749,13.749,0,0
STP_PE,D,20071109,000000,13.749,13.749,12.9792,13.286,0,0
STP_PE,D,20071112,000000,13.0596,13.286,12.822,12.9792,0,0
STP_PE,D,20071113,000000,12.6743,12.822,12.5162,12.7522,0,0
STP_PE,D,20071114,000000,12.822,12.822,12.3669,12.4376,0,0
STP_PE,D,20071115,000000,12.2096,12.4376,10.9848,11.2915,0,0
STP_PE,D,20071116,000000,10.8284,11.3613,10.2169,11.3613,0,0
STP_PE,D,20071119,000000,11.6768,11.6768,10.9848,11.2128,0,0
STP_PE,D,20071120,000000,11.0555,11.0555,11.0555,11.0555,0,0
STP_PE,D,20071121,000000,10.444,11.0555,10.2938,11.0555,0,0
STP_PE,D,20071122,000000,11.0555,11.2128,10.6004,11.2128,0,0
STP_PE,D,20071123,000000,11.2915,11.5989,11.2915,11.4408,0,0
STP_PE,D,20071126,000000,12.054,12.054,11.2128,11.3613,0,0
STP_PE,D,20071127,000000,11.1341,11.2915,10.9848,11.0555,0,0
STP_PE,D,20071128,000000,11.4408,11.5989,11.2915,11.3613,0,0
STP_PE,D,20071129,000000,11.9057,11.9057,11.5989,11.9057,0,0
STP_PE,D,20071130,000000,11.9057,12.9015,11.9057,12.822,0,0
STP_PE,D,20071203,000000,12.822,12.822,12.29,12.29,0,0
STP_PE,D,20071204,000000,12.4376,12.5948,12.054,12.054,0,0
STP_PE,D,20071205,000000,12.29,12.5162,12.1318,12.4376,0,0
STP_PE,D,20071206,000000,12.6743,12.6743,12.4376,12.5948,0,0
STP_PE,D,20071207,000000,12.5162,12.7522,12.5162,12.6743,0,0
STP_PE,D,20071210,000000,12.6743,12.6743,12.2096,12.6743,0,0
STP_PE,D,20071211,000000,12.6743,12.6743,11.9817,12.4376,0,0
STP_PE,D,20071212,000000,12.054,12.4376,11.9057,12.3669,0,0
STP_PE,D,20071213,000000,12.2096,12.3669,12.2096,12.3669,0,0
STP_PE,D,20071214,000000,12.29,12.5948,12.1318,12.5948,0,0
STP_PE,D,20071217,000000,12.2096,12.29,12.1318,12.2096,0,0
STP_PE,D,20071218,000000,12.2096,12.2096,11.9057,12.1318,0,0
STP_PE,D,20071219,000000,12.1318,12.4376,12.1318,12.4376,0,0
STP_PE,D,20071220,000000,12.29,12.4376,12.2096,12.4376,0,0
STP_PE,D,20071221,000000,12.4376,12.7522,12.4376,12.5162,0,0
STP_PE,D,20071227,000000,12.5948,12.5948,12.4376,12.5162,0,0
STP_PE,D,20071228,000000,12.3669,12.7522,11.3613,11.3613,0,0
STP_PE,D,20080102,000000,11.9817,12.4376,11.6768,12.054,0,0
STP_PE,D,20080103,000000,11.9817,12.2096,11.9057,12.1318,0,0
STP_PE,D,20080104,000000,12.2096,12.29,12.1318,12.2096,0,0
STP_PE,D,20080107,000000,12.1318,12.1318,11.5989,11.5989,0,0
STP_PE,D,20080108,000000,11.5989,11.5989,11.4408,11.5194,0,0
STP_PE,D,20080109,000000,11.5194,11.5194,10.8284,10.8284,0,0
STP_PE,D,20080110,000000,10.9848,10.9848,9.91024,10.0587,0,0
STP_PE,D,20080111,000000,10.0587,10.0587,9.67343,9.91024,0,0
STP_PE,D,20080114,000000,9.67343,9.67343,9.67343,9.67343,0,0
STP_PE,D,20080115,000000,9.75118,10.2169,9.06196,9.28908,0,0
STP_PE,D,20080116,000000,8.98243,9.13973,8.6758,8.91174,0,0
STP_PE,D,20080117,000000,8.98243,9.28908,8.98243,9.28908,0,0
STP_PE,D,20080118,000000,9.36775,9.44632,9.13973,9.28908,0,0
STP_PE,D,20080121,000000,9.22014,9.22014,9.06196,9.22014,0,0
STP_PE,D,20080122,000000,8.6758,9.13973,8.6758,9.06196,0,0
STP_PE,D,20080123,000000,9.22014,9.52416,9.06196,9.28908,0,0
STP_PE,D,20080124,000000,9.52416,10.2938,9.52416,10.2938,0,0
STP_PE,D,20080125,000000,10.6004,10.6711,10.1365,10.2938,0,0
STP_PE,D,20080128,000000,10.1365,10.2169,10.1365,10.2169,0,0
STP_PE,D,20080129,000000,10.3654,10.8284,10.3654,10.8284,0,0
STP_PE,D,20080130,000000,10.8284,11.2128,10.8284,11.1341,0,0
STP_PE,D,20080131,000000,11.2128,11.2915,11.1341,11.2915,0,0
STP_PE,D,20080201,000000,11.2915,12.054,11.2915,11.7457,0,0
STP_PE,D,20080204,000000,11.9817,12.2096,11.9817,11.9817,0,0
STP_PE,D,20080205,000000,12.1318,12.1318,11.4408,11.4408,0,0
STP_PE,D,20080206,000000,10.9848,11.6768,10.9848,11.6768,0,0
STP_PE,D,20080207,000000,11.5989,11.6768,11.5194,11.5989,0,0
STP_PE,D,20080208,000000,11.5989,11.9817,11.5989,11.7457,0,0
STP_PE,D,20080211,000000,11.7457,11.9057,11.7457,11.826,0,0
STP_PE,D,20080212,000000,11.826,12.054,11.826,12.054,0,0
STP_PE,D,20080213,000000,12.1318,12.2096,11.9817,12.1318,0,0
STP_PE,D,20080214,000000,12.4376,12.4376,12.1318,12.1318,0,0
STP_PE,D,20080215,000000,11.9057,12.1318,11.9057,12.1318,0,0
STP_PE,D,20080218,000000,12.1318,12.2096,12.054,12.1318,0,0
STP_PE,D,20080219,000000,12.1318,12.1318,11.9817,12.054,0,0
STP_PE,D,20080220,000000,12.054,12.054,11.826,12.054,0,0
STP_PE,D,20080221,000000,11.9057,12.054,11.9057,12.054,0,0
STP_PE,D,20080222,000000,11.9057,12.2096,11.9057,12.2096,0,0
STP_PE,D,20080225,000000,12.1318,12.4376,12.1318,12.29,0,0
STP_PE,D,20080226,000000,12.29,12.4376,12.2096,12.4376,0,0
STP_PE,D,20080227,000000,12.4376,12.5162,12.29,12.3669,0,0
STP_PE,D,20080228,000000,12.4376,12.4376,11.9817,12.1318,0,0
STP_PE,D,20080229,000000,12.1318,12.1318,11.6768,11.6768,0,0
STP_PE,D,20080303,000000,11.6768,11.6768,11.3613,11.5989,0,0
STP_PE,D,20080304,000000,11.3613,11.5989,11.3613,11.3613,0,0
STP_PE,D,20080305,000000,11.3613,11.4408,11.2915,11.4408,0,0
STP_PE,D,20080306,000000,11.2915,11.5194,11.2915,11.5194,0,0
STP_PE,D,20080307,000000,11.2128,11.5194,11.0555,11.5194,0,0
STP_PE,D,20080310,000000,11.5194,11.5194,11.1341,11.5194,0,0
STP_PE,D,20080311,000000,11.1341,11.3613,11.1341,11.2128,0,0
STP_PE,D,20080312,000000,11.4408,11.4408,11.0555,11.3613,0,0
STP_PE,D,20080313,000000,11.1341,11.3613,10.9848,11.2915,0,0
STP_PE,D,20080314,000000,11.4408,11.5194,11.2128,11.2128,0,0
STP_PE,D,20080317,000000,10.9848,11.1341,10.9848,11.1341,0,0
STP_PE,D,20080318,000000,11.1341,11.3613,11.1341,11.3613,0,0
STP_PE,D,20080319,000000,11.4408,11.4408,10.9848,11.1341,0,0
STP_PE,D,20080320,000000,11.2128,11.3613,10.9848,11.1341,0,0
STP_PE,D,20080325,000000,11.3613,11.3613,11.3613,11.3613,0,0
STP_PE,D,20080326,000000,11.1341,11.2128,10.9848,11.2128,0,0
STP_PE,D,20080327,000000,11.2128,11.2915,11.0555,11.2915,0,0
STP_PE,D,20080328,000000,11.2915,11.2915,11.0555,11.2128,0,0
STP_PE,D,20080331,000000,11.0555,11.0555,11.0555,11.0555,0,0
STP_PE,D,20080401,000000,11.0555,11.0555,10.8284,10.9848,0,0
STP_PE,D,20080402,000000,11.1341,11.2128,10.9848,11.2128,0,0
STP_PE,D,20080403,000000,11.2128,11.2128,11.1341,11.2128,0,0
STP_PE,D,20080404,000000,11.2128,11.2128,10.907,10.907,0,0
STP_PE,D,20080407,000000,11.1341,11.1341,10.7498,10.907,0,0
STP_PE,D,20080408,000000,10.7498,10.8284,10.7498,10.7498,0,0
STP_PE,D,20080409,000000,10.7498,11.5194,10.7498,11.5194,0,0
STP_PE,D,20080410,000000,11.4408,11.5194,11.0555,11.0555,0,0
STP_PE,D,20080411,000000,11.0555,11.0555,10.9848,11.0555,0,0
STP_PE,D,20080414,000000,10.8284,11.0555,10.8284,11.0555,0,0
STP_PE,D,20080415,000000,10.9848,11.0555,10.9848,10.9848,0,0
STP_PE,D,20080416,000000,10.8284,10.9848,10.6711,10.9848,0,0
STP_PE,D,20080417,000000,10.8284,10.9848,10.6711,10.9848,0,0
STP_PE,D,20080418,000000,10.907,10.907,10.7498,10.907,0,0
STP_PE,D,20080421,000000,10.907,10.907,10.5218,10.7498,0,0
STP_PE,D,20080422,000000,10.7498,10.7498,10.444,10.444,0,0
STP_PE,D,20080423,000000,10.2938,10.2938,10.0587,10.1365,0,0
STP_PE,D,20080424,000000,10.2169,10.3654,10.2169,10.2938,0,0
STP_PE,D,20080425,000000,10.1365,10.2938,10.1365,10.2938,0,0
STP_PE,D,20080428,000000,10.0587,10.2938,9.97922,9.97922,0,0
STP_PE,D,20080429,000000,9.97922,10.2169,9.97922,10.2169,0,0
STP_PE,D,20080430,000000,9.97922,10.0587,9.91024,10.0587,0,0
STP_PE,D,20080505,000000,9.91024,9.97922,9.91024,9.91024,0,0
STP_PE,D,20080506,000000,9.91024,10.2169,9.83073,9.97922,0,0
STP_PE,D,20080507,000000,9.97922,10.2938,9.97922,10.2169,0,0
STP_PE,D,20080508,000000,10.1365,10.1365,9.97922,10.0587,0,0
STP_PE,D,20080509,000000,10.0587,10.2169,9.97922,9.97922,0,0
STP_PE,D,20080512,000000,9.91024,10.2938,9.91024,10.2938,0,0
STP_PE,D,20080513,000000,9.91024,10.0587,9.60273,9.60273,0,0
STP_PE,D,20080514,000000,9.83073,10.1365,9.83073,9.97922,0,0
STP_PE,D,20080515,000000,10.0587,10.2169,9.91024,9.91024,0,0
STP_PE,D,20080516,000000,9.97922,10.1365,9.91024,9.97922,0,0
STP_PE,D,20080519,000000,9.91024,10.2169,9.91024,10.2169,0,0
STP_PE,D,20080520,000000,10.2169,10.2169,10.0587,10.1365,0,0
STP_PE,D,20080521,000000,10.1365,10.1365,9.67343,9.75118,0,0
STP_PE,D,20080523,000000,9.75118,9.75118,9.60273,9.60273,0,0
STP_PE,D,20080526,000000,9.60273,9.75118,9.60273,9.60273,0,0
STP_PE,D,20080527,000000,9.67343,9.91024,9.60273,9.91024,0,0
STP_PE,D,20080528,000000,9.91024,9.91024,9.67343,9.91024,0,0
STP_PE,D,20080529,000000,9.75118,9.91024,9.28908,9.67343,0,0
STP_PE,D,20080530,000000,9.67343,9.91024,9.36775,9.91024,0,0
