<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STX_PB,D,20070813,000000,2.50216,2.50216,2.50216,2.50216,0,0
STX_PB,D,20070814,000000,2.33735,2.33735,2.33735,2.33735,0,0
STX_PB,D,20070816,000000,1.88928,1.88928,1.88928,1.88928,0,0
STX_PB,D,20070817,000000,1.85972,1.85972,1.85972,1.85972,0,0
STX_PB,D,20070820,000000,1.91891,1.91891,1.91891,1.91891,0,0
STX_PB,D,20070821,000000,1.80053,1.80053,1.80053,1.80053,0,0
STX_PB,D,20070822,000000,1.91044,1.91044,1.91044,1.91044,0,0
STX_PB,D,20070823,000000,1.3863,1.3863,1.3863,1.3863,0,0
STX_PB,D,20070824,000000,1.55118,1.55118,1.55118,1.55118,0,0
STX_PB,D,20070827,000000,1.55959,1.55959,1.55959,1.55959,0,0
STX_PB,D,20070828,000000,1.51736,1.51736,1.51736,1.51736,0,0
STX_PB,D,20070829,000000,1.61877,1.61877,1.61877,1.61877,0,0
STX_PB,D,20070830,000000,1.59769,1.59769,1.59769,1.59769,0,0
STX_PB,D,20070831,000000,1.6484,1.6484,1.6484,1.6484,0,0
STX_PB,D,20070903,000000,1.65261,1.65261,1.65261,1.65261,0,0
STX_PB,D,20070904,000000,1.66955,1.66955,1.66955,1.66955,0,0
STX_PB,D,20070905,000000,1.6061,1.6061,1.6061,1.6061,0,0
STX_PB,D,20070906,000000,1.55118,1.55118,1.55118,1.55118,0,0
STX_PB,D,20070907,000000,1.47098,1.47098,1.47098,1.47098,0,0
STX_PB,D,20070910,000000,1.42861,1.42861,1.42861,1.42861,0,0
STX_PB,D,20070911,000000,1.47511,1.47511,1.47511,1.47511,0,0
STX_PB,D,20070912,000000,1.45823,1.45823,1.45823,1.45823,0,0
STX_PB,D,20070913,000000,1.47931,1.47931,1.47931,1.47931,0,0
STX_PB,D,20070914,000000,1.47098,1.47098,1.47098,1.47098,0,0
STX_PB,D,20070917,000000,1.47511,1.47511,1.47511,1.47511,0,0
STX_PB,D,20070918,000000,1.5004,1.5004,1.5004,1.5004,0,0
STX_PB,D,20070919,000000,1.56813,1.56813,1.56813,1.56813,0,0
STX_PB,D,20070920,000000,1.52162,1.52162,1.52162,1.52162,0,0
STX_PB,D,20070921,000000,1.50474,1.50474,1.50474,1.50474,0,0
STX_PB,D,20070924,000000,1.46237,1.46237,1.46237,1.46237,0,0
STX_PB,D,20070925,000000,1.42861,1.42861,1.42861,1.42861,0,0
STX_PB,D,20070926,000000,1.41165,1.41165,1.41165,1.41165,0,0
STX_PB,D,20070927,000000,1.37362,1.37362,1.37362,1.37362,0,0
STX_PB,D,20070928,000000,1.36102,1.36102,1.36102,1.36102,0,0
STX_PB,D,20071001,000000,1.33145,1.33145,1.33145,1.33145,0,0
STX_PB,D,20071002,000000,1.3779,1.3779,1.3779,1.3779,0,0
STX_PB,D,20071003,000000,1.40325,1.40325,1.40325,1.40325,0,0
STX_PB,D,20071004,000000,1.3779,1.3779,1.3779,1.3779,0,0
STX_PB,D,20071005,000000,1.3779,1.3779,1.3779,1.3779,0,0
STX_PB,D,20071008,000000,1.39898,1.39898,1.39898,1.39898,0,0
STX_PB,D,20071009,000000,1.40325,1.40325,1.40325,1.40325,0,0
STX_PB,D,20071010,000000,1.39057,1.39057,1.39057,1.39057,0,0
STX_PB,D,20071011,000000,1.39484,1.39484,1.39484,1.39484,0,0
STX_PB,D,20071012,000000,1.3779,1.3779,1.3779,1.3779,0,0
STX_PB,D,20071015,000000,1.39484,1.39484,1.39484,1.39484,0,0
STX_PB,D,20071016,000000,1.3821,1.3821,1.3821,1.3821,0,0
STX_PB,D,20071017,000000,1.39484,1.39484,1.39484,1.39484,0,0
STX_PB,D,20071018,000000,1.35247,1.35247,1.35247,1.35247,0,0
STX_PB,D,20071019,000000,1.34833,1.34833,1.34833,1.34833,0,0
STX_PB,D,20071022,000000,1.3187,1.3187,1.3187,1.3187,0,0
STX_PB,D,20071023,000000,1.36102,1.36102,1.36102,1.36102,0,0
STX_PB,D,20071024,000000,1.33566,1.33566,1.33566,1.33566,0,0
STX_PB,D,20071025,000000,1.34833,1.34833,1.34833,1.34833,0,0
STX_PB,D,20071026,000000,1.35674,1.35674,1.35674,1.35674,0,0
STX_PB,D,20071029,000000,1.36102,1.36102,1.36102,1.36102,0,0
STX_PB,D,20071030,000000,1.37362,1.37362,1.37362,1.37362,0,0
STX_PB,D,20071031,000000,1.44135,1.44135,1.44135,1.44135,0,0
STX_PB,D,20071102,000000,1.56386,1.56386,1.56386,1.56386,0,0
STX_PB,D,20071105,000000,1.58494,1.58494,1.58494,1.58494,0,0
STX_PB,D,20071106,000000,1.54691,1.54691,1.54691,1.54691,0,0
STX_PB,D,20071107,000000,1.51736,1.51736,1.51736,1.51736,0,0
STX_PB,D,20071108,000000,1.53003,1.53003,1.53003,1.53003,0,0
STX_PB,D,20071109,000000,1.54691,1.55118,1.5004,1.52582,0,0
STX_PB,D,20071112,000000,1.50474,1.55959,1.47098,1.47098,0,0
STX_PB,D,20071113,000000,1.48352,1.5004,1.47098,1.48779,0,0
STX_PB,D,20071114,000000,1.51736,1.54278,1.44135,1.44135,0,0
STX_PB,D,20071115,000000,1.43702,1.45823,1.31443,1.31443,0,0
STX_PB,D,20071116,000000,1.31023,1.31443,1.20888,1.25539,0,0
STX_PB,D,20071119,000000,1.25952,1.25952,1.13274,1.13274,0,0
STX_PB,D,20071120,000000,1.02711,1.02711,1.02711,1.02711,0,0
STX_PB,D,20071121,000000,0.989016,1.00168,0.934165,0.946842,0,0
STX_PB,D,20071122,000000,0.946842,1.06095,0.904542,1.06095,0,0
STX_PB,D,20071123,000000,1.06936,1.07776,1.03979,1.04819,0,0
STX_PB,D,20071126,000000,1.06936,1.10318,1.01437,1.0524,0,0
STX_PB,D,20071127,000000,1.01437,1.06936,1.01437,1.02285,0,0
STX_PB,D,20071128,000000,1.044,1.10739,1.01858,1.10739,0,0
STX_PB,D,20071129,000000,1.17491,1.17491,1.11152,1.13694,0,0
STX_PB,D,20071130,000000,1.14542,1.18345,1.14542,1.17491,0,0
STX_PB,D,20071203,000000,1.17491,1.17925,1.14114,1.14962,0,0
STX_PB,D,20071204,000000,1.13694,1.14542,1.11152,1.11586,0,0
STX_PB,D,20071205,000000,1.13694,1.1581,1.13694,1.14962,0,0
STX_PB,D,20071206,000000,1.17491,1.17491,1.13694,1.13694,0,0
STX_PB,D,20071207,000000,1.14542,1.14542,1.12007,1.13694,0,0
STX_PB,D,20071210,000000,1.14114,1.17925,1.11152,1.14114,0,0
STX_PB,D,20071211,000000,1.14542,1.14542,1.11152,1.12007,0,0
STX_PB,D,20071212,000000,1.09891,1.12007,1.08623,1.09891,0,0
STX_PB,D,20071213,000000,1.09043,1.09043,1.044,1.044,0,0
STX_PB,D,20071214,000000,1.05667,1.06095,1.03552,1.03979,0,0
STX_PB,D,20071217,000000,1.02711,1.02711,0.972071,0.972071,0,0
STX_PB,D,20071218,000000,0.976339,1.01016,0.925562,1.00589,0,0
STX_PB,D,20071219,000000,1.01016,1.01437,0.989016,1.01016,0,0
STX_PB,D,20071220,000000,1.01437,1.03552,1.01016,1.02285,0,0
STX_PB,D,20071221,000000,1.03132,1.03132,0.993351,1.00589,0,0
STX_PB,D,20071227,000000,1.00589,1.044,1.00589,1.03552,0,0
STX_PB,D,20071228,000000,1.03552,1.06936,1.03552,1.05667,0,0
STX_PB,D,20080102,000000,1.07356,1.07356,1.03552,1.03979,0,0
STX_PB,D,20080103,000000,1.044,1.07776,1.00168,1.06936,0,0
STX_PB,D,20080104,000000,1.06936,1.07356,1.03132,1.03132,0,0
STX_PB,D,20080107,000000,1.01437,1.01437,0.993351,0.993351,0,0
STX_PB,D,20080108,000000,0.99756,1.01858,0.980606,1.01858,0,0
STX_PB,D,20080109,000000,1.00168,1.00168,0.929897,0.942507,0,0
STX_PB,D,20080110,000000,0.963653,0.963653,0.84949,0.883388,0,0
STX_PB,D,20080111,000000,0.896066,0.938231,0.866435,0.900266,0,0
STX_PB,D,20080114,000000,0.896066,0.896066,0.896066,0.896066,0,0
STX_PB,D,20080115,000000,0.900266,0.921487,0.866435,0.866435,0,0
STX_PB,D,20080116,000000,0.811522,0.853825,0.802981,0.824197,0,0
STX_PB,D,20080117,000000,0.853825,0.866435,0.841089,0.866435,0,0
STX_PB,D,20080118,000000,0.862234,0.917211,0.858034,0.917211,0,0
STX_PB,D,20080121,000000,0.870703,0.912944,0.845356,0.84949,0,0
STX_PB,D,20080122,000000,0.815728,0.858034,0.815728,0.853825,0,0
STX_PB,D,20080123,000000,0.883388,0.883388,0.828469,0.858034,0,0
STX_PB,D,20080124,000000,0.896066,0.912944,0.879121,0.904542,0,0
STX_PB,D,20080125,000000,0.929897,0.929897,0.896066,0.900266,0,0
STX_PB,D,20080128,000000,0.866435,0.874912,0.853825,0.853825,0,0
STX_PB,D,20080129,000000,0.874912,0.896066,0.874912,0.89179,0,0
STX_PB,D,20080130,000000,0.887597,0.896066,0.883388,0.883388,0,0
STX_PB,D,20080131,000000,0.883388,0.89179,0.84949,0.84949,0,0
STX_PB,D,20080201,000000,0.870703,1.10318,0.870703,1.10318,0,0
STX_PB,D,20080204,000000,1.09043,1.13274,1.06936,1.06936,0,0
STX_PB,D,20080205,000000,1.06095,1.10739,1.00589,1.01437,0,0
STX_PB,D,20080206,000000,0.993351,1.0947,0.984807,1.0947,0,0
STX_PB,D,20080207,000000,1.09043,1.19193,1.09043,1.17491,0,0
STX_PB,D,20080208,000000,1.22568,1.22568,1.16657,1.19193,0,0
STX_PB,D,20080211,000000,1.1962,1.27227,1.17925,1.21302,0,0
STX_PB,D,20080212,000000,1.24264,1.24691,1.22149,1.22149,0,0
STX_PB,D,20080213,000000,1.22149,1.23423,1.20041,1.20041,0,0
STX_PB,D,20080214,000000,1.23837,1.23837,1.20041,1.20461,0,0
STX_PB,D,20080215,000000,1.18765,1.20888,1.14542,1.16657,0,0
STX_PB,D,20080218,000000,1.18765,1.20888,1.16237,1.20888,0,0
STX_PB,D,20080219,000000,1.20041,1.25539,1.17084,1.24691,0,0
STX_PB,D,20080220,000000,1.22568,1.27227,1.22149,1.24691,0,0
STX_PB,D,20080221,000000,1.28067,1.30182,1.24691,1.2764,0,0
STX_PB,D,20080222,000000,1.268,1.28488,1.25539,1.25539,0,0
STX_PB,D,20080225,000000,1.28067,1.28067,1.22149,1.23837,0,0
STX_PB,D,20080226,000000,1.24264,1.24691,1.20461,1.20888,0,0
STX_PB,D,20080227,000000,1.22568,1.22568,1.16657,1.18765,0,0
STX_PB,D,20080228,000000,1.19193,1.19193,1.14542,1.14542,0,0
STX_PB,D,20080229,000000,1.12427,1.1581,1.00168,1.00168,0,0
STX_PB,D,20080303,000000,0.955252,0.955252,0.921487,0.934165,0,0
STX_PB,D,20080304,000000,0.950984,1.09043,0.934165,1.08623,0,0
