<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STX_PE,D,20070813,000000,11.4542,11.4542,11.4542,11.4542,0,0
STX_PE,D,20070814,000000,10.6936,10.6936,10.6936,10.6936,0,0
STX_PE,D,20070816,000000,8.66435,8.66435,8.66435,8.66435,0,0
STX_PE,D,20070817,000000,8.4949,8.4949,8.4949,8.4949,0,0
STX_PE,D,20070820,000000,8.79121,8.79121,8.79121,8.79121,0,0
STX_PE,D,20070821,000000,8.24197,8.24197,8.24197,8.24197,0,0
STX_PE,D,20070822,000000,8.74912,8.74912,8.74912,8.74912,0,0
STX_PE,D,20070823,000000,11.962,11.962,11.962,11.962,0,0
STX_PE,D,20070824,000000,13.3986,13.3986,13.3986,13.3986,0,0
STX_PE,D,20070827,000000,13.4833,13.4833,13.4833,13.4833,0,0
STX_PE,D,20070828,000000,13.1443,13.1443,13.1443,13.1443,0,0
STX_PE,D,20070829,000000,13.9898,13.9898,13.9898,13.9898,0,0
STX_PE,D,20070830,000000,14.92,14.92,14.92,14.92,0,0
STX_PE,D,20070831,000000,15.3851,15.3851,15.3851,15.3851,0,0
STX_PE,D,20070903,000000,15.4278,15.4278,15.4278,15.4278,0,0
STX_PE,D,20070904,000000,15.5959,15.5959,15.5959,15.5959,0,0
STX_PE,D,20070905,000000,15.004,15.004,15.004,15.004,0,0
STX_PE,D,20070906,000000,14.4968,14.4968,14.4968,14.4968,0,0
STX_PE,D,20070907,000000,13.7362,13.7362,13.7362,13.7362,0,0
STX_PE,D,20070910,000000,13.3145,13.3145,13.3145,13.3145,0,0
STX_PE,D,20070911,000000,13.779,13.779,13.779,13.779,0,0
STX_PE,D,20070912,000000,13.6521,13.6521,13.6521,13.6521,0,0
STX_PE,D,20070913,000000,13.821,13.821,13.821,13.821,0,0
STX_PE,D,20070914,000000,13.7362,13.7362,13.7362,13.7362,0,0
STX_PE,D,20070917,000000,13.821,13.821,13.821,13.821,0,0
STX_PE,D,20070918,000000,14.0325,14.0325,14.0325,14.0325,0,0
STX_PE,D,20070919,000000,14.6664,14.6664,14.6664,14.6664,0,0
STX_PE,D,20070920,000000,14.2013,14.2013,14.2013,14.2013,0,0
STX_PE,D,20070921,000000,14.0753,14.0753,14.0753,14.0753,0,0
STX_PE,D,20070924,000000,13.6521,13.6521,13.6521,13.6521,0,0
STX_PE,D,20070925,000000,13.3145,13.3145,13.3145,13.3145,0,0
STX_PE,D,20070926,000000,13.187,13.187,13.187,13.187,0,0
STX_PE,D,20070927,000000,12.8488,12.8488,12.8488,12.8488,0,0
STX_PE,D,20070928,000000,12.7227,12.7227,12.7227,12.7227,0,0
STX_PE,D,20071001,000000,12.4264,12.4264,12.4264,12.4264,0,0
STX_PE,D,20071002,000000,12.8488,12.8488,12.8488,12.8488,0,0
STX_PE,D,20071003,000000,13.1023,13.1023,13.1023,13.1023,0,0
STX_PE,D,20071004,000000,12.8488,12.8488,12.8488,12.8488,0,0
STX_PE,D,20071005,000000,12.8488,12.8488,12.8488,12.8488,0,0
STX_PE,D,20071008,000000,13.0603,13.0603,13.0603,13.0603,0,0
STX_PE,D,20071009,000000,13.1023,13.1023,13.1023,13.1023,0,0
STX_PE,D,20071010,000000,13.0182,13.0182,13.0182,13.0182,0,0
STX_PE,D,20071011,000000,13.0182,13.0182,13.0182,13.0182,0,0
STX_PE,D,20071012,000000,12.8488,12.8488,12.8488,12.8488,0,0
STX_PE,D,20071015,000000,13.0182,13.0182,13.0182,13.0182,0,0
STX_PE,D,20071016,000000,12.8915,12.8915,12.8915,12.8915,0,0
STX_PE,D,20071017,000000,13.0182,13.0182,13.0182,13.0182,0,0
STX_PE,D,20071018,000000,12.6372,12.6372,12.6372,12.6372,0,0
STX_PE,D,20071019,000000,12.5952,12.5952,12.5952,12.5952,0,0
STX_PE,D,20071022,000000,12.3423,12.3423,12.3423,12.3423,0,0
STX_PE,D,20071023,000000,12.7227,12.7227,12.7227,12.7227,0,0
STX_PE,D,20071024,000000,12.5105,12.5105,12.5105,12.5105,0,0
STX_PE,D,20071025,000000,12.5952,12.5952,12.5952,12.5952,0,0
STX_PE,D,20071026,000000,12.68,12.68,12.68,12.68,0,0
STX_PE,D,20071029,000000,12.7227,12.7227,12.7227,12.7227,0,0
STX_PE,D,20071030,000000,12.8488,12.8488,12.8488,12.8488,0,0
STX_PE,D,20071031,000000,13.4833,13.4833,13.4833,13.4833,0,0
STX_PE,D,20071102,000000,14.5823,14.5823,14.5823,14.5823,0,0
STX_PE,D,20071105,000000,33.3063,33.3063,33.3063,33.3063,0,0
STX_PE,D,20071106,000000,32.503,32.503,32.503,32.503,0,0
STX_PE,D,20071107,000000,31.8691,31.8691,31.8691,31.8691,0,0
STX_PE,D,20071108,000000,32.1646,32.1646,32.1646,32.1646,0,0
STX_PE,D,20071109,000000,32.503,32.587,31.5307,32.0379,0,0
STX_PE,D,20071112,000000,31.6155,32.7572,30.8969,30.8969,0,0
STX_PE,D,20071113,000000,31.1931,31.5307,30.8969,31.2772,0,0
STX_PE,D,20071114,000000,31.8691,32.4188,30.3049,30.3049,0,0
STX_PE,D,20071115,000000,30.2195,30.6433,27.6434,27.6434,0,0
STX_PE,D,20071116,000000,27.5579,27.6434,25.3593,27.6434,0,0
STX_PE,D,20080229,000000,20.3301,20.3301,20.3301,20.3301,0,0
STX_PE,D,20080303,000000,19.4006,19.4006,18.7667,18.9776,0,0
STX_PE,D,20080304,000000,19.3158,22.1478,18.9776,22.1057,0,0
STX_PE,D,20080305,000000,22.2745,22.2745,20.8372,21.1762,0,0
STX_PE,D,20080306,000000,21.1762,21.5972,20.7952,21.0915,0,0
STX_PE,D,20080307,000000,20.4575,21.387,20.2453,20.6677,0,0
STX_PE,D,20080310,000000,19.9498,21.0067,19.9498,20.4575,0,0
STX_PE,D,20080311,000000,20.5416,21.3023,20.5416,21.1762,0,0
STX_PE,D,20080312,000000,21.6827,21.6827,21.0915,21.5972,0,0
STX_PE,D,20080313,000000,21.1762,21.5972,20.162,20.2033,0,0
STX_PE,D,20080314,000000,20.499,21.6406,20.499,20.8799,0,0
STX_PE,D,20080317,000000,20.4575,21.1762,9.55252,9.55252,0,0
STX_PE,D,20080318,000000,9.76339,9.84807,9.67929,9.76339,0,0
STX_PE,D,20080319,000000,9.93351,9.93351,9.55252,9.59528,0,0
