<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEN_MV,D,20180511,000000,305.531,305.531,305.531,305.531,0,0
TEN_MV,D,20180514,000000,335.107,357.279,325.787,328.7,0,0
TEN_MV,D,20180515,000000,328.205,328.205,289.272,305.531,0,0
TEN_MV,D,20180516,000000,312.922,314.063,298.141,313.768,0,0
TEN_MV,D,20180517,000000,314.744,314.744,290.75,290.75,0,0
TEN_MV,D,20180518,000000,290.75,303.565,288.282,290.75,0,0
TEN_MV,D,20180521,000000,295.73,309.973,295.73,299.619,0,0
TEN_MV,D,20180522,000000,308,308,300.609,304.843,0,0
TEN_MV,D,20180523,000000,305.531,305.531,290.75,300.609,0,0
TEN_MV,D,20180524,000000,300.609,300.609,294.747,300.552,0,0
TEN_MV,D,20180525,000000,300.609,300.609,293.212,298.191,0,0
TEN_MV,D,20180528,000000,299.619,315.39,298.191,315.39,0,0
TEN_MV,D,20180529,000000,344.959,351.366,325.937,332.043,0,0
TEN_MV,D,20180530,000000,320.219,324.998,302.087,308,0,0
TEN_MV,D,20180601,000000,308,316.624,304.061,315.39,0,0
TEN_MV,D,20180604,000000,320.327,343.918,320.327,343.481,0,0
TEN_MV,D,20180605,000000,352.406,384.336,352.406,384.336,0,0
TEN_MV,D,20180606,000000,393.003,428.736,390.291,390.793,0,0
TEN_MV,D,20180607,000000,401.139,412.376,381.919,409.025,0,0
TEN_MV,D,20180608,000000,406.507,413.898,396.757,408.279,0,0
TEN_MV,D,20180611,000000,416.416,416.416,372.311,391.231,0,0
TEN_MV,D,20180612,000000,396.706,400.15,391.777,396.16,0,0
TEN_MV,D,20180613,000000,398.421,398.421,386.89,390.636,0,0
TEN_MV,D,20180614,000000,384.386,409.025,375.022,406.557,0,0
TEN_MV,D,20180615,000000,407.541,407.541,399.648,404.096,0,0
TEN_MV,D,20180618,000000,403.601,403.601,394.238,398.529,0,0
TEN_MV,D,20180619,000000,394.732,394.732,379.507,386.84,0,0
TEN_MV,D,20180620,000000,384.386,388.82,369.698,379.407,0,0
TEN_MV,D,20180621,000000,379.407,380.045,356.045,359.747,0,0
TEN_MV,D,20180622,000000,357.279,364.676,357.279,359.689,0,0
TEN_MV,D,20180625,000000,360.967,394.187,352.844,382.757,0,0
TEN_MV,D,20180626,000000,383.396,387.091,369.698,379.407,0,0
TEN_MV,D,20180627,000000,375.511,379.407,369.598,370.337,0,0
TEN_MV,D,20180628,000000,367.868,379.457,367.288,379.357,0,0
TEN_MV,D,20180629,000000,370.437,379.306,370.437,374.52,0,0
TEN_MV,D,20180702,000000,374.52,384.873,374.52,384.386,0,0
TEN_MV,D,20180703,000000,384.386,384.386,377.283,381.423,0,0
TEN_MV,D,20180704,000000,383.647,393.448,379.457,381.919,0,0
TEN_MV,D,20180705,000000,382.405,401.578,381.919,396.706,0,0
TEN_MV,D,20180706,000000,399.167,404.096,394.345,394.431,0,0
TEN_MV,D,20180709,000000,398.622,399.117,387.091,393.255,0,0
TEN_MV,D,20180710,000000,394.431,433.658,392.415,421.832,0,0
TEN_MV,D,20180711,000000,428.736,428.736,418.877,421.345,0,0
TEN_MV,D,20180712,000000,424.796,426.268,418.877,422.673,0,0
TEN_MV,D,20180713,000000,423.311,423.807,418.877,421.345,0,0
TEN_MV,D,20180716,000000,425.779,428.678,420.85,421.402,0,0
TEN_MV,D,20180717,000000,421.482,421.482,410.252,417.392,0,0
TEN_MV,D,20180718,000000,418.733,418.733,407.246,411.48,0,0
TEN_MV,D,20180719,000000,411.48,413.948,404.096,409.025,0,0
TEN_MV,D,20180720,000000,413.948,423.807,409.025,415.87,0,0
TEN_MV,D,20180723,000000,420.792,426.417,418.877,426.417,0,0
TEN_MV,D,20180724,000000,428.736,432.732,416.459,429.962,0,0
TEN_MV,D,20180725,000000,433.658,477.032,428.736,468.156,0,0
TEN_MV,D,20180726,000000,470.617,492.308,470.617,487.865,0,0
