<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLX_MV,D,20070813,000000,21.1131,21.1131,21.1131,21.1131,0,0
TLX_MV,D,20070814,000000,21.3766,21.3766,21.3766,21.3766,0,0
TLX_MV,D,20070816,000000,20.5579,20.5579,20.5579,20.5579,0,0
TLX_MV,D,20070817,000000,20.3218,20.3218,20.3218,20.3218,0,0
TLX_MV,D,20070820,000000,20.8252,20.8252,20.8252,20.8252,0,0
TLX_MV,D,20070821,000000,20.653,20.653,20.653,20.653,0,0
TLX_MV,D,20070822,000000,20.3218,20.3218,20.3218,20.3218,0,0
TLX_MV,D,20070823,000000,20.3867,20.3867,20.3867,20.3867,0,0
TLX_MV,D,20070824,000000,21.8386,21.8386,21.8386,21.8386,0,0
TLX_MV,D,20070827,000000,21.9317,21.9317,21.9317,21.9317,0,0
TLX_MV,D,20070828,000000,21.6419,21.6419,21.6419,21.6419,0,0
TLX_MV,D,20070829,000000,21.3766,21.3766,21.3766,21.3766,0,0
TLX_MV,D,20070830,000000,21.3766,21.3766,21.3766,21.3766,0,0
TLX_MV,D,20070831,000000,21.3766,21.3766,21.3766,21.3766,0,0
TLX_MV,D,20070903,000000,21.7078,21.7078,21.7078,21.7078,0,0
TLX_MV,D,20070904,000000,21.6937,21.6937,21.6937,21.6937,0,0
TLX_MV,D,20070905,000000,21.1376,21.1376,21.1376,21.1376,0,0
TLX_MV,D,20070906,000000,21.179,21.179,21.179,21.179,0,0
TLX_MV,D,20070907,000000,21.3766,21.3766,21.3766,21.3766,0,0
TLX_MV,D,20070910,000000,21.498,21.498,21.498,21.498,0,0
TLX_MV,D,20070911,000000,21.5647,21.5647,21.5647,21.5647,0,0
TLX_MV,D,20070912,000000,21.1131,21.1131,21.1131,21.1131,0,0
TLX_MV,D,20070913,000000,21.1131,21.1131,21.1131,21.1131,0,0
TLX_MV,D,20070914,000000,20.9136,20.9136,20.9136,20.9136,0,0
TLX_MV,D,20070917,000000,20.1383,20.1383,20.1383,20.1383,0,0
TLX_MV,D,20070918,000000,20.7179,20.7179,20.7179,20.7179,0,0
TLX_MV,D,20070919,000000,20.9842,20.9842,20.9842,20.9842,0,0
TLX_MV,D,20070920,000000,20.9842,20.9842,20.9842,20.9842,0,0
TLX_MV,D,20070921,000000,20.9701,20.9701,20.9701,20.9701,0,0
TLX_MV,D,20070924,000000,20.9842,20.9842,20.9842,20.9842,0,0
TLX_MV,D,20070925,000000,20.9842,20.9842,20.9842,20.9842,0,0
TLX_MV,D,20070926,000000,21.2599,21.2599,21.2599,21.2599,0,0
TLX_MV,D,20070927,000000,21.5864,21.5864,21.5864,21.5864,0,0
TLX_MV,D,20070928,000000,21.1131,21.1131,21.1131,21.1131,0,0
TLX_MV,D,20071001,000000,20.7179,20.7179,20.7179,20.7179,0,0
TLX_MV,D,20071002,000000,21.1131,21.1131,21.1131,21.1131,0,0
TLX_MV,D,20071003,000000,21.1131,21.1131,21.1131,21.1131,0,0
TLX_MV,D,20071004,000000,20.4573,20.4573,20.4573,20.4573,0,0
TLX_MV,D,20071005,000000,20.9701,20.9701,20.9701,20.9701,0,0
TLX_MV,D,20071008,000000,21.3107,21.3107,21.3107,21.3107,0,0
TLX_MV,D,20071009,000000,21.1131,21.1131,21.1131,21.1131,0,0
TLX_MV,D,20071010,000000,20.7687,20.7687,20.7687,20.7687,0,0
TLX_MV,D,20071011,000000,21.3766,21.3766,21.3766,21.3766,0,0
TLX_MV,D,20071012,000000,21.1291,21.1291,21.1291,21.1291,0,0
TLX_MV,D,20071015,000000,21.3766,21.3766,21.3766,21.3766,0,0
TLX_MV,D,20071016,000000,21.6419,21.6419,21.6419,21.6419,0,0
TLX_MV,D,20071017,000000,22.1284,22.1284,22.1284,22.1284,0,0
TLX_MV,D,20071018,000000,21.6015,21.6015,21.6015,21.6015,0,0
TLX_MV,D,20071019,000000,21.3766,21.3766,21.3766,21.3766,0,0
TLX_MV,D,20071022,000000,21.657,21.657,21.657,21.657,0,0
TLX_MV,D,20071023,000000,22.2357,22.2357,22.2357,22.2357,0,0
TLX_MV,D,20071024,000000,21.9703,21.9703,21.9703,21.9703,0,0
TLX_MV,D,20071025,000000,21.8809,21.8809,21.8809,21.8809,0,0
TLX_MV,D,20071026,000000,21.7464,21.7464,21.7464,21.7464,0,0
TLX_MV,D,20071029,000000,21.657,21.657,21.657,21.657,0,0
TLX_MV,D,20071030,000000,21.6419,21.6419,21.6419,21.6419,0,0
TLX_MV,D,20071031,000000,21.7736,21.7736,21.7736,21.7736,0,0
TLX_MV,D,20071102,000000,21.3389,21.3389,21.3389,21.3389,0,0
TLX_MV,D,20071105,000000,20.35,20.35,20.35,20.35,0,0
TLX_MV,D,20071106,000000,20.0828,20.0828,20.0828,20.0828,0,0
TLX_MV,D,20071107,000000,19.6631,19.6631,19.6631,19.6631,0,0
TLX_MV,D,20071108,000000,20.414,20.414,20.414,20.414,0,0
TLX_MV,D,20071109,000000,20.3867,20.3867,19.7788,19.7788,0,0
TLX_MV,D,20071112,000000,19.5314,19.7788,18.5932,19.5314,0,0
TLX_MV,D,20071113,000000,19.5314,19.8212,18.4756,19.8212,0,0
TLX_MV,D,20071114,000000,19.5973,19.793,19.5314,19.5314,0,0
TLX_MV,D,20071115,000000,19.5973,19.793,19.5314,19.793,0,0
TLX_MV,D,20071116,000000,19.793,20.4422,19.728,20.4422,0,0
TLX_MV,D,20071119,000000,19.1992,20.4422,18.5405,18.5405,0,0
TLX_MV,D,20071120,000000,17.8969,19.0684,17.5498,19.0684,0,0
TLX_MV,D,20071121,000000,18.4756,18.4756,16.957,16.957,0,0
TLX_MV,D,20071122,000000,16.7621,19.0684,16.2343,18.0786,0,0
TLX_MV,D,20071123,000000,18.0786,19.0035,18.0786,18.4333,0,0
TLX_MV,D,20071126,000000,18.4333,18.4333,18.3448,18.3448,0,0
TLX_MV,D,20071127,000000,18.3448,19.0411,18.3448,18.7381,0,0
TLX_MV,D,20071128,000000,18.7381,20.0452,18.7381,19.7788,0,0
TLX_MV,D,20071129,000000,19.793,19.793,19.793,19.793,0,0
TLX_MV,D,20071130,000000,19.728,20.9842,19.6631,20.9701,0,0
TLX_MV,D,20071203,000000,20.8496,20.9701,20.0592,20.9701,0,0
TLX_MV,D,20071204,000000,20.7179,20.7179,20.191,20.2973,0,0
TLX_MV,D,20071205,000000,20.0592,20.8496,20.0592,20.8496,0,0
TLX_MV,D,20071206,000000,20.7838,20.7838,19.9529,19.967,0,0
TLX_MV,D,20071207,000000,19.967,20.2041,19.2801,19.9943,0,0
TLX_MV,D,20071210,000000,19.8353,19.8353,19.1343,19.1343,0,0
TLX_MV,D,20071211,000000,19.0035,19.0035,18.5133,18.5133,0,0
TLX_MV,D,20071212,000000,18.5405,19.2924,18.3542,18.4991,0,0
TLX_MV,D,20071213,000000,18.5547,18.5547,18.4888,18.4888,0,0
TLX_MV,D,20071214,000000,18.4991,18.4991,18.4756,18.4888,0,0
TLX_MV,D,20071217,000000,18.3684,19.793,18.3542,19.793,0,0
TLX_MV,D,20071218,000000,19.1616,19.728,19.1616,19.728,0,0
TLX_MV,D,20071219,000000,19.6481,19.6631,19.6481,19.6631,0,0
TLX_MV,D,20071220,000000,19.5973,19.5973,19.5973,19.5973,0,0
TLX_MV,D,20071221,000000,18.7523,19.251,18.6074,19.251,0,0
TLX_MV,D,20071227,000000,18.6582,18.6582,18.6582,18.6582,0,0
TLX_MV,D,20071228,000000,18.6582,19.027,17.9985,19.027,0,0
TLX_MV,D,20080102,000000,18.9113,18.9113,18.3956,18.3956,0,0
TLX_MV,D,20080103,000000,18.3956,19.5314,18.3448,18.3448,0,0
TLX_MV,D,20080104,000000,19.6339,19.6481,18.4756,19.4881,0,0
TLX_MV,D,20080107,000000,19.5973,19.5973,19.5973,19.5973,0,0
TLX_MV,D,20080108,000000,19.186,19.186,18.6196,18.6196,0,0
TLX_MV,D,20080109,000000,18.4888,18.6714,18.3448,18.6714,0,0
TLX_MV,D,20080110,000000,18.3448,18.3448,18.3448,18.3448,0,0
TLX_MV,D,20080111,000000,18.3684,18.3684,18.3448,18.3448,0,0
TLX_MV,D,20080114,000000,18.3448,18.3448,18.3448,18.3448,0,0
TLX_MV,D,20080115,000000,18.6327,18.6488,18.2103,18.2103,0,0
TLX_MV,D,20080116,000000,18.2103,18.2103,16.892,18.2103,0,0
TLX_MV,D,20080117,000000,17.6815,17.9477,17.6438,17.9477,0,0
TLX_MV,D,20080118,000000,17.5498,18.4098,17.5498,18.3448,0,0
TLX_MV,D,20080122,000000,17.1536,18.3448,17.1536,18.3448,0,0
TLX_MV,D,20080123,000000,17.2759,17.9477,17.2759,17.9477,0,0
TLX_MV,D,20080124,000000,18.1434,19.1343,17.6579,19.1343,0,0
TLX_MV,D,20080125,000000,18.8586,18.8586,18.8586,18.8586,0,0
TLX_MV,D,20080129,000000,18.8586,18.8727,18.4756,18.8727,0,0
TLX_MV,D,20080130,000000,18.4756,18.8303,18.2375,18.8303,0,0
TLX_MV,D,20080131,000000,18.8727,20.191,18.8727,20.0592,0,0
TLX_MV,D,20080201,000000,21.1131,21.8386,20.7838,21.8386,0,0
TLX_MV,D,20080204,000000,21.8386,21.8386,20.6106,20.6106,0,0
TLX_MV,D,20080206,000000,19.793,21.0727,19.793,21.0727,0,0
TLX_MV,D,20080207,000000,20.1618,21.7736,19.793,21.7736,0,0
TLX_MV,D,20080208,000000,20.4573,21.0491,20.4573,21.0491,0,0
TLX_MV,D,20080211,000000,19.9379,21.0491,19.9379,21.0219,0,0
TLX_MV,D,20080212,000000,20.588,21.1009,20.588,21.1009,0,0
TLX_MV,D,20080213,000000,21.1009,21.7464,21.1009,21.3766,0,0
TLX_MV,D,20080214,000000,22.4323,22.7645,22.3025,22.6995,0,0
TLX_MV,D,20080215,000000,22.9602,23.474,22.9602,23.474,0,0
TLX_MV,D,20080218,000000,23.0957,23.2265,22.6054,23.2265,0,0
TLX_MV,D,20080219,000000,23.2265,23.5031,23.0957,23.5031,0,0
TLX_MV,D,20080220,000000,23.5953,23.6227,23.2914,23.6104,0,0
TLX_MV,D,20080221,000000,23.553,24.8101,23.553,24.796,0,0
TLX_MV,D,20080222,000000,24.7452,24.7452,24.016,24.622,0,0
TLX_MV,D,20080225,000000,24.637,24.637,23.7685,24.4789,0,0
TLX_MV,D,20080226,000000,23.791,24.2832,23.1597,23.7393,0,0
TLX_MV,D,20080227,000000,23.7393,24.0018,23.7393,23.7544,0,0
TLX_MV,D,20080228,000000,23.6875,23.9924,23.6875,23.9924,0,0
TLX_MV,D,20080229,000000,23.9783,24.1515,23.9783,24.1383,0,0
TLX_MV,D,20080303,000000,24.0818,24.095,22.8944,24.095,0,0
TLX_MV,D,20080304,000000,24.016,24.095,23.6227,23.8851,0,0
TLX_MV,D,20080305,000000,23.9924,24.0018,22.8944,23.9924,0,0
TLX_MV,D,20080306,000000,23.9924,23.9924,23.171,23.9783,0,0
TLX_MV,D,20080310,000000,23.9359,23.9359,23.9359,23.9359,0,0
TLX_MV,D,20080311,000000,23.9209,23.9359,23.9209,23.9359,0,0
TLX_MV,D,20080312,000000,23.9924,24.0018,23.633,23.7393,0,0
TLX_MV,D,20080313,000000,23.7393,23.7393,23.7393,23.7393,0,0
TLX_MV,D,20080314,000000,23.633,23.7393,23.6227,23.6227,0,0
TLX_MV,D,20080317,000000,23.0957,23.7393,23.0957,23.7393,0,0
TLX_MV,D,20080319,000000,23.6227,23.7544,23.6227,23.7544,0,0
TLX_MV,D,20080320,000000,22.9602,23.7544,22.9602,23.7544,0,0
TLX_MV,D,20080325,000000,23.7544,23.7544,23.6227,23.6227,0,0
TLX_MV,D,20080326,000000,23.0251,23.6227,22.9885,23.6227,0,0
TLX_MV,D,20080327,000000,23.7544,23.7544,23.6227,23.7544,0,0
TLX_MV,D,20080328,000000,23.7544,23.7544,23.7544,23.7544,0,0
TLX_MV,D,20080331,000000,23.7544,23.7544,23.7544,23.7544,0,0
TLX_MV,D,20080401,000000,23.7544,23.9642,23.2641,23.9642,0,0
TLX_MV,D,20080402,000000,24.016,24.016,23.2914,23.2914,0,0
TLX_MV,D,20080403,000000,23.2914,23.2914,23.2914,23.2914,0,0
TLX_MV,D,20080404,000000,23.2491,23.5953,23.2491,23.5953,0,0
TLX_MV,D,20080407,000000,23.6875,23.6875,23.2265,23.6875,0,0
TLX_MV,D,20080408,000000,23.6744,23.6744,23.6744,23.6744,0,0
TLX_MV,D,20080409,000000,23.7685,23.8193,23.2265,23.8193,0,0
TLX_MV,D,20080410,000000,23.6875,23.8193,23.6875,23.6875,0,0
TLX_MV,D,20080411,000000,23.6227,23.6875,23.6227,23.6875,0,0
TLX_MV,D,20080414,000000,23.5681,23.6227,22.4323,22.4323,0,0
TLX_MV,D,20080415,000000,22.4191,23.553,21.3257,23.553,0,0
TLX_MV,D,20080416,000000,23.2133,23.4881,23.2133,23.4881,0,0
TLX_MV,D,20080417,000000,22.6572,23.4081,22.6431,23.4081,0,0
TLX_MV,D,20080418,000000,23.3582,23.4222,23.3582,23.4222,0,0
TLX_MV,D,20080421,000000,23.4364,23.4364,23.4222,23.4222,0,0
TLX_MV,D,20080422,000000,23.0957,23.0957,21.801,22.9075,0,0
TLX_MV,D,20080423,000000,21.9054,21.9054,21.9054,21.9054,0,0
TLX_MV,D,20080424,000000,23.0251,23.0251,21.7736,22.6704,0,0
TLX_MV,D,20080425,000000,22.9075,22.9075,21.9054,22.8944,0,0
TLX_MV,D,20080428,000000,22.9602,22.9602,22.8944,22.9602,0,0
TLX_MV,D,20080429,000000,22.9602,22.9602,22.2357,22.5537,0,0
TLX_MV,D,20080430,000000,21.9703,22.4191,21.9703,22.4191,0,0
TLX_MV,D,20080505,000000,22.4323,22.9602,22.4323,22.4323,0,0
TLX_MV,D,20080506,000000,22.9461,22.9461,22.6995,22.6995,0,0
TLX_MV,D,20080507,000000,22.8304,22.8304,22.8012,22.8012,0,0
TLX_MV,D,20080509,000000,22.1143,22.6995,22.1143,22.6995,0,0
TLX_MV,D,20080512,000000,22.4323,22.4323,22.1425,22.1425,0,0
TLX_MV,D,20080513,000000,22.1425,22.8012,22.039,22.5678,0,0
TLX_MV,D,20080514,000000,22.4323,22.4323,22.3288,22.4323,0,0
TLX_MV,D,20080515,000000,22.4323,22.867,22.4323,22.6054,0,0
TLX_MV,D,20080516,000000,23.6848,23.6848,22.5631,22.7024,0,0
TLX_MV,D,20080519,000000,22.8436,23.123,21.163,22.6751,0,0
TLX_MV,D,20080520,000000,22.6751,22.6751,22.6751,22.6751,0,0
TLX_MV,D,20080523,000000,21.3154,22.6751,21.0491,21.0491,0,0
TLX_MV,D,20080526,000000,21.0068,21.0219,20.1815,21.0219,0,0
TLX_MV,D,20080527,000000,21.0359,22.1425,21.0359,22.1425,0,0
TLX_MV,D,20080528,000000,21.0359,22.7024,21.0359,22.6751,0,0
TLX_MV,D,20080529,000000,21.0219,22.6751,21.0219,21.3295,0,0
TLX_MV,D,20080530,000000,22.6347,22.6347,22.422,22.4785,0,0
TLX_MV,D,20080602,000000,21.4556,21.4556,21.4405,21.4405,0,0
TLX_MV,D,20080603,000000,21.4405,22.4097,21.4405,22.4097,0,0
TLX_MV,D,20080604,000000,22.3382,22.3382,22.3382,22.3382,0,0
TLX_MV,D,20080605,000000,22.0032,22.422,22.0032,22.422,0,0
TLX_MV,D,20080606,000000,22.422,22.7024,22.422,22.7024,0,0
TLX_MV,D,20080610,000000,22.2121,22.7024,21.3013,22.1425,0,0
TLX_MV,D,20080611,000000,22.1425,22.1425,22.1425,22.1425,0,0
TLX_MV,D,20080612,000000,21.3013,21.3013,21.3013,21.3013,0,0
TLX_MV,D,20080613,000000,21.3013,21.7078,21.3013,21.7078,0,0
TLX_MV,D,20080616,000000,22.1143,22.1143,21.7078,22.0879,0,0
TLX_MV,D,20080617,000000,22.1143,22.1143,22.0032,22.1143,0,0
TLX_MV,D,20080618,000000,22.1143,22.1143,21.4556,21.4556,0,0
TLX_MV,D,20080619,000000,21.7219,22.1143,21.4556,22.1143,0,0
TLX_MV,D,20080620,000000,22.1143,22.1143,21.5112,22.0729,0,0
TLX_MV,D,20080623,000000,22.1143,22.1143,22.0729,22.1143,0,0
TLX_MV,D,20080624,000000,22.1425,22.1425,21.0219,21.0219,0,0
TLX_MV,D,20080625,000000,22.422,22.422,21.0219,21.0219,0,0
TLX_MV,D,20080626,000000,21.0219,21.0219,20.6012,21.0219,0,0
TLX_MV,D,20080627,000000,21.0219,23.8249,21.0219,23.8249,0,0
TLX_MV,D,20080630,000000,23.6848,26.6835,23.6848,25.5064,0,0
TLX_MV,D,20080701,000000,25.211,25.211,22.4371,22.4371,0,0
TLX_MV,D,20080702,000000,23.2641,23.2641,21.7351,22.422,0,0
TLX_MV,D,20080703,000000,22.422,22.422,21.0924,21.9882,0,0
TLX_MV,D,20080704,000000,22.2121,22.2121,21.7916,21.9882,0,0
TLX_MV,D,20080707,000000,21.0219,21.9317,21.0219,21.9317,0,0
TLX_MV,D,20080708,000000,21.0219,21.9177,21.0219,21.9177,0,0
