<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLX_PB,D,20070813,000000,0.495411,0.495411,0.495411,0.495411,0,0
TLX_PB,D,20070814,000000,0.499834,0.499834,0.499834,0.499834,0,0
TLX_PB,D,20070816,000000,0.485814,0.485814,0.485814,0.485814,0,0
TLX_PB,D,20070817,000000,0.47631,0.47631,0.47631,0.47631,0,0
TLX_PB,D,20070820,000000,0.490424,0.490424,0.490424,0.490424,0,0
TLX_PB,D,20070821,000000,0.485814,0.485814,0.485814,0.485814,0,0
TLX_PB,D,20070822,000000,0.47631,0.47631,0.47631,0.47631,0,0
TLX_PB,D,20070823,000000,0.481203,0.481203,0.481203,0.481203,0,0
TLX_PB,D,20070824,000000,0.509243,0.509243,0.509243,0.509243,0,0
TLX_PB,D,20070827,000000,0.513854,0.513854,0.513854,0.513854,0,0
TLX_PB,D,20070828,000000,0.504445,0.504445,0.504445,0.504445,0,0
TLX_PB,D,20070829,000000,0.499834,0.499834,0.499834,0.499834,0,0
TLX_PB,D,20070830,000000,0.499834,0.499834,0.499834,0.499834,0,0
TLX_PB,D,20070831,000000,0.499834,0.499834,0.499834,0.499834,0,0
TLX_PB,D,20070903,000000,0.509243,0.509243,0.509243,0.509243,0,0
TLX_PB,D,20070904,000000,0.509243,0.509243,0.509243,0.509243,0,0
TLX_PB,D,20070905,000000,0.495411,0.495411,0.495411,0.495411,0,0
TLX_PB,D,20070906,000000,0.495411,0.495411,0.495411,0.495411,0,0
TLX_PB,D,20070907,000000,0.499834,0.499834,0.499834,0.499834,0,0
TLX_PB,D,20070910,000000,0.504445,0.504445,0.504445,0.504445,0,0
TLX_PB,D,20070911,000000,0.504445,0.504445,0.504445,0.504445,0,0
TLX_PB,D,20070912,000000,0.495411,0.495411,0.495411,0.495411,0,0
TLX_PB,D,20070913,000000,0.495411,0.495411,0.495411,0.495411,0,0
TLX_PB,D,20070914,000000,0.490424,0.490424,0.490424,0.490424,0,0
TLX_PB,D,20070917,000000,0.471794,0.471794,0.471794,0.471794,0,0
TLX_PB,D,20070918,000000,0.490424,0.490424,0.490424,0.490424,0,0
TLX_PB,D,20070919,000000,0.490424,0.490424,0.490424,0.490424,0,0
TLX_PB,D,20070920,000000,0.490424,0.490424,0.490424,0.490424,0,0
TLX_PB,D,20070921,000000,0.490424,0.490424,0.490424,0.490424,0,0
TLX_PB,D,20070924,000000,0.490424,0.490424,0.490424,0.490424,0,0
TLX_PB,D,20070925,000000,0.490424,0.490424,0.490424,0.490424,0,0
TLX_PB,D,20070926,000000,0.495411,0.495411,0.495411,0.495411,0,0
TLX_PB,D,20070927,000000,0.504445,0.504445,0.504445,0.504445,0,0
TLX_PB,D,20070928,000000,0.495411,0.495411,0.495411,0.495411,0,0
TLX_PB,D,20071001,000000,0.490424,0.490424,0.490424,0.490424,0,0
TLX_PB,D,20071002,000000,0.495411,0.495411,0.495411,0.495411,0,0
TLX_PB,D,20071003,000000,0.495411,0.495411,0.495411,0.495411,0,0
TLX_PB,D,20071004,000000,0.481203,0.481203,0.481203,0.481203,0,0
TLX_PB,D,20071005,000000,0.490424,0.490424,0.490424,0.490424,0,0
TLX_PB,D,20071008,000000,0.499834,0.499834,0.499834,0.499834,0,0
TLX_PB,D,20071009,000000,0.495411,0.495411,0.495411,0.495411,0,0
TLX_PB,D,20071010,000000,0.490424,0.490424,0.490424,0.490424,0,0
TLX_PB,D,20071011,000000,0.499834,0.499834,0.499834,0.499834,0,0
TLX_PB,D,20071012,000000,0.495411,0.495411,0.495411,0.495411,0,0
TLX_PB,D,20071015,000000,0.499834,0.499834,0.499834,0.499834,0,0
TLX_PB,D,20071016,000000,0.504445,0.504445,0.504445,0.504445,0,0
TLX_PB,D,20071017,000000,0.518559,0.518559,0.518559,0.518559,0,0
TLX_PB,D,20071018,000000,0.504445,0.504445,0.504445,0.504445,0,0
TLX_PB,D,20071019,000000,0.499834,0.499834,0.499834,0.499834,0,0
TLX_PB,D,20071022,000000,0.504445,0.504445,0.504445,0.504445,0,0
TLX_PB,D,20071023,000000,0.52317,0.52317,0.52317,0.52317,0,0
TLX_PB,D,20071024,000000,0.513854,0.513854,0.513854,0.513854,0,0
TLX_PB,D,20071025,000000,0.513854,0.513854,0.513854,0.513854,0,0
TLX_PB,D,20071026,000000,0.509243,0.509243,0.509243,0.509243,0,0
TLX_PB,D,20071029,000000,0.504445,0.504445,0.504445,0.504445,0,0
TLX_PB,D,20071030,000000,0.504445,0.504445,0.504445,0.504445,0,0
TLX_PB,D,20071031,000000,0.509243,0.509243,0.509243,0.509243,0,0
TLX_PB,D,20071102,000000,0.499834,0.499834,0.499834,0.499834,0,0
TLX_PB,D,20071105,000000,0.481203,0.481203,0.481203,0.481203,0,0
TLX_PB,D,20071106,000000,0.47631,0.47631,0.47631,0.47631,0,0
TLX_PB,D,20071107,000000,0.46722,0.46722,0.46722,0.46722,0,0
TLX_PB,D,20071108,000000,0.485814,0.485814,0.485814,0.485814,0,0
TLX_PB,D,20071109,000000,0.481203,0.481203,0.46722,0.46722,0,0
TLX_PB,D,20071112,000000,0.46244,0.46722,0.439048,0.46244,0,0
TLX_PB,D,20071113,000000,0.46244,0.46722,0.434494,0.46722,0,0
TLX_PB,D,20071114,000000,0.46244,0.46722,0.46244,0.46244,0,0
TLX_PB,D,20071115,000000,0.46244,0.46722,0.46244,0.46722,0,0
TLX_PB,D,20071116,000000,0.46722,0.485814,0.46722,0.485814,0,0
TLX_PB,D,20071119,000000,0.453154,0.485814,0.439048,0.439048,0,0
TLX_PB,D,20071120,000000,0.420587,0.44842,0.415704,0.44842,0,0
TLX_PB,D,20071121,000000,0.434494,0.434494,0.401787,0.401787,0,0
TLX_PB,D,20071122,000000,0.396988,0.44842,0.382959,0.425066,0,0
TLX_PB,D,20071123,000000,0.425066,0.44842,0.425066,0.434494,0,0
TLX_PB,D,20071126,000000,0.434494,0.434494,0.429771,0.429771,0,0
TLX_PB,D,20071127,000000,0.429771,0.44842,0.429771,0.443772,0,0
TLX_PB,D,20071128,000000,0.443772,0.47631,0.443772,0.46722,0,0
TLX_PB,D,20071129,000000,0.46722,0.46722,0.46722,0.46722,0,0
TLX_PB,D,20071130,000000,0.46722,0.495411,0.46722,0.495411,0,0
TLX_PB,D,20071203,000000,0.490424,0.495411,0.47631,0.495411,0,0
TLX_PB,D,20071204,000000,0.490424,0.490424,0.47631,0.481203,0,0
TLX_PB,D,20071205,000000,0.47631,0.490424,0.47631,0.490424,0,0
TLX_PB,D,20071206,000000,0.490424,0.490424,0.471794,0.471794,0,0
TLX_PB,D,20071207,000000,0.471794,0.47631,0.453154,0.471794,0,0
TLX_PB,D,20071210,000000,0.46722,0.46722,0.453154,0.453154,0,0
TLX_PB,D,20071211,000000,0.44842,0.44842,0.434494,0.434494,0,0
TLX_PB,D,20071212,000000,0.439048,0.457755,0.434494,0.434494,0,0
TLX_PB,D,20071213,000000,0.439048,0.439048,0.434494,0.434494,0,0
TLX_PB,D,20071214,000000,0.434494,0.434494,0.434494,0.434494,0,0
TLX_PB,D,20071217,000000,0.434494,0.46722,0.434494,0.46722,0,0
TLX_PB,D,20071218,000000,0.453154,0.46722,0.453154,0.46722,0,0
TLX_PB,D,20071219,000000,0.46244,0.46722,0.46244,0.46722,0,0
TLX_PB,D,20071220,000000,0.46244,0.46244,0.46244,0.46244,0,0
TLX_PB,D,20071221,000000,0.443772,0.453154,0.439048,0.453154,0,0
TLX_PB,D,20071227,000000,0.439048,0.439048,0.439048,0.439048,0,0
TLX_PB,D,20071228,000000,0.439048,0.44842,0.425066,0.44842,0,0
TLX_PB,D,20080102,000000,0.443772,0.443772,0.434494,0.434494,0,0
TLX_PB,D,20080103,000000,0.434494,0.46244,0.429771,0.429771,0,0
TLX_PB,D,20080104,000000,0.46244,0.46244,0.434494,0.46244,0,0
TLX_PB,D,20080107,000000,0.46244,0.46244,0.46244,0.46244,0,0
TLX_PB,D,20080108,000000,0.453154,0.453154,0.439048,0.439048,0,0
TLX_PB,D,20080109,000000,0.434494,0.439048,0.429771,0.439048,0,0
TLX_PB,D,20080110,000000,0.429771,0.429771,0.429771,0.429771,0,0
TLX_PB,D,20080111,000000,0.434494,0.434494,0.429771,0.429771,0,0
TLX_PB,D,20080114,000000,0.429771,0.429771,0.429771,0.429771,0,0
TLX_PB,D,20080115,000000,0.439048,0.439048,0.429771,0.429771,0,0
TLX_PB,D,20080116,000000,0.429771,0.429771,0.401787,0.429771,0,0
TLX_PB,D,20080117,000000,0.415704,0.420587,0.415704,0.420587,0,0
TLX_PB,D,20080118,000000,0.415704,0.434494,0.415704,0.429771,0,0
TLX_PB,D,20080122,000000,0.406426,0.429771,0.406426,0.429771,0,0
TLX_PB,D,20080123,000000,0.41114,0.420587,0.41114,0.420587,0,0
TLX_PB,D,20080124,000000,0.425066,0.453154,0.415704,0.453154,0,0
