<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOR_MV,D,20140905,000000,105.685,105.685,105.685,105.685,0,0
TOR_MV,D,20140908,000000,107.427,107.427,101.991,103.104,0,0
TOR_MV,D,20140909,000000,103.217,107.797,103.217,107.797,0,0
TOR_MV,D,20140910,000000,107.427,108.04,106.306,108.04,0,0
TOR_MV,D,20140911,000000,108.04,109.765,108.04,109.281,0,0
TOR_MV,D,20140912,000000,108.91,108.91,108.04,108.668,0,0
TOR_MV,D,20140915,000000,110.886,110.886,108.668,110.515,0,0
TOR_MV,D,20140916,000000,110.886,115.451,110.886,112.983,0,0
TOR_MV,D,20140917,000000,114.218,114.46,112.862,114.088,0,0
TOR_MV,D,20140918,000000,114.088,114.088,113.225,113.589,0,0
TOR_MV,D,20140919,000000,114.709,114.709,113.111,113.589,0,0
TOR_MV,D,20140922,000000,114.709,114.709,112.862,112.862,0,0
TOR_MV,D,20140923,000000,112.862,112.862,109.281,111.007,0,0
TOR_MV,D,20140924,000000,109.281,114.088,106.192,113.475,0,0
TOR_MV,D,20140925,000000,113.717,114.338,113.111,113.96,0,0
TOR_MV,D,20140926,000000,114.58,120.637,113.96,117.556,0,0
TOR_MV,D,20140929,000000,120.387,120.387,117.92,119.774,0,0
TOR_MV,D,20140930,000000,120.637,120.637,119.153,119.41,0,0
TOR_MV,D,20141001,000000,120.387,120.387,116.435,118.532,0,0
TOR_MV,D,20141002,000000,119.153,119.153,116.193,117.306,0,0
TOR_MV,D,20141003,000000,117.306,119.153,116.685,118.653,0,0
TOR_MV,D,20141006,000000,119.153,119.638,118.532,118.532,0,0
TOR_MV,D,20141007,000000,118.532,119.638,118.532,119.638,0,0
TOR_MV,D,20141008,000000,119.638,119.638,116.685,116.685,0,0
TOR_MV,D,20141009,000000,117.306,118.653,115.451,115.814,0,0
TOR_MV,D,20141010,000000,116.072,116.072,113.589,115.701,0,0
TOR_MV,D,20141013,000000,116.306,116.306,113.354,115.701,0,0
TOR_MV,D,20141014,000000,115.944,115.944,112.362,114.831,0,0
TOR_MV,D,20141015,000000,115.814,115.814,111.379,112.983,0,0
TOR_MV,D,20141016,000000,113.589,113.589,111.129,112.484,0,0
TOR_MV,D,20141017,000000,114.58,114.58,111.249,112.983,0,0
TOR_MV,D,20141020,000000,112.983,112.983,110.379,112.242,0,0
TOR_MV,D,20141021,000000,112.242,116.685,112.242,114.831,0,0
TOR_MV,D,20141022,000000,114.831,114.831,114.218,114.218,0,0
TOR_MV,D,20141023,000000,115.33,115.33,112.362,114.959,0,0
TOR_MV,D,20141024,000000,113.589,114.959,113.589,114.709,0,0
