<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOR_PB,D,20140905,000000,0.860017,0.860017,0.860017,0.860017,0,0
TOR_PB,D,20140908,000000,0.870767,0.870767,0.827841,0.838668,0,0
TOR_PB,D,20140909,000000,0.838668,0.876142,0.838668,0.876142,0,0
TOR_PB,D,20140910,000000,0.870767,0.876142,0.865543,0.876142,0,0
TOR_PB,D,20140911,000000,0.876142,0.892343,0.854641,0.854641,0,0
TOR_PB,D,20140912,000000,0.849342,0.849342,0.843967,0.849342,0,0
TOR_PB,D,20140915,000000,0.865543,0.865543,0.849342,0.865543,0,0
TOR_PB,D,20140916,000000,0.865543,0.903018,0.865543,0.881668,0,0
TOR_PB,D,20140917,000000,0.892343,0.897718,0.881668,0.892343,0,0
TOR_PB,D,20140918,000000,0.892343,0.892343,0.886967,0.886967,0,0
TOR_PB,D,20140919,000000,0.897718,0.897718,0.886967,0.886967,0,0
TOR_PB,D,20140922,000000,0.897718,0.897718,0.881668,0.881668,0,0
TOR_PB,D,20140923,000000,0.881668,0.881668,0.854641,0.870767,0,0
TOR_PB,D,20140924,000000,0.854641,0.892343,0.827841,0.886967,0,0
TOR_PB,D,20140925,000000,0.886967,0.892343,0.886967,0.892343,0,0
TOR_PB,D,20140926,000000,0.897718,0.94617,0.892343,0.919216,0,0
TOR_PB,D,20140929,000000,0.940718,0.940718,0.92452,0.93534,0,0
TOR_PB,D,20140930,000000,0.94617,0.94617,0.929972,0.93534,0,0
TOR_PB,D,20141001,000000,0.940718,0.940718,0.908468,0.92452,0,0
TOR_PB,D,20141002,000000,0.929972,0.929972,0.908468,0.919216,0,0
TOR_PB,D,20141003,000000,0.919216,0.929972,0.913846,0.929972,0,0
TOR_PB,D,20141006,000000,0.929972,0.93534,0.92452,0.92452,0,0
TOR_PB,D,20141007,000000,0.92452,0.93534,0.92452,0.93534,0,0
TOR_PB,D,20141008,000000,0.93534,0.93534,0.913846,0.913846,0,0
TOR_PB,D,20141009,000000,0.919216,0.929972,0.903018,0.908468,0,0
TOR_PB,D,20141010,000000,0.908468,0.908468,0.886967,0.903018,0,0
TOR_PB,D,20141013,000000,0.908468,0.908468,0.886967,0.903018,0,0
TOR_PB,D,20141014,000000,0.908468,0.908468,0.876142,0.897718,0,0
TOR_PB,D,20141015,000000,0.908468,0.908468,0.870767,0.881668,0,0
TOR_PB,D,20141016,000000,0.886967,0.886967,0.870767,0.881668,0,0
TOR_PB,D,20141017,000000,0.897718,0.897718,0.870767,0.881668,0,0
TOR_PB,D,20141020,000000,0.881668,0.881668,0.865543,0.876142,0,0
TOR_PB,D,20141021,000000,0.876142,0.913846,0.876142,0.897718,0,0
TOR_PB,D,20141022,000000,0.897718,0.897718,0.892343,0.892343,0,0
TOR_PB,D,20141023,000000,0.903018,0.903018,0.876142,0.897718,0,0
TOR_PB,D,20141024,000000,0.886967,0.897718,0.886967,0.897718,0,0
TOR_PB,D,20141027,000000,0.897718,0.897718,0.876142,0.886967,0,0
TOR_PB,D,20141028,000000,0.881668,0.886967,0.881668,0.886967,0,0
TOR_PB,D,20141029,000000,0.886967,0.897718,0.876142,0.886967,0,0
TOR_PB,D,20141030,000000,0.897718,0.919216,0.876142,0.919216,0,0
TOR_PB,D,20141031,000000,0.919216,0.956772,0.913846,0.919216,0,0
TOR_PB,D,20141103,000000,0.93534,0.93534,0.908468,0.908468,0,0
TOR_PB,D,20141104,000000,0.929972,0.929972,0.908468,0.919216,0,0
TOR_PB,D,20141105,000000,0.929972,0.93534,0.919216,0.92452,0,0
TOR_PB,D,20141106,000000,0.919216,0.93534,0.919216,0.929972,0,0
TOR_PB,D,20141107,000000,0.93534,0.93534,0.908468,0.929972,0,0
TOR_PB,D,20141110,000000,0.93534,0.93534,0.913846,0.92452,0,0
TOR_PB,D,20141112,000000,0.92452,0.93534,0.92452,0.92452,0,0
TOR_PB,D,20141113,000000,0.92452,0.92452,0.886967,0.92452,0,0
TOR_PB,D,20141114,000000,0.929972,0.929972,0.908468,0.92452,0,0
TOR_PB,D,20141117,000000,0.92452,0.92452,0.886967,0.908468,0,0
TOR_PB,D,20141118,000000,0.908468,0.962222,0.892343,0.951466,0,0
TOR_PB,D,20141119,000000,0.94617,0.962222,0.93534,0.94617,0,0
TOR_PB,D,20141120,000000,0.94617,0.956772,0.919216,0.94617,0,0
TOR_PB,D,20141121,000000,0.897718,0.94617,0.897718,0.93534,0,0
TOR_PB,D,20141124,000000,0.93534,0.93534,0.919216,0.92452,0,0
TOR_PB,D,20141125,000000,0.93534,0.93534,0.623588,0.623588,0,0
TOR_PB,D,20141126,000000,0.623588,0.650463,0.623588,0.639713,0,0
TOR_PB,D,20141127,000000,0.645012,0.645012,0.634262,0.639713,0,0
TOR_PB,D,20141128,000000,0.639713,0.645012,0.628887,0.639713,0,0
TOR_PB,D,20141201,000000,0.645012,0.645012,0.623588,0.634262,0,0
TOR_PB,D,20141202,000000,0.645012,0.645012,0.634262,0.639713,0,0
TOR_PB,D,20141203,000000,0.645012,0.645012,0.623588,0.634262,0,0
TOR_PB,D,20141204,000000,0.634262,0.655839,0.623588,0.645012,0,0
TOR_PB,D,20141205,000000,0.650463,0.677339,0.645012,0.677339,0,0
TOR_PB,D,20141208,000000,0.677339,0.69884,0.677339,0.69884,0,0
TOR_PB,D,20141209,000000,0.704215,0.704215,0.666513,0.682789,0,0
