<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOW_MV,D,20160712,000000,58.615,58.615,58.615,58.615,0,0
TOW_MV,D,20160713,000000,57.661,69.048,55.639,61.714,0,0
TOW_MV,D,20160714,000000,53.627,62.725,53.627,59.673,0,0
TOW_MV,D,20160718,000000,54.628,60.684,54.628,60.684,0,0
TOW_MV,D,20160721,000000,57.861,62.725,55.744,62.725,0,0
TOW_MV,D,20160722,000000,62.668,62.725,60.293,62.725,0,0
TOW_MV,D,20160725,000000,62.725,62.725,58.672,62.706,0,0
TOW_MV,D,20160726,000000,61.714,61.714,60.703,60.703,0,0
TOW_MV,D,20160729,000000,60.904,60.904,60.904,60.904,0,0
TOW_MV,D,20160801,000000,59.082,59.082,59.082,59.082,0,0
TOW_MV,D,20160802,000000,61.209,61.209,61.209,61.209,0,0
TOW_MV,D,20160803,000000,59.082,61.209,59.082,61.209,0,0
TOW_MV,D,20160808,000000,61.104,62.725,61.104,62.725,0,0
TOW_MV,D,20160809,000000,62.725,62.725,59.683,62.22,0,0
TOW_MV,D,20160810,000000,62.22,62.725,62.22,62.22,0,0
TOW_MV,D,20160811,000000,62.22,62.22,62.22,62.22,0,0
TOW_MV,D,20160812,000000,61.714,61.714,61.714,61.714,0,0
TOW_MV,D,20160816,000000,62.401,62.401,62.401,62.401,0,0
TOW_MV,D,20160824,000000,62.115,62.115,62.115,62.115,0,0
TOW_MV,D,20160825,000000,62.22,62.22,62.22,62.22,0,0
TOW_MV,D,20160826,000000,62.181,62.181,60.646,61.714,0,0
TOW_MV,D,20160829,000000,62.21,62.515,60.703,60.703,0,0
TOW_MV,D,20160830,000000,62.42,62.42,62.42,62.42,0,0
TOW_MV,D,20160831,000000,62.22,62.22,61.714,61.714,0,0
TOW_MV,D,20160901,000000,62.162,62.162,61.714,62.105,0,0
TOW_MV,D,20160902,000000,62.01,62.01,60.703,60.703,0,0
TOW_MV,D,20160905,000000,62.115,62.115,61.151,61.151,0,0
TOW_MV,D,20160906,000000,61.962,61.962,60.703,60.703,0,0
TOW_MV,D,20160907,000000,60.703,60.703,60.703,60.703,0,0
TOW_MV,D,20160908,000000,61.714,61.714,61.714,61.714,0,0
TOW_MV,D,20160909,000000,60.646,60.646,60.646,60.646,0,0
TOW_MV,D,20160914,000000,58.376,61.714,58.376,61.714,0,0
TOW_MV,D,20160916,000000,59.988,60.188,59.988,60.188,0,0
TOW_MV,D,20160919,000000,57.155,60.188,57.155,60.188,0,0
TOW_MV,D,20160920,000000,60.131,60.131,59.94,59.94,0,0
TOW_MV,D,20160921,000000,59.387,59.387,59.282,59.282,0,0
TOW_MV,D,20160922,000000,59.978,59.978,59.978,59.978,0,0
TOW_MV,D,20160923,000000,59.673,59.673,59.673,59.673,0,0
TOW_MV,D,20160929,000000,59.664,60.179,59.664,60.179,0,0
TOW_MV,D,20160930,000000,60.179,60.179,60.179,60.179,0,0
TOW_MV,D,20161005,000000,60.045,60.045,57.384,59.587,0,0
TOW_MV,D,20161006,000000,57.06,59.683,57.06,59.683,0,0
TOW_MV,D,20161010,000000,59.387,60.598,59.33,60.551,0,0
TOW_MV,D,20161011,000000,60.598,60.598,59.483,59.483,0,0
TOW_MV,D,20161012,000000,59.483,59.683,52.101,59.683,0,0
