<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRN_PB,D,20081020,000000,16.4043,16.4043,16.4043,16.4043,0,0
TRN_PB,D,20081021,000000,16.5477,16.5477,16.5477,16.5477,0,0
TRN_PB,D,20081022,000000,16.5477,16.5477,16.5477,16.5477,0,0
TRN_PB,D,20081023,000000,16.5477,17.2434,16.5477,17.2434,0,0
TRN_PB,D,20081028,000000,17.2159,17.2159,17.2093,17.2093,0,0
TRN_PB,D,20081029,000000,17.2093,17.2093,16.5477,16.5477,0,0
TRN_PB,D,20081030,000000,16.5477,16.5477,16.5477,16.5477,0,0
TRN_PB,D,20081031,000000,16.5477,16.6911,16.5477,16.6911,0,0
TRN_PB,D,20081103,000000,16.6911,16.6911,16.6911,16.6911,0,0
TRN_PB,D,20081104,000000,17.2093,17.2716,17.2093,17.2716,0,0
TRN_PB,D,20081105,000000,17.2434,17.2434,16.9847,16.9847,0,0
TRN_PB,D,20081106,000000,16.9847,16.9847,16.9847,16.9847,0,0
TRN_PB,D,20081107,000000,16.9847,16.9847,16.2542,16.2542,0,0
TRN_PB,D,20081110,000000,16.2542,16.2542,16.2542,16.2542,0,0
TRN_PB,D,20081114,000000,16.2542,16.2542,16.2542,16.2542,0,0
TRN_PB,D,20081117,000000,16.2542,16.2542,16.2542,16.2542,0,0
TRN_PB,D,20081118,000000,16.2542,16.2542,16.2542,16.2542,0,0
TRN_PB,D,20081119,000000,16.2542,16.2542,16.2542,16.2542,0,0
TRN_PB,D,20081121,000000,16.2542,16.2542,16.2542,16.2542,0,0
TRN_PB,D,20081124,000000,16.8413,16.8413,16.8413,16.8413,0,0
TRN_PB,D,20081201,000000,17.2716,17.2716,17.2716,17.2716,0,0
TRN_PB,D,20081202,000000,17.2716,17.2716,17.2716,17.2716,0,0
TRN_PB,D,20081203,000000,17.2716,17.2716,17.2716,17.2716,0,0
TRN_PB,D,20081204,000000,17.2716,17.2716,17.2716,17.2716,0,0
TRN_PB,D,20081205,000000,17.2716,17.2716,17.2716,17.2716,0,0
TRN_PB,D,20081208,000000,17.2716,17.2716,17.2716,17.2716,0,0
TRN_PB,D,20081209,000000,17.2716,17.2716,17.2716,17.2716,0,0
TRN_PB,D,20081210,000000,17.2716,17.2716,17.2716,17.2716,0,0
TRN_PB,D,20081211,000000,17.2716,17.2716,17.1281,17.1281,0,0
TRN_PB,D,20081212,000000,17.1281,17.1281,17.1281,17.1281,0,0
TRN_PB,D,20081217,000000,17.1281,17.1281,17.1281,17.1281,0,0
TRN_PB,D,20081219,000000,17.1281,17.1281,17.1281,17.1281,0,0
TRN_PB,D,20081230,000000,17.1281,17.1281,17.1281,17.1281,0,0
TRN_PB,D,20081231,000000,17.2716,17.2716,17.2716,17.2716,0,0
TRN_PB,D,20090105,000000,17.1281,17.1281,17.1281,17.1281,0,0
TRN_PB,D,20090120,000000,16.8413,16.8413,16.8413,16.8413,0,0
TRN_PB,D,20090204,000000,17.4207,17.4207,17.4141,17.4141,0,0
TRN_PB,D,20090305,000000,16.2542,16.2542,16.2542,16.2542,0,0
TRN_PB,D,20090420,000000,16.2542,16.2542,16.2542,16.2542,0,0
TRN_PB,D,20090421,000000,16.2542,16.8413,16.2542,16.8413,0,0
TRN_PB,D,20090422,000000,15.6756,15.6756,15.6756,15.6756,0,0
TRN_PB,D,20090423,000000,15.6756,15.6756,15.6756,15.6756,0,0
TRN_PB,D,20090505,000000,16.2542,16.2542,16.2542,16.2542,0,0
TRN_PB,D,20090521,000000,8.57358,8.57358,8.57358,8.57358,0,0
TRN_PB,D,20090601,000000,8.57358,8.57358,8.57358,8.57358,0,0
TRN_PB,D,20090609,000000,8.57358,8.57358,8.57358,8.57358,0,0
TRN_PB,D,20090616,000000,8.57358,8.57358,8.57358,8.57358,0,0
TRN_PB,D,20090618,000000,8.57358,8.57358,8.57358,8.57358,0,0
TRN_PB,D,20090701,000000,8.7319,8.7319,8.7319,8.7319,0,0
TRN_PB,D,20090715,000000,8.7319,8.7319,8.7319,8.7319,0,0
TRN_PB,D,20090728,000000,8.7319,8.7319,8.7319,8.7319,0,0
TRN_PB,D,20090731,000000,8.7319,8.7319,8.7319,8.7319,0,0
TRN_PB,D,20090803,000000,8.7319,8.7319,8.7319,8.7319,0,0
TRN_PB,D,20090806,000000,8.7319,8.7319,7.95342,7.95342,0,0
