<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRR_MV,D,20120924,000000,15.9951,15.9951,15.9951,15.9951,0,0
TRR_MV,D,20121001,000000,89.5724,89.5724,89.5724,89.5724,0,0
TRR_MV,D,20121002,000000,106.634,106.634,106.634,106.634,0,0
TRR_MV,D,20121003,000000,127.961,153.553,106.634,153.553,0,0
TRR_MV,D,20121004,000000,183.41,223.931,183.41,223.931,0,0
TRR_MV,D,20121005,000000,268.717,322.034,268.717,322.034,0,0
TRR_MV,D,20121008,000000,352.958,507.577,352.958,447.862,0,0
TRR_MV,D,20121009,000000,469.189,533.169,320.968,533.169,0,0
TRR_MV,D,20121010,000000,533.169,570.491,501.179,570.491,0,0
TRR_MV,D,20121011,000000,565.159,684.589,495.847,684.589,0,0
TRR_MV,D,20121012,000000,683.523,684.589,567.292,639.803,0,0
TRR_MV,D,20121015,000000,639.803,639.803,538.501,608.879,0,0
TRR_MV,D,20121016,000000,607.813,607.813,511.842,602.481,0,0
TRR_MV,D,20121017,000000,639.803,639.803,575.823,613.144,0,0
TRR_MV,D,20121018,000000,554.496,638.736,487.316,638.736,0,0
TRR_MV,D,20121019,000000,638.736,638.736,565.159,565.159,0,0
TRR_MV,D,20121022,000000,533.169,581.154,533.169,581.154,0,0
TRR_MV,D,20121023,000000,533.169,587.552,533.169,586.486,0,0
TRR_MV,D,20121024,000000,586.486,586.486,533.169,569.425,0,0
TRR_MV,D,20121025,000000,550.23,565.159,533.169,559.827,0,0
TRR_MV,D,20121026,000000,534.235,543.832,534.235,543.832,0,0
TRR_MV,D,20121029,000000,554.496,559.827,554.496,559.827,0,0
TRR_MV,D,20121030,000000,559.827,639.803,559.827,639.803,0,0
TRR_MV,D,20121031,000000,639.803,662.196,639.803,662.196,0,0
TRR_MV,D,20121102,000000,666.461,746.437,640.869,640.869,0,0
TRR_MV,D,20121105,000000,640.869,640.869,534.235,537.434,0,0
TRR_MV,D,20121106,000000,538.501,559.827,538.501,559.827,0,0
TRR_MV,D,20121107,000000,555.562,555.562,555.562,555.562,0,0
TRR_MV,D,20121108,000000,555.562,575.823,555.562,575.823,0,0
TRR_MV,D,20121109,000000,581.154,581.154,581.154,581.154,0,0
TRR_MV,D,20121112,000000,581.154,581.154,581.154,581.154,0,0
TRR_MV,D,20121113,000000,589.685,589.685,589.685,589.685,0,0
TRR_MV,D,20121114,000000,597.149,597.149,597.149,597.149,0,0
TRR_MV,D,20121115,000000,602.481,602.481,602.481,602.481,0,0
TRR_MV,D,20121116,000000,629.139,706.982,629.139,706.982,0,0
TRR_MV,D,20121119,000000,706.982,706.982,706.982,706.982,0,0
TRR_MV,D,20121120,000000,706.982,706.982,706.982,706.982,0,0
TRR_MV,D,20121121,000000,706.982,706.982,706.982,706.982,0,0
TRR_MV,D,20121122,000000,721.911,721.911,660.063,660.063,0,0
TRR_MV,D,20121123,000000,666.461,698.451,666.461,698.451,0,0
TRR_MV,D,20121126,000000,698.451,698.451,698.451,698.451,0,0
TRR_MV,D,20121127,000000,698.451,698.451,698.451,698.451,0,0
TRR_MV,D,20121128,000000,698.451,698.451,698.451,698.451,0,0
TRR_MV,D,20121129,000000,698.451,698.451,693.12,693.12,0,0
TRR_MV,D,20121130,000000,698.451,698.451,698.451,698.451,0,0
TRR_MV,D,20121203,000000,698.451,698.451,698.451,698.451,0,0
TRR_MV,D,20121204,000000,693.12,693.12,693.12,693.12,0,0
TRR_MV,D,20121205,000000,693.12,779.493,693.12,726.176,0,0
TRR_MV,D,20121206,000000,725.11,725.11,725.11,725.11,0,0
TRR_MV,D,20121207,000000,726.176,730.442,725.11,730.442,0,0
TRR_MV,D,20121210,000000,735.773,735.773,735.773,735.773,0,0
TRR_MV,D,20121211,000000,735.773,745.37,735.773,745.37,0,0
TRR_MV,D,20121212,000000,745.37,757.1,706.982,757.1,0,0
TRR_MV,D,20121213,000000,757.1,759.233,757.1,759.233,0,0
TRR_MV,D,20121214,000000,759.233,810.417,759.233,810.417,0,0
TRR_MV,D,20121217,000000,853.07,906.387,853.07,885.061,0,0
TRR_MV,D,20121218,000000,875.464,875.464,874.397,874.397,0,0
TRR_MV,D,20121219,000000,874.397,874.397,874.397,874.397,0,0
TRR_MV,D,20121220,000000,874.397,874.397,853.07,853.07,0,0
TRR_MV,D,20121221,000000,853.07,853.07,853.07,853.07,0,0
TRR_MV,D,20121227,000000,853.07,853.07,853.07,853.07,0,0
TRR_MV,D,20121228,000000,853.07,853.07,853.07,853.07,0,0
TRR_MV,D,20130102,000000,879.729,879.729,879.729,879.729,0,0
TRR_MV,D,20130103,000000,879.729,917.051,879.729,917.051,0,0
TRR_MV,D,20130104,000000,927.714,927.714,917.051,917.051,0,0
TRR_MV,D,20130107,000000,927.714,1066.34,906.387,906.387,0,0
TRR_MV,D,20130108,000000,918.117,922.382,917.051,917.051,0,0
TRR_MV,D,20130109,000000,917.051,917.051,917.051,917.051,0,0
TRR_MV,D,20130110,000000,917.051,959.704,917.051,959.704,0,0
TRR_MV,D,20130111,000000,970.368,1029.02,970.368,1029.02,0,0
TRR_MV,D,20130114,000000,1034.35,1034.35,1034.35,1034.35,0,0
TRR_MV,D,20130115,000000,1045.01,1045.01,1034.35,1034.35,0,0
TRR_MV,D,20130117,000000,1036.48,1036.48,1036.48,1036.48,0,0
TRR_MV,D,20130118,000000,1055.67,1055.67,1045.01,1045.01,0,0
TRR_MV,D,20130121,000000,1066.34,1140.98,1066.34,1140.98,0,0
TRR_MV,D,20130122,000000,1204.96,1204.96,1140.98,1140.98,0,0
TRR_MV,D,20130123,000000,1131.38,1131.38,1131.38,1131.38,0,0
TRR_MV,D,20130124,000000,1132.45,1132.45,1132.45,1132.45,0,0
TRR_MV,D,20130125,000000,1172.97,1172.97,1133.52,1133.52,0,0
TRR_MV,D,20130128,000000,1215.63,1215.63,1210.29,1210.29,0,0
TRR_MV,D,20130129,000000,1210.29,1210.29,1210.29,1210.29,0,0
TRR_MV,D,20130130,000000,1172.97,1172.97,1172.97,1172.97,0,0
TRR_MV,D,20130131,000000,1172.97,1172.97,1172.97,1172.97,0,0
TRR_MV,D,20130201,000000,1226.29,1274.27,1194.3,1274.27,0,0
TRR_MV,D,20130204,000000,1194.3,1204.96,1194.3,1204.96,0,0
TRR_MV,D,20130205,000000,1204.96,1204.96,1194.3,1194.3,0,0
TRR_MV,D,20130206,000000,1130.32,1130.32,1130.32,1130.32,0,0
TRR_MV,D,20130207,000000,1111.12,1111.12,1111.12,1111.12,0,0
TRR_MV,D,20130208,000000,1093,1093,1093,1093,0,0
TRR_MV,D,20130211,000000,1087.66,1087.66,970.368,970.368,0,0
TRR_MV,D,20130212,000000,854.137,854.137,783.758,853.07,0,0
TRR_MV,D,20130213,000000,746.437,813.616,746.437,813.616,0,0
TRR_MV,D,20130214,000000,821.08,853.07,747.503,747.503,0,0
TRR_MV,D,20130215,000000,784.825,784.825,784.825,784.825,0,0
TRR_MV,D,20130218,000000,784.825,784.825,784.825,784.825,0,0
TRR_MV,D,20130219,000000,784.825,784.825,784.825,784.825,0,0
TRR_MV,D,20130220,000000,794.422,794.422,794.422,794.422,0,0
TRR_MV,D,20130222,000000,794.422,794.422,794.422,794.422,0,0
TRR_MV,D,20130225,000000,794.422,794.422,794.422,794.422,0,0
TRR_MV,D,20130226,000000,794.422,794.422,794.422,794.422,0,0
TRR_MV,D,20130227,000000,794.422,794.422,794.422,794.422,0,0
TRR_MV,D,20130228,000000,794.422,794.422,794.422,794.422,0,0
TRR_MV,D,20130301,000000,794.422,842.407,794.422,842.407,0,0
TRR_MV,D,20130304,000000,794.422,794.422,794.422,794.422,0,0
TRR_MV,D,20130305,000000,809.351,809.351,809.351,809.351,0,0
TRR_MV,D,20130306,000000,815.749,815.749,809.351,809.351,0,0
TRR_MV,D,20130307,000000,810.417,810.417,810.417,810.417,0,0
TRR_MV,D,20130308,000000,816.815,816.815,816.815,816.815,0,0
TRR_MV,D,20130311,000000,816.815,816.815,816.815,816.815,0,0
TRR_MV,D,20130312,000000,795.488,853.07,795.488,853.07,0,0
TRR_MV,D,20130313,000000,821.08,831.744,821.08,831.744,0,0
TRR_MV,D,20130314,000000,800.82,800.82,800.82,800.82,0,0
TRR_MV,D,20130318,000000,799.754,799.754,799.754,799.754,0,0
TRR_MV,D,20130319,000000,799.754,799.754,799.754,799.754,0,0
TRR_MV,D,20130320,000000,795.488,795.488,794.422,794.422,0,0
TRR_MV,D,20130321,000000,797.621,810.417,797.621,810.417,0,0
TRR_MV,D,20130322,000000,799.754,799.754,799.754,799.754,0,0
TRR_MV,D,20130325,000000,794.422,794.422,794.422,794.422,0,0
TRR_MV,D,20130326,000000,794.422,834.943,794.422,834.943,0,0
TRR_MV,D,20130327,000000,794.422,794.422,794.422,794.422,0,0
TRR_MV,D,20130328,000000,795.488,795.488,795.488,795.488,0,0
TRR_MV,D,20130402,000000,794.422,818.948,794.422,818.948,0,0
TRR_MV,D,20130403,000000,799.754,831.744,799.754,831.744,0,0
TRR_MV,D,20130404,000000,799.754,799.754,799.754,799.754,0,0
TRR_MV,D,20130405,000000,810.417,831.744,810.417,831.744,0,0
TRR_MV,D,20130408,000000,831.744,831.744,831.744,831.744,0,0
TRR_MV,D,20130409,000000,799.754,799.754,799.754,799.754,0,0
TRR_MV,D,20130410,000000,794.422,831.744,794.422,831.744,0,0
TRR_MV,D,20130411,000000,810.417,831.744,810.417,831.744,0,0
TRR_MV,D,20130412,000000,799.754,799.754,799.754,799.754,0,0
TRR_MV,D,20130415,000000,805.085,805.085,805.085,805.085,0,0
TRR_MV,D,20130417,000000,805.085,805.085,805.085,805.085,0,0
TRR_MV,D,20130418,000000,773.095,773.095,773.095,773.095,0,0
TRR_MV,D,20130419,000000,774.161,774.161,774.161,774.161,0,0
TRR_MV,D,20130422,000000,810.417,831.744,810.417,831.744,0,0
TRR_MV,D,20130423,000000,805.085,805.085,805.085,805.085,0,0
TRR_MV,D,20130424,000000,805.085,805.085,805.085,805.085,0,0
TRR_MV,D,20130425,000000,805.085,805.085,805.085,805.085,0,0
TRR_MV,D,20130426,000000,805.085,805.085,805.085,805.085,0,0
TRR_MV,D,20130429,000000,789.09,789.09,789.09,789.09,0,0
TRR_MV,D,20130430,000000,810.417,810.417,810.417,810.417,0,0
TRR_MV,D,20130502,000000,773.095,773.095,773.095,773.095,0,0
TRR_MV,D,20130506,000000,821.08,821.08,805.085,805.085,0,0
TRR_MV,D,20130507,000000,815.749,821.08,810.417,810.417,0,0
TRR_MV,D,20130508,000000,810.417,831.744,810.417,831.744,0,0
TRR_MV,D,20130509,000000,831.744,847.739,831.744,847.739,0,0
TRR_MV,D,20130510,000000,847.739,847.739,806.152,842.407,0,0
TRR_MV,D,20130513,000000,853.07,853.07,832.81,832.81,0,0
TRR_MV,D,20130514,000000,832.81,832.81,832.81,832.81,0,0
TRR_MV,D,20130515,000000,831.744,831.744,810.417,810.417,0,0
TRR_MV,D,20130517,000000,821.08,821.08,821.08,821.08,0,0
TRR_MV,D,20130520,000000,821.08,821.08,821.08,821.08,0,0
TRR_MV,D,20130521,000000,821.08,821.08,821.08,821.08,0,0
TRR_MV,D,20130522,000000,831.744,831.744,821.08,821.08,0,0
TRR_MV,D,20130523,000000,821.08,821.08,821.08,821.08,0,0
TRR_MV,D,20130524,000000,821.08,821.08,821.08,821.08,0,0
TRR_MV,D,20130527,000000,821.08,821.08,821.08,821.08,0,0
TRR_MV,D,20130528,000000,821.08,821.08,821.08,821.08,0,0
TRR_MV,D,20130529,000000,821.08,821.08,821.08,821.08,0,0
TRR_MV,D,20130531,000000,821.08,821.08,821.08,821.08,0,0
TRR_MV,D,20130603,000000,821.08,821.08,821.08,821.08,0,0
TRR_MV,D,20130604,000000,821.08,821.08,821.08,821.08,0,0
TRR_MV,D,20130605,000000,821.08,821.08,821.08,821.08,0,0
TRR_MV,D,20130606,000000,821.08,821.08,821.08,821.08,0,0
TRR_MV,D,20130607,000000,821.08,821.08,821.08,821.08,0,0
TRR_MV,D,20130610,000000,821.08,821.08,821.08,821.08,0,0
TRR_MV,D,20130611,000000,821.08,826.412,821.08,826.412,0,0
TRR_MV,D,20130612,000000,826.412,826.412,826.412,826.412,0,0
TRR_MV,D,20130613,000000,826.412,826.412,826.412,826.412,0,0
TRR_MV,D,20130614,000000,826.412,826.412,826.412,826.412,0,0
TRR_MV,D,20130617,000000,826.412,826.412,826.412,826.412,0,0
TRR_MV,D,20130618,000000,821.08,821.08,821.08,821.08,0,0
TRR_MV,D,20130620,000000,810.417,810.417,810.417,810.417,0,0
TRR_MV,D,20130621,000000,821.08,821.08,821.08,821.08,0,0
TRR_MV,D,20130624,000000,829.611,829.611,829.611,829.611,0,0
TRR_MV,D,20130625,000000,831.744,831.744,831.744,831.744,0,0
TRR_MV,D,20130626,000000,821.08,821.08,821.08,821.08,0,0
TRR_MV,D,20130628,000000,799.754,799.754,799.754,799.754,0,0
TRR_MV,D,20130701,000000,810.417,810.417,810.417,810.417,0,0
TRR_MV,D,20130702,000000,831.744,831.744,831.744,831.744,0,0
TRR_MV,D,20130703,000000,831.744,831.744,831.744,831.744,0,0
TRR_MV,D,20130704,000000,842.407,842.407,842.407,842.407,0,0
TRR_MV,D,20130705,000000,842.407,842.407,842.407,842.407,0,0
TRR_MV,D,20130708,000000,842.407,845.606,842.407,842.407,0,0
TRR_MV,D,20130710,000000,831.744,831.744,831.744,831.744,0,0
TRR_MV,D,20130712,000000,831.744,866.933,831.744,866.933,0,0
TRR_MV,D,20130715,000000,879.729,879.729,863.734,863.734,0,0
TRR_MV,D,20130716,000000,874.397,874.397,863.734,863.734,0,0
TRR_MV,D,20130717,000000,874.397,874.397,874.397,874.397,0,0
TRR_MV,D,20130718,000000,874.397,874.397,863.734,863.734,0,0
TRR_MV,D,20130719,000000,874.397,874.397,863.734,863.734,0,0
TRR_MV,D,20130722,000000,869.065,869.065,853.07,853.07,0,0
TRR_MV,D,20130723,000000,863.734,863.734,842.407,842.407,0,0
TRR_MV,D,20130724,000000,842.407,842.407,831.744,831.744,0,0
TRR_MV,D,20130725,000000,842.407,858.402,842.407,858.402,0,0
TRR_MV,D,20130726,000000,861.601,861.601,860.535,861.601,0,0
TRR_MV,D,20130730,000000,869.065,902.122,869.065,902.122,0,0
TRR_MV,D,20130731,000000,901.056,901.056,901.056,901.056,0,0
TRR_MV,D,20130801,000000,901.056,901.056,901.056,901.056,0,0
TRR_MV,D,20130802,000000,901.056,901.056,901.056,901.056,0,0
TRR_MV,D,20130805,000000,901.056,901.056,901.056,901.056,0,0
TRR_MV,D,20130806,000000,901.056,901.056,901.056,901.056,0,0
TRR_MV,D,20130807,000000,901.056,901.056,901.056,901.056,0,0
TRR_MV,D,20130808,000000,895.724,895.724,895.724,895.724,0,0
TRR_MV,D,20130809,000000,885.061,901.056,885.061,901.056,0,0
TRR_MV,D,20130812,000000,901.056,901.056,810.417,810.417,0,0
TRR_MV,D,20130813,000000,842.407,847.739,842.407,847.739,0,0
