<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TXT_MV,D,20140411,000000,277.413,277.413,277.413,277.413,0,0
TXT_MV,D,20140414,000000,275.762,275.762,267.663,269.928,0,0
TXT_MV,D,20140415,000000,269.928,272.464,268.432,269.766,0,0
TXT_MV,D,20140416,000000,269.766,271.867,268.432,268.432,0,0
TXT_MV,D,20140417,000000,266.927,272.923,266.927,269.928,0,0
TXT_MV,D,20140422,000000,274.265,278.763,270.665,278.167,0,0
TXT_MV,D,20140423,000000,277.413,278.919,275.917,278.167,0,0
TXT_MV,D,20140424,000000,278.167,278.167,278.028,278.028,0,0
TXT_MV,D,20140425,000000,275.629,278.028,269.928,278.028,0,0
TXT_MV,D,20140428,000000,278.167,278.167,270.067,277.283,0,0
TXT_MV,D,20140429,000000,277.283,277.283,270.067,277.283,0,0
TXT_MV,D,20140430,000000,278.167,278.167,269.928,275.762,0,0
TXT_MV,D,20140502,000000,277.113,277.113,269.928,269.928,0,0
TXT_MV,D,20140505,000000,275.917,276.831,271.425,271.425,0,0
TXT_MV,D,20140506,000000,271.425,274.412,269.928,271.425,0,0
TXT_MV,D,20140507,000000,269.928,269.928,266.615,269.029,0,0
TXT_MV,D,20140508,000000,269.029,269.162,268.57,268.57,0,0
TXT_MV,D,20140509,000000,268.726,268.726,265.421,265.421,0,0
TXT_MV,D,20140512,000000,265.421,265.421,250.72,257.929,0,0
TXT_MV,D,20140513,000000,260.775,260.775,254.917,257.633,0,0
TXT_MV,D,20140514,000000,255.234,255.234,253.42,255.234,0,0
TXT_MV,D,20140515,000000,254.917,262.425,254.917,262.425,0,0
TXT_MV,D,20140516,000000,262.294,262.294,254.917,262.294,0,0
TXT_MV,D,20140519,000000,261.674,261.674,261.674,261.674,0,0
TXT_MV,D,20140520,000000,256.578,257.028,250.131,256.702,0,0
TXT_MV,D,20140521,000000,256.578,256.88,249.673,255.677,0,0
TXT_MV,D,20140522,000000,257.028,269.029,254.917,269.029,0,0
TXT_MV,D,20140523,000000,267.663,269.766,267.663,269.766,0,0
TXT_MV,D,20140526,000000,269.766,270.665,269.766,270.665,0,0
TXT_MV,D,20140527,000000,269.928,270.665,266.167,269.617,0,0
