<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UCG_MV,D,20071220,000000,140714,140714,140714,140714,0,0
UCG_MV,D,20071221,000000,146314,146314,140714,143585,0,0
UCG_MV,D,20071227,000000,143514,143514,142184,142254,0,0
UCG_MV,D,20071228,000000,142813,143164,141415,143095,0,0
UCG_MV,D,20080102,000000,144566,144566,141135,141415,0,0
UCG_MV,D,20080103,000000,140364,141415,138965,140014,0,0
UCG_MV,D,20080104,000000,140714,141415,137494,138404,0,0
UCG_MV,D,20080107,000000,136515,138404,136515,137564,0,0
UCG_MV,D,20080108,000000,137914,137914,134554,134554,0,0
UCG_MV,D,20080109,000000,133714,137914,129723,137354,0,0
UCG_MV,D,20080110,000000,138614,141135,135114,135114,0,0
UCG_MV,D,20080111,000000,138614,141555,138614,141555,0,0
UCG_MV,D,20080114,000000,143514,143514,143514,143514,0,0
UCG_MV,D,20080115,000000,146314,146314,138824,138824,0,0
UCG_MV,D,20080116,000000,129512,141415,129512,141415,0,0
UCG_MV,D,20080117,000000,140714,141135,138614,140014,0,0
UCG_MV,D,20080118,000000,138614,138894,138124,138124,0,0
UCG_MV,D,20080121,000000,138614,138614,127063,131263,0,0
UCG_MV,D,20080122,000000,126083,129162,122512,126992,0,0
UCG_MV,D,20080123,000000,127063,127063,120693,123143,0,0
UCG_MV,D,20080124,000000,127624,131963,127624,131894,0,0
UCG_MV,D,20080125,000000,127272,130984,127272,128953,0,0
UCG_MV,D,20080128,000000,124613,126854,124613,126782,0,0
UCG_MV,D,20080129,000000,129512,129654,124613,124613,0,0
UCG_MV,D,20080130,000000,124823,125384,124823,125384,0,0
UCG_MV,D,20080131,000000,125873,125873,122583,123213,0,0
UCG_MV,D,20080201,000000,123913,126713,123913,126012,0,0
UCG_MV,D,20080204,000000,128113,128113,128042,128042,0,0
UCG_MV,D,20080205,000000,127833,127833,124332,124332,0,0
UCG_MV,D,20080206,000000,122442,123913,119922,123913,0,0
UCG_MV,D,20080207,000000,125243,125243,119922,119922,0,0
UCG_MV,D,20080208,000000,119922,119922,114882,117052,0,0
UCG_MV,D,20080211,000000,113623,116912,113623,114812,0,0
UCG_MV,D,20080212,000000,118243,119713,118243,119713,0,0
UCG_MV,D,20080213,000000,122162,125733,122162,125733,0,0
UCG_MV,D,20080214,000000,126012,127693,123913,124613,0,0
UCG_MV,D,20080215,000000,124613,124613,121182,121182,0,0
UCG_MV,D,20080218,000000,121813,121813,121463,121463,0,0
UCG_MV,D,20080219,000000,120484,124542,120484,123213,0,0
UCG_MV,D,20080220,000000,123072,123213,123072,123213,0,0
UCG_MV,D,20080221,000000,124613,124613,123003,123003,0,0
UCG_MV,D,20080222,000000,122723,122723,122162,122162,0,0
UCG_MV,D,20080225,000000,123143,123213,122512,122512,0,0
UCG_MV,D,20080226,000000,125312,125312,125312,125312,0,0
UCG_MV,D,20080227,000000,121813,125943,121813,125943,0,0
UCG_MV,D,20080228,000000,127414,127414,126644,126644,0,0
UCG_MV,D,20080303,000000,124823,124823,119013,119223,0,0
UCG_MV,D,20080304,000000,119713,119713,115511,115511,0,0
UCG_MV,D,20080306,000000,118312,118872,117612,117612,0,0
UCG_MV,D,20080307,000000,117612,117612,115511,115511,0,0
UCG_MV,D,20080310,000000,113623,115511,113623,115511,0,0
UCG_MV,D,20080311,000000,114743,119013,114743,118312,0,0
UCG_MV,D,20080312,000000,119013,120412,118312,119013,0,0
UCG_MV,D,20080313,000000,117961,119013,109211,113342,0,0
UCG_MV,D,20080314,000000,112010,113132,109912,110613,0,0
UCG_MV,D,20080317,000000,109211,109211,105150,108161,0,0
UCG_MV,D,20080319,000000,108510,108510,108441,108441,0,0
UCG_MV,D,20080320,000000,107112,107112,101511,101861,0,0
UCG_MV,D,20080325,000000,106410,106692,105150,105150,0,0
UCG_MV,D,20080326,000000,107811,107811,102210,102210,0,0
UCG_MV,D,20080327,000000,103961,105571,102210,105011,0,0
UCG_MV,D,20080331,000000,103611,103611,103611,103611,0,0
UCG_MV,D,20080401,000000,107112,109981,107112,109981,0,0
UCG_MV,D,20080402,000000,112010,114672,111941,114672,0,0
UCG_MV,D,20080403,000000,114112,114112,114112,114112,0,0
UCG_MV,D,20080404,000000,115653,116562,115582,115721,0,0
UCG_MV,D,20080407,000000,116912,121813,115863,121813,0,0
UCG_MV,D,20080408,000000,121743,121813,118312,119013,0,0
UCG_MV,D,20080409,000000,117752,117752,116213,117263,0,0
UCG_MV,D,20080410,000000,116562,117263,116002,116562,0,0
UCG_MV,D,20080411,000000,117961,117961,114251,114322,0,0
UCG_MV,D,20080414,000000,114743,116842,110613,110613,0,0
UCG_MV,D,20080415,000000,110750,110750,108581,109002,0,0
UCG_MV,D,20080416,000000,109561,109561,109561,109561,0,0
UCG_MV,D,20080417,000000,110051,110541,109981,110541,0,0
UCG_MV,D,20080418,000000,112010,114392,112010,113623,0,0
UCG_MV,D,20080421,000000,113623,115441,113623,115441,0,0
UCG_MV,D,20080422,000000,115372,115372,112081,114042,0,0
UCG_MV,D,20080423,000000,110472,110541,110472,110541,0,0
UCG_MV,D,20080424,000000,112362,112362,112152,112152,0,0
UCG_MV,D,20080425,000000,112010,118941,112010,118941,0,0
UCG_MV,D,20080428,000000,115511,119713,115511,119713,0,0
UCG_MV,D,20080429,000000,117893,117961,117893,117893,0,0
UCG_MV,D,20080430,000000,118312,118312,117472,117472,0,0
UCG_MV,D,20080505,000000,119713,120763,119713,120062,0,0
UCG_MV,D,20080506,000000,119223,119223,119152,119152,0,0
UCG_MV,D,20080507,000000,121043,121043,116983,117612,0,0
UCG_MV,D,20080508,000000,117612,117612,115863,115863,0,0
UCG_MV,D,20080509,000000,114812,114812,110613,111310,0,0
UCG_MV,D,20080512,000000,118872,118872,111310,112010,0,0
UCG_MV,D,20080513,000000,112081,112081,112010,112081,0,0
UCG_MV,D,20080514,000000,113762,113762,113271,113271,0,0
UCG_MV,D,20080515,000000,111732,114392,111732,113413,0,0
UCG_MV,D,20080516,000000,112221,112712,112152,112152,0,0
UCG_MV,D,20080519,000000,117708,117708,111929,111929,0,0
UCG_MV,D,20080520,000000,110893,110966,110226,110966,0,0
UCG_MV,D,20080521,000000,111114,111114,108892,109040,0,0
UCG_MV,D,20080523,000000,110226,112152,109040,110077,0,0
UCG_MV,D,20080526,000000,111041,111041,100819,108226,0,0
UCG_MV,D,20080527,000000,110373,110373,106670,110300,0,0
UCG_MV,D,20080528,000000,110373,110373,110003,110003,0,0
UCG_MV,D,20080529,000000,111114,111114,108300,108300,0,0
UCG_MV,D,20080530,000000,108594,108594,108594,108594,0,0
UCG_MV,D,20080603,000000,111041,111041,108892,108892,0,0
UCG_MV,D,20080604,000000,107781,108152,106966,106966,0,0
UCG_MV,D,20080605,000000,107633,107633,107633,107633,0,0
UCG_MV,D,20080606,000000,107781,107781,105559,106819,0,0
UCG_MV,D,20080609,000000,103337,106819,103337,103337,0,0
UCG_MV,D,20080610,000000,100819,103337,100819,101855,0,0
UCG_MV,D,20080611,000000,101855,102225,101040,101040,0,0
UCG_MV,D,20080612,000000,99632.3,102966,99632.3,100003,0,0
UCG_MV,D,20080613,000000,99632.3,102373,99632.3,102373,0,0
UCG_MV,D,20080616,000000,102597,102966,99558,99558,0,0
UCG_MV,D,20080617,000000,101113,101113,99558,101113,0,0
UCG_MV,D,20080618,000000,101484,102597,101484,101855,0,0
UCG_MV,D,20080619,000000,100372,100448,100003,100448,0,0
UCG_MV,D,20080620,000000,101484,101484,99262.9,99262.9,0,0
UCG_MV,D,20080623,000000,98965.8,100150,98965.8,100150,0,0
UCG_MV,D,20080624,000000,103707,103707,99262.9,99262.9,0,0
UCG_MV,D,20080625,000000,100003,101113,100003,101113,0,0
UCG_MV,D,20080626,000000,98743.9,98743.9,98668.7,98668.7,0,0
UCG_MV,D,20080627,000000,97187.2,97187.2,95781.4,96965.4,0,0
UCG_MV,D,20080630,000000,94447.3,95187,94447.3,94447.3,0,0
UCG_MV,D,20080701,000000,94076.7,94076.7,91854.9,91854.9,0,0
UCG_MV,D,20080702,000000,93336.5,93336.5,92668.6,93336.5,0,0
UCG_MV,D,20080703,000000,92595,92595,92447.3,92447.3,0,0
UCG_MV,D,20080704,000000,91854.9,91928.6,91854.9,91854.9,0,0
UCG_MV,D,20080707,000000,91781,91781,89113.5,89113.5,0,0
UCG_MV,D,20080708,000000,85187.4,86372.9,85187.4,86299,0,0
UCG_MV,D,20080709,000000,88150.8,88965.9,88150.8,88965.9,0,0
UCG_MV,D,20080710,000000,89632.2,90002.3,88892.1,90002.3,0,0
UCG_MV,D,20080711,000000,90373.4,90373.4,87484.4,87484.4,0,0
UCG_MV,D,20080714,000000,88965.9,88965.9,86594.9,86594.9,0,0
UCG_MV,D,20080715,000000,86076.8,86076.8,82817.2,82817.2,0,0
UCG_MV,D,20080716,000000,82224.6,82595.3,81484,82595.3,0,0
UCG_MV,D,20080717,000000,84372.8,88892.1,84372.8,88892.1,0,0
UCG_MV,D,20080718,000000,88892.1,88892.1,88224.7,88224.7,0,0
UCG_MV,D,20080721,000000,90521,91262.3,90521,91262.3,0,0
UCG_MV,D,20080722,000000,90668.8,91113.7,90373.4,91113.7,0,0
UCG_MV,D,20080723,000000,93336.5,95928.3,91113.7,94225,0,0
UCG_MV,D,20080724,000000,99781.8,99781.8,95632.6,96299,0,0
UCG_MV,D,20080725,000000,96299,96299,92966,93336.5,0,0
UCG_MV,D,20080728,000000,92966,92966,92595,92595,0,0
UCG_MV,D,20080729,000000,90002.3,90002.3,87558.1,88892.1,0,0
UCG_MV,D,20080730,000000,92966,92966,90743.4,92150.1,0,0
UCG_MV,D,20080731,000000,90521,91854.9,90373.4,91854.9,0,0
UCG_MV,D,20080801,000000,91113.7,91113.7,91113.7,91113.7,0,0
UCG_MV,D,20080804,000000,95781.4,95781.4,88224.7,88224.7,0,0
UCG_MV,D,20080805,000000,85261.5,91113.7,85261.5,91113.7,0,0
UCG_MV,D,20080806,000000,94300,94891.3,94076.7,94076.7,0,0
UCG_MV,D,20080807,000000,94818.3,96299,94225,94225,0,0
UCG_MV,D,20080808,000000,94149.9,94149.9,94149.9,94149.9,0,0
UCG_MV,D,20080811,000000,95928.3,96965.4,95557.7,95557.7,0,0
UCG_MV,D,20080812,000000,95632.6,95632.6,95262.9,95262.9,0,0
UCG_MV,D,20080813,000000,93040.1,93040.1,91558.5,91558.5,0,0
UCG_MV,D,20080814,000000,93409.8,93409.8,91484.6,91484.6,0,0
UCG_MV,D,20080818,000000,91484.6,92966,91484.6,92966,0,0
UCG_MV,D,20080819,000000,90373.4,90373.4,90373.4,90373.4,0,0
UCG_MV,D,20080820,000000,89632.2,89632.2,87410.3,87558.1,0,0
UCG_MV,D,20080821,000000,88892.1,88892.1,87558.1,87558.1,0,0
UCG_MV,D,20080822,000000,85187.4,88965.9,85187.4,88965.9,0,0
UCG_MV,D,20080825,000000,87780.3,87780.3,87632.2,87632.2,0,0
UCG_MV,D,20080826,000000,86372.9,86669.6,86372.9,86669.6,0,0
UCG_MV,D,20080827,000000,86669.6,86743.6,86669.6,86743.6,0,0
UCG_MV,D,20080828,000000,89632.2,91113.7,89632.2,91113.7,0,0
UCG_MV,D,20080829,000000,93706.2,93706.2,90743.4,90743.4,0,0
UCG_MV,D,20080901,000000,91410,91410,90002.3,91113.7,0,0
UCG_MV,D,20080902,000000,91187.5,94076.7,91187.5,94076.7,0,0
UCG_MV,D,20080904,000000,94076.7,95114.1,94076.7,95114.1,0,0
UCG_MV,D,20080905,000000,94225,94225,90818.3,93409.8,0,0
UCG_MV,D,20080908,000000,94818.3,100003,94818.3,99632.3,0,0
UCG_MV,D,20080909,000000,100003,100003,99632.3,99632.3,0,0
UCG_MV,D,20080910,000000,98891.5,98891.5,97410,97410,0,0
UCG_MV,D,20080911,000000,94225,94225,92595,92595,0,0
UCG_MV,D,20080912,000000,93336.5,93336.5,92595,92595,0,0
UCG_MV,D,20080915,000000,88892.1,88892.1,86743.6,86743.6,0,0
UCG_MV,D,20080916,000000,88594.8,89854.7,86817.5,86817.5,0,0
UCG_MV,D,20080917,000000,88002.3,88002.3,81484,83928.8,0,0
UCG_MV,D,20080918,000000,83706,83706,76594.9,80595.1,0,0
UCG_MV,D,20080919,000000,80743.2,88668.6,80595.1,85928.2,0,0
UCG_MV,D,20080922,000000,89039.7,91187.5,88818.1,88892.1,0,0
UCG_MV,D,20080923,000000,83632,85410.2,82298.6,83632,0,0
UCG_MV,D,20080924,000000,82817.2,83632,81558,81558,0,0
UCG_MV,D,20080925,000000,81484,82521.3,81484,82521.3,0,0
UCG_MV,D,20080926,000000,83632,83632,81113.3,83039.4,0,0
UCG_MV,D,20080929,000000,83039.4,83039.4,75335.5,75335.5,0,0
UCG_MV,D,20080930,000000,75335.5,75335.5,69705.8,72594.5,0,0
UCG_MV,D,20081001,000000,72594.5,72594.5,67409.7,72594.5,0,0
UCG_MV,D,20081002,000000,75335.5,77928.3,72594.5,74224.8,0,0
UCG_MV,D,20081003,000000,75706.2,75706.2,72224.7,72965.3,0,0
UCG_MV,D,20081006,000000,72594.5,75335.5,67779.8,74150,0,0
UCG_MV,D,20081007,000000,74150,74150,68743.1,74002.1,0,0
UCG_MV,D,20081008,000000,66668.7,74002.1,65483.5,68668.3,0,0
UCG_MV,D,20081009,000000,66668.7,66668.7,64742.6,66372.3,0,0
UCG_MV,D,20081010,000000,62224,63631.6,60742.6,62964.9,0,0
UCG_MV,D,20081013,000000,63409.4,63409.4,62964.9,63409.4,0,0
UCG_MV,D,20081014,000000,70001.9,72668.7,69631.8,69631.8,0,0
UCG_MV,D,20081015,000000,69631.8,69631.8,67631.6,67631.6,0,0
UCG_MV,D,20081016,000000,62446.3,68150.5,62446.3,63705.6,0,0
UCG_MV,D,20081017,000000,63705.6,63705.6,59260.9,59705.6,0,0
UCG_MV,D,20081020,000000,62668.5,62816.7,61039,61039,0,0
UCG_MV,D,20081021,000000,61779.6,62001.8,58890.6,62001.8,0,0
UCG_MV,D,20081022,000000,60001.8,60001.8,59260.9,59260.9,0,0
UCG_MV,D,20081023,000000,57779.5,59260.9,53260.8,53260.8,0,0
UCG_MV,D,20081024,000000,53260.8,53260.8,52297.9,52964.5,0,0
UCG_MV,D,20081027,000000,47038.4,48519.9,46964.4,48519.9,0,0
UCG_MV,D,20081028,000000,45557,45631.1,44445.8,44445.8,0,0
UCG_MV,D,20081029,000000,48149.5,48149.5,44445.8,44445.8,0,0
UCG_MV,D,20081030,000000,47408.9,48890.3,45482.9,48890.3,0,0
UCG_MV,D,20081031,000000,48890.3,50223.8,47779.2,47853.3,0,0
UCG_MV,D,20081103,000000,48149.5,51260.8,48149.5,48890.3,0,0
UCG_MV,D,20081104,000000,49334.8,52964.5,49334.8,52964.5,0,0
UCG_MV,D,20081105,000000,52964.5,58594.4,52964.5,57779.5,0,0
UCG_MV,D,20081106,000000,50446,57779.5,50446,55557.2,0,0
UCG_MV,D,20081107,000000,55557.2,55557.2,52668.3,54001.5,0,0
UCG_MV,D,20081110,000000,58372.1,58372.1,58298,58298,0,0
UCG_MV,D,20081112,000000,57335,57335,52594.2,52594.2,0,0
UCG_MV,D,20081113,000000,45557,54372,45557,54372,0,0
UCG_MV,D,20081114,000000,55186.8,55186.8,55186.8,55186.8,0,0
UCG_MV,D,20081117,000000,52149.6,52149.6,52149.6,52149.6,0,0
UCG_MV,D,20081118,000000,49557.1,50075.5,49260.8,50075.5,0,0
UCG_MV,D,20081120,000000,46668.1,46742.1,46668.1,46742.1,0,0
UCG_MV,D,20081121,000000,46742.1,49409,46742.1,48223.7,0,0
UCG_MV,D,20081124,000000,47631.1,48519.9,47631.1,48519.9,0,0
UCG_MV,D,20081125,000000,50964.4,52149.6,49260.8,52149.6,0,0
UCG_MV,D,20081126,000000,49334.8,49631,47631.1,48371.9,0,0
UCG_MV,D,20081127,000000,47334.7,50372,47334.7,48890.3,0,0
UCG_MV,D,20081128,000000,48890.3,49409,48890.3,48905.2,0,0
UCG_MV,D,20081201,000000,50239,50239,48905.2,49275.8,0,0
UCG_MV,D,20081202,000000,46312,49275.8,46312,47793.8,0,0
UCG_MV,D,20081203,000000,51795.2,51795.2,47423.3,47423.3,0,0
UCG_MV,D,20081204,000000,48831.2,49201.6,47423.3,47423.3,0,0
UCG_MV,D,20081205,000000,46385.8,46534.1,44311.2,44311.2,0,0
UCG_MV,D,20081208,000000,45644.9,47126.9,45644.9,47126.9,0,0
UCG_MV,D,20081209,000000,48090.3,48164.3,47645.6,48164.3,0,0
UCG_MV,D,20081210,000000,48238.5,49720.5,48238.5,49720.5,0,0
UCG_MV,D,20081211,000000,49942.7,49942.7,47867.9,47867.9,0,0
UCG_MV,D,20081212,000000,45867.4,45941.4,44533.5,45570.9,0,0
UCG_MV,D,20081215,000000,45570.9,45570.9,45052.2,45052.2,0,0
UCG_MV,D,20081216,000000,45422.7,46089.6,45422.7,45941.4,0,0
UCG_MV,D,20081217,000000,45644.9,48534.8,45644.9,46978.7,0,0
UCG_MV,D,20081218,000000,47423.3,47423.3,47052.9,47201.1,0,0
UCG_MV,D,20081219,000000,46682.4,47571.5,45941.4,47571.5,0,0
UCG_MV,D,20081222,000000,48534.8,50757.8,48534.8,50016.9,0,0
UCG_MV,D,20081223,000000,51128.2,51128.2,49720.5,50757.8,0,0
UCG_MV,D,20081229,000000,50461.5,51498.8,50461.5,51498.8,0,0
UCG_MV,D,20081230,000000,51498.8,53128.9,50387.3,53128.9,0,0
UCG_MV,D,20081231,000000,53128.9,53128.9,53054.7,53054.7,0,0
UCG_MV,D,20090105,000000,53128.9,55944.8,53054.7,55944.8,0,0
UCG_MV,D,20090106,000000,58982.9,59797.9,55796.5,59797.9,0,0
UCG_MV,D,20090107,000000,60464.8,60464.8,56759.8,56759.8,0,0
UCG_MV,D,20090108,000000,56241.1,56982.1,55500.1,55500.1,0,0
UCG_MV,D,20090109,000000,54685,54685,53351.2,54685,0,0
UCG_MV,D,20090112,000000,54092.2,55500.1,53870,54092.2,0,0
UCG_MV,D,20090113,000000,55055.6,55055.6,52832.6,52832.6,0,0
UCG_MV,D,20090114,000000,52832.6,52832.6,50016.9,50016.9,0,0
UCG_MV,D,20090115,000000,50016.9,51054.2,48757,48757,0,0
UCG_MV,D,20090116,000000,48757,48757,48757,48757,0,0
UCG_MV,D,20090119,000000,49572.3,49572.3,46460.1,46460.1,0,0
UCG_MV,D,20090120,000000,45719.2,46015.4,44459.4,44459.4,0,0
UCG_MV,D,20090121,000000,44459.4,44459.4,43125.5,43125.5,0,0
UCG_MV,D,20090122,000000,44978.1,45126.3,40976.6,40976.6,0,0
UCG_MV,D,20090123,000000,40680.4,40680.4,39346.4,40383.9,0,0
UCG_MV,D,20090126,000000,40754.4,40754.4,39717.1,39717.1,0,0
UCG_MV,D,20090127,000000,41124.9,41643.7,39791.1,40606.2,0,0
UCG_MV,D,20090128,000000,43792.5,43940.7,40606.2,43940.7,0,0
UCG_MV,D,20090129,000000,44237.1,45867.4,43051.5,43051.5,0,0
UCG_MV,D,20090130,000000,43422,46756.4,43422,46756.4,0,0
UCG_MV,D,20090202,000000,47052.9,47052.9,42458.7,42606.8,0,0
UCG_MV,D,20090203,000000,38976.1,43496,38976.1,42977.3,0,0
UCG_MV,D,20090204,000000,44311.2,44755.8,42977.3,44681.8,0,0
UCG_MV,D,20090205,000000,44162.9,45719.2,44162.9,44311.2,0,0
UCG_MV,D,20090206,000000,46682.4,46682.4,43718.3,44830,0,0
UCG_MV,D,20090209,000000,45570.9,47793.8,45496.7,45496.7,0,0
UCG_MV,D,20090210,000000,48979.4,48979.4,46312,48164.3,0,0
UCG_MV,D,20090211,000000,48164.3,48164.3,47867.9,47867.9,0,0
UCG_MV,D,20090212,000000,48905.2,48905.2,45274.5,45941.4,0,0
UCG_MV,D,20090213,000000,47052.9,47052.9,44978.1,44978.1,0,0
UCG_MV,D,20090216,000000,40754.4,44385.4,40754.4,44014.7,0,0
UCG_MV,D,20090217,000000,40013.5,41643.7,40013.5,40754.4,0,0
UCG_MV,D,20090218,000000,41865.8,41865.8,36382.6,37345.9,0,0
UCG_MV,D,20090219,000000,35567.6,36382.6,34307.8,35567.6,0,0
UCG_MV,D,20090220,000000,35641.6,35641.6,32084.9,32084.9,0,0
UCG_MV,D,20090223,000000,33344.5,34233.7,31714.4,31714.4,0,0
UCG_MV,D,20090224,000000,31862.5,32158.9,31862.5,32158.9,0,0
UCG_MV,D,20090225,000000,33122.2,33196.4,31862.5,33196.4,0,0
UCG_MV,D,20090226,000000,33196.4,33196.4,33196.4,33196.4,0,0
UCG_MV,D,20090227,000000,31343.9,32899.9,31343.9,32603.5,0,0
UCG_MV,D,20090302,000000,32974,32974,32974,32974,0,0
UCG_MV,D,20090303,000000,32381.2,32455.3,30973.3,32455.3,0,0
