<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ULM_MV,D,20070813,000000,843.504,843.504,843.504,843.504,0,0
ULM_MV,D,20070814,000000,836.083,836.083,836.083,836.083,0,0
ULM_MV,D,20070816,000000,715.065,715.065,715.065,715.065,0,0
ULM_MV,D,20070817,000000,714.202,714.202,714.202,714.202,0,0
ULM_MV,D,20070820,000000,739.036,739.036,739.036,739.036,0,0
ULM_MV,D,20070821,000000,727.906,727.906,727.906,727.906,0,0
ULM_MV,D,20070822,000000,810.402,810.402,810.402,810.402,0,0
ULM_MV,D,20070823,000000,838.656,838.656,838.656,838.656,0,0
ULM_MV,D,20070824,000000,879.186,879.186,879.186,879.186,0,0
ULM_MV,D,20070827,000000,877.767,877.767,877.767,877.767,0,0
ULM_MV,D,20070828,000000,851.788,851.788,851.788,851.788,0,0
ULM_MV,D,20070829,000000,877.767,877.767,877.767,877.767,0,0
ULM_MV,D,20070830,000000,856.353,856.353,856.353,856.353,0,0
ULM_MV,D,20070831,000000,873.484,873.484,873.484,873.484,0,0
ULM_MV,D,20070903,000000,889.744,889.744,889.744,889.744,0,0
ULM_MV,D,20070904,000000,875.767,875.767,875.767,875.767,0,0
ULM_MV,D,20070905,000000,884.616,884.616,884.616,884.616,0,0
ULM_MV,D,20070906,000000,877.767,877.767,877.767,877.767,0,0
ULM_MV,D,20070907,000000,847.787,847.787,847.787,847.787,0,0
ULM_MV,D,20070910,000000,806.411,806.411,806.411,806.411,0,0
ULM_MV,D,20070911,000000,856.353,856.353,856.353,856.353,0,0
ULM_MV,D,20070912,000000,844.94,844.94,844.94,844.94,0,0
ULM_MV,D,20070913,000000,864.928,864.928,864.928,864.928,0,0
ULM_MV,D,20070914,000000,884.906,884.906,884.906,884.906,0,0
ULM_MV,D,20070917,000000,856.353,856.353,856.353,856.353,0,0
ULM_MV,D,20070918,000000,842.075,842.075,842.075,842.075,0,0
ULM_MV,D,20070919,000000,813.54,813.54,813.54,813.54,0,0
ULM_MV,D,20070920,000000,847.787,847.787,847.787,847.787,0,0
ULM_MV,D,20070921,000000,852.933,852.933,852.933,852.933,0,0
ULM_MV,D,20070924,000000,852.078,852.078,852.078,852.078,0,0
ULM_MV,D,20070925,000000,850.651,850.651,850.651,850.651,0,0
ULM_MV,D,20070926,000000,830.945,830.945,830.945,830.945,0,0
ULM_MV,D,20070927,000000,847.787,847.787,847.787,847.787,0,0
ULM_MV,D,20070928,000000,850.087,850.087,850.087,850.087,0,0
ULM_MV,D,20071001,000000,880.623,880.623,880.623,880.623,0,0
ULM_MV,D,20071002,000000,838.957,838.957,838.957,838.957,0,0
ULM_MV,D,20071003,000000,827.808,827.808,827.808,827.808,0,0
ULM_MV,D,20071004,000000,816.395,816.395,816.395,816.395,0,0
ULM_MV,D,20071005,000000,833.519,833.519,833.519,833.519,0,0
ULM_MV,D,20071008,000000,822.67,822.67,822.67,822.67,0,0
ULM_MV,D,20071009,000000,839.229,839.229,839.229,839.229,0,0
ULM_MV,D,20071010,000000,856.353,856.353,856.353,856.353,0,0
ULM_MV,D,20071011,000000,850.651,850.651,850.651,850.651,0,0
ULM_MV,D,20071012,000000,838.957,838.957,838.957,838.957,0,0
ULM_MV,D,20071015,000000,827.808,827.808,827.808,827.808,0,0
ULM_MV,D,20071016,000000,821.824,821.824,821.824,821.824,0,0
ULM_MV,D,20071017,000000,821.242,821.242,821.242,821.242,0,0
ULM_MV,D,20071018,000000,822.097,822.097,822.097,822.097,0,0
ULM_MV,D,20071019,000000,859.208,859.208,859.208,859.208,0,0
ULM_MV,D,20071022,000000,856.353,856.353,856.353,856.353,0,0
ULM_MV,D,20071023,000000,870.63,870.63,870.63,870.63,0,0
ULM_MV,D,20071024,000000,876.34,876.34,876.34,876.34,0,0
ULM_MV,D,20071025,000000,906.876,906.876,906.876,906.876,0,0
ULM_MV,D,20071026,000000,879.186,879.186,879.186,879.186,0,0
ULM_MV,D,20071029,000000,876.34,876.34,876.34,876.34,0,0
ULM_MV,D,20071030,000000,868.066,868.066,868.066,868.066,0,0
ULM_MV,D,20071031,000000,896.328,896.328,896.328,896.328,0,0
ULM_MV,D,20071102,000000,870.63,870.63,870.63,870.63,0,0
ULM_MV,D,20071105,000000,848.069,848.069,848.069,848.069,0,0
ULM_MV,D,20071106,000000,840.657,840.657,840.657,840.657,0,0
ULM_MV,D,20071107,000000,843.222,843.222,843.222,843.222,0,0
ULM_MV,D,20071108,000000,813.54,813.54,813.54,813.54,0,0
ULM_MV,D,20071109,000000,802.691,827.808,788.132,807.548,0,0
ULM_MV,D,20071112,000000,788.132,807.548,717.048,717.048,0,0
ULM_MV,D,20071113,000000,719.904,828.381,719.348,828.381,0,0
ULM_MV,D,20071114,000000,809.247,824.662,780.139,824.662,0,0
ULM_MV,D,20071115,000000,809.247,824.662,722.195,797.845,0,0
ULM_MV,D,20071116,000000,773.291,797.845,742.164,747.594,0,0
ULM_MV,D,20071119,000000,750.74,770.719,739.309,756.441,0,0
ULM_MV,D,20071120,000000,747.884,770.719,747.884,770.719,0,0
ULM_MV,D,20071121,000000,756.441,762.152,733.608,762.152,0,0
ULM_MV,D,20071122,000000,731.616,785.004,731.616,785.004,0,0
ULM_MV,D,20071123,000000,753.877,785.004,753.877,785.004,0,0
ULM_MV,D,20071126,000000,785.004,799.263,780.139,785.004,0,0
ULM_MV,D,20071127,000000,785.004,785.004,756.441,785.004,0,0
ULM_MV,D,20071128,000000,799.554,799.554,793.562,799.263,0,0
ULM_MV,D,20071129,000000,799.263,809.247,778.711,809.247,0,0
ULM_MV,D,20071130,000000,799.263,827.808,799.263,824.961,0,0
ULM_MV,D,20071203,000000,827.808,829.235,827.808,827.808,0,0
ULM_MV,D,20071204,000000,827.808,827.808,808.12,827.808,0,0
ULM_MV,D,20071205,000000,827.808,841.803,816.395,841.803,0,0
ULM_MV,D,20071206,000000,850.651,850.651,824.961,824.961,0,0
ULM_MV,D,20071207,000000,824.961,839.229,816.395,839.229,0,0
ULM_MV,D,20071210,000000,818.105,839.229,817.814,839.229,0,0
ULM_MV,D,20071211,000000,827.808,844.377,819.533,839.229,0,0
ULM_MV,D,20071212,000000,827.808,839.229,827.808,839.229,0,0
ULM_MV,D,20071213,000000,825.243,836.083,824.961,836.083,0,0
ULM_MV,D,20071214,000000,822.097,839.229,822.097,839.229,0,0
ULM_MV,D,20071217,000000,808.12,810.694,793.562,793.562,0,0
ULM_MV,D,20071218,000000,787.85,827.808,787.85,827.808,0,0
ULM_MV,D,20071219,000000,804.974,813.54,802.41,813.54,0,0
ULM_MV,D,20071220,000000,813.54,813.54,795.271,813.54,0,0
ULM_MV,D,20071221,000000,824.961,850.651,814.685,839.229,0,0
ULM_MV,D,20071227,000000,839.229,856.353,819.533,856.353,0,0
ULM_MV,D,20071228,000000,839.229,913.442,839.229,913.442,0,0
ULM_MV,D,20080102,000000,896.328,896.328,896.328,896.328,0,0
ULM_MV,D,20080103,000000,845.213,884.906,845.213,884.906,0,0
ULM_MV,D,20080104,000000,881.751,882.051,856.353,882.051,0,0
