<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ULM_PB,D,20070813,000000,3.92143,3.92143,3.92143,3.92143,0,0
ULM_PB,D,20070814,000000,3.88878,3.88878,3.88878,3.88878,0,0
ULM_PB,D,20070816,000000,3.32398,3.32398,3.32398,3.32398,0,0
ULM_PB,D,20070817,000000,3.31852,3.31852,3.31852,3.31852,0,0
ULM_PB,D,20070820,000000,3.43801,3.43801,3.43801,3.43801,0,0
ULM_PB,D,20070821,000000,3.38373,3.38373,3.38373,3.38373,0,0
ULM_PB,D,20070822,000000,3.76947,3.76947,3.76947,3.76947,0,0
ULM_PB,D,20070823,000000,3.89979,3.89979,3.89979,3.89979,0,0
ULM_PB,D,20070824,000000,4.08984,4.08984,4.08984,4.08984,0,0
ULM_PB,D,20070827,000000,4.07893,4.07893,4.07893,4.07893,0,0
ULM_PB,D,20070828,000000,3.95953,3.95953,3.95953,3.95953,0,0
ULM_PB,D,20070829,000000,4.07893,4.07893,4.07893,4.07893,0,0
ULM_PB,D,20070830,000000,3.98126,3.98126,3.98126,3.98126,0,0
ULM_PB,D,20070831,000000,4.06274,4.06274,4.06274,4.06274,0,0
ULM_PB,D,20070903,000000,4.13868,4.13868,4.13868,4.13868,0,0
ULM_PB,D,20070904,000000,4.07347,4.07347,4.07347,4.07347,0,0
ULM_PB,D,20070905,000000,4.11148,4.11148,4.11148,4.11148,0,0
ULM_PB,D,20070906,000000,4.07893,4.07893,4.07893,4.07893,0,0
ULM_PB,D,20070907,000000,3.94326,3.94326,3.94326,3.94326,0,0
ULM_PB,D,20070910,000000,3.74765,3.74765,3.74765,3.74765,0,0
ULM_PB,D,20070911,000000,3.98126,3.98126,3.98126,3.98126,0,0
ULM_PB,D,20070912,000000,3.92689,3.92689,3.92689,3.92689,0,0
ULM_PB,D,20070913,000000,4.01919,4.01919,4.01919,4.01919,0,0
ULM_PB,D,20070914,000000,4.11694,4.11694,4.11694,4.11694,0,0
ULM_PB,D,20070917,000000,3.98126,3.98126,3.98126,3.98126,0,0
ULM_PB,D,20070918,000000,3.91606,3.91606,3.91606,3.91606,0,0
ULM_PB,D,20070919,000000,3.78557,3.78557,3.78557,3.78557,0,0
ULM_PB,D,20070920,000000,3.94326,3.94326,3.94326,3.94326,0,0
ULM_PB,D,20070921,000000,3.9649,3.9649,3.9649,3.9649,0,0
ULM_PB,D,20070924,000000,3.95953,3.95953,3.95953,3.95953,0,0
ULM_PB,D,20070925,000000,3.95407,3.95407,3.95407,3.95407,0,0
ULM_PB,D,20070926,000000,3.86178,3.86178,3.86178,3.86178,0,0
ULM_PB,D,20070927,000000,3.94326,3.94326,3.94326,3.94326,0,0
