<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNT_PB,D,20120926,000000,0.426951,0.426951,0.426951,0.426951,0,0
UNT_PB,D,20120927,000000,0.426951,0.426951,0.403394,0.403394,0,0
UNT_PB,D,20121008,000000,0.403394,0.403394,0.403394,0.403394,0,0
UNT_PB,D,20121009,000000,0.415246,0.415246,0.415246,0.415246,0,0
UNT_PB,D,20121010,000000,0.403394,0.403394,0.385863,0.385863,0,0
UNT_PB,D,20121011,000000,0.391764,0.391764,0.380061,0.380061,0,0
UNT_PB,D,20121012,000000,0.397691,0.473602,0.397691,0.46775,0,0
UNT_PB,D,20121015,000000,0.46775,0.46775,0.380061,0.380061,0,0
UNT_PB,D,20121016,000000,0.380061,0.380061,0.327384,0.327384,0,0
UNT_PB,D,20121017,000000,0.327384,0.339179,0.327384,0.333269,0,0
UNT_PB,D,20121018,000000,0.327384,0.333269,0.327384,0.333269,0,0
UNT_PB,D,20121019,000000,0.333269,0.339179,0.327384,0.327384,0,0
UNT_PB,D,20121022,000000,0.327384,0.339179,0.327384,0.339179,0,0
UNT_PB,D,20121023,000000,0.350866,0.421016,0.350866,0.421016,0,0
UNT_PB,D,20121024,000000,0.421016,0.421016,0.380061,0.403394,0,0
UNT_PB,D,20121025,000000,0.409263,0.409263,0.409263,0.409263,0,0
UNT_PB,D,20121029,000000,0.403394,0.403394,0.391764,0.397691,0,0
UNT_PB,D,20121030,000000,0.415246,0.421016,0.415246,0.421016,0,0
UNT_PB,D,20121031,000000,0.426951,0.43849,0.426951,0.43849,0,0
UNT_PB,D,20121105,000000,0.43849,0.43849,0.43849,0.43849,0,0
UNT_PB,D,20121106,000000,0.43849,0.43849,0.43849,0.43849,0,0
UNT_PB,D,20121107,000000,0.43849,0.43849,0.409263,0.409263,0,0
UNT_PB,D,20121108,000000,0.421016,0.421016,0.356653,0.391764,0,0
UNT_PB,D,20121109,000000,0.391764,0.391764,0.391764,0.391764,0,0
UNT_PB,D,20121112,000000,0.397691,0.43849,0.397691,0.43849,0,0
UNT_PB,D,20121113,000000,0.43849,0.43849,0.391764,0.391764,0,0
UNT_PB,D,20121114,000000,0.397691,0.43849,0.397691,0.43849,0,0
