<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNT_PE,D,20120926,000000,10.9334,10.9334,10.9334,10.9334,0,0
UNT_PE,D,20120927,000000,10.9334,10.9334,10.3498,10.3498,0,0
UNT_PE,D,20121008,000000,10.3498,10.3498,10.3498,10.3498,0,0
UNT_PE,D,20121009,000000,10.6416,10.6416,10.6416,10.6416,0,0
UNT_PE,D,20121010,000000,10.3498,10.3498,9.94016,9.94016,0,0
UNT_PE,D,20121011,000000,9.9987,9.9987,9.64757,9.64757,0,0
UNT_PE,D,20121012,000000,10.115,12.1046,10.115,11.9291,0,0
UNT_PE,D,20121015,000000,11.9291,11.9291,9.70688,9.76465,0,0
UNT_PE,D,20121016,000000,9.76465,9.76465,8.3618,8.3618,0,0
UNT_PE,D,20121017,000000,8.3618,8.71292,8.3618,8.47966,0,0
UNT_PE,D,20121018,000000,8.3618,8.53736,8.3618,8.53736,0,0
UNT_PE,D,20121019,000000,8.59506,8.76979,8.3618,8.3618,0,0
UNT_PE,D,20121022,000000,8.3618,8.71292,8.3618,8.71292,0,0
UNT_PE,D,20121023,000000,8.88684,10.818,8.88684,10.818,0,0
UNT_PE,D,20121024,000000,10.818,10.818,9.70688,10.3498,0,0
UNT_PE,D,20121025,000000,10.5246,10.5246,10.5246,10.5246,0,0
UNT_PE,D,20121029,000000,10.3498,10.3498,9.9987,10.1734,0,0
UNT_PE,D,20121030,000000,10.5831,10.818,10.5831,10.818,0,0
UNT_PE,D,20121031,000000,10.8757,11.2845,10.8757,11.2845,0,0
UNT_PE,D,20121105,000000,11.226,11.226,11.226,11.226,0,0
UNT_PE,D,20121106,000000,11.226,11.226,11.226,11.226,0,0
UNT_PE,D,20121107,000000,11.226,11.226,10.5246,10.5246,0,0
UNT_PE,D,20121108,000000,10.7009,10.7009,9.06239,9.9987,0,0
UNT_PE,D,20121109,000000,9.9987,9.9987,9.9987,9.9987,0,0
UNT_PE,D,20121112,000000,10.1734,11.226,10.1734,11.226,0,0
UNT_PE,D,20121113,000000,11.226,11.226,9.9987,9.9987,0,0
UNT_PE,D,20121114,000000,10.1734,11.226,10.1734,11.226,0,0
UNT_PE,D,20121115,000000,11.226,11.2845,11.226,11.2845,0,0
UNT_PE,D,20121116,000000,11.3438,11.3438,9.9987,10.1734,0,0
UNT_PE,D,20121119,000000,9.9987,9.9987,9.82309,9.82309,0,0
UNT_PE,D,20121120,000000,9.64757,11.3438,9.2973,11.3438,0,0
UNT_PE,D,20121122,000000,11.2845,11.3438,11.2845,11.3438,0,0
UNT_PE,D,20121123,000000,11.3438,11.3438,10.5246,10.5246,0,0
UNT_PE,D,20121130,000000,10.3498,10.3498,9.9987,9.9987,0,0
UNT_PE,D,20121203,000000,10.0581,10.0581,10.0581,10.0581,0,0
UNT_PE,D,20121206,000000,10.0581,10.0581,9.88172,9.88172,0,0
UNT_PE,D,20121207,000000,9.9987,9.9987,9.9987,9.9987,0,0
UNT_PE,D,20121210,000000,9.9987,9.9987,9.88172,9.88172,0,0
UNT_PE,D,20121214,000000,3.80069,3.80069,3.80069,3.80069,0,0
UNT_PE,D,20121221,000000,3.80069,4.0346,3.80069,4.0346,0,0
UNT_PE,D,20121227,000000,4.09312,4.15147,4.09312,4.09312,0,0
UNT_PE,D,20121228,000000,4.09312,4.15147,4.09312,4.15147,0,0
UNT_PE,D,20130107,000000,4.09312,4.09312,3.80069,3.97607,0,0
UNT_PE,D,20130108,000000,4.09312,4.38539,4.09312,4.38539,0,0
UNT_PE,D,20130109,000000,4.38539,4.38539,4.38539,4.38539,0,0
UNT_PE,D,20130110,000000,4.38539,4.38539,4.38539,4.38539,0,0
UNT_PE,D,20130111,000000,4.38539,4.38539,4.20999,4.20999,0,0
UNT_PE,D,20130114,000000,4.32687,4.38539,4.32687,4.38539,0,0
UNT_PE,D,20130115,000000,4.38539,4.38539,4.38539,4.38539,0,0
UNT_PE,D,20130117,000000,4.38539,4.38539,4.38539,4.38539,0,0
