<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VGO_PB,D,20141125,000000,7.7609,7.7609,7.7609,7.7609,0,0
VGO_PB,D,20141126,000000,7.9653,8.2999,7.8165,8.1419,0,0
VGO_PB,D,20141127,000000,8.2906,8.2906,7.891,7.9747,0,0
VGO_PB,D,20141128,000000,8.0212,8.2906,7.8352,8.2256,0,0
VGO_PB,D,20141201,000000,8.2627,8.2627,8.0676,8.207,0,0
VGO_PB,D,20141202,000000,8.0955,8.2256,8.0955,8.1512,0,0
VGO_PB,D,20141203,000000,8.1884,8.1884,7.9096,8.0676,0,0
VGO_PB,D,20141204,000000,8.0118,8.0303,8.0118,8.0303,0,0
VGO_PB,D,20141205,000000,8.0212,8.0676,8.0118,8.0676,0,0
VGO_PB,D,20141208,000000,8.0676,8.0676,8.0118,8.0303,0,0
VGO_PB,D,20141209,000000,8.0118,8.0212,7.8817,8.0118,0,0
VGO_PB,D,20141210,000000,7.9096,7.956,7.891,7.9189,0,0
VGO_PB,D,20141211,000000,7.9189,7.9189,7.4913,7.5285,0,0
VGO_PB,D,20141212,000000,7.5657,7.6958,7.5285,7.6028,0,0
VGO_PB,D,20141215,000000,7.5843,7.6958,7.5657,7.6958,0,0
VGO_PB,D,20141216,000000,7.6958,8.0676,7.5006,8.0676,0,0
VGO_PB,D,20141217,000000,8.0862,8.0862,7.9467,7.9467,0,0
VGO_PB,D,20141218,000000,7.9467,8.0303,7.9003,7.9003,0,0
VGO_PB,D,20141219,000000,7.8259,7.8259,7.7888,7.7981,0,0
VGO_PB,D,20141222,000000,7.7888,7.9467,7.7795,7.863,0,0
VGO_PB,D,20141223,000000,7.7888,7.8445,7.7888,7.8445,0,0
VGO_PB,D,20141229,000000,7.8259,7.863,7.8259,7.8259,0,0
VGO_PB,D,20141230,000000,7.8724,8.0676,7.8724,8.0676,0,0
VGO_PB,D,20150102,000000,8.0676,8.2627,7.9467,8.0396,0,0
VGO_PB,D,20150105,000000,8.0862,8.0862,8.0676,8.0676,0,0
VGO_PB,D,20150107,000000,8.0676,8.0676,7.863,8.0676,0,0
VGO_PB,D,20150108,000000,8.0862,8.0862,7.9467,8.0676,0,0
VGO_PB,D,20150109,000000,8.1047,8.1047,7.9374,7.9374,0,0
VGO_PB,D,20150112,000000,7.9467,7.9839,7.9374,7.9467,0,0
VGO_PB,D,20150113,000000,7.863,7.8817,7.6865,7.705,0,0
VGO_PB,D,20150114,000000,7.6865,7.6865,7.3705,7.5378,0,0
VGO_PB,D,20150115,000000,7.5378,7.5378,7.2218,7.5285,0,0
VGO_PB,D,20150116,000000,7.4355,7.5285,7.3333,7.5285,0,0
VGO_PB,D,20150119,000000,7.4728,7.5285,7.3519,7.5285,0,0
VGO_PB,D,20150120,000000,7.3705,7.8817,7.3705,7.8817,0,0
VGO_PB,D,20150121,000000,7.7795,7.8817,7.6586,7.8817,0,0
VGO_PB,D,20150122,000000,7.7795,7.8817,7.7795,7.8817,0,0
VGO_PB,D,20150123,000000,7.7795,7.863,7.7795,7.863,0,0
VGO_PB,D,20150126,000000,7.7795,7.8817,7.7795,7.8724,0,0
VGO_PB,D,20150127,000000,7.8817,7.8817,7.8817,7.8817,0,0
VGO_PB,D,20150128,000000,7.7795,7.7795,7.7609,7.7609,0,0
VGO_PB,D,20150129,000000,7.7609,7.863,7.7609,7.863,0,0
VGO_PB,D,20150130,000000,7.7609,7.863,7.7609,7.863,0,0
VGO_PB,D,20150202,000000,7.7609,7.863,7.7609,7.863,0,0
VGO_PB,D,20150203,000000,7.7609,7.8165,7.7609,7.8165,0,0
VGO_PB,D,20150204,000000,7.705,7.7795,7.5843,7.7795,0,0
VGO_PB,D,20150206,000000,7.5843,7.5843,7.5843,7.5843,0,0
VGO_PB,D,20150209,000000,7.575,7.575,7.575,7.575,0,0
VGO_PB,D,20150210,000000,7.5564,7.575,7.3333,7.575,0,0
VGO_PB,D,20150211,000000,7.3705,7.575,7.3705,7.575,0,0
VGO_PB,D,20150212,000000,7.575,7.575,7.3333,7.575,0,0
VGO_PB,D,20150216,000000,7.575,7.7795,7.575,7.7422,0,0
VGO_PB,D,20150217,000000,7.7422,7.9374,7.7422,7.7422,0,0
VGO_PB,D,20150218,000000,7.6586,7.705,7.6586,7.705,0,0
VGO_PB,D,20150219,000000,7.7236,7.9839,7.5006,7.9839,0,0
VGO_PB,D,20150220,000000,7.9467,8.0025,7.9467,8.0025,0,0
VGO_PB,D,20150223,000000,7.5935,7.5935,7.5935,7.5935,0,0
VGO_PB,D,20150224,000000,7.705,7.7422,7.6214,7.7422,0,0
VGO_PB,D,20150225,000000,7.7236,7.9467,7.7236,7.9281,0,0
VGO_PB,D,20150226,000000,7.891,7.9374,7.7422,7.9374,0,0
VGO_PB,D,20150227,000000,7.7422,7.9374,7.7422,7.7422,0,0
VGO_PB,D,20150302,000000,7.7422,7.8259,7.7422,7.8259,0,0
VGO_PB,D,20150303,000000,7.7422,7.8259,7.6586,7.7422,0,0
VGO_PB,D,20150304,000000,7.8165,7.8165,7.8165,7.8165,0,0
VGO_PB,D,20150305,000000,7.8165,7.8165,7.7422,7.8165,0,0
VGO_PB,D,20150306,000000,7.7422,7.7795,7.7422,7.7795,0,0
VGO_PB,D,20150309,000000,7.7422,7.7422,7.705,7.7422,0,0
VGO_PB,D,20150310,000000,7.6772,7.7422,7.6772,7.7422,0,0
VGO_PB,D,20150311,000000,7.7422,7.7422,7.705,7.733,0,0
VGO_PB,D,20150312,000000,7.705,7.733,7.705,7.733,0,0
VGO_PB,D,20150313,000000,7.6772,7.733,7.668,7.668,0,0
VGO_PB,D,20150316,000000,7.668,8.3279,5.5487,5.5487,0,0
VGO_PB,D,20150317,000000,5.5395,5.5487,5.4279,5.5487,0,0
VGO_PB,D,20150318,000000,5.5487,5.5487,5.4837,5.5301,0,0
VGO_PB,D,20150319,000000,5.5301,5.5301,5.4837,5.5117,0,0
VGO_PB,D,20150320,000000,5.5117,5.5117,5.4279,5.4931,0,0
VGO_PB,D,20150323,000000,5.4279,5.5117,5.4279,5.5117,0,0
VGO_PB,D,20150324,000000,5.5301,5.5952,5.4466,5.586,0,0
VGO_PB,D,20150325,000000,5.4837,5.6696,5.4837,5.6696,0,0
VGO_PB,D,20150326,000000,5.5673,5.5952,5.5673,5.5952,0,0
VGO_PB,D,20150327,000000,5.4931,5.6696,5.4279,5.6696,0,0
VGO_PB,D,20150330,000000,5.6696,5.6696,5.6696,5.6696,0,0
VGO_PB,D,20150331,000000,5.6416,5.6696,5.6416,5.6696,0,0
VGO_PB,D,20150401,000000,5.6696,5.6975,5.5208,5.6975,0,0
VGO_PB,D,20150402,000000,5.6975,5.8369,5.6975,5.8276,0,0
VGO_PB,D,20150407,000000,5.8369,5.8369,5.651,5.8276,0,0
VGO_PB,D,20150408,000000,5.809,6.376,5.809,6.376,0,0
VGO_PB,D,20150409,000000,6.376,6.7291,6.3015,6.6548,0,0
VGO_PB,D,20150410,000000,6.6455,6.6548,6.5153,6.6269,0,0
VGO_PB,D,20150413,000000,6.6269,6.6548,6.5247,6.6548,0,0
VGO_PB,D,20150414,000000,6.6548,6.6548,6.5153,6.6455,0,0
VGO_PB,D,20150415,000000,6.4503,6.6362,6.4503,6.5153,0,0
VGO_PB,D,20150416,000000,6.5247,6.5247,6.19,6.3202,0,0
VGO_PB,D,20150417,000000,6.1715,6.376,6.1715,6.376,0,0
VGO_PB,D,20150420,000000,6.3202,6.376,6.1994,6.3667,0,0
VGO_PB,D,20150421,000000,6.2459,6.2459,6.19,6.19,0,0
VGO_PB,D,20150422,000000,6.19,6.19,6.19,6.19,0,0
VGO_PB,D,20150424,000000,6.19,6.19,6.0507,6.19,0,0
VGO_PB,D,20150427,000000,6.19,6.19,6.19,6.19,0,0
VGO_PB,D,20150428,000000,6.19,6.218,6.19,6.218,0,0
VGO_PB,D,20150429,000000,6.1344,6.3202,6.125,6.3202,0,0
VGO_PB,D,20150430,000000,6.218,6.3202,6.1065,6.3202,0,0
VGO_PB,D,20150504,000000,6.3202,6.4317,6.3202,6.4317,0,0
VGO_PB,D,20150505,000000,6.4038,6.4038,6.4038,6.4038,0,0
VGO_PB,D,20150506,000000,6.4038,6.4038,6.376,6.376,0,0
VGO_PB,D,20150507,000000,6.2459,6.4876,6.2459,6.4783,0,0
VGO_PB,D,20150508,000000,6.4224,6.4317,6.4224,6.4317,0,0
VGO_PB,D,20150511,000000,6.3015,6.4317,6.3015,6.4317,0,0
VGO_PB,D,20150512,000000,6.5153,6.5153,6.4317,6.5061,0,0
VGO_PB,D,20150513,000000,6.5061,6.5061,6.5061,6.5061,0,0
VGO_PB,D,20150514,000000,6.4783,6.5153,6.4783,6.5153,0,0
VGO_PB,D,20150515,000000,6.3015,6.4876,6.1808,6.1808,0,0
VGO_PB,D,20150518,000000,6.153,6.153,5.9949,5.9949,0,0
VGO_PB,D,20150519,000000,6.0971,6.19,6.0971,6.19,0,0
VGO_PB,D,20150520,000000,6.19,6.19,6.19,6.19,0,0
VGO_PB,D,20150521,000000,5.9949,6.153,5.9484,5.9484,0,0
VGO_PB,D,20150522,000000,5.9577,6.06,5.9484,5.9484,0,0
VGO_PB,D,20150525,000000,6.0785,6.0785,5.9949,5.9949,0,0
VGO_PB,D,20150526,000000,5.9484,6.0507,5.9484,6.0507,0,0
VGO_PB,D,20150527,000000,6.2562,6.2562,6.1705,6.1705,0,0
VGO_PB,D,20150528,000000,6.199,6.199,5.7515,6.1419,0,0
VGO_PB,D,20150529,000000,6.0943,6.0943,5.961,6.0943,0,0
VGO_PB,D,20150601,000000,5.9705,6.1419,5.9705,6.1419,0,0
VGO_PB,D,20150602,000000,6.1228,6.1228,6.0657,6.0657,0,0
VGO_PB,D,20150603,000000,5.9895,5.9895,5.9895,5.9895,0,0
VGO_PB,D,20150605,000000,6.0657,6.0657,6.0657,6.0657,0,0
VGO_PB,D,20150609,000000,6.0657,6.1228,5.6944,6.0657,0,0
VGO_PB,D,20150610,000000,6.0657,6.1419,6.0657,6.1419,0,0
VGO_PB,D,20150611,000000,5.9324,6.1228,5.9324,6.1228,0,0
VGO_PB,D,20150612,000000,5.9324,6.1038,5.9324,6.1038,0,0
VGO_PB,D,20150615,000000,5.8277,6.0943,5.8277,6.0943,0,0
VGO_PB,D,20150616,000000,5.9229,6.0943,5.9229,6.0943,0,0
VGO_PB,D,20150617,000000,5.961,6.1134,5.961,6.1134,0,0
VGO_PB,D,20150618,000000,5.961,6.0943,5.8372,6.0943,0,0
VGO_PB,D,20150619,000000,5.9324,6.0752,5.9324,6.0752,0,0
VGO_PB,D,20150622,000000,5.8848,6.0657,5.8848,6.0657,0,0
VGO_PB,D,20150623,000000,6.0657,6.0657,6.0657,6.0657,0,0
VGO_PB,D,20150624,000000,6.0086,6.0086,6.0086,6.0086,0,0
VGO_PB,D,20150625,000000,5.9133,5.9705,5.8753,5.8753,0,0
VGO_PB,D,20150626,000000,5.8848,5.8943,5.78,5.78,0,0
VGO_PB,D,20150629,000000,5.6753,5.9324,5.4277,5.9324,0,0
VGO_PB,D,20150702,000000,5.8277,5.8562,5.561,5.8562,0,0
VGO_PB,D,20150703,000000,5.8277,5.8277,5.8277,5.8277,0,0
VGO_PB,D,20150706,000000,5.6944,5.8657,5.6944,5.8657,0,0
VGO_PB,D,20150707,000000,5.78,5.8277,5.78,5.8277,0,0
VGO_PB,D,20150708,000000,5.8277,6.0372,5.78,6.0372,0,0
VGO_PB,D,20150709,000000,5.6944,6.0562,5.6944,6.0562,0,0
VGO_PB,D,20150710,000000,6.0372,6.0372,6.0372,6.0372,0,0
VGO_PB,D,20150713,000000,6.0372,6.0372,6.0372,6.0372,0,0
VGO_PB,D,20150714,000000,5.961,6.0752,5.961,6.0752,0,0
VGO_PB,D,20150715,000000,6.0752,6.0752,6.0752,6.0752,0,0
VGO_PB,D,20150716,000000,6.0086,6.2085,6.0086,6.1419,0,0
VGO_PB,D,20150717,000000,6.199,6.199,6.199,6.199,0,0
VGO_PB,D,20150720,000000,6.199,6.199,6.0943,6.0943,0,0
VGO_PB,D,20150721,000000,6.199,6.199,6.1419,6.1419,0,0
VGO_PB,D,20150722,000000,6.1705,6.1705,6.1228,6.1228,0,0
VGO_PB,D,20150723,000000,6.0943,6.0943,6.0943,6.0943,0,0
VGO_PB,D,20150724,000000,6.199,6.2085,6.0943,6.2085,0,0
VGO_PB,D,20150727,000000,6.199,6.199,6.199,6.199,0,0
VGO_PB,D,20150729,000000,6.199,6.199,6.0657,6.0657,0,0
VGO_PB,D,20150730,000000,6.18,6.18,6.18,6.18,0,0
VGO_PB,D,20150731,000000,5.9133,6.1609,5.9133,6.1609,0,0
VGO_PB,D,20150804,000000,6.0372,6.1609,6.0372,6.1609,0,0
VGO_PB,D,20150805,000000,6.0943,6.4847,6.0943,6.4847,0,0
VGO_PB,D,20150806,000000,6.4847,6.4847,6.3609,6.4847,0,0
VGO_PB,D,20150807,000000,6.5324,6.5324,6.1705,6.4847,0,0
VGO_PB,D,20150810,000000,6.4847,6.4847,6.4847,6.4847,0,0
VGO_PB,D,20150811,000000,6.4847,6.4847,6.4847,6.4847,0,0
VGO_PB,D,20150812,000000,6.4847,6.4847,6.4847,6.4847,0,0
VGO_PB,D,20150813,000000,6.5133,6.5133,6.3609,6.5133,0,0
VGO_PB,D,20150817,000000,6.3038,6.4657,6.3038,6.4657,0,0
VGO_PB,D,20150818,000000,6.4657,6.4657,6.4657,6.4657,0,0
VGO_PB,D,20150821,000000,6.38,6.4657,6.3038,6.4657,0,0
VGO_PB,D,20150824,000000,6.1705,6.2181,5.8562,6.2181,0,0
VGO_PB,D,20150825,000000,6.0657,6.1895,6.0657,6.1609,0,0
VGO_PB,D,20150826,000000,6.0372,6.1705,6.0372,6.1705,0,0
VGO_PB,D,20150827,000000,6.0372,6.1705,6.0372,6.0372,0,0
VGO_PB,D,20150828,000000,6.0372,6.2467,6.0372,6.2467,0,0
VGO_PB,D,20150831,000000,6.3038,6.5324,6.3038,6.5324,0,0
VGO_PB,D,20150901,000000,6.5037,6.5324,6.1323,6.5324,0,0
VGO_PB,D,20150902,000000,6.5037,6.5037,6.5037,6.5037,0,0
VGO_PB,D,20150907,000000,6.3229,6.5037,6.2847,6.5037,0,0
VGO_PB,D,20150909,000000,6.418,6.5037,6.418,6.4466,0,0
VGO_PB,D,20150910,000000,6.2847,6.4751,6.2847,6.4751,0,0
VGO_PB,D,20150911,000000,6.3989,6.3989,6.2847,6.3418,0,0
VGO_PB,D,20150914,000000,6.4751,6.4751,6.4466,6.4466,0,0
VGO_PB,D,20150915,000000,6.4466,6.4466,6.4466,6.4466,0,0
VGO_PB,D,20150916,000000,6.4466,6.4466,6.2656,6.3133,0,0
VGO_PB,D,20150917,000000,6.2847,6.2847,6.2847,6.2847,0,0
VGO_PB,D,20150918,000000,6.2847,6.3989,6.2371,6.2371,0,0
VGO_PB,D,20150921,000000,6.3989,6.5037,6.3895,6.5037,0,0
VGO_PB,D,20150922,000000,6.5037,6.5609,6.3229,6.5133,0,0
VGO_PB,D,20150923,000000,6.418,6.5609,6.3704,6.5609,0,0
VGO_PB,D,20150924,000000,6.5609,6.5609,6.5609,6.5609,0,0
VGO_PB,D,20150928,000000,6.3418,6.5609,6.3418,6.5609,0,0
VGO_PB,D,20150929,000000,6.3704,6.3704,6.2847,6.2847,0,0
VGO_PB,D,20150930,000000,6.5228,6.5609,6.5228,6.5609,0,0
VGO_PB,D,20151005,000000,6.5609,6.5609,6.5324,6.5609,0,0
VGO_PB,D,20151006,000000,6.5609,6.6942,6.5609,6.5799,0,0
VGO_PB,D,20151007,000000,6.5799,6.8275,6.5799,6.8275,0,0
VGO_PB,D,20151008,000000,6.7132,6.9323,6.6942,6.9323,0,0
VGO_PB,D,20151009,000000,6.9323,7.0942,6.8275,7.0942,0,0
VGO_PB,D,20151012,000000,7.0942,7.0942,6.8275,7.0942,0,0
VGO_PB,D,20151014,000000,6.9608,6.9608,6.8275,6.9608,0,0
VGO_PB,D,20151015,000000,6.8275,6.8275,6.8275,6.8275,0,0
VGO_PB,D,20151016,000000,6.9608,6.9608,6.8751,6.8751,0,0
VGO_PB,D,20151019,000000,6.8275,7.0942,6.8275,7.0942,0,0
VGO_PB,D,20151020,000000,6.8561,7.2275,6.8561,7.1227,0,0
VGO_PB,D,20151021,000000,7.0942,7.0942,7.0942,7.0942,0,0
VGO_PB,D,20151022,000000,7.0942,7.0942,6.7799,7.0751,0,0
VGO_PB,D,20151023,000000,6.8465,7.0656,6.8465,7.037,0,0
VGO_PB,D,20151027,000000,7.037,7.037,6.7703,7.0084,0,0
VGO_PB,D,20151028,000000,7.0084,7.0084,7.0084,7.0084,0,0
VGO_PB,D,20151029,000000,6.7703,6.9608,6.7703,6.9608,0,0
VGO_PB,D,20151103,000000,6.7513,6.9608,6.7418,6.9608,0,0
VGO_PB,D,20151104,000000,6.9418,6.9608,6.9418,6.9608,0,0
VGO_PB,D,20151109,000000,6.7703,6.7703,6.6942,6.6942,0,0
VGO_PB,D,20151110,000000,6.6942,6.6942,6.6942,6.6942,0,0
VGO_PB,D,20151113,000000,6.7703,6.7703,6.599,6.7418,0,0
VGO_PB,D,20151116,000000,6.7703,6.9323,6.0752,6.0752,0,0
VGO_PB,D,20151117,000000,6.0943,6.0943,6.0276,6.0276,0,0
VGO_PB,D,20151118,000000,5.8657,5.8848,5.7515,5.7515,0,0
VGO_PB,D,20151119,000000,5.7515,6.0562,5.7515,5.961,0,0
VGO_PB,D,20151120,000000,5.98,6.0276,5.8657,6.0276,0,0
VGO_PB,D,20151123,000000,5.98,5.98,5.8657,5.961,0,0
VGO_PB,D,20151124,000000,6.0467,6.0467,5.8848,5.9515,0,0
VGO_PB,D,20151125,000000,5.9133,6.0276,5.9133,6.0276,0,0
VGO_PB,D,20151126,000000,5.8657,5.8848,5.8467,5.8467,0,0
VGO_PB,D,20151127,000000,5.8467,5.9324,5.8182,5.9324,0,0
VGO_PB,D,20151130,000000,5.9324,5.9324,5.9229,5.9229,0,0
VGO_PB,D,20151201,000000,5.9133,5.9133,5.8562,5.8562,0,0
VGO_PB,D,20151202,000000,5.7991,5.8657,5.6562,5.8562,0,0
VGO_PB,D,20151203,000000,5.8372,5.8372,5.8372,5.8372,0,0
VGO_PB,D,20151204,000000,5.8562,5.8657,5.5515,5.8657,0,0
VGO_PB,D,20151207,000000,5.8372,5.8372,5.8372,5.8372,0,0
VGO_PB,D,20151208,000000,5.78,5.8182,5.78,5.8182,0,0
VGO_PB,D,20151209,000000,5.7991,5.7991,5.5229,5.7515,0,0
VGO_PB,D,20151210,000000,5.7229,5.7515,5.6087,5.7515,0,0
VGO_PB,D,20151211,000000,5.7515,5.7515,5.7515,5.7515,0,0
VGO_PB,D,20151214,000000,5.6277,5.742,5.6277,5.7324,0,0
VGO_PB,D,20151215,000000,5.7324,5.7324,5.7324,5.7324,0,0
VGO_PB,D,20151216,000000,5.5801,5.6277,5.5801,5.6277,0,0
VGO_PB,D,20151217,000000,5.542,5.6277,5.3992,5.3992,0,0
VGO_PB,D,20151218,000000,5.3992,5.7229,5.3992,5.5134,0,0
VGO_PB,D,20151221,000000,5.5515,5.6277,5.3706,5.5134,0,0
VGO_PB,D,20151222,000000,5.5134,5.5134,5.4658,5.4658,0,0
VGO_PB,D,20151223,000000,5.6182,5.6277,5.6182,5.6277,0,0
VGO_PB,D,20151228,000000,5.4182,5.6087,5.4182,5.561,0,0
VGO_PB,D,20151229,000000,5.6087,5.6087,5.3706,5.3706,0,0
VGO_PB,D,20151230,000000,5.5991,5.999,5.4658,5.999,0,0
VGO_PB,D,20160104,000000,5.6372,5.8277,5.561,5.8277,0,0
VGO_PB,D,20160105,000000,5.8086,5.8277,5.8086,5.8277,0,0
VGO_PB,D,20160107,000000,5.7515,5.7515,5.7515,5.7515,0,0
VGO_PB,D,20160108,000000,5.5325,5.5801,5.3801,5.3801,0,0
VGO_PB,D,20160111,000000,5.6562,5.6562,5.3706,5.3992,0,0
VGO_PB,D,20160112,000000,5.6087,5.6087,5.3992,5.3992,0,0
VGO_PB,D,20160113,000000,5.5039,5.5039,5.3515,5.5039,0,0
VGO_PB,D,20160114,000000,5.3515,5.3706,5.3039,5.3706,0,0
VGO_PB,D,20160115,000000,5.3992,5.3992,5.2087,5.2087,0,0
VGO_PB,D,20160118,000000,5.1611,5.1611,4.9516,4.9516,0,0
VGO_PB,D,20160119,000000,5.3421,5.3421,5.0278,5.0659,0,0
VGO_PB,D,20160120,000000,5.0754,5.1326,4.9802,5.1326,0,0
VGO_PB,D,20160121,000000,5.0944,5.0944,5.0468,5.0468,0,0
VGO_PB,D,20160122,000000,5.0468,5.2563,5.0278,5.0278,0,0
VGO_PB,D,20160125,000000,5.0564,5.2563,5.0564,5.0659,0,0
VGO_PB,D,20160126,000000,5.0659,5.1515,5.0659,5.1515,0,0
VGO_PB,D,20160127,000000,5.0182,5.1515,5.0087,5.0087,0,0
VGO_PB,D,20160128,000000,5.1515,5.1515,5.1515,5.1515,0,0
VGO_PB,D,20160129,000000,5.0468,5.0659,4.9992,4.9992,0,0
VGO_PB,D,20160201,000000,5.0087,5.142,4.9992,5.0754,0,0
VGO_PB,D,20160202,000000,5.0659,5.0659,5.0659,5.0659,0,0
VGO_PB,D,20160203,000000,4.9897,4.9992,4.9516,4.9992,0,0
VGO_PB,D,20160204,000000,5.0849,5.0849,4.8754,5.0659,0,0
VGO_PB,D,20160205,000000,5.0468,5.0754,5.0468,5.0754,0,0
VGO_PB,D,20160208,000000,4.9707,5.0468,4.9707,5.0468,0,0
VGO_PB,D,20160209,000000,5.0468,5.0468,4.904,5.0468,0,0
VGO_PB,D,20160210,000000,5.0468,5.0468,5.0468,5.0468,0,0
VGO_PB,D,20160211,000000,4.9707,5.0182,4.8183,5.0182,0,0
VGO_PB,D,20160212,000000,4.9707,5.142,4.8849,4.8849,0,0
VGO_PB,D,20160215,000000,5.0468,5.0659,5.0468,5.0659,0,0
VGO_PB,D,20160216,000000,5.0659,5.0659,5.0659,5.0659,0,0
VGO_PB,D,20160217,000000,5.0659,5.0659,5.0659,5.0659,0,0
VGO_PB,D,20160218,000000,5.0659,5.0659,5.0659,5.0659,0,0
VGO_PB,D,20160219,000000,4.9135,5.0659,4.9135,5.0659,0,0
VGO_PB,D,20160222,000000,4.9707,5.1611,4.9707,5.1611,0,0
VGO_PB,D,20160223,000000,5.1611,5.2754,5.1611,5.2754,0,0
VGO_PB,D,20160224,000000,5.1611,5.2087,5.0754,5.2087,0,0
VGO_PB,D,20160225,000000,5.2087,5.2087,5.1611,5.1611,0,0
VGO_PB,D,20160226,000000,5.1611,5.3896,5.1611,5.3896,0,0
VGO_PB,D,20160229,000000,5.323,5.361,5.323,5.361,0,0
VGO_PB,D,20160301,000000,5.361,5.3992,5.1611,5.1706,0,0
VGO_PB,D,20160302,000000,5.3801,5.3801,5.3801,5.3801,0,0
VGO_PB,D,20160303,000000,5.3801,5.3801,5.3801,5.3801,0,0
VGO_PB,D,20160304,000000,5.3039,5.361,5.0564,5.0564,0,0
VGO_PB,D,20160307,000000,5.0754,5.323,5.0754,5.323,0,0
VGO_PB,D,20160308,000000,5.3135,5.3421,5.3135,5.3421,0,0
VGO_PB,D,20160309,000000,5.1611,5.3039,5.1611,5.2373,0,0
VGO_PB,D,20160310,000000,5.1611,5.1611,5.1611,5.1611,0,0
VGO_PB,D,20160311,000000,5.1801,5.3039,5.1801,5.3039,0,0
VGO_PB,D,20160314,000000,5.2944,5.2944,5.2944,5.2944,0,0
VGO_PB,D,20160316,000000,5.2087,5.2944,5.2087,5.2087,0,0
VGO_PB,D,20160317,000000,5.2087,5.3039,5.2087,5.3039,0,0
VGO_PB,D,20160318,000000,5.323,5.323,5.2468,5.2468,0,0
VGO_PB,D,20160321,000000,5.323,5.4754,5.2468,5.2468,0,0
VGO_PB,D,20160322,000000,5.2659,5.2659,5.2659,5.2659,0,0
VGO_PB,D,20160323,000000,5.2468,5.2468,5.2182,5.2182,0,0
VGO_PB,D,20160324,000000,5.2468,5.2468,5.2468,5.2468,0,0
VGO_PB,D,20160329,000000,5.2468,5.2468,5.2468,5.2468,0,0
VGO_PB,D,20160330,000000,5.1326,5.2659,5.1326,5.1326,0,0
VGO_PB,D,20160331,000000,5.1515,5.2659,5.1515,5.2659,0,0
VGO_PB,D,20160404,000000,5.2848,5.2848,5.2848,5.2848,0,0
VGO_PB,D,20160405,000000,5.2659,5.2659,5.2277,5.2277,0,0
VGO_PB,D,20160406,000000,5.2277,5.2277,5.2277,5.2277,0,0
VGO_PB,D,20160407,000000,5.2182,5.2182,5.1515,5.1515,0,0
VGO_PB,D,20160408,000000,5.1515,5.1706,5.1515,5.1515,0,0
VGO_PB,D,20160411,000000,5.2373,5.2373,5.2373,5.2373,0,0
VGO_PB,D,20160412,000000,5.2468,5.2659,5.2468,5.2563,0,0
VGO_PB,D,20160413,000000,5.1992,5.2659,5.1992,5.2659,0,0
VGO_PB,D,20160414,000000,5.2659,5.2659,5.1801,5.1801,0,0
VGO_PB,D,20160415,000000,5.1706,5.2848,5.1515,5.2659,0,0
VGO_PB,D,20160418,000000,5.2754,5.2848,5.2659,5.2848,0,0
VGO_PB,D,20160419,000000,5.2848,5.4754,5.2848,5.3992,0,0
VGO_PB,D,20160420,000000,5.4277,5.4754,5.4182,5.4754,0,0
VGO_PB,D,20160421,000000,5.4087,5.4087,5.3896,5.3896,0,0
VGO_PB,D,20160422,000000,5.2848,5.3896,5.2848,5.3896,0,0
VGO_PB,D,20160425,000000,5.3135,5.3135,5.2754,5.2754,0,0
VGO_PB,D,20160426,000000,5.2754,5.2754,5.2659,5.2659,0,0
VGO_PB,D,20160428,000000,5.2754,5.2754,5.2659,5.2659,0,0
VGO_PB,D,20160429,000000,5.3135,5.3135,5.3135,5.3135,0,0
VGO_PB,D,20160502,000000,5.3135,5.3135,5.3135,5.3135,0,0
VGO_PB,D,20160504,000000,5.3135,5.3135,5.3135,5.3135,0,0
VGO_PB,D,20160505,000000,5.3135,5.3135,5.1992,5.1992,0,0
VGO_PB,D,20160506,000000,5.1992,5.7038,5.1992,5.7038,0,0
VGO_PB,D,20160510,000000,5.4754,5.9515,5.3135,5.9515,0,0
VGO_PB,D,20160511,000000,5.5705,5.5991,5.5705,5.5991,0,0
VGO_PB,D,20160512,000000,5.5801,5.9515,5.5801,5.9515,0,0
VGO_PB,D,20160513,000000,5.8372,5.8372,5.8372,5.8372,0,0
VGO_PB,D,20160517,000000,5.7229,5.7229,5.6277,5.6372,0,0
VGO_PB,D,20160518,000000,5.6434,5.6434,5.4673,5.4673,0,0
VGO_PB,D,20160519,000000,5.6727,5.6727,5.4478,5.6727,0,0
VGO_PB,D,20160523,000000,5.6532,5.6532,5.6532,5.6532,0,0
VGO_PB,D,20160524,000000,5.4673,5.6336,5.4673,5.6336,0,0
VGO_PB,D,20160525,000000,5.4673,5.4673,5.3891,5.3891,0,0
VGO_PB,D,20160527,000000,5.35,5.5554,5.3109,5.5554,0,0
VGO_PB,D,20160530,000000,5.3598,5.5358,5.3598,5.5358,0,0
VGO_PB,D,20160531,000000,5.5358,5.5358,5.1544,5.1544,0,0
