<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VGO_PE,D,20141125,000000,18.496,18.496,18.496,18.496,0,0
VGO_PE,D,20141126,000000,19.983,20.82,19.425,19.425,0,0
VGO_PE,D,20141127,000000,19.797,19.797,18.868,19.054,0,0
VGO_PE,D,20141128,000000,19.146,19.797,18.682,19.611,0,0
VGO_PE,D,20141201,000000,19.705,19.705,19.239,19.518,0,0
VGO_PE,D,20141202,000000,19.239,19.518,19.239,19.425,0,0
VGO_PE,D,20141203,000000,19.518,19.518,18.868,19.239,0,0
VGO_PE,D,20141204,000000,19.146,19.146,19.146,19.146,0,0
VGO_PE,D,20141205,000000,19.146,19.239,19.146,19.239,0,0
VGO_PE,D,20141208,000000,19.239,19.239,19.146,19.146,0,0
VGO_PE,D,20141209,000000,19.146,19.146,18.775,19.146,0,0
VGO_PE,D,20141210,000000,18.868,18.961,18.868,18.868,0,0
VGO_PE,D,20141211,000000,18.868,18.868,17.846,17.939,0,0
VGO_PE,D,20141212,000000,18.031,18.31,17.939,18.123,0,0
VGO_PE,D,20141215,000000,18.123,18.31,18.031,18.31,0,0
VGO_PE,D,20141216,000000,18.31,19.239,17.846,19.239,0,0
VGO_PE,D,20141217,000000,19.239,19.239,18.961,18.961,0,0
VGO_PE,D,20141218,000000,18.961,19.146,18.868,18.868,0,0
VGO_PE,D,20141219,000000,18.682,18.682,18.589,18.589,0,0
VGO_PE,D,20141222,000000,18.589,18.961,18.496,18.775,0,0
VGO_PE,D,20141223,000000,18.589,18.682,18.589,18.682,0,0
VGO_PE,D,20141229,000000,18.589,18.775,18.589,18.682,0,0
VGO_PE,D,20141230,000000,18.775,19.239,18.775,19.239,0,0
VGO_PE,D,20150102,000000,19.239,19.705,18.961,19.146,0,0
VGO_PE,D,20150105,000000,19.239,19.239,19.239,19.239,0,0
VGO_PE,D,20150107,000000,19.239,19.239,18.775,19.239,0,0
VGO_PE,D,20150108,000000,19.332,19.332,18.961,19.239,0,0
VGO_PE,D,20150109,000000,19.332,19.332,18.961,18.961,0,0
VGO_PE,D,20150112,000000,18.961,19.054,18.961,18.961,0,0
VGO_PE,D,20150113,000000,18.775,18.775,18.31,18.403,0,0
VGO_PE,D,20150114,000000,18.403,18.403,17.659,17.939,0,0
VGO_PE,D,20150115,000000,17.939,17.939,17.194,17.939,0,0
VGO_PE,D,20150116,000000,17.753,17.939,17.473,17.939,0,0
VGO_PE,D,20150119,000000,17.753,17.939,17.473,17.939,0,0
VGO_PE,D,20150120,000000,17.567,18.775,17.567,18.775,0,0
VGO_PE,D,20150121,000000,18.496,18.775,18.217,18.775,0,0
VGO_PE,D,20150122,000000,18.496,18.775,18.496,18.775,0,0
VGO_PE,D,20150123,000000,18.496,18.775,18.496,18.775,0,0
VGO_PE,D,20150126,000000,18.589,18.775,18.589,18.775,0,0
VGO_PE,D,20150127,000000,18.775,18.775,18.775,18.775,0,0
VGO_PE,D,20150128,000000,18.496,18.496,18.496,18.496,0,0
VGO_PE,D,20150129,000000,18.496,18.775,18.496,18.775,0,0
VGO_PE,D,20150130,000000,18.496,18.775,18.496,18.775,0,0
VGO_PE,D,20150202,000000,18.496,18.775,18.496,18.775,0,0
VGO_PE,D,20150203,000000,18.589,18.682,18.589,18.682,0,0
VGO_PE,D,20150204,000000,18.403,18.589,18.123,18.589,0,0
VGO_PE,D,20150206,000000,18.123,18.123,18.123,18.123,0,0
VGO_PE,D,20150209,000000,18.123,18.123,18.031,18.031,0,0
VGO_PE,D,20150210,000000,18.031,18.031,17.473,18.031,0,0
VGO_PE,D,20150211,000000,17.567,18.031,17.567,18.031,0,0
VGO_PE,D,20150212,000000,18.031,18.031,17.473,18.031,0,0
VGO_PE,D,20150216,000000,18.031,18.496,18.031,18.496,0,0
VGO_PE,D,20150217,000000,18.496,18.961,18.496,18.496,0,0
VGO_PE,D,20150218,000000,18.31,18.403,18.31,18.403,0,0
VGO_PE,D,20150219,000000,18.496,19.054,17.939,19.054,0,0
VGO_PE,D,20150220,000000,18.961,19.146,18.961,19.054,0,0
VGO_PE,D,20150223,000000,18.031,18.123,18.031,18.123,0,0
VGO_PE,D,20150224,000000,18.403,18.496,18.217,18.496,0,0
VGO_PE,D,20150225,000000,18.496,18.961,18.496,18.868,0,0
VGO_PE,D,20150226,000000,18.775,18.961,18.403,18.961,0,0
VGO_PE,D,20150227,000000,18.496,18.961,18.496,18.496,0,0
VGO_PE,D,20150302,000000,18.496,18.682,18.496,18.682,0,0
VGO_PE,D,20150303,000000,18.496,18.682,18.31,18.496,0,0
VGO_PE,D,20150304,000000,18.682,18.682,18.682,18.682,0,0
VGO_PE,D,20150305,000000,18.682,18.682,18.496,18.682,0,0
VGO_PE,D,20150306,000000,18.496,18.589,18.496,18.589,0,0
VGO_PE,D,20150309,000000,18.496,18.496,18.403,18.496,0,0
VGO_PE,D,20150310,000000,18.31,18.496,18.31,18.496,0,0
VGO_PE,D,20150311,000000,18.496,18.496,18.403,18.403,0,0
VGO_PE,D,20150312,000000,18.31,18.403,18.31,18.403,0,0
VGO_PE,D,20150313,000000,18.217,18.403,18.217,18.31,0,0
VGO_PE,D,20150316,000000,18.31,19.89,18.31,18.961,0,0
VGO_PE,D,20150317,000000,18.961,18.961,18.589,18.961,0,0
VGO_PE,D,20150318,000000,18.961,18.961,18.775,18.961,0,0
VGO_PE,D,20150319,000000,18.961,18.961,18.775,18.868,0,0
VGO_PE,D,20150320,000000,18.868,18.868,18.589,18.868,0,0
VGO_PE,D,20150323,000000,18.589,18.868,18.589,18.868,0,0
VGO_PE,D,20150324,000000,18.961,19.146,18.682,19.146,0,0
VGO_PE,D,20150325,000000,18.775,19.425,18.775,19.425,0,0
VGO_PE,D,20150326,000000,19.054,19.146,19.054,19.146,0,0
VGO_PE,D,20150327,000000,18.775,19.425,18.589,19.425,0,0
VGO_PE,D,20150330,000000,19.425,19.425,19.425,19.425,0,0
VGO_PE,D,20150331,000000,19.332,19.425,19.332,19.425,0,0
VGO_PE,D,20150401,000000,19.425,19.518,18.961,19.518,0,0
VGO_PE,D,20150402,000000,19.518,19.983,19.518,19.983,0,0
VGO_PE,D,20150407,000000,19.983,19.983,19.332,19.983,0,0
VGO_PE,D,20150408,000000,19.89,21.842,19.89,21.842,0,0
VGO_PE,D,20150409,000000,21.842,23.05,21.563,22.772,0,0
VGO_PE,D,20150410,000000,22.772,22.772,22.307,22.678,0,0
VGO_PE,D,20150413,000000,22.678,22.772,22.307,22.772,0,0
VGO_PE,D,20150414,000000,22.772,22.772,22.307,22.772,0,0
VGO_PE,D,20150415,000000,22.121,22.772,22.121,22.307,0,0
VGO_PE,D,20150416,000000,22.399,22.399,21.191,21.655,0,0
VGO_PE,D,20150417,000000,21.191,21.842,21.191,21.842,0,0
VGO_PE,D,20150420,000000,21.655,21.842,21.191,21.842,0,0
VGO_PE,D,20150421,000000,21.377,21.377,21.191,21.191,0,0
VGO_PE,D,20150422,000000,21.191,21.191,21.191,21.191,0,0
VGO_PE,D,20150424,000000,21.191,21.191,20.726,21.191,0,0
VGO_PE,D,20150427,000000,21.191,21.191,21.191,21.191,0,0
VGO_PE,D,20150428,000000,21.191,21.285,21.191,21.285,0,0
VGO_PE,D,20150429,000000,21.005,21.655,21.005,21.655,0,0
VGO_PE,D,20150430,000000,21.285,21.655,20.913,21.655,0,0
VGO_PE,D,20150504,000000,21.655,22.028,21.655,22.028,0,0
VGO_PE,D,20150505,000000,21.935,21.935,21.935,21.935,0,0
VGO_PE,D,20150506,000000,21.935,21.935,21.842,21.842,0,0
VGO_PE,D,20150507,000000,21.377,22.214,21.377,22.214,0,0
VGO_PE,D,20150508,000000,22.028,22.028,22.028,22.028,0,0
VGO_PE,D,20150511,000000,21.563,22.028,21.563,22.028,0,0
VGO_PE,D,20150512,000000,22.307,22.307,22.028,22.307,0,0
VGO_PE,D,20150513,000000,22.307,22.307,22.307,22.307,0,0
VGO_PE,D,20150514,000000,22.214,22.307,22.214,22.307,0,0
VGO_PE,D,20150515,000000,21.563,23.793,21.563,23.793,0,0
