<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VIN_MV,D,20090415,000000,57.8962,57.8962,57.8962,57.8962,0,0
VIN_MV,D,20090416,000000,56.5561,57.8962,49.9469,51.8772,0,0
VIN_MV,D,20090417,000000,53.5117,53.5117,51.6521,51.6521,0,0
VIN_MV,D,20090420,000000,52.0253,52.0253,47.9402,47.9402,0,0
VIN_MV,D,20090421,000000,47.5676,47.9402,45.7088,45.7088,0,0
VIN_MV,D,20090422,000000,46.452,47.5676,46.452,47.196,0,0
VIN_MV,D,20090423,000000,49.7208,49.7208,48.8313,48.8313,0,0
VIN_MV,D,20090424,000000,50.9088,50.9088,48.9019,48.9019,0,0
VIN_MV,D,20090427,000000,50.544,53.5117,50.544,53.5117,0,0
VIN_MV,D,20090428,000000,52.9149,52.9149,51.2795,51.2795,0,0
VIN_MV,D,20090429,000000,51.2795,53.5117,51.2107,51.2107,0,0
VIN_MV,D,20090430,000000,54.9991,54.9991,45.7854,45.7854,0,0
VIN_MV,D,20090504,000000,54.9216,54.9991,50.1706,50.1706,0,0
VIN_MV,D,20090505,000000,54.8518,54.8518,50.9088,50.9088,0,0
VIN_MV,D,20090506,000000,50.2421,51.2795,48.3117,51.2795,0,0
VIN_MV,D,20090507,000000,53.5117,53.5117,49.7991,49.7991,0,0
VIN_MV,D,20090508,000000,52.9149,52.9149,48.5362,50.9853,0,0
VIN_MV,D,20090511,000000,51.2107,51.2107,47.6383,48.3117,0,0
VIN_MV,D,20090512,000000,48.2343,48.2343,46.6765,46.8236,0,0
VIN_MV,D,20090513,000000,47.6383,47.6383,44.5915,44.5915,0,0
VIN_MV,D,20090514,000000,46.8236,46.8236,44.5915,45.0412,0,0
VIN_MV,D,20090515,000000,45.3363,45.3363,44.9655,44.9655,0,0
VIN_MV,D,20090518,000000,47.5676,47.5676,44.9655,44.9655,0,0
VIN_MV,D,20090519,000000,46.8236,46.8236,43.9969,43.9969,0,0
VIN_MV,D,20090520,000000,46.1577,46.1577,43.9969,44.2206,0,0
VIN_MV,D,20090521,000000,44.2206,45.3363,44.2206,45.3363,0,0
VIN_MV,D,20090522,000000,46.1577,46.1577,46.1577,46.1577,0,0
VIN_MV,D,20090525,000000,44.9655,46.1577,43.849,43.849,0,0
VIN_MV,D,20090526,000000,44.9655,44.9655,44.9655,44.9655,0,0
VIN_MV,D,20090527,000000,44.5915,44.9655,44.5915,44.5915,0,0
VIN_MV,D,20090528,000000,44.5915,44.5915,44.5915,44.5915,0,0
VIN_MV,D,20090529,000000,44.5915,44.5915,44.2206,44.2206,0,0
VIN_MV,D,20090601,000000,44.5915,44.5915,44.2206,44.5225,0,0
VIN_MV,D,20090602,000000,44.5225,44.5225,43.849,43.849,0,0
VIN_MV,D,20090603,000000,44.2989,44.5915,43.849,43.9256,0,0
VIN_MV,D,20090604,000000,44.8949,44.8949,43.9256,43.9256,0,0
VIN_MV,D,20090605,000000,44.5915,44.5915,42.4383,42.4383,0,0
VIN_MV,D,20090608,000000,43.4773,43.4773,40.1363,40.1363,0,0
VIN_MV,D,20090609,000000,43.0343,43.0343,41.252,41.252,0,0
VIN_MV,D,20090610,000000,43.1051,43.1051,43.1051,43.1051,0,0
VIN_MV,D,20090612,000000,44.5915,44.5915,43.5548,43.5548,0,0
VIN_MV,D,20090615,000000,44.2206,44.2206,42.2129,42.2129,0,0
VIN_MV,D,20090616,000000,43.1823,43.7019,43.1823,43.7019,0,0
VIN_MV,D,20090617,000000,43.1051,43.1051,43.1051,43.1051,0,0
VIN_MV,D,20090618,000000,43.0343,43.0343,38.797,38.797,0,0
VIN_MV,D,20090619,000000,41.8421,43.849,41.8421,43.4773,0,0
VIN_MV,D,20090622,000000,43.9256,43.9256,40.5088,40.5088,0,0
VIN_MV,D,20090623,000000,39.6872,42.361,38.6498,40.2078,0,0
VIN_MV,D,20090624,000000,42.361,42.361,41.3236,41.3236,0,0
VIN_MV,D,20090625,000000,42.361,42.361,41.3236,41.3236,0,0
VIN_MV,D,20090626,000000,42.361,42.361,42.361,42.361,0,0
VIN_MV,D,20090629,000000,40.5794,41.5479,40.5794,41.5479,0,0
VIN_MV,D,20090630,000000,41.5479,41.5479,40.5794,40.5794,0,0
VIN_MV,D,20090701,000000,41.252,41.252,41.252,41.252,0,0
VIN_MV,D,20090702,000000,41.3236,41.3236,41.3236,41.3236,0,0
VIN_MV,D,20090703,000000,41.9901,41.9901,41.3236,41.9901,0,0
VIN_MV,D,20090706,000000,40.951,41.9901,40.951,41.9901,0,0
VIN_MV,D,20090707,000000,41.9901,41.9901,41.9901,41.9901,0,0
VIN_MV,D,20090708,000000,42.1449,42.1449,40.4314,40.4314,0,0
VIN_MV,D,20090709,000000,41.9901,41.9901,41.9901,41.9901,0,0
VIN_MV,D,20090710,000000,41.9204,41.9204,41.9204,41.9204,0,0
VIN_MV,D,20090713,000000,41.6177,41.6177,41.6177,41.6177,0,0
VIN_MV,D,20090714,000000,41.9204,41.9204,41.9204,41.9204,0,0
VIN_MV,D,20090715,000000,41.9204,41.9204,41.9204,41.9204,0,0
VIN_MV,D,20090716,000000,42.361,42.361,41.6177,41.6177,0,0
VIN_MV,D,20090717,000000,41.6177,41.6177,40.1363,40.1363,0,0
VIN_MV,D,20090720,000000,39.8353,39.8353,39.8353,39.8353,0,0
VIN_MV,D,20090721,000000,41.252,41.252,41.252,41.252,0,0
VIN_MV,D,20090722,000000,41.5479,41.5479,40.8812,40.8812,0,0
VIN_MV,D,20090723,000000,41.5479,41.5479,41.4706,41.4706,0,0
VIN_MV,D,20090724,000000,41.6177,41.6177,39.8353,39.9119,0,0
VIN_MV,D,20090727,000000,39.9119,39.9119,39.9119,39.9119,0,0
VIN_MV,D,20090728,000000,39.9119,39.9119,39.6192,39.6872,0,0
VIN_MV,D,20090729,000000,40.5088,40.8812,37.1618,39.394,0,0
VIN_MV,D,20090730,000000,39.4629,39.4629,37.1618,37.1618,0,0
VIN_MV,D,20090731,000000,39.1694,39.5395,37.1618,37.1618,0,0
VIN_MV,D,20090803,000000,38.3482,38.797,37.6107,37.6107,0,0
VIN_MV,D,20090804,000000,37.6805,39.3149,37.6107,39.3149,0,0
VIN_MV,D,20090805,000000,39.394,40.1363,39.394,39.7655,0,0
VIN_MV,D,20090806,000000,40.1363,40.1363,40.1363,40.1363,0,0
VIN_MV,D,20090807,000000,40.8812,40.8812,39.394,40.1363,0,0
