<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VIN_PE,D,20090415,000000,19.2967,19.2967,19.2967,19.2967,0,0
VIN_PE,D,20090416,000000,18.8764,19.2967,16.63,17.332,0,0
VIN_PE,D,20090417,000000,17.8936,17.8936,17.2621,17.2621,0,0
VIN_PE,D,20090420,000000,17.4034,17.4034,15.9995,15.9995,0,0
VIN_PE,D,20090421,000000,15.859,15.9995,15.2267,15.2267,0,0
VIN_PE,D,20090422,000000,15.5084,15.859,15.5084,15.7177,0,0
VIN_PE,D,20090423,000000,16.5602,16.5602,16.2784,16.2784,0,0
VIN_PE,D,20090424,000000,16.9805,16.9805,16.2784,16.3507,0,0
VIN_PE,D,20090427,000000,16.9107,17.8936,16.9107,17.8237,0,0
VIN_PE,D,20090428,000000,17.6128,17.6128,17.0511,17.1217,0,0
VIN_PE,D,20090429,000000,17.1217,17.8936,17.1217,17.1217,0,0
VIN_PE,D,20090430,000000,18.3846,18.3846,15.2974,15.2974,0,0
VIN_PE,D,20090504,000000,18.3846,18.3846,16.7711,16.7711,0,0
VIN_PE,D,20090505,000000,18.3148,18.3148,16.9805,16.9805,0,0
VIN_PE,D,20090506,000000,16.7711,17.1217,16.1389,17.1217,0,0
VIN_PE,D,20090507,000000,17.8936,17.8936,8.77151,8.77151,0,0
VIN_PE,D,20090508,000000,9.33313,9.33313,8.56047,8.9825,0,0
VIN_PE,D,20090511,000000,9.05317,9.05317,8.4209,8.56047,0,0
VIN_PE,D,20090512,000000,8.56047,8.56047,8.2805,8.2805,0,0
VIN_PE,D,20090513,000000,8.4209,8.4209,7.85944,7.85944,0,0
VIN_PE,D,20090514,000000,8.2805,8.2805,7.85944,7.9289,0,0
VIN_PE,D,20090515,000000,7.99801,7.99801,7.9289,7.9289,0,0
VIN_PE,D,20090518,000000,8.4209,8.4209,7.78874,7.78874,0,0
VIN_PE,D,20090519,000000,8.14094,8.14094,7.64817,7.64817,0,0
VIN_PE,D,20090520,000000,7.99801,7.99801,7.64817,7.64817,0,0
VIN_PE,D,20090521,000000,7.64817,7.85944,7.64817,7.85944,0,0
VIN_PE,D,20090522,000000,7.99801,7.99801,7.99801,7.99801,0,0
VIN_PE,D,20090525,000000,7.78874,7.99801,7.64817,7.64817,0,0
VIN_PE,D,20090526,000000,7.85944,7.85944,7.78874,7.78874,0,0
VIN_PE,D,20090527,000000,7.71813,7.78874,7.71813,7.71813,0,0
VIN_PE,D,20090528,000000,7.71813,7.71813,7.71813,7.71813,0,0
VIN_PE,D,20090529,000000,7.71813,7.71813,7.64817,7.64817,0,0
VIN_PE,D,20090601,000000,7.71813,7.71813,7.64817,7.71813,0,0
VIN_PE,D,20090602,000000,7.71813,7.71813,7.57814,7.64817,0,0
VIN_PE,D,20090603,000000,7.71813,7.78874,7.64817,7.64817,0,0
VIN_PE,D,20090604,000000,7.78874,7.78874,7.64817,7.64817,0,0
VIN_PE,D,20090605,000000,7.78874,7.78874,7.36762,7.36762,0,0
VIN_PE,D,20090608,000000,7.57814,7.57814,6.94674,6.94674,0,0
VIN_PE,D,20090609,000000,7.43723,7.43723,7.15709,7.15709,0,0
VIN_PE,D,20090610,000000,7.50802,7.50802,7.50802,7.50802,0,0
VIN_PE,D,20090612,000000,7.78874,7.78874,7.57814,7.57814,0,0
VIN_PE,D,20090615,000000,7.71813,7.71813,7.36762,7.36762,0,0
VIN_PE,D,20090616,000000,7.50802,7.64817,7.50802,7.57814,0,0
VIN_PE,D,20090617,000000,7.50802,7.50802,7.50802,7.50802,0,0
VIN_PE,D,20090618,000000,7.50802,7.50802,6.73647,6.73647,0,0
VIN_PE,D,20090619,000000,6.52578,7.57814,6.52578,7.57814,0,0
VIN_PE,D,20090622,000000,7.64817,7.64817,7.01702,7.01702,0,0
VIN_PE,D,20090623,000000,6.87679,7.36762,6.66627,7.01702,0,0
VIN_PE,D,20090624,000000,7.36762,7.36762,7.15709,7.15709,0,0
VIN_PE,D,20090625,000000,7.36762,7.36762,7.15709,7.15709,0,0
VIN_PE,D,20090626,000000,7.36762,7.36762,7.36762,7.36762,0,0
VIN_PE,D,20090629,000000,7.08665,7.22746,7.08665,7.22746,0,0
VIN_PE,D,20090630,000000,7.22746,7.22746,7.01702,7.01702,0,0
VIN_PE,D,20090701,000000,7.15709,7.15709,7.15709,7.15709,0,0
VIN_PE,D,20090702,000000,7.15709,7.15709,7.15709,7.15709,0,0
VIN_PE,D,20090703,000000,7.29793,7.29793,7.15709,7.29793,0,0
VIN_PE,D,20090706,000000,7.08665,7.29793,7.08665,7.29793,0,0
VIN_PE,D,20090707,000000,7.29793,7.29793,7.29793,7.29793,0,0
VIN_PE,D,20090708,000000,7.29793,7.29793,7.01702,7.01702,0,0
VIN_PE,D,20090709,000000,7.29793,7.29793,7.29793,7.29793,0,0
VIN_PE,D,20090710,000000,7.29793,7.29793,7.29793,7.29793,0,0
VIN_PE,D,20090713,000000,7.22746,7.22746,7.22746,7.22746,0,0
VIN_PE,D,20090714,000000,7.29793,7.29793,7.29793,7.29793,0,0
VIN_PE,D,20090715,000000,7.29793,7.29793,7.29793,7.29793,0,0
VIN_PE,D,20090716,000000,7.36762,7.36762,7.22746,7.22746,0,0
VIN_PE,D,20090717,000000,7.22746,7.22746,6.94674,6.94674,0,0
VIN_PE,D,20090720,000000,6.87679,6.94674,6.87679,6.94674,0,0
VIN_PE,D,20090721,000000,7.22746,7.22746,7.15709,7.15709,0,0
VIN_PE,D,20090722,000000,7.22746,7.22746,7.08665,7.08665,0,0
VIN_PE,D,20090723,000000,7.22746,7.22746,7.15709,7.22746,0,0
