<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRC_MV,D,20210506,000000,724.819,724.819,724.819,724.819,0,0
VRC_MV,D,20210507,000000,726.206,746.958,705.462,727.592,0,0
VRC_MV,D,20210510,000000,745.439,745.571,724.819,727.592,0,0
VRC_MV,D,20210511,000000,745.571,745.571,712.373,712.517,0,0
VRC_MV,D,20210512,000000,712.517,719.295,712.517,719.295,0,0
VRC_MV,D,20210513,000000,733.126,733.126,719.295,719.295,0,0
VRC_MV,D,20210514,000000,712.373,712.373,702.691,705.739,0,0
VRC_MV,D,20210517,000000,705.739,706.562,704.076,706.428,0,0
VRC_MV,D,20210518,000000,703.522,715.146,701.581,702.967,0,0
VRC_MV,D,20210519,000000,708.225,719.295,708.225,719.295,0,0
VRC_MV,D,20210520,000000,705.597,728.978,705.462,728.978,0,0
VRC_MV,D,20210521,000000,728.978,746.958,726.206,746.958,0,0
VRC_MV,D,20210524,000000,746.958,746.958,719.295,746.958,0,0
VRC_MV,D,20210525,000000,708.091,730.354,708.091,714.868,0,0
VRC_MV,D,20210526,000000,728.978,728.978,712.373,719.151,0,0
VRC_MV,D,20210527,000000,719.151,719.295,712.373,712.373,0,0
VRC_MV,D,20210528,000000,718.74,719.151,707.671,707.671,0,0
VRC_MV,D,20210531,000000,707.671,717.077,691.63,717.077,0,0
VRC_MV,D,20210601,000000,719.151,719.151,715.146,719.017,0,0
VRC_MV,D,20210602,000000,719.017,719.017,719.017,719.017,0,0
VRC_MV,D,20210604,000000,715.146,719.295,708.225,719.295,0,0
VRC_MV,D,20210607,000000,719.295,719.295,705.597,713.76,0,0
VRC_MV,D,20210608,000000,719.295,719.295,717.908,717.908,0,0
VRC_MV,D,20210609,000000,741.424,741.424,719.295,719.295,0,0
VRC_MV,D,20210610,000000,719.295,730.354,717.908,719.295,0,0
VRC_MV,D,20210611,000000,742.809,742.809,741.424,741.424,0,0
VRC_MV,D,20210614,000000,743.497,743.497,726.206,733.126,0,0
VRC_MV,D,20210615,000000,743.497,743.497,733.126,733.26,0,0
VRC_MV,D,20210616,000000,733.126,733.126,726.206,726.903,0,0
VRC_MV,D,20210617,000000,743.497,743.497,726.206,740.038,0,0
VRC_MV,D,20210618,000000,740.038,740.038,733.126,733.126,0,0
VRC_MV,D,20210621,000000,719.295,719.295,716.522,716.522,0,0
VRC_MV,D,20210622,000000,719.295,719.295,719.295,719.295,0,0
VRC_MV,D,20210623,000000,720.671,740.18,709.888,740.18,0,0
VRC_MV,D,20210624,000000,739.76,926.945,719.295,926.945,0,0
VRC_MV,D,20210625,000000,926.945,935.777,916.353,933.301,0,0
VRC_MV,D,20210628,000000,921.83,922.002,918.12,918.12,0,0
VRC_MV,D,20210629,000000,915.292,921.648,901.346,901.346,0,0
VRC_MV,D,20210630,000000,918.12,918.12,901.346,912.826,0,0
VRC_MV,D,20210701,000000,903.113,930.481,903.113,926.945,0,0
VRC_MV,D,20210702,000000,918.12,934.008,918.12,934.008,0,0
VRC_MV,D,20210705,000000,934.008,943.72,921.648,935.777,0,0
VRC_MV,D,20210706,000000,935.777,951.663,935.777,944.6,0,0
VRC_MV,D,20210707,000000,951.663,970.905,951.663,965.438,0,0
VRC_MV,D,20210708,000000,965.792,965.792,953.432,956.959,0,0
VRC_MV,D,20210709,000000,962.255,963.851,946.893,954.493,0,0
VRC_MV,D,20210712,000000,954.493,967.55,954.311,965.792,0,0
VRC_MV,D,20210713,000000,965.61,979.907,957.313,957.313,0,0
VRC_MV,D,20210714,000000,965.792,968.439,935.777,953.432,0,0
VRC_MV,D,20210715,000000,962.255,966.671,950.249,962.608,0,0
VRC_MV,D,20210716,000000,959.606,959.606,950.956,957.848,0,0
VRC_MV,D,20210719,000000,956.959,956.959,934.887,935.777,0,0
VRC_MV,D,20210720,000000,934.008,949.015,934.008,935.777,0,0
VRC_MV,D,20210721,000000,937.535,947.601,930.653,947.601,0,0
VRC_MV,D,20210722,000000,952.543,952.725,932.24,944.428,0,0
VRC_MV,D,20210723,000000,944.428,952.19,930.481,934.715,0,0
VRC_MV,D,20210726,000000,943.366,943.366,930.481,930.481,0,0
VRC_MV,D,20210727,000000,930.653,932.24,927.298,931.36,0,0
VRC_MV,D,20210728,000000,935.424,935.424,927.48,927.48,0,0
VRC_MV,D,20210729,000000,932.067,939.131,927.48,930.481,0,0
VRC_MV,D,20210730,000000,935.424,935.777,926.945,931.36,0,0
VRC_MV,D,20210802,000000,935.595,937.535,935.595,937.535,0,0
VRC_MV,D,20210803,000000,951.663,953.432,944.6,948.137,0,0
VRC_MV,D,20210804,000000,953.432,953.432,949.015,953.432,0,0
VRC_MV,D,20210805,000000,937.535,953.432,937.535,944.6,0,0
VRC_MV,D,20210806,000000,946.014,946.014,935.595,946.014,0,0
VRC_MV,D,20210809,000000,944.6,977.972,944.6,970.734,0,0
VRC_MV,D,20210810,000000,971.087,971.087,957.141,967.55,0,0
VRC_MV,D,20210811,000000,970.734,970.734,956.959,962.255,0,0
