<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRC_PB,D,20210506,000000,28.1607,28.1607,28.1607,28.1607,0,0
VRC_PB,D,20210507,000000,28.2085,29.021,27.4056,28.2659,0,0
VRC_PB,D,20210510,000000,28.9638,28.9638,28.1607,28.2659,0,0
VRC_PB,D,20210511,000000,28.9638,28.9638,27.6732,27.6828,0,0
VRC_PB,D,20210512,000000,27.6828,27.9409,27.6828,27.9409,0,0
VRC_PB,D,20210513,000000,28.4858,28.4858,27.9409,27.9409,0,0
VRC_PB,D,20210514,000000,27.6732,27.6732,27.3004,27.4151,0,0
VRC_PB,D,20210517,000000,27.4151,27.4534,27.3578,27.4438,0,0
VRC_PB,D,20210518,000000,27.3292,27.7879,27.2527,27.31,0,0
VRC_PB,D,20210519,000000,27.5108,27.9409,27.5108,27.9409,0,0
VRC_PB,D,20210520,000000,27.4151,28.3233,27.4056,28.3233,0,0
VRC_PB,D,20210521,000000,28.3233,29.021,28.2085,29.021,0,0
VRC_PB,D,20210524,000000,29.021,29.021,27.9409,29.021,0,0
VRC_PB,D,20210525,000000,27.5108,28.371,27.5108,27.7689,0,0
VRC_PB,D,20210526,000000,28.3233,28.3233,27.6732,27.9409,0,0
VRC_PB,D,20210527,000000,27.9409,27.9409,27.6732,27.6732,0,0
VRC_PB,D,20210528,000000,27.9217,27.9409,27.4917,27.4917,0,0
VRC_PB,D,20210531,000000,27.4917,27.8549,26.8703,27.8549,0,0
VRC_PB,D,20210601,000000,27.9409,27.9409,22.6357,22.6357,0,0
VRC_PB,D,20210602,000000,22.6357,22.6357,22.6357,22.6357,0,0
VRC_PB,D,20210604,000000,22.5113,22.6453,22.2916,22.6453,0,0
VRC_PB,D,20210607,000000,22.6453,22.6453,22.2055,22.4636,0,0
VRC_PB,D,20210608,000000,22.6453,22.6453,22.5974,22.5974,0,0
VRC_PB,D,20210609,000000,23.3335,23.3335,22.6453,22.6453,0,0
VRC_PB,D,20210610,000000,22.6453,22.9893,22.5974,22.6453,0,0
