<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRC_PE,D,20210506,000000,37.3756,37.3756,37.3756,37.3756,0,0
VRC_PE,D,20210507,000000,36.3241,37.4712,35.2726,37.4712,0,0
VRC_PE,D,20210510,000000,38.4271,38.4271,37.3756,37.4712,0,0
VRC_PE,D,20210511,000000,38.4271,38.4271,36.7064,36.7064,0,0
VRC_PE,D,20210512,000000,36.7064,37.0889,36.7064,37.0889,0,0
VRC_PE,D,20210513,000000,37.7579,37.7579,37.0889,37.0889,0,0
VRC_PE,D,20210514,000000,36.7064,36.7064,36.2285,36.3241,0,0
VRC_PE,D,20210517,000000,36.3241,36.4197,36.2285,36.4197,0,0
VRC_PE,D,20210518,000000,36.2285,36.8977,36.133,36.2285,0,0
VRC_PE,D,20210519,000000,36.5153,37.0889,36.5153,37.0889,0,0
VRC_PE,D,20210520,000000,36.4197,37.5668,36.4197,37.5668,0,0
VRC_PE,D,20210521,000000,37.5668,38.5227,37.3756,38.4271,0,0
VRC_PE,D,20210524,000000,38.4271,38.4271,36.9933,38.4271,0,0
VRC_PE,D,20210525,000000,36.4197,37.5668,36.4197,36.8021,0,0
VRC_PE,D,20210526,000000,37.5668,37.5668,36.7064,36.9933,0,0
VRC_PE,D,20210527,000000,36.9933,36.9933,36.6109,36.7064,0,0
VRC_PE,D,20210528,000000,36.9933,37.0889,36.4197,36.4197,0,0
VRC_PE,D,20210531,000000,36.4197,36.8977,35.5594,36.8977,0,0
VRC_PE,D,20210601,000000,36.9933,36.9933,34.7947,34.7947,0,0
VRC_PE,D,20210602,000000,34.7947,34.7947,34.7947,34.7947,0,0
VRC_PE,D,20210604,000000,34.6034,34.7947,34.3167,34.7947,0,0
VRC_PE,D,20210607,000000,34.7947,34.7947,34.1255,34.5079,0,0
VRC_PE,D,20210608,000000,34.7947,34.7947,34.6991,34.6991,0,0
VRC_PE,D,20210609,000000,35.8462,35.8462,34.7947,34.7947,0,0
VRC_PE,D,20210610,000000,34.7947,35.3682,34.6991,34.7947,0,0
VRC_PE,D,20210611,000000,35.9418,35.9418,35.8462,35.8462,0,0
VRC_PE,D,20210614,000000,35.9418,35.9418,35.0815,35.4638,0,0
VRC_PE,D,20210615,000000,35.9418,35.9418,35.4638,35.4638,0,0
VRC_PE,D,20210616,000000,35.4638,35.4638,35.0815,35.1771,0,0
VRC_PE,D,20210617,000000,35.9418,35.9418,35.1771,35.7505,0,0
VRC_PE,D,20210618,000000,35.7505,35.7505,35.3682,35.4638,0,0
VRC_PE,D,20210621,000000,34.7947,34.7947,34.6034,34.6034,0,0
VRC_PE,D,20210622,000000,34.6991,34.7947,34.6991,34.7947,0,0
VRC_PE,D,20210623,000000,34.8903,35.8462,34.3167,35.7505,0,0
VRC_PE,D,20210624,000000,35.7505,44.8316,34.6991,44.8316,0,0
VRC_PE,D,20210625,000000,44.8316,45.214,44.3537,45.1184,0,0
VRC_PE,D,20210628,000000,44.5449,44.5449,44.3537,44.3537,0,0
VRC_PE,D,20210629,000000,44.2581,44.5449,43.589,43.589,0,0
VRC_PE,D,20210630,000000,44.3537,44.3537,43.589,44.1625,0,0
VRC_PE,D,20210701,000000,43.6845,45.0229,43.6845,44.8316,0,0
VRC_PE,D,20210702,000000,44.4492,45.214,44.4492,45.1184,0,0
VRC_PE,D,20210705,000000,45.1184,45.5963,44.5449,45.214,0,0
VRC_PE,D,20210706,000000,45.214,45.9788,45.214,45.6918,0,0
VRC_PE,D,20210707,000000,46.0743,46.9347,46.0743,46.6477,0,0
VRC_PE,D,20210708,000000,46.6477,46.6477,46.0743,46.2655,0,0
VRC_PE,D,20210709,000000,46.5522,46.5522,45.7875,46.1698,0,0
VRC_PE,D,20210712,000000,46.1698,46.8389,46.1698,46.6477,0,0
VRC_PE,D,20210713,000000,46.6477,47.3169,46.2655,46.2655,0,0
VRC_PE,D,20210714,000000,46.6477,46.8389,45.214,46.0743,0,0
VRC_PE,D,20210715,000000,46.4567,46.7434,45.8831,46.5522,0,0
VRC_PE,D,20210716,000000,46.361,46.361,45.9788,46.2655,0,0
VRC_PE,D,20210719,000000,46.2655,46.2655,45.1184,45.214,0,0
VRC_PE,D,20210720,000000,45.1184,45.8831,45.1184,45.214,0,0
VRC_PE,D,20210721,000000,45.3096,45.7875,44.9272,45.7875,0,0
VRC_PE,D,20210722,000000,45.9788,46.0743,45.0229,45.6918,0,0
VRC_PE,D,20210723,000000,45.6918,46.0743,45.0229,45.214,0,0
VRC_PE,D,20210726,000000,45.5963,45.5963,44.9272,44.9272,0,0
VRC_PE,D,20210727,000000,44.9272,45.0229,44.736,45.0229,0,0
VRC_PE,D,20210728,000000,45.214,45.214,44.8316,44.8316,0,0
VRC_PE,D,20210729,000000,45.0229,45.4051,44.8316,44.9272,0,0
