<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRG_MV,D,20070813,000000,1052,1052,1052,1052,0,0
VRG_MV,D,20070814,000000,1034.4,1034.4,1034.4,1034.4,0,0
VRG_MV,D,20070816,000000,985.15,985.15,985.15,985.15,0,0
VRG_MV,D,20070817,000000,1020.32,1020.32,1020.32,1020.32,0,0
VRG_MV,D,20070820,000000,1020.32,1020.32,1020.32,1020.32,0,0
VRG_MV,D,20070821,000000,992.183,992.183,992.183,992.183,0,0
VRG_MV,D,20070822,000000,1055.51,1055.51,1055.51,1055.51,0,0
VRG_MV,D,20070823,000000,1090.69,1090.69,1090.69,1090.69,0,0
VRG_MV,D,20070824,000000,1076.63,1076.63,1076.63,1076.63,0,0
VRG_MV,D,20070827,000000,1090.69,1090.69,1090.69,1090.69,0,0
VRG_MV,D,20070828,000000,1076.63,1076.63,1076.63,1076.63,0,0
VRG_MV,D,20070829,000000,1069.59,1069.59,1069.59,1069.59,0,0
VRG_MV,D,20070830,000000,1061.84,1061.84,1061.84,1061.84,0,0
VRG_MV,D,20070831,000000,1055.51,1055.51,1055.51,1055.51,0,0
VRG_MV,D,20070903,000000,1104.78,1104.78,1104.78,1104.78,0,0
VRG_MV,D,20070904,000000,1111.81,1111.81,1111.81,1111.81,0,0
VRG_MV,D,20070905,000000,1118.85,1118.85,1118.85,1118.85,0,0
VRG_MV,D,20070906,000000,1104.78,1104.78,1104.78,1104.78,0,0
VRG_MV,D,20070907,000000,1104.78,1104.78,1104.78,1104.78,0,0
VRG_MV,D,20070910,000000,1094.22,1094.22,1094.22,1094.22,0,0
VRG_MV,D,20070911,000000,1069.59,1069.59,1069.59,1069.59,0,0
VRG_MV,D,20070912,000000,1090.69,1090.69,1090.69,1090.69,0,0
VRG_MV,D,20070913,000000,1111.81,1111.81,1111.81,1111.81,0,0
VRG_MV,D,20070914,000000,1104.78,1104.78,1104.78,1104.78,0,0
VRG_MV,D,20070917,000000,1083.66,1083.66,1083.66,1083.66,0,0
VRG_MV,D,20070918,000000,1080.14,1080.14,1080.14,1080.14,0,0
VRG_MV,D,20070919,000000,1094.22,1094.22,1094.22,1094.22,0,0
VRG_MV,D,20070920,000000,1082.96,1082.96,1082.96,1082.96,0,0
VRG_MV,D,20070921,000000,1090.69,1090.69,1090.69,1090.69,0,0
VRG_MV,D,20070924,000000,1090.69,1090.69,1090.69,1090.69,0,0
VRG_MV,D,20070925,000000,1073.81,1073.81,1073.81,1073.81,0,0
VRG_MV,D,20070926,000000,1052,1052,1052,1052,0,0
VRG_MV,D,20070927,000000,1062.55,1062.55,1062.55,1062.55,0,0
VRG_MV,D,20070928,000000,1048.48,1048.48,1048.48,1048.48,0,0
VRG_MV,D,20071001,000000,1041.44,1041.44,1041.44,1041.44,0,0
VRG_MV,D,20071002,000000,992.183,992.183,992.183,992.183,0,0
VRG_MV,D,20071003,000000,1054.11,1054.11,1054.11,1054.11,0,0
VRG_MV,D,20071004,000000,1048.48,1048.48,1048.48,1048.48,0,0
VRG_MV,D,20071005,000000,1055.51,1055.51,1055.51,1055.51,0,0
VRG_MV,D,20071008,000000,1055.51,1055.51,1055.51,1055.51,0,0
VRG_MV,D,20071009,000000,1048.48,1048.48,1048.48,1048.48,0,0
VRG_MV,D,20071010,000000,1048.48,1048.48,1048.48,1048.48,0,0
VRG_MV,D,20071011,000000,1048.48,1048.48,1048.48,1048.48,0,0
VRG_MV,D,20071012,000000,1054.8,1054.8,1054.8,1054.8,0,0
VRG_MV,D,20071015,000000,1076.63,1076.63,1076.63,1076.63,0,0
VRG_MV,D,20071016,000000,1062.55,1062.55,1062.55,1062.55,0,0
VRG_MV,D,20071017,000000,1074.5,1074.5,1074.5,1074.5,0,0
VRG_MV,D,20071018,000000,1076.63,1076.63,1076.63,1076.63,0,0
VRG_MV,D,20071019,000000,1076.63,1076.63,1076.63,1076.63,0,0
VRG_MV,D,20071022,000000,1066.07,1066.07,1066.07,1066.07,0,0
VRG_MV,D,20071023,000000,1066.07,1066.07,1066.07,1066.07,0,0
VRG_MV,D,20071024,000000,1083.66,1083.66,1083.66,1083.66,0,0
VRG_MV,D,20071025,000000,1075.92,1075.92,1075.92,1075.92,0,0
VRG_MV,D,20071026,000000,1066.07,1066.07,1066.07,1066.07,0,0
VRG_MV,D,20071029,000000,1062.55,1062.55,1062.55,1062.55,0,0
VRG_MV,D,20071030,000000,1055.51,1055.51,1055.51,1055.51,0,0
VRG_MV,D,20071031,000000,1055.51,1055.51,1055.51,1055.51,0,0
VRG_MV,D,20071102,000000,1041.44,1041.44,1041.44,1041.44,0,0
VRG_MV,D,20071105,000000,1047.78,1047.78,1047.78,1047.78,0,0
VRG_MV,D,20071106,000000,1023.85,1023.85,1023.85,1023.85,0,0
VRG_MV,D,20071107,000000,985.15,985.15,985.15,985.15,0,0
