<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRG_PB,D,20070813,000000,4.64894,4.64894,4.64894,4.64894,0,0
VRG_PB,D,20070814,000000,4.56999,4.56999,4.56999,4.56999,0,0
VRG_PB,D,20070816,000000,4.21036,4.21036,4.21036,4.21036,0,0
VRG_PB,D,20070817,000000,4.35947,4.35947,4.35947,4.35947,0,0
VRG_PB,D,20070820,000000,4.35947,4.35947,4.35947,4.35947,0,0
VRG_PB,D,20070821,000000,4.23667,4.23667,4.23667,4.23667,0,0
VRG_PB,D,20070822,000000,4.50859,4.50859,4.50859,4.50859,0,0
VRG_PB,D,20070823,000000,4.65771,4.65771,4.65771,4.65771,0,0
VRG_PB,D,20070824,000000,4.59631,4.59631,4.59631,4.59631,0,0
VRG_PB,D,20070827,000000,4.65771,4.65771,4.65771,4.65771,0,0
VRG_PB,D,20070828,000000,4.59631,4.59631,4.59631,4.59631,0,0
VRG_PB,D,20070829,000000,4.56999,4.56999,4.56999,4.56999,0,0
VRG_PB,D,20070830,000000,4.53491,4.53491,4.53491,4.53491,0,0
VRG_PB,D,20070831,000000,4.50859,4.50859,4.50859,4.50859,0,0
VRG_PB,D,20070903,000000,4.71911,4.71911,4.71911,4.71911,0,0
VRG_PB,D,20070904,000000,4.74543,4.74543,4.74543,4.74543,0,0
VRG_PB,D,20070905,000000,4.78051,4.78051,4.78051,4.78051,0,0
VRG_PB,D,20070906,000000,4.71911,4.71911,4.71911,4.71911,0,0
VRG_PB,D,20070907,000000,4.71911,4.71911,4.71911,4.71911,0,0
VRG_PB,D,20070910,000000,4.67525,4.67525,4.67525,4.67525,0,0
VRG_PB,D,20070911,000000,4.56999,4.56999,4.56999,4.56999,0,0
VRG_PB,D,20070912,000000,4.65771,4.65771,4.65771,4.65771,0,0
VRG_PB,D,20070913,000000,4.74543,4.74543,4.74543,4.74543,0,0
VRG_PB,D,20070914,000000,4.71911,4.71911,4.71911,4.71911,0,0
VRG_PB,D,20070917,000000,4.62263,4.62263,4.62263,4.62263,0,0
VRG_PB,D,20070918,000000,4.61385,4.61385,4.61385,4.61385,0,0
VRG_PB,D,20070919,000000,4.67525,4.67525,4.67525,4.67525,0,0
VRG_PB,D,20070920,000000,4.62263,4.62263,4.62263,4.62263,0,0
VRG_PB,D,20070921,000000,4.65771,4.65771,4.65771,4.65771,0,0
VRG_PB,D,20070924,000000,4.65771,4.65771,4.65771,4.65771,0,0
VRG_PB,D,20070925,000000,4.58753,4.58753,4.58753,4.58753,0,0
VRG_PB,D,20070926,000000,4.49105,4.49105,4.49105,4.49105,0,0
VRG_PB,D,20070927,000000,4.53491,4.53491,4.53491,4.53491,0,0
VRG_PB,D,20070928,000000,4.47351,4.47351,4.47351,4.47351,0,0
VRG_PB,D,20071001,000000,4.44719,4.44719,4.44719,4.44719,0,0
VRG_PB,D,20071002,000000,4.23667,4.23667,4.23667,4.23667,0,0
VRG_PB,D,20071003,000000,4.48228,4.48228,4.48228,4.48228,0,0
VRG_PB,D,20071004,000000,4.46473,4.46473,4.46473,4.46473,0,0
VRG_PB,D,20071005,000000,4.49105,4.49105,4.49105,4.49105,0,0
VRG_PB,D,20071008,000000,4.49105,4.49105,4.49105,4.49105,0,0
VRG_PB,D,20071009,000000,4.46473,4.46473,4.46473,4.46473,0,0
VRG_PB,D,20071010,000000,4.46473,4.46473,4.46473,4.46473,0,0
VRG_PB,D,20071011,000000,4.46473,4.46473,4.46473,4.46473,0,0
VRG_PB,D,20071012,000000,4.49105,4.49105,4.49105,4.49105,0,0
