<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WAS_MV,D,20070813,000000,272.751,272.751,272.751,272.751,0,0
WAS_MV,D,20070814,000000,274.678,274.678,274.678,274.678,0,0
WAS_MV,D,20070816,000000,219.481,219.481,219.481,219.481,0,0
WAS_MV,D,20070817,000000,231.045,231.045,231.045,231.045,0,0
WAS_MV,D,20070820,000000,242.593,242.593,242.593,242.593,0,0
WAS_MV,D,20070821,000000,231.685,231.685,231.685,231.685,0,0
WAS_MV,D,20070822,000000,252.863,252.863,252.863,252.863,0,0
WAS_MV,D,20070823,000000,265.056,265.056,265.056,265.056,0,0
WAS_MV,D,20070824,000000,275.316,275.316,275.316,275.316,0,0
WAS_MV,D,20070827,000000,277.241,277.241,277.241,277.241,0,0
WAS_MV,D,20070828,000000,275.316,275.316,275.316,275.316,0,0
WAS_MV,D,20070829,000000,268.9,268.9,268.9,268.9,0,0
WAS_MV,D,20070830,000000,268.261,268.261,268.261,268.261,0,0
WAS_MV,D,20070831,000000,267.622,267.622,267.622,267.622,0,0
WAS_MV,D,20070903,000000,269.539,269.539,269.539,269.539,0,0
WAS_MV,D,20070904,000000,270.817,270.817,270.817,270.817,0,0
WAS_MV,D,20070905,000000,261.843,261.843,261.843,261.843,0,0
WAS_MV,D,20070906,000000,263.769,263.769,263.769,263.769,0,0
WAS_MV,D,20070907,000000,253.501,253.501,253.501,253.501,0,0
WAS_MV,D,20070910,000000,257.983,257.983,257.983,257.983,0,0
WAS_MV,D,20070911,000000,259.27,259.27,259.27,259.27,0,0
WAS_MV,D,20070912,000000,259.27,259.27,259.27,259.27,0,0
WAS_MV,D,20070913,000000,258.631,258.631,258.631,258.631,0,0
WAS_MV,D,20070914,000000,257.983,257.983,257.983,257.983,0,0
WAS_MV,D,20070917,000000,257.353,257.353,257.353,257.353,0,0
WAS_MV,D,20070918,000000,256.704,256.704,256.704,256.704,0,0
WAS_MV,D,20070919,000000,263.769,263.769,263.769,263.769,0,0
WAS_MV,D,20070920,000000,259.909,259.909,259.909,259.909,0,0
WAS_MV,D,20070921,000000,261.843,261.843,261.843,261.843,0,0
WAS_MV,D,20070924,000000,259.909,259.909,259.909,259.909,0,0
WAS_MV,D,20070925,000000,259.27,259.27,259.27,259.27,0,0
WAS_MV,D,20070926,000000,263.769,263.769,263.769,263.769,0,0
WAS_MV,D,20070927,000000,265.056,265.056,265.056,265.056,0,0
WAS_MV,D,20070928,000000,254.131,254.131,254.131,254.131,0,0
WAS_MV,D,20071001,000000,254.131,254.131,254.131,254.131,0,0
WAS_MV,D,20071002,000000,290.716,290.716,290.716,290.716,0,0
WAS_MV,D,20071003,000000,292.641,292.641,292.641,292.641,0,0
WAS_MV,D,20071004,000000,298.42,298.42,298.42,298.42,0,0
WAS_MV,D,20071005,000000,299.715,299.715,299.715,299.715,0,0
WAS_MV,D,20071008,000000,288.79,288.79,288.79,288.79,0,0
WAS_MV,D,20071009,000000,279.169,279.169,279.169,279.169,0,0
WAS_MV,D,20071010,000000,272.121,272.121,272.121,272.121,0,0
