<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WLT_MV,D,20080207,000000,319,319,319,319,0,0
WLT_MV,D,20080208,000000,319,322.479,319,322.479,0,0
WLT_MV,D,20080211,000000,324.783,329.4,324.783,328.645,0,0
WLT_MV,D,20080212,000000,328.999,368.594,328.999,368.594,0,0
WLT_MV,D,20080213,000000,377.829,403.572,377.829,397.808,0,0
WLT_MV,D,20080214,000000,403.572,411.268,380.524,383.985,0,0
WLT_MV,D,20080215,000000,381.289,437.795,381.289,430.501,0,0
WLT_MV,D,20080218,000000,460.853,476.224,454.304,455.461,0,0
WLT_MV,D,20080219,000000,455.461,455.461,437.403,445.863,0,0
WLT_MV,D,20080220,000000,434.325,442.011,428.169,428.561,0,0
WLT_MV,D,20080221,000000,442.011,442.011,428.561,437.403,0,0
WLT_MV,D,20080222,000000,441.246,441.246,422.815,428.561,0,0
WLT_MV,D,20080225,000000,437.795,437.795,398.955,403.572,0,0
WLT_MV,D,20080226,000000,407.434,422.815,397.808,397.808,0,0
WLT_MV,D,20080227,000000,393.955,408.964,393.955,408.964,0,0
WLT_MV,D,20080228,000000,414.336,414.336,392.426,393.955,0,0
WLT_MV,D,20080229,000000,388.21,391.652,383.191,384.358,0,0
WLT_MV,D,20080303,000000,375.123,375.123,357.457,363.986,0,0
WLT_MV,D,20080304,000000,355.517,363.986,355.517,355.918,0,0
WLT_MV,D,20080305,000000,355.918,381.289,355.918,372.848,0,0
WLT_MV,D,20080306,000000,377.829,383.593,370.898,378.995,0,0
WLT_MV,D,20080307,000000,365.143,384.358,362.065,384.358,0,0
WLT_MV,D,20080310,000000,382.427,398.2,371.663,384.358,0,0
WLT_MV,D,20080311,000000,385.122,385.122,380.907,381.652,0,0
WLT_MV,D,20080312,000000,389.74,389.74,381.652,384.358,0,0
WLT_MV,D,20080313,000000,382.063,384.358,378.584,378.584,0,0
WLT_MV,D,20080314,000000,384.358,392.818,375.506,381.652,0,0
WLT_MV,D,20080317,000000,363.604,376.662,363.604,376.662,0,0
WLT_MV,D,20080318,000000,376.28,380.907,365.143,375.907,0,0
WLT_MV,D,20080319,000000,380.524,380.524,367.065,378.584,0,0
WLT_MV,D,20080320,000000,368.212,375.506,368.212,375.506,0,0
WLT_MV,D,20080325,000000,387.436,387.436,378.211,382.063,0,0
WLT_MV,D,20080326,000000,382.063,382.063,376.662,376.662,0,0
WLT_MV,D,20080327,000000,376.662,384.358,376.662,383.191,0,0
WLT_MV,D,20080328,000000,384.358,386.279,376.662,385.514,0,0
WLT_MV,D,20080331,000000,383.985,383.985,383.985,383.985,0,0
WLT_MV,D,20080401,000000,383.985,383.985,376.662,377.437,0,0
WLT_MV,D,20080402,000000,403.572,403.572,378.995,383.191,0,0
WLT_MV,D,20080403,000000,386.279,386.279,380.524,380.524,0,0
WLT_MV,D,20080404,000000,398.955,398.955,380.524,384.358,0,0
WLT_MV,D,20080407,000000,380.524,387.436,380.524,383.593,0,0
WLT_MV,D,20080408,000000,382.427,382.427,376.662,376.662,0,0
WLT_MV,D,20080409,000000,376.28,380.524,373.986,377.437,0,0
WLT_MV,D,20080410,000000,375.907,377.437,375.907,376.662,0,0
WLT_MV,D,20080411,000000,377.054,377.437,369.359,376.662,0,0
WLT_MV,D,20080414,000000,368.986,374.731,365.143,374.731,0,0
WLT_MV,D,20080415,000000,365.526,368.986,365.143,368.594,0,0
WLT_MV,D,20080416,000000,368.594,368.986,360.908,368.594,0,0
WLT_MV,D,20080417,000000,368.594,368.986,365.143,368.594,0,0
WLT_MV,D,20080418,000000,368.594,370.133,365.143,370.133,0,0
WLT_MV,D,20080421,000000,358.213,368.986,357.849,365.143,0,0
WLT_MV,D,20080422,000000,358.213,358.213,345.919,349.762,0,0
WLT_MV,D,20080423,000000,344.007,344.007,326.704,338.224,0,0
WLT_MV,D,20080424,000000,334.39,352.84,334.39,336.321,0,0
WLT_MV,D,20080425,000000,337.86,345.919,337.86,345.919,0,0
WLT_MV,D,20080428,000000,352.84,352.84,345.919,352.84,0,0
WLT_MV,D,20080429,000000,348.997,364.369,348.997,364.369,0,0
WLT_MV,D,20080430,000000,367.065,368.986,367.065,368.594,0,0
WLT_MV,D,20080505,000000,370.133,410.866,370.133,403.19,0,0
WLT_MV,D,20080506,000000,406.641,406.641,392.053,397.425,0,0
WLT_MV,D,20080507,000000,393.955,398.2,380.524,387.436,0,0
WLT_MV,D,20080508,000000,384.358,387.809,382.819,386.279,0,0
WLT_MV,D,20080509,000000,389.348,389.348,377.437,384.358,0,0
WLT_MV,D,20080512,000000,376.662,386.279,376.28,383.593,0,0
WLT_MV,D,20080513,000000,382.427,383.985,382.063,382.819,0,0
