<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WLT_PE,D,20080207,000000,14.6461,14.6461,14.6461,14.6461,0,0
WLT_PE,D,20080208,000000,14.6461,14.8363,14.6461,14.8363,0,0
WLT_PE,D,20080211,000000,14.9596,15.1518,14.9596,15.0848,0,0
WLT_PE,D,20080212,000000,15.0848,16.9346,15.0848,16.9346,0,0
WLT_PE,D,20080213,000000,17.381,18.5272,17.381,18.2729,0,0
WLT_PE,D,20080214,000000,18.5272,18.9077,17.5053,17.6363,0,0
WLT_PE,D,20080215,000000,17.5053,20.115,9.54896,9.54896,0,0
WLT_PE,D,20080218,000000,10.2506,10.5661,10.0604,10.1206,0,0
WLT_PE,D,20080219,000000,10.1206,10.1206,9.73823,9.93038,0,0
WLT_PE,D,20080220,000000,9.67514,9.80515,9.48204,9.48204,0,0
WLT_PE,D,20080221,000000,9.80515,9.80515,9.48204,9.67514,0,0
WLT_PE,D,20080222,000000,9.73823,9.73823,9.35872,9.48204,0,0
WLT_PE,D,20080225,000000,9.67514,9.67514,8.84691,8.97835,0,0
WLT_PE,D,20080226,000000,9.03695,9.42564,8.7885,8.7885,0,0
WLT_PE,D,20080227,000000,8.72292,9.03695,8.72292,9.03695,0,0
WLT_PE,D,20080228,000000,9.1704,9.1704,8.65734,8.72292,0,0
WLT_PE,D,20080229,000000,8.59091,8.65734,8.4673,8.53259,0,0
WLT_PE,D,20080303,000000,8.34236,8.34236,7.9553,8.08683,0,0
WLT_PE,D,20080304,000000,7.89641,8.08683,7.89641,7.89641,0,0
WLT_PE,D,20080305,000000,7.89641,8.4673,7.89641,8.27716,0,0
WLT_PE,D,20080306,000000,8.40191,8.53259,8.21082,8.40191,0,0
WLT_PE,D,20080307,000000,8.08683,8.53259,8.02145,8.53259,0,0
WLT_PE,D,20080310,000000,8.4673,8.84691,8.27716,8.53259,0,0
WLT_PE,D,20080311,000000,8.53259,8.53259,8.4673,8.4673,0,0
WLT_PE,D,20080312,000000,8.65734,8.65734,8.4673,8.53259,0,0
WLT_PE,D,20080313,000000,8.4673,8.53259,8.40191,8.40191,0,0
WLT_PE,D,20080314,000000,8.53259,8.72292,8.34236,8.4673,0,0
WLT_PE,D,20080317,000000,8.08683,8.34236,8.08683,8.34236,0,0
WLT_PE,D,20080318,000000,8.34236,8.40191,8.08683,8.34236,0,0
WLT_PE,D,20080319,000000,8.4673,8.4673,8.14582,8.40191,0,0
WLT_PE,D,20080320,000000,8.14582,8.34236,8.14582,8.34236,0,0
WLT_PE,D,20080325,000000,8.59091,8.59091,8.40191,8.4673,0,0
WLT_PE,D,20080326,000000,8.4673,8.4673,8.34236,8.34236,0,0
WLT_PE,D,20080327,000000,8.34236,8.53259,8.34236,8.4673,0,0
WLT_PE,D,20080328,000000,8.4673,8.53259,8.34236,8.53259,0,0
WLT_PE,D,20080331,000000,8.53259,8.53259,8.53259,8.53259,0,0
WLT_PE,D,20080401,000000,8.53259,8.53259,8.34236,8.34236,0,0
WLT_PE,D,20080402,000000,8.91306,8.91306,8.40191,8.4673,0,0
WLT_PE,D,20080403,000000,8.53259,8.53259,8.40191,8.40191,0,0
WLT_PE,D,20080404,000000,8.7885,8.7885,8.40191,8.53259,0,0
WLT_PE,D,20080407,000000,8.4673,8.59091,8.4673,8.53259,0,0
WLT_PE,D,20080408,000000,8.53259,8.53259,8.34236,8.34236,0,0
WLT_PE,D,20080409,000000,8.34236,8.40191,8.27716,8.34236,0,0
WLT_PE,D,20080410,000000,8.27716,8.34236,8.27716,8.34236,0,0
WLT_PE,D,20080411,000000,8.34236,8.34236,8.14582,8.34236,0,0
WLT_PE,D,20080414,000000,8.14582,8.27716,8.08683,8.27716,0,0
WLT_PE,D,20080415,000000,8.08683,8.14582,8.08683,8.14582,0,0
