<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WPL_MV,D,20150507,000000,747.283,747.283,747.283,747.283,0,0
WPL_MV,D,20150508,000000,759.66,760.085,748.354,750.06,0,0
WPL_MV,D,20150511,000000,757.944,757.944,747.283,747.283,0,0
WPL_MV,D,20150512,000000,749.414,749.414,745.143,745.143,0,0
WPL_MV,D,20150513,000000,743.215,746.213,732.334,732.334,0,0
WPL_MV,D,20150514,000000,734.464,744.074,726.995,744.074,0,0
WPL_MV,D,20150515,000000,736.604,751.553,736.604,751.553,0,0
WPL_MV,D,20150518,000000,754.745,757.944,743.438,743.438,0,0
WPL_MV,D,20150519,000000,740.874,743.215,740.874,743.004,0,0
WPL_MV,D,20150520,000000,741.935,755.823,741.935,743.004,0,0
WPL_MV,D,20150521,000000,757.944,757.944,747.495,747.495,0,0
WPL_MV,D,20150522,000000,741.298,757.52,741.298,743.438,0,0
WPL_MV,D,20150525,000000,755.389,755.389,755.389,755.389,0,0
WPL_MV,D,20150526,000000,744.074,744.074,744.074,744.074,0,0
WPL_MV,D,20150527,000000,736.825,841.388,736.825,841.388,0,0
WPL_MV,D,20150528,000000,840.18,843.584,836.556,841.388,0,0
WPL_MV,D,20150529,000000,833.162,844.792,833.162,842.616,0,0
WPL_MV,D,20150601,000000,840.18,843.814,836.556,841.388,0,0
WPL_MV,D,20150602,000000,840.18,841.388,835.348,841.388,0,0
WPL_MV,D,20150603,000000,835.348,842.616,835.348,839.701,0,0
WPL_MV,D,20150605,000000,838.982,838.982,837.773,837.773,0,0
WPL_MV,D,20150608,000000,837.285,842.616,837.285,842.616,0,0
WPL_MV,D,20150609,000000,837.773,837.773,837.773,837.773,0,0
WPL_MV,D,20150610,000000,837.773,840.18,835.837,836.806,0,0
WPL_MV,D,20150611,000000,840.18,840.18,835.837,836.556,0,0
WPL_MV,D,20150612,000000,838.982,838.982,836.556,836.556,0,0
WPL_MV,D,20150615,000000,842.616,842.616,837.773,837.773,0,0
WPL_MV,D,20150616,000000,837.773,841.388,834.868,841.388,0,0
WPL_MV,D,20150617,000000,842.616,842.616,838.982,840.18,0,0
WPL_MV,D,20150618,000000,841.388,843.814,841.388,842.136,0,0
WPL_MV,D,20150619,000000,841.388,845.032,834.868,834.868,0,0
WPL_MV,D,20150622,000000,835.588,840.18,835.588,837.773,0,0
WPL_MV,D,20150623,000000,842.616,842.616,837.773,837.773,0,0
WPL_MV,D,20150624,000000,838.022,845.032,838.022,841.877,0,0
WPL_MV,D,20150625,000000,840.18,842.616,840.18,840.18,0,0
WPL_MV,D,20150626,000000,837.773,837.773,836.317,837.285,0,0
WPL_MV,D,20150629,000000,823.239,823.239,778.685,815.982,0,0
WPL_MV,D,20150630,000000,811.378,815.982,811.378,815.252,0,0
WPL_MV,D,20150701,000000,815.252,844.553,815.252,844.064,0,0
WPL_MV,D,20150702,000000,844.553,845.512,828.09,843.814,0,0
WPL_MV,D,20150703,000000,843.814,845.512,827.842,835.348,0,0
WPL_MV,D,20150706,000000,829.307,845.032,824.456,845.032,0,0
WPL_MV,D,20150707,000000,835.348,840.18,835.348,835.348,0,0
WPL_MV,D,20150708,000000,842.616,842.616,835.348,835.348,0,0
WPL_MV,D,20150709,000000,837.773,837.773,828.09,835.348,0,0
WPL_MV,D,20150710,000000,835.348,842.357,834.14,835.348,0,0
WPL_MV,D,20150713,000000,840.18,840.18,823.239,830.026,0,0
WPL_MV,D,20150714,000000,831.466,832.203,823.239,829.307,0,0
WPL_MV,D,20150715,000000,829.307,837.773,829.307,837.773,0,0
WPL_MV,D,20150716,000000,840.18,869.481,837.773,864.407,0,0
WPL_MV,D,20150717,000000,859.806,886.92,859.806,886.69,0,0
WPL_MV,D,20150720,000000,883.776,883.776,876.516,883.776,0,0
WPL_MV,D,20150721,000000,883.776,892.961,876.516,892.961,0,0
WPL_MV,D,20150722,000000,893.449,893.449,888.856,893.449,0,0
WPL_MV,D,20150723,000000,891.034,893.449,886.431,888.617,0,0
WPL_MV,D,20150724,000000,893.449,895.875,891.034,895.875,0,0
WPL_MV,D,20150727,000000,899.517,899.517,891.034,891.282,0,0
WPL_MV,D,20150728,000000,891.523,900.236,891.523,895.875,0,0
