<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WPR_PE,D,20210914,000000,45.1,45.1,45.1,45.1,0,0
WPR_PE,D,20210915,000000,42.4,46,42.1,46,0,0
WPR_PE,D,20210916,000000,46.6,47.3,43.8,44.1,0,0
WPR_PE,D,20210917,000000,44.1,44.4,43.1,43.7,0,0
WPR_PE,D,20210920,000000,43.1,43.1,40.1,40.7,0,0
WPR_PE,D,20210921,000000,41,42.9,41,41.6,0,0
WPR_PE,D,20210922,000000,41.9,42.6,40.6,41.6,0,0
WPR_PE,D,20210923,000000,41.6,44.3,41.6,43.8,0,0
WPR_PE,D,20210924,000000,44.4,46,44.1,45.7,0,0
WPR_PE,D,20210927,000000,45.7,45.7,44.1,45.3,0,0
WPR_PE,D,20210928,000000,45.5,45.5,44.1,45.2,0,0
WPR_PE,D,20210929,000000,45.5,45.5,44.2,45.3,0,0
WPR_PE,D,20210930,000000,45.6,45.6,43.8,45.1,0,0
WPR_PE,D,20211001,000000,45,45,43.6,44.6,0,0
WPR_PE,D,20211004,000000,44.6,45,43.7,44.4,0,0
WPR_PE,D,20211005,000000,42.2,43.8,41.6,41.6,0,0
WPR_PE,D,20211006,000000,41.9,44.4,41.6,41.6,0,0
WPR_PE,D,20211007,000000,41.7,42.8,41.6,42.8,0,0
WPR_PE,D,20211008,000000,41.7,44,41.6,43.9,0,0
WPR_PE,D,20211011,000000,43.8,43.9,41.4,43.2,0,0
WPR_PE,D,20211012,000000,41.7,42.8,40.7,42,0,0
WPR_PE,D,20211013,000000,42.1,42.1,41.3,41.9,0,0
WPR_PE,D,20211014,000000,42,42,41.2,41.3,0,0
WPR_PE,D,20211015,000000,42.1,42.9,41.3,42.5,0,0
WPR_PE,D,20211018,000000,42.5,43,42.2,42.8,0,0
WPR_PE,D,20211019,000000,43.1,43.1,43.1,43.1,0,0
WPR_PE,D,20211020,000000,43.1,43.1,41.2,42.2,0,0
WPR_PE,D,20211021,000000,42.2,42.2,41.3,42,0,0
WPR_PE,D,20211022,000000,42,42.8,42,42.8,0,0
WPR_PE,D,20211025,000000,42.8,42.8,41.9,42.6,0,0
WPR_PE,D,20211026,000000,42.7,42.7,41.3,42.7,0,0
WPR_PE,D,20211027,000000,42.5,43.2,42.4,43.2,0,0
WPR_PE,D,20211028,000000,41.5,42.8,39.9,42.1,0,0
WPR_PE,D,20211029,000000,41.7,41.7,40.7,41.3,0,0
WPR_PE,D,20211102,000000,41.3,41.6,41.3,41.6,0,0
WPR_PE,D,20211103,000000,41.6,41.6,40.7,41.4,0,0
WPR_PE,D,20211104,000000,41.4,41.5,40.7,41.4,0,0
WPR_PE,D,20211105,000000,40.7,41.2,40.7,41.2,0,0
WPR_PE,D,20211108,000000,40.8,41,39.8,41,0,0
WPR_PE,D,20211109,000000,41.1,41.4,41.1,41.4,0,0
WPR_PE,D,20211110,000000,42.2,42.3,41.5,41.9,0,0
WPR_PE,D,20211112,000000,41.9,43.2,41.9,43.1,0,0
WPR_PE,D,20211115,000000,42.8,45,41.1,42.7,0,0
WPR_PE,D,20211116,000000,42.9,43.8,42.7,43.5,0,0
WPR_PE,D,20211117,000000,43.8,44.5,42.7,44.1,0,0
WPR_PE,D,20211118,000000,43.8,44.4,42,43.8,0,0
WPR_PE,D,20211119,000000,43.8,43.8,41.7,42.6,0,0
WPR_PE,D,20211122,000000,41.9,42.3,41.2,42.3,0,0
WPR_PE,D,20211123,000000,42.2,44.1,42.1,44.1,0,0
WPR_PE,D,20211124,000000,43,44.1,41.9,41.9,0,0
WPR_PE,D,20211125,000000,42.3,42.8,42.2,42.8,0,0
WPR_PE,D,20211126,000000,42.8,42.8,34.5,34.5,0,0
WPR_PE,D,20211129,000000,34.5,34.8,34.2,34.5,0,0
WPR_PE,D,20211130,000000,34.5,34.9,34,34.1,0,0
WPR_PE,D,20211201,000000,34.2,34.5,34,34.4,0,0
WPR_PE,D,20211202,000000,34.5,34.5,34,34.2,0,0
WPR_PE,D,20211203,000000,33.7,34.9,33.7,34.8,0,0
WPR_PE,D,20211206,000000,35,35,33.7,34.1,0,0
WPR_PE,D,20211207,000000,33.6,34.8,33.6,34,0,0
WPR_PE,D,20211208,000000,34.8,34.8,33.8,34.5,0,0
WPR_PE,D,20211209,000000,34.6,34.6,34,34.5,0,0
WPR_PE,D,20211210,000000,34.5,34.5,34,34,0,0
WPR_PE,D,20211213,000000,34,34.5,34,34.1,0,0
WPR_PE,D,20211214,000000,34.1,34.1,33.6,34,0,0
WPR_PE,D,20211215,000000,33.8,33.8,33.5,33.8,0,0
WPR_PE,D,20211216,000000,33.8,33.8,33.6,33.6,0,0
WPR_PE,D,20211217,000000,33.7,34.2,33.7,34.2,0,0
WPR_PE,D,20211220,000000,34.2,34.2,33.7,33.7,0,0
WPR_PE,D,20211221,000000,33.6,33.7,33.6,33.7,0,0
WPR_PE,D,20211222,000000,33.6,34.4,33.6,34.4,0,0
WPR_PE,D,20211223,000000,33.9,34.4,33.9,34.4,0,0
WPR_PE,D,20211227,000000,34,34.3,34,34.2,0,0
WPR_PE,D,20211228,000000,34.2,34.7,34.2,34.6,0,0
WPR_PE,D,20211229,000000,34.5,35.4,34.5,35.4,0,0
WPR_PE,D,20211230,000000,34.4,36.2,34.4,36.1,0,0
WPR_PE,D,20220103,000000,37,42.2,37,40.9,0,0
WPR_PE,D,20220104,000000,40.9,41.7,40.9,40.9,0,0
WPR_PE,D,20220105,000000,40.9,40.9,39.9,40.9,0,0
WPR_PE,D,20220107,000000,40.8,43.5,40.8,43.5,0,0
WPR_PE,D,20220110,000000,43.5,48.4,43.5,45.5,0,0
WPR_PE,D,20220111,000000,46,47.8,45.8,47,0,0
WPR_PE,D,20220112,000000,47,50.6,47,48.3,0,0
WPR_PE,D,20220113,000000,49.8,49.8,47.6,48.3,0,0
WPR_PE,D,20220114,000000,46.5,47.5,46,46.3,0,0
WPR_PE,D,20220117,000000,47.1,50.9,46.3,48.8,0,0
WPR_PE,D,20220118,000000,48.8,48.8,47.5,48.6,0,0
WPR_PE,D,20220119,000000,47.8,48.9,47.5,48.5,0,0
WPR_PE,D,20220120,000000,48.5,48.5,46.6,47.9,0,0
WPR_PE,D,20220121,000000,47.8,47.8,42.4,44.8,0,0
WPR_PE,D,20220124,000000,43.7,43.7,39.9,42.4,0,0
WPR_PE,D,20220125,000000,42.7,43.2,40.9,41,0,0
WPR_PE,D,20220126,000000,41,44,41,43.2,0,0
WPR_PE,D,20220127,000000,43.1,44.7,43.1,44.7,0,0
WPR_PE,D,20220128,000000,43.5,46.3,43.5,43.6,0,0
WPR_PE,D,20220131,000000,43.6,46.3,43.6,44.8,0,0
WPR_PE,D,20220201,000000,44.8,44.8,43,43.5,0,0
WPR_PE,D,20220202,000000,44.4,44.4,43.1,43.5,0,0
WPR_PE,D,20220203,000000,44,44,41.4,42.9,0,0
WPR_PE,D,20220204,000000,41.7,43.4,41.7,43.2,0,0
WPR_PE,D,20220207,000000,42.9,43.5,42.9,43.5,0,0
WPR_PE,D,20220208,000000,43.5,43.5,42.8,43.4,0,0
WPR_PE,D,20220209,000000,43.4,46,43.4,46,0,0
WPR_PE,D,20220210,000000,46.2,48.3,46.2,48.3,0,0
WPR_PE,D,20220211,000000,48.4,48.6,46.5,47.3,0,0
WPR_PE,D,20220214,000000,46.8,47.2,43.8,47.2,0,0
WPR_PE,D,20220215,000000,46.5,47.2,46.5,46.8,0,0
WPR_PE,D,20220216,000000,46.8,47.8,46.8,47,0,0
WPR_PE,D,20220217,000000,47.3,47.3,44.7,44.8,0,0
WPR_PE,D,20220218,000000,46.8,48.6,35.2,35.2,0,0
WPR_PE,D,20220221,000000,34.1,35.2,33.8,34.6,0,0
WPR_PE,D,20220222,000000,33.2,35.1,33.2,34.9,0,0
WPR_PE,D,20220223,000000,35.5,35.5,34.2,34.3,0,0
WPR_PE,D,20220224,000000,32.5,32.7,30.1,32.5,0,0
WPR_PE,D,20220225,000000,32.1,33.6,32.1,33.6,0,0
WPR_PE,D,20220228,000000,32.1,35.1,32.1,35.1,0,0
WPR_PE,D,20220301,000000,35.1,35.4,33.4,33.4,0,0
WPR_PE,D,20220302,000000,33.4,35.1,33.4,35.1,0,0
WPR_PE,D,20220303,000000,34.4,35.1,33.7,34.4,0,0
WPR_PE,D,20220304,000000,33.5,33.5,33.4,33.4,0,0
WPR_PE,D,20220307,000000,33.6,33.6,33.4,33.4,0,0
WPR_PE,D,20220308,000000,33.3,33.3,32.5,33.2,0,0
WPR_PE,D,20220309,000000,33.2,34,33.2,33.6,0,0
WPR_PE,D,20220310,000000,33.6,35.1,33.6,34.6,0,0
WPR_PE,D,20220311,000000,34.7,35.5,34.6,35.5,0,0
WPR_PE,D,20220314,000000,35.5,38.1,35.5,37.5,0,0
WPR_PE,D,20220315,000000,38,38,37,37.3,0,0
WPR_PE,D,20220316,000000,38,42.9,37.7,41.3,0,0
WPR_PE,D,20220317,000000,41.9,42.6,40.3,41.5,0,0
WPR_PE,D,20220318,000000,41.2,41.2,37.9,39.3,0,0
WPR_PE,D,20220321,000000,38.1,39.9,37.8,39.9,0,0
WPR_PE,D,20220322,000000,39.9,40.9,37.4,40.9,0,0
WPR_PE,D,20220323,000000,40.9,44.7,40.9,44.3,0,0
WPR_PE,D,20220324,000000,43.7,44.3,43.4,43.9,0,0
WPR_PE,D,20220325,000000,42.1,43.5,41.3,42,0,0
WPR_PE,D,20220328,000000,40.8,43.8,40.7,43.7,0,0
WPR_PE,D,20220329,000000,43.7,44.1,43,44,0,0
WPR_PE,D,20220330,000000,44,44,43,43.9,0,0
WPR_PE,D,20220331,000000,44,44,43.2,43.7,0,0
WPR_PE,D,20220401,000000,43.6,43.7,43.6,43.7,0,0
WPR_PE,D,20220404,000000,43.5,43.8,43.1,43.8,0,0
WPR_PE,D,20220405,000000,43.7,43.8,42.4,42.4,0,0
WPR_PE,D,20220406,000000,42.6,43,41.5,41.8,0,0
WPR_PE,D,20220407,000000,41.8,42,41.1,41.8,0,0
