<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WTN_PB,D,20151109,000000,2.68376,2.68376,2.68376,2.68376,0,0
WTN_PB,D,20151110,000000,2.68376,2.79368,2.58539,2.60279,0,0
WTN_PB,D,20151112,000000,2.73583,2.73583,2.60279,2.63753,0,0
WTN_PB,D,20151113,000000,2.66064,2.66064,2.63168,2.6433,0,0
WTN_PB,D,20151116,000000,2.6433,2.6433,2.61441,2.61441,0,0
WTN_PB,D,20151117,000000,2.6433,2.6433,2.61441,2.61441,0,0
WTN_PB,D,20151118,000000,2.6433,2.6433,2.59116,2.60279,0,0
WTN_PB,D,20151119,000000,2.59116,2.61441,2.59116,2.61441,0,0
WTN_PB,D,20151120,000000,2.6433,2.6433,2.61441,2.61441,0,0
WTN_PB,D,20151123,000000,2.61441,2.61441,2.51027,2.51027,0,0
WTN_PB,D,20151124,000000,2.58539,2.58539,2.58539,2.58539,0,0
WTN_PB,D,20151125,000000,2.55657,2.55657,2.55657,2.55657,0,0
WTN_PB,D,20151126,000000,2.58539,2.58539,2.58539,2.58539,0,0
WTN_PB,D,20151127,000000,2.58539,2.58539,2.58539,2.58539,0,0
WTN_PB,D,20151130,000000,2.55657,2.63753,2.55657,2.63753,0,0
WTN_PB,D,20151201,000000,2.52182,2.79368,2.38879,2.79368,0,0
WTN_PB,D,20151202,000000,2.79368,2.79368,2.75317,2.75317,0,0
WTN_PB,D,20151203,000000,2.60279,2.6259,2.60279,2.6259,0,0
WTN_PB,D,20151204,000000,2.60279,2.75317,2.44086,2.75317,0,0
WTN_PB,D,20151207,000000,2.76471,2.76471,2.60279,2.60279,0,0
WTN_PB,D,20151208,000000,2.63168,2.78205,2.63168,2.75317,0,0
WTN_PB,D,20151209,000000,2.60849,2.75317,2.60849,2.75317,0,0
WTN_PB,D,20151210,000000,2.75317,2.75317,2.75317,2.75317,0,0
WTN_PB,D,20151211,000000,2.75317,2.75317,2.75317,2.75317,0,0
WTN_PB,D,20151214,000000,2.75317,2.75317,2.59116,2.59116,0,0
WTN_PB,D,20151215,000000,2.49871,2.63753,2.49871,2.57383,0,0
WTN_PB,D,20151216,000000,2.56805,2.6433,2.51027,2.57383,0,0
WTN_PB,D,20151217,000000,2.51027,2.57968,2.49871,2.51027,0,0
WTN_PB,D,20151218,000000,2.44664,2.51027,2.44664,2.48716,0,0
WTN_PB,D,20151221,000000,2.44664,2.44664,2.4293,2.4293,0,0
WTN_PB,D,20151222,000000,2.45812,2.45812,2.4293,2.4293,0,0
WTN_PB,D,20151223,000000,2.34827,2.44664,2.34827,2.42352,0,0
WTN_PB,D,20151228,000000,2.42352,2.57968,2.42352,2.57968,0,0
WTN_PB,D,20151229,000000,2.51597,2.51597,2.43501,2.51027,0,0
WTN_PB,D,20151230,000000,2.51027,2.75317,2.51027,2.75317,0,0
WTN_PB,D,20160104,000000,2.75317,2.75317,2.67219,2.67219,0,0
WTN_PB,D,20160105,000000,2.51597,2.75317,2.51597,2.59116,0,0
WTN_PB,D,20160107,000000,2.60279,2.62012,2.59116,2.59116,0,0
WTN_PB,D,20160108,000000,2.60279,2.60279,2.4293,2.51597,0,0
WTN_PB,D,20160111,000000,2.43501,2.57968,2.43501,2.57968,0,0
WTN_PB,D,20160113,000000,2.44086,2.44086,2.4293,2.43501,0,0
WTN_PB,D,20160114,000000,2.44664,2.44664,2.4293,2.43501,0,0
WTN_PB,D,20160115,000000,2.40034,2.53338,2.34827,2.34827,0,0
WTN_PB,D,20160118,000000,2.35982,2.35982,2.35982,2.35982,0,0
WTN_PB,D,20160119,000000,2.4293,2.48131,2.36567,2.36567,0,0
WTN_PB,D,20160120,000000,2.31938,2.34249,2.2673,2.34249,0,0
WTN_PB,D,20160121,000000,2.27886,2.34827,2.27315,2.34827,0,0
WTN_PB,D,20160122,000000,2.34827,2.34827,2.34249,2.34249,0,0
WTN_PB,D,20160125,000000,2.34249,2.34827,2.34249,2.34827,0,0
WTN_PB,D,20160126,000000,2.31938,2.31938,2.31938,2.31938,0,0
WTN_PB,D,20160127,000000,2.31938,2.33671,2.29626,2.29626,0,0
WTN_PB,D,20160128,000000,2.34827,2.34827,2.33093,2.33671,0,0
WTN_PB,D,20160129,000000,2.33671,2.33671,2.28464,2.28464,0,0
WTN_PB,D,20160201,000000,2.383,2.4293,2.383,2.4293,0,0
WTN_PB,D,20160202,000000,2.48131,2.48131,2.4293,2.4293,0,0
WTN_PB,D,20160203,000000,2.51027,2.51027,2.51027,2.51027,0,0
WTN_PB,D,20160204,000000,2.51027,2.51027,2.51027,2.51027,0,0
WTN_PB,D,20160208,000000,2.51027,2.51027,2.34827,2.34827,0,0
WTN_PB,D,20160209,000000,2.34827,2.34827,2.34827,2.34827,0,0
WTN_PB,D,20160210,000000,2.34827,2.383,2.34827,2.383,0,0
WTN_PB,D,20160215,000000,2.30782,2.4293,2.30782,2.383,0,0
WTN_PB,D,20160218,000000,2.27315,2.33671,2.18633,2.18633,0,0
WTN_PB,D,20160219,000000,2.20367,2.2673,2.18633,2.24997,0,0
WTN_PB,D,20160222,000000,2.23841,2.23841,2.19789,2.19789,0,0
WTN_PB,D,20160223,000000,2.23841,2.23841,2.20367,2.20367,0,0
WTN_PB,D,20160224,000000,2.24997,2.2673,2.23841,2.2673,0,0
WTN_PB,D,20160225,000000,2.34827,2.4293,2.34827,2.41189,0,0
WTN_PB,D,20160226,000000,2.41189,2.41189,2.34249,2.34827,0,0
WTN_PB,D,20160229,000000,2.34827,2.34827,2.2673,2.34827,0,0
WTN_PB,D,20160301,000000,2.34827,2.34827,2.34827,2.34827,0,0
WTN_PB,D,20160302,000000,2.34827,2.34827,2.30782,2.34827,0,0
WTN_PB,D,20160303,000000,2.34827,2.4293,2.34827,2.4293,0,0
WTN_PB,D,20160304,000000,2.46404,2.57383,2.45812,2.48131,0,0
WTN_PB,D,20160307,000000,2.54494,2.58539,2.48131,2.54494,0,0
