<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WWL_PB,D,20070813,000000,2.24736,2.24736,2.24736,2.24736,0,0
WWL_PB,D,20070814,000000,2.24736,2.24736,2.24736,2.24736,0,0
WWL_PB,D,20070816,000000,2.01945,2.01945,2.01945,2.01945,0,0
WWL_PB,D,20070817,000000,2.11044,2.11044,2.11044,2.11044,0,0
WWL_PB,D,20070820,000000,2.1171,2.1171,2.1171,2.1171,0,0
WWL_PB,D,20070821,000000,2.1171,2.1171,2.1171,2.1171,0,0
WWL_PB,D,20070822,000000,2.13668,2.13668,2.13668,2.13668,0,0
WWL_PB,D,20070823,000000,2.20173,2.20173,2.20173,2.20173,0,0
WWL_PB,D,20070824,000000,2.14315,2.14315,2.14315,2.14315,0,0
WWL_PB,D,20070827,000000,1.99986,1.99986,1.99986,1.99986,0,0
WWL_PB,D,20070828,000000,1.98665,1.98665,1.98665,1.98665,0,0
WWL_PB,D,20070829,000000,2.0128,2.0128,2.0128,2.0128,0,0
WWL_PB,D,20070830,000000,1.81085,1.81085,1.81085,1.81085,0,0
WWL_PB,D,20070831,000000,1.82397,1.82397,1.82397,1.82397,0,0
WWL_PB,D,20070903,000000,1.95432,1.95432,1.95432,1.95432,0,0
WWL_PB,D,20070904,000000,1.95432,1.95432,1.95432,1.95432,0,0
WWL_PB,D,20070905,000000,1.94111,1.94111,1.94111,1.94111,0,0
WWL_PB,D,20070906,000000,1.94111,1.94111,1.94111,1.94111,0,0
WWL_PB,D,20070907,000000,1.889,1.889,1.889,1.889,0,0
WWL_PB,D,20070910,000000,1.84993,1.84993,1.84993,1.84993,0,0
WWL_PB,D,20070911,000000,1.84993,1.84993,1.84993,1.84993,0,0
WWL_PB,D,20070912,000000,1.84993,1.84993,1.84993,1.84993,0,0
WWL_PB,D,20070913,000000,1.82397,1.82397,1.82397,1.82397,0,0
WWL_PB,D,20070914,000000,1.82397,1.82397,1.82397,1.82397,0,0
WWL_PB,D,20070917,000000,1.81085,1.81085,1.81085,1.81085,0,0
WWL_PB,D,20070918,000000,1.79135,1.79135,1.79135,1.79135,0,0
WWL_PB,D,20070919,000000,1.82397,1.82397,1.82397,1.82397,0,0
WWL_PB,D,20070920,000000,1.79135,1.79135,1.79135,1.79135,0,0
WWL_PB,D,20070921,000000,1.79782,1.79782,1.79782,1.79782,0,0
WWL_PB,D,20070924,000000,1.79782,1.79782,1.79782,1.79782,0,0
WWL_PB,D,20070925,000000,1.7326,1.7326,1.7326,1.7326,0,0
WWL_PB,D,20070926,000000,1.80428,1.80428,1.80428,1.80428,0,0
WWL_PB,D,20070927,000000,1.75882,1.75882,1.75882,1.75882,0,0
WWL_PB,D,20070928,000000,1.80428,1.80428,1.80428,1.80428,0,0
WWL_PB,D,20071001,000000,1.75227,1.75227,1.75227,1.75227,0,0
WWL_PB,D,20071002,000000,1.69369,1.69369,1.69369,1.69369,0,0
WWL_PB,D,20071003,000000,1.64806,1.64806,1.64806,1.64806,0,0
WWL_PB,D,20071004,000000,1.66755,1.66755,1.66755,1.66755,0,0
WWL_PB,D,20071005,000000,1.67421,1.67421,1.67421,1.67421,0,0
WWL_PB,D,20071008,000000,1.70016,1.70016,1.70016,1.70016,0,0
WWL_PB,D,20071009,000000,1.62847,1.62847,1.62847,1.62847,0,0
WWL_PB,D,20071010,000000,1.63494,1.63494,1.63494,1.63494,0,0
WWL_PB,D,20071011,000000,1.62847,1.62847,1.62847,1.62847,0,0
WWL_PB,D,20071012,000000,1.62209,1.62209,1.62209,1.62209,0,0
WWL_PB,D,20071015,000000,1.65444,1.65444,1.65444,1.65444,0,0
WWL_PB,D,20071016,000000,1.63494,1.63494,1.63494,1.63494,0,0
WWL_PB,D,20071017,000000,1.65444,1.65444,1.65444,1.65444,0,0
WWL_PB,D,20071018,000000,1.62847,1.62847,1.62847,1.62847,0,0
WWL_PB,D,20071019,000000,1.65444,1.65444,1.65444,1.65444,0,0
WWL_PB,D,20071022,000000,1.64169,1.64169,1.64169,1.64169,0,0
WWL_PB,D,20071023,000000,1.62847,1.62847,1.62847,1.62847,0,0
WWL_PB,D,20071024,000000,1.62847,1.62847,1.62847,1.62847,0,0
WWL_PB,D,20071025,000000,1.62847,1.62847,1.62847,1.62847,0,0
WWL_PB,D,20071026,000000,1.60898,1.60898,1.60898,1.60898,0,0
WWL_PB,D,20071029,000000,1.62847,1.62847,1.62847,1.62847,0,0
WWL_PB,D,20071030,000000,1.62209,1.62209,1.62209,1.62209,0,0
WWL_PB,D,20071031,000000,1.57627,1.57627,1.57627,1.57627,0,0
WWL_PB,D,20071102,000000,1.5893,1.5893,1.5893,1.5893,0,0
WWL_PB,D,20071105,000000,1.51133,1.51133,1.51133,1.51133,0,0
WWL_PB,D,20071106,000000,1.51133,1.51133,1.51133,1.51133,0,0
WWL_PB,D,20071107,000000,1.51133,1.51133,1.51133,1.51133,0,0
WWL_PB,D,20071108,000000,1.49184,1.49184,1.49184,1.49184,0,0
WWL_PB,D,20071109,000000,1.48537,1.51133,1.41368,1.47872,0,0
WWL_PB,D,20071112,000000,1.47226,1.47872,1.40047,1.45266,0,0
WWL_PB,D,20071113,000000,1.44611,1.47226,1.44611,1.47226,0,0
WWL_PB,D,20071114,000000,1.51133,1.51133,1.44611,1.47226,0,0
WWL_PB,D,20071115,000000,1.47226,1.47226,1.44611,1.44611,0,0
WWL_PB,D,20071116,000000,1.44611,1.44611,1.44611,1.44611,0,0
WWL_PB,D,20071119,000000,1.44611,1.47226,1.41368,1.41368,0,0
WWL_PB,D,20071121,000000,1.35492,1.44611,1.35492,1.44611,0,0
WWL_PB,D,20071122,000000,1.39391,1.50467,1.32222,1.50467,0,0
WWL_PB,D,20071123,000000,1.56981,1.61544,1.50467,1.56981,0,0
WWL_PB,D,20071126,000000,1.77833,1.77833,1.51789,1.64169,0,0
WWL_PB,D,20071127,000000,1.64169,1.67421,1.57627,1.64806,0,0
WWL_PB,D,20071128,000000,1.64169,1.70016,1.62209,1.70016,0,0
WWL_PB,D,20071129,000000,1.68714,1.7326,1.67421,1.7326,0,0
WWL_PB,D,20071130,000000,1.66099,1.75227,1.66099,1.75227,0,0
WWL_PB,D,20071203,000000,1.7326,1.7326,1.7326,1.7326,0,0
WWL_PB,D,20071204,000000,1.70016,1.70016,1.69369,1.69369,0,0
WWL_PB,D,20071205,000000,1.66099,1.75227,1.65444,1.75227,0,0
WWL_PB,D,20071206,000000,1.75227,1.75227,1.70016,1.7326,0,0
WWL_PB,D,20071207,000000,1.68714,1.75882,1.68067,1.75882,0,0
WWL_PB,D,20071210,000000,1.71319,1.71975,1.68067,1.68067,0,0
WWL_PB,D,20071211,000000,1.67421,1.7458,1.64169,1.7458,0,0
WWL_PB,D,20071212,000000,1.70016,1.70672,1.67421,1.70672,0,0
WWL_PB,D,20071213,000000,1.66099,1.70672,1.64806,1.70016,0,0
WWL_PB,D,20071214,000000,1.67421,1.70016,1.64806,1.70016,0,0
WWL_PB,D,20071217,000000,1.70016,1.70672,1.64806,1.70672,0,0
WWL_PB,D,20071218,000000,1.66755,1.70672,1.66755,1.70672,0,0
WWL_PB,D,20071219,000000,1.71975,1.72631,1.71975,1.72631,0,0
WWL_PB,D,20071220,000000,1.70016,1.71319,1.70016,1.71319,0,0
WWL_PB,D,20071221,000000,1.67421,1.73924,1.67421,1.73924,0,0
WWL_PB,D,20071227,000000,1.70672,1.73924,1.70672,1.73924,0,0
WWL_PB,D,20080102,000000,1.70016,1.70016,1.70016,1.70016,0,0
WWL_PB,D,20080103,000000,1.70016,1.70016,1.70016,1.70016,0,0
WWL_PB,D,20080104,000000,1.70016,1.70016,1.55678,1.55678,0,0
WWL_PB,D,20080108,000000,1.52436,1.52436,1.51133,1.51133,0,0
WWL_PB,D,20080109,000000,1.60224,1.60224,1.41368,1.56334,0,0
WWL_PB,D,20080110,000000,1.56334,1.56334,1.48537,1.52436,0,0
WWL_PB,D,20080111,000000,1.50467,1.50467,1.47872,1.49821,0,0
