<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WWL_PE,D,20070813,000000,8.54701,8.54701,8.54701,8.54701,0,0
WWL_PE,D,20070814,000000,8.54701,8.54701,8.54701,8.54701,0,0
WWL_PE,D,20070816,000000,7.67371,7.67371,7.67371,7.67371,0,0
WWL_PE,D,20070817,000000,7.98744,7.98744,7.98744,7.98744,0,0
WWL_PE,D,20070820,000000,8.04518,8.04518,8.04518,8.04518,0,0
WWL_PE,D,20070821,000000,8.04518,8.04518,8.04518,8.04518,0,0
WWL_PE,D,20070822,000000,8.11041,8.11041,8.11041,8.11041,0,0
WWL_PE,D,20070823,000000,8.35754,8.35754,8.35754,8.35754,0,0
WWL_PE,D,20070824,000000,8.16788,8.16788,8.16788,8.16788,0,0
WWL_PE,D,20070827,000000,7.60774,7.60774,7.60774,7.60774,0,0
WWL_PE,D,20070828,000000,7.54352,7.54352,7.54352,7.54352,0,0
WWL_PE,D,20070829,000000,7.67371,7.67371,7.67371,7.67371,0,0
WWL_PE,D,20070830,000000,6.85914,6.85914,6.85914,6.85914,0,0
WWL_PE,D,20070831,000000,6.92446,6.92446,6.92446,6.92446,0,0
WWL_PE,D,20070903,000000,7.41955,7.41955,7.41955,7.41955,0,0
WWL_PE,D,20070904,000000,7.41955,7.41955,7.41955,7.41955,0,0
WWL_PE,D,20070905,000000,7.36107,7.36107,7.36107,7.36107,0,0
WWL_PE,D,20070906,000000,7.36107,7.36107,7.36107,7.36107,0,0
WWL_PE,D,20070907,000000,7.1714,7.1714,7.1714,7.1714,0,0
WWL_PE,D,20070910,000000,7.04816,7.04816,7.04816,7.04816,0,0
WWL_PE,D,20070911,000000,7.04816,7.04816,7.04816,7.04816,0,0
WWL_PE,D,20070912,000000,7.04816,7.04816,7.04816,7.04816,0,0
WWL_PE,D,20070913,000000,6.92446,6.92446,6.92446,6.92446,0,0
WWL_PE,D,20070914,000000,6.92446,6.92446,6.92446,6.92446,0,0
WWL_PE,D,20070917,000000,6.85914,6.85914,6.85914,6.85914,0,0
WWL_PE,D,20070918,000000,6.80057,6.80057,6.80057,6.80057,0,0
WWL_PE,D,20070919,000000,6.92446,6.92446,6.92446,6.92446,0,0
WWL_PE,D,20070920,000000,6.80057,6.80057,6.80057,6.80057,0,0
WWL_PE,D,20070921,000000,6.85914,6.85914,6.85914,6.85914,0,0
WWL_PE,D,20070924,000000,6.85914,6.85914,6.85914,6.85914,0,0
WWL_PE,D,20070925,000000,6.61173,6.61173,6.61173,6.61173,0,0
WWL_PE,D,20070926,000000,6.85914,6.85914,6.85914,6.85914,0,0
WWL_PE,D,20070927,000000,6.67022,6.67022,6.67022,6.67022,0,0
WWL_PE,D,20070928,000000,6.85914,6.85914,6.85914,6.85914,0,0
WWL_PE,D,20071001,000000,6.67022,6.67022,6.67022,6.67022,0,0
WWL_PE,D,20071002,000000,6.42271,6.42271,6.42271,6.42271,0,0
WWL_PE,D,20071003,000000,6.23397,6.23397,6.23397,6.23397,0,0
WWL_PE,D,20071004,000000,6.2991,6.2991,6.2991,6.2991,0,0
WWL_PE,D,20071005,000000,6.36405,6.36405,6.36405,6.36405,0,0
WWL_PE,D,20071008,000000,6.48785,6.48785,6.48785,6.48785,0,0
WWL_PE,D,20071009,000000,6.17531,6.17531,6.17531,6.17531,0,0
WWL_PE,D,20071010,000000,6.23397,6.23397,6.23397,6.23397,0,0
WWL_PE,D,20071011,000000,6.17531,6.17531,6.17531,6.17531,0,0
