<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPL_PE,D,20090518,000000,8.24617,8.24617,8.24617,8.24617,0,0
XPL_PE,D,20090519,000000,8.30154,8.30154,8.24617,8.24617,0,0
XPL_PE,D,20090520,000000,7.74488,7.74488,7.68897,7.68897,0,0
XPL_PE,D,20090521,000000,8.30154,8.30154,8.24617,8.24617,0,0
XPL_PE,D,20090522,000000,8.30154,8.30154,7.13203,7.13203,0,0
XPL_PE,D,20090526,000000,9.47273,10.1405,8.80318,8.80318,0,0
XPL_PE,D,20090527,000000,8.30154,8.30154,8.24617,8.24617,0,0
XPL_PE,D,20090528,000000,8.30154,8.30154,8.24617,8.24617,0,0
XPL_PE,D,20090529,000000,8.30154,8.30154,8.24617,8.24617,0,0
XPL_PE,D,20090601,000000,9.36059,9.36059,9.36059,9.36059,0,0
XPL_PE,D,20090602,000000,8.80318,8.80318,7.68897,7.68897,0,0
XPL_PE,D,20090603,000000,7.74488,7.74488,7.68897,7.68897,0,0
XPL_PE,D,20090604,000000,7.74488,7.74488,7.68897,7.68897,0,0
XPL_PE,D,20090605,000000,7.74488,7.74488,7.68897,7.68897,0,0
XPL_PE,D,20090608,000000,7.74488,7.74488,7.68897,7.68897,0,0
XPL_PE,D,20090609,000000,7.74488,7.74488,7.68897,7.68897,0,0
XPL_PE,D,20090610,000000,7.74488,7.74488,7.68897,7.68897,0,0
XPL_PE,D,20090612,000000,7.74488,7.74488,7.68897,7.68897,0,0
XPL_PE,D,20090615,000000,7.74488,7.74488,7.68897,7.68897,0,0
XPL_PE,D,20090616,000000,7.74488,7.74488,7.18768,7.68897,0,0
XPL_PE,D,20090617,000000,7.74488,7.74488,7.68897,7.68897,0,0
XPL_PE,D,20090618,000000,7.74488,7.74488,7.68897,7.68897,0,0
XPL_PE,D,20090619,000000,7.74488,7.74488,7.68897,7.68897,0,0
XPL_PE,D,20090622,000000,7.74488,7.74488,7.68897,7.68897,0,0
XPL_PE,D,20090623,000000,7.74488,7.74488,7.68897,7.68897,0,0
XPL_PE,D,20090624,000000,7.74488,7.74488,7.68897,7.68897,0,0
XPL_PE,D,20090625,000000,7.74488,7.74488,7.68897,7.68897,0,0
XPL_PE,D,20090626,000000,7.74488,7.74488,6.57466,6.57466,0,0
XPL_PE,D,20090629,000000,6.57466,7.13203,6.57466,7.13203,0,0
XPL_PE,D,20090630,000000,6.01737,7.68897,6.01737,7.68897,0,0
XPL_PE,D,20090701,000000,7.74488,7.74488,7.13203,7.13203,0,0
XPL_PE,D,20090702,000000,7.63295,7.68897,7.63295,7.68897,0,0
XPL_PE,D,20090703,000000,7.74488,7.74488,7.13203,7.13203,0,0
XPL_PE,D,20090706,000000,7.07557,7.07557,6.01737,6.01737,0,0
XPL_PE,D,20090707,000000,6.01737,6.57466,6.01737,6.57466,0,0
XPL_PE,D,20090708,000000,6.57466,6.57466,5.46026,6.01737,0,0
XPL_PE,D,20090709,000000,6.01737,6.01737,6.01737,6.01737,0,0
XPL_PE,D,20090710,000000,6.01737,6.01737,6.01737,6.01737,0,0
XPL_PE,D,20090713,000000,5.46026,5.516,5.46026,5.516,0,0
XPL_PE,D,20090714,000000,5.516,5.516,5.516,5.516,0,0
XPL_PE,D,20090715,000000,5.516,6.07319,5.516,5.516,0,0
XPL_PE,D,20090716,000000,5.516,5.516,5.516,5.516,0,0
XPL_PE,D,20090717,000000,5.516,5.516,4.95879,4.95879,0,0
XPL_PE,D,20090720,000000,4.95879,4.95879,4.95879,4.95879,0,0
XPL_PE,D,20090721,000000,4.95879,6.07319,4.95879,5.516,0,0
XPL_PE,D,20090722,000000,5.516,5.516,4.95879,5.516,0,0
XPL_PE,D,20090724,000000,5.516,5.516,5.516,5.516,0,0
XPL_PE,D,20090727,000000,5.516,5.516,5.516,5.516,0,0
XPL_PE,D,20090728,000000,5.516,9.13798,5.516,9.13798,0,0
XPL_PE,D,20090729,000000,9.13798,9.13798,9.13798,9.13798,0,0
XPL_PE,D,20090730,000000,9.13798,9.13798,9.13798,9.13798,0,0
XPL_PE,D,20090803,000000,9.13798,9.13798,9.13798,9.13798,0,0
XPL_PE,D,20090804,000000,9.13798,9.13798,9.13798,9.13798,0,0
XPL_PE,D,20090805,000000,9.13798,9.13798,9.13798,9.13798,0,0
XPL_PE,D,20090806,000000,9.13798,9.13798,9.13798,9.13798,0,0
XPL_PE,D,20090807,000000,9.13798,9.13798,8.24617,9.13798,0,0
XPL_PE,D,20090810,000000,10.0293,14.6539,10.0293,14.6539,0,0
XPL_PE,D,20090811,000000,13.7065,15.5443,12.8143,12.8143,0,0
XPL_PE,D,20090812,000000,11.8679,12.8143,11.8679,11.8679,0,0
XPL_PE,D,20090813,000000,11.8679,13.7065,11.8679,12.8143,0,0
XPL_PE,D,20090814,000000,11.8679,12.8143,11.8679,12.8143,0,0
XPL_PE,D,20090817,000000,12.8143,13.7065,11.8679,13.7065,0,0
XPL_PE,D,20090818,000000,13.7065,16.4355,12.8143,16.4355,0,0
XPL_PE,D,20090819,000000,17.3285,20.1136,16.4355,18.2759,0,0
XPL_PE,D,20090820,000000,19.1662,19.1662,17.3285,18.2759,0,0
XPL_PE,D,20090821,000000,18.2759,19.1662,15.5443,17.3829,0,0
XPL_PE,D,20090824,000000,19.1662,19.1662,15.5443,16.4355,0,0
XPL_PE,D,20090825,000000,17.3285,17.3285,14.5977,15.5443,0,0
XPL_PE,D,20090826,000000,15.5443,16.4355,14.5977,15.5443,0,0
XPL_PE,D,20090827,000000,15.5443,16.4355,14.5977,16.4355,0,0
XPL_PE,D,20090828,000000,16.4355,16.4355,14.5977,14.6539,0,0
XPL_PE,D,20090831,000000,14.5977,14.5977,13.7065,14.5977,0,0
XPL_PE,D,20090901,000000,13.7065,14.6539,13.7065,14.6539,0,0
XPL_PE,D,20090902,000000,13.7065,14.6539,13.7065,14.6539,0,0
XPL_PE,D,20090903,000000,12.8143,14.6539,12.8143,14.6539,0,0
XPL_PE,D,20090904,000000,14.5977,14.6539,14.5977,14.6539,0,0
XPL_PE,D,20090907,000000,14.5977,14.5977,13.7065,13.7065,0,0
XPL_PE,D,20090908,000000,14.5977,15.5443,13.7065,14.6539,0,0
XPL_PE,D,20090909,000000,14.5977,16.4355,14.5977,15.5443,0,0
XPL_PE,D,20090910,000000,15.5443,16.4355,15.5443,15.5443,0,0
XPL_PE,D,20090911,000000,15.5443,15.5443,15.5443,15.5443,0,0
XPL_PE,D,20090914,000000,15.5443,15.5443,13.7065,13.7065,0,0
XPL_PE,D,20090915,000000,13.7065,14.6539,13.7065,14.6539,0,0
XPL_PE,D,20090916,000000,14.5977,14.5977,13.7065,13.7065,0,0
XPL_PE,D,20090918,000000,12.8143,12.8143,12.8143,12.8143,0,0
XPL_PE,D,20090921,000000,13.7065,14.5977,11.8679,12.8143,0,0
XPL_PE,D,20090922,000000,12.8143,14.5977,12.8143,12.8143,0,0
XPL_PE,D,20090923,000000,12.8143,12.8143,12.8143,12.8143,0,0
XPL_PE,D,20090924,000000,12.8143,12.8143,11.8679,11.8679,0,0
XPL_PE,D,20090925,000000,11.8679,12.8143,11.8679,12.8143,0,0
XPL_PE,D,20090928,000000,11.8679,11.8679,11.8679,11.8679,0,0
XPL_PE,D,20090929,000000,11.8679,11.8679,11.8679,11.8679,0,0
XPL_PE,D,20090930,000000,11.8679,12.8143,11.8679,11.8679,0,0
XPL_PE,D,20091001,000000,10.9775,11.8679,10.9775,11.8679,0,0
XPL_PE,D,20091002,000000,11.8679,11.8679,11.8679,11.8679,0,0
XPL_PE,D,20091005,000000,11.8679,12.8143,11.8679,12.8143,0,0
XPL_PE,D,20091006,000000,12.8143,12.8143,12.8143,12.8143,0,0
XPL_PE,D,20091007,000000,12.8143,13.7065,12.8143,13.7065,0,0
XPL_PE,D,20091012,000000,13.7065,13.7065,13.7065,13.7065,0,0
XPL_PE,D,20091013,000000,13.7065,13.7065,11.8679,12.8143,0,0
XPL_PE,D,20091014,000000,12.8143,13.7065,10.9775,13.7065,0,0
XPL_PE,D,20091015,000000,13.7065,13.7065,11.8679,11.8679,0,0
XPL_PE,D,20091016,000000,12.8143,14.5977,12.8143,12.8143,0,0
XPL_PE,D,20091019,000000,12.8143,13.7065,12.8143,12.8143,0,0
XPL_PE,D,20091020,000000,11.8679,13.7065,11.8679,13.7065,0,0
XPL_PE,D,20091021,000000,13.7065,13.7065,13.7065,13.7065,0,0
XPL_PE,D,20091022,000000,13.7065,13.7065,13.7065,13.7065,0,0
XPL_PE,D,20091023,000000,12.8143,12.8143,11.8679,11.8679,0,0
XPL_PE,D,20091026,000000,11.8679,11.8679,10.9775,10.9775,0,0
XPL_PE,D,20091027,000000,10.9775,11.8679,10.9775,11.8679,0,0
XPL_PE,D,20091028,000000,11.8679,11.8679,11.8679,11.8679,0,0
XPL_PE,D,20091029,000000,11.8679,17.3829,11.8679,17.3829,0,0
XPL_PE,D,20091030,000000,17.3285,19.1662,15.5443,17.3829,0,0
XPL_PE,D,20091102,000000,17.3285,23.7909,17.3285,23.7909,0,0
XPL_PE,D,20091103,000000,24.6821,32.9289,24.6821,32.9289,0,0
XPL_PE,D,20091104,000000,36.5501,37.4423,30.143,35.6597,0,0
XPL_PE,D,20091105,000000,34.7124,35.6027,29.2517,33.8212,0,0
XPL_PE,D,20091106,000000,32.8728,32.8728,26.4648,26.5208,0,0
