<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XTB_PE,D,20160506,000000,6.32327,6.32327,6.32327,6.32327,0,0
XTB_PE,D,20160509,000000,6.58814,6.58814,6.2697,6.2697,0,0
XTB_PE,D,20160510,000000,6.2697,6.2697,6.16243,6.2697,0,0
XTB_PE,D,20160511,000000,6.21606,6.32327,6.16243,6.32327,0,0
XTB_PE,D,20160512,000000,6.32327,6.4285,6.32327,6.37555,0,0
XTB_PE,D,20160513,000000,6.4285,6.48153,6.37555,6.48153,0,0
XTB_PE,D,20160516,000000,6.48153,6.90619,6.4285,6.79997,0,0
XTB_PE,D,20160517,000000,6.79997,6.79997,6.79997,6.79997,0,0
XTB_PE,D,20160518,000000,6.79997,7.11939,6.79997,7.11939,0,0
XTB_PE,D,20160519,000000,6.95999,7.27895,6.90619,7.27895,0,0
XTB_PE,D,20160520,000000,7.27895,7.49109,7.22561,7.49109,0,0
XTB_PE,D,20160523,000000,7.49109,7.49109,7.17181,7.3316,0,0
XTB_PE,D,20160524,000000,7.27895,8.76692,7.17181,8.76692,0,0
XTB_PE,D,20160525,000000,8.76692,9.24466,8.55405,9.24466,0,0
XTB_PE,D,20160527,000000,9.24466,9.24466,8.92562,9.19121,0,0
XTB_PE,D,20160530,000000,9.08518,9.24466,8.92562,9.19121,0,0
XTB_PE,D,20160531,000000,9.24466,9.24466,8.92562,9.08518,0,0
XTB_PE,D,20160601,000000,9.08518,9.08518,8.6067,8.87226,0,0
XTB_PE,D,20160602,000000,8.81881,8.81881,8.55405,8.6067,0,0
XTB_PE,D,20160603,000000,8.55405,8.66011,8.23431,8.66011,0,0
XTB_PE,D,20160606,000000,8.87226,8.87226,8.44721,8.66011,0,0
XTB_PE,D,20160607,000000,8.55405,8.66011,8.44721,8.66011,0,0
XTB_PE,D,20160608,000000,8.66011,8.66011,8.44721,8.44721,0,0
XTB_PE,D,20160609,000000,8.34191,8.50063,8.34191,8.44721,0,0
XTB_PE,D,20160610,000000,8.39456,8.50063,8.28697,8.50063,0,0
