<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YAN_MV,D,20140710,000000,22.0634,22.0634,22.0634,22.0634,0,0
YAN_MV,D,20140711,000000,26.4675,31.7609,25.655,29.9309,0,0
YAN_MV,D,20140714,000000,29.5033,29.5033,22.2772,24.3723,0,0
YAN_MV,D,20140715,000000,24.5263,25.4413,19.6176,20.0964,0,0
YAN_MV,D,20140716,000000,19.2413,19.2413,16.7528,18.9762,0,0
YAN_MV,D,20140717,000000,18.8137,19.6689,17.112,17.6593,0,0
YAN_MV,D,20140718,000000,17.6593,17.7447,15.8206,17.2573,0,0
YAN_MV,D,20140721,000000,17.2488,17.873,15.8206,17.625,0,0
YAN_MV,D,20140722,000000,16.462,17.5224,16.462,17.2573,0,0
YAN_MV,D,20140723,000000,17.2573,20.4727,17.2573,20.1393,0,0
YAN_MV,D,20140724,000000,18.8222,20.2931,18.4888,19.84,0,0
YAN_MV,D,20140725,000000,19.9596,20.199,19.6689,20.199,0,0
YAN_MV,D,20140728,000000,20.2931,20.2931,17.7362,18.7112,0,0
YAN_MV,D,20140729,000000,17.7447,18.7112,17.4027,17.9158,0,0
YAN_MV,D,20140730,000000,16.7528,17.9585,15.8634,16.462,0,0
YAN_MV,D,20140731,000000,16.4021,16.4021,14.3669,16.0344,0,0
YAN_MV,D,20140801,000000,14.5378,16.1028,14.5378,15.8206,0,0
YAN_MV,D,20140804,000000,14.8713,15.7351,13.5801,15.3931,0,0
YAN_MV,D,20140805,000000,14.1103,14.5378,12.9986,13.6827,0,0
YAN_MV,D,20140806,000000,12.8276,12.8276,11.5534,12.8019,0,0
YAN_MV,D,20140807,000000,11.8869,12.8019,11.8869,12.3914,0,0
YAN_MV,D,20140808,000000,12.3999,12.742,11.9296,11.9296,0,0
YAN_MV,D,20140811,000000,12.648,12.648,10.8007,10.912,0,0
YAN_MV,D,20140812,000000,11.9723,11.9723,11.0658,11.5021,0,0
YAN_MV,D,20140813,000000,11.5021,11.5021,10.3903,10.929,0,0
YAN_MV,D,20140814,000000,10.9204,10.9204,10.6897,10.6897,0,0
YAN_MV,D,20140818,000000,10.7153,12.3914,10.6897,11.4166,0,0
YAN_MV,D,20140819,000000,12.246,12.246,11.1343,11.6731,0,0
YAN_MV,D,20140820,000000,12.1862,12.1862,11.1685,12.0749,0,0
YAN_MV,D,20140821,000000,11.2113,11.8869,11.1172,11.8612,0,0
YAN_MV,D,20140822,000000,11.8783,11.8869,11.0573,11.6218,0,0
YAN_MV,D,20140825,000000,11.6218,11.6218,10.6897,10.6897,0,0
YAN_MV,D,20140826,000000,11.2882,11.2882,10.6468,10.6897,0,0
YAN_MV,D,20140827,000000,10.9034,11.5192,10.3047,11.2711,0,0
YAN_MV,D,20140828,000000,10.6897,11.2969,9.83444,11.2455,0,0
YAN_MV,D,20140829,000000,11.2027,11.2027,9.44963,9.44963,0,0
YAN_MV,D,20140901,000000,9.44963,10.0055,8.66287,8.98779,0,0
YAN_MV,D,20140902,000000,8.67996,9.87727,8.67996,9.86861,0,0
YAN_MV,D,20140903,000000,9.86004,10.1509,9.30424,10.0227,0,0
YAN_MV,D,20140904,000000,10.014,10.014,9.07337,9.96272,0,0
YAN_MV,D,20140905,000000,9.83444,9.83444,8.97927,8.97927,0,0
YAN_MV,D,20140908,000000,9.46669,9.46669,9.32131,9.40685,0,0
YAN_MV,D,20140909,000000,9.39836,9.40685,9.36415,9.36415,0,0
