<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YAN_PE,D,20140710,000000,304.954,304.954,304.954,304.954,0,0
YAN_PE,D,20140711,000000,547.393,656.856,413.731,413.731,0,0
YAN_PE,D,20140714,000000,407.744,407.744,307.947,336.937,0,0
YAN_PE,D,20140715,000000,338.904,351.559,271.174,277.843,0,0
YAN_PE,D,20140716,000000,265.958,265.958,231.58,262.281,0,0
YAN_PE,D,20140717,000000,260.058,271.773,236.54,244.151,0,0
YAN_PE,D,20140718,000000,244.066,245.263,218.666,238.593,0,0
YAN_PE,D,20140721,000000,238.421,247.058,218.666,243.552,0,0
YAN_PE,D,20140722,000000,227.56,242.098,227.56,238.593,0,0
YAN_PE,D,20140723,000000,238.506,282.975,238.506,278.357,0,0
YAN_PE,D,20140724,000000,260.058,280.41,255.524,274.167,0,0
YAN_PE,D,20140725,000000,275.877,279.213,271.858,279.213,0,0
YAN_PE,D,20140728,000000,280.41,280.41,245.176,258.603,0,0
YAN_PE,D,20140729,000000,245.263,258.517,240.559,247.657,0,0
YAN_PE,D,20140730,000000,231.494,248.255,219.266,227.475,0,0
YAN_PE,D,20140731,000000,226.706,226.706,198.57,221.659,0,0
YAN_PE,D,20140801,000000,200.964,222.516,200.964,218.666,0,0
YAN_PE,D,20140804,000000,205.582,217.469,187.709,212.766,0,0
YAN_PE,D,20140805,000000,195.064,200.964,179.671,189.164,0,0
YAN_PE,D,20140806,000000,177.277,177.277,159.66,176.934,0,0
YAN_PE,D,20140807,000000,164.278,176.934,164.278,171.205,0,0
YAN_PE,D,20140808,000000,171.376,176.079,164.791,164.876,0,0
YAN_PE,D,20140811,000000,174.796,174.796,149.227,150.766,0,0
YAN_PE,D,20140812,000000,165.474,165.474,152.99,158.976,0,0
YAN_PE,D,20140813,000000,159.062,159.062,143.669,151.109,0,0
YAN_PE,D,20150212,000000,114.251,114.251,114.251,114.251,0,0
YAN_PE,D,20150213,000000,114.251,114.251,100.74,109.888,0,0
