<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZAB_PB,D,20241017,000000,26.134,26.134,26.134,26.134,0,0
ZAB_PB,D,20241018,000000,26.134,26.134,24.639,25.964,0,0
ZAB_PB,D,20241021,000000,25.344,25.745,25.344,25.526,0,0
ZAB_PB,D,20241022,000000,25.745,25.745,23.975,24.31,0,0
ZAB_PB,D,20241023,000000,24.213,24.213,22.548,23.243,0,0
ZAB_PB,D,20241024,000000,23.253,24.135,23.253,23.423,0,0
ZAB_PB,D,20241025,000000,23.52,24.238,23.423,24.238,0,0
ZAB_PB,D,20241028,000000,24.31,26.043,24.31,25.842,0,0
ZAB_PB,D,20241029,000000,25.891,26.669,25.8,26.62,0,0
ZAB_PB,D,20241030,000000,26.62,26.681,24.955,25.939,0,0
ZAB_PB,D,20241031,000000,25.55,26.073,25.532,26.073,0,0
ZAB_PB,D,20241104,000000,26.055,26.146,25.623,26.134,0,0
ZAB_PB,D,20241105,000000,26.62,26.62,25.556,25.769,0,0
ZAB_PB,D,20241106,000000,25.587,25.763,25.368,25.55,0,0
ZAB_PB,D,20241107,000000,25.55,25.569,24.894,25.538,0,0
ZAB_PB,D,20241108,000000,25.161,25.483,24.924,25.417,0,0
ZAB_PB,D,20241112,000000,24.169,25.003,24.169,24.821,0,0
ZAB_PB,D,20241113,000000,24.639,25.095,24.639,24.639,0,0
ZAB_PB,D,20241114,000000,24.651,24.766,23.499,24.675,0,0
ZAB_PB,D,20241115,000000,24.31,24.377,17.052,17.052,0,0
ZAB_PB,D,20241118,000000,17.052,17.052,15.986,16.375,0,0
ZAB_PB,D,20241119,000000,16.375,16.52,16.152,16.357,0,0
ZAB_PB,D,20241120,000000,16.976,17.65,16.136,16.295,0,0
ZAB_PB,D,20241121,000000,16.525,16.626,16.12,16.534,0,0
ZAB_PB,D,20241122,000000,16.578,16.578,16.023,16.269,0,0
ZAB_PB,D,20241125,000000,16.446,16.446,15.782,15.827,0,0
ZAB_PB,D,20241126,000000,15.867,16.324,15.867,16.101,0,0
ZAB_PB,D,20241127,000000,16.313,16.506,16.111,16.136,0,0
ZAB_PB,D,20241128,000000,16.189,17.286,16.189,17.286,0,0
ZAB_PB,D,20241129,000000,17.241,17.263,17.01,17.065,0,0
ZAB_PB,D,20241202,000000,17.241,17.328,17.08,17.109,0,0
ZAB_PB,D,20241203,000000,17.144,17.538,16.76,17.418,0,0
ZAB_PB,D,20241204,000000,17.418,18.086,17.418,17.507,0,0
ZAB_PB,D,20241205,000000,17.639,18.055,17.639,18.037,0,0
ZAB_PB,D,20241206,000000,17.869,18.143,17.865,18.143,0,0
ZAB_PB,D,20241209,000000,18.126,18.143,17.645,17.719,0,0
ZAB_PB,D,20241210,000000,17.639,17.719,17.261,17.312,0,0
ZAB_PB,D,20241211,000000,17.362,17.611,17.326,17.443,0,0
ZAB_PB,D,20241212,000000,17.418,17.63,17.305,17.63,0,0
ZAB_PB,D,20241213,000000,17.648,17.785,17.561,17.728,0,0
ZAB_PB,D,20241216,000000,17.843,17.887,17.515,17.86,0,0
ZAB_PB,D,20241217,000000,17.86,18.121,17.86,18.019,0,0
ZAB_PB,D,20241218,000000,18.019,18.121,17.807,17.874,0,0
ZAB_PB,D,20241219,000000,17.688,17.737,17.459,17.551,0,0
ZAB_PB,D,20241220,000000,17.549,17.701,17.181,17.264,0,0
ZAB_PB,D,20241223,000000,17.066,17.286,16.918,17.286,0,0
ZAB_PB,D,20241227,000000,17.286,17.286,16.976,17.109,0,0
ZAB_PB,D,20241230,000000,17.109,17.118,16.932,17.02,0,0
ZAB_PB,D,20250102,000000,17.02,18.117,17.02,18.117,0,0
ZAB_PB,D,20250103,000000,18.214,18.515,18.214,18.302,0,0
ZAB_PB,D,20250107,000000,18.559,19.098,18.559,19.01,0,0
ZAB_PB,D,20250108,000000,19.01,19.664,19.01,19.372,0,0
ZAB_PB,D,20250109,000000,19.355,19.752,19.275,19.584,0,0
ZAB_PB,D,20250110,000000,19.584,19.859,19.584,19.859,0,0
ZAB_PB,D,20250113,000000,19.85,19.85,19.536,19.62,0,0
ZAB_PB,D,20250114,000000,19.54,19.819,19.54,19.593,0,0
ZAB_PB,D,20250115,000000,19.593,20.088,19.593,19.982,0,0
ZAB_PB,D,20250116,000000,20.071,20.279,19.978,20.225,0,0
ZAB_PB,D,20250117,000000,20.323,21.879,20.323,21.879,0,0
ZAB_PB,D,20250120,000000,21.874,21.874,21.149,21.22,0,0
ZAB_PB,D,20250121,000000,21.22,21.366,20.34,20.911,0,0
ZAB_PB,D,20250122,000000,20.999,21.463,20.831,21.441,0,0
ZAB_PB,D,20250123,000000,21.658,21.658,20.942,20.942,0,0
ZAB_PB,D,20250124,000000,21.096,21.22,20.911,21.114,0,0
ZAB_PB,D,20250127,000000,20.676,21.167,20.676,21.061,0,0
ZAB_PB,D,20250128,000000,21.052,21.154,20.495,20.889,0,0
ZAB_PB,D,20250129,000000,20.889,21.101,20.747,21.043,0,0
ZAB_PB,D,20250130,000000,20.999,21.406,20.999,21.291,0,0
ZAB_PB,D,20250131,000000,21.22,21.401,20.637,20.637,0,0
ZAB_PB,D,20250203,000000,20.336,20.491,20.088,20.358,0,0
ZAB_PB,D,20250204,000000,20.424,20.694,20.376,20.5,0,0
ZAB_PB,D,20250205,000000,20.504,20.504,19.929,20,0,0
ZAB_PB,D,20250206,000000,20.027,20.517,19.845,20.385,0,0
ZAB_PB,D,20250207,000000,20.336,20.539,20.115,20.239,0,0
ZAB_PB,D,20250210,000000,20.248,20.862,20.248,20.862,0,0
ZAB_PB,D,20250211,000000,20.862,20.862,20.553,20.76,0,0
ZAB_PB,D,20250212,000000,21.132,21.132,19.545,20.071,0,0
ZAB_PB,D,20250213,000000,20.15,20.19,19.691,19.761,0,0
ZAB_PB,D,20250214,000000,20.044,20.044,19.717,19.823,0,0
ZAB_PB,D,20250217,000000,19.965,20.464,19.965,20.424,0,0
ZAB_PB,D,20250218,000000,20.469,20.619,20.141,20.508,0,0
ZAB_PB,D,20250219,000000,20.513,20.672,19.673,20.133,0,0
ZAB_PB,D,20250220,000000,20.133,20.327,19.912,20.323,0,0
ZAB_PB,D,20250221,000000,20.323,20.407,20.075,20.075,0,0
ZAB_PB,D,20250224,000000,20.115,20.221,19.651,19.651,0,0
ZAB_PB,D,20250225,000000,19.637,20.371,19.611,20.08,0,0
ZAB_PB,D,20250226,000000,20.287,20.61,20.195,20.482,0,0
ZAB_PB,D,20250227,000000,20.641,20.694,20.424,20.424,0,0
ZAB_PB,D,20250228,000000,20.248,20.685,20.141,20.159,0,0
ZAB_PB,D,20250303,000000,20.327,20.327,19.469,19.593,0,0
ZAB_PB,D,20250304,000000,19.452,19.571,19.134,19.399,0,0
ZAB_PB,D,20250305,000000,19.633,19.859,19.394,19.766,0,0
ZAB_PB,D,20250306,000000,19.558,19.903,19.558,19.894,0,0
ZAB_PB,D,20250307,000000,19.894,20.106,19.752,19.912,0,0
ZAB_PB,D,20250310,000000,20.004,20.115,19.673,20.115,0,0
ZAB_PB,D,20250311,000000,20.159,20.579,19.823,19.823,0,0
ZAB_PB,D,20250312,000000,19.916,19.916,19.107,19.195,0,0
ZAB_PB,D,20250313,000000,19.231,19.629,19.129,19.465,0,0
ZAB_PB,D,20250314,000000,19.465,19.859,19.275,19.717,0,0
ZAB_PB,D,20250317,000000,19.859,19.876,19.584,19.876,0,0
ZAB_PB,D,20250318,000000,19.894,19.943,19.642,19.717,0,0
ZAB_PB,D,20250319,000000,19.85,19.903,19.523,19.836,0,0
ZAB_PB,D,20250320,000000,19.805,19.965,19.469,19.469,0,0
ZAB_PB,D,20250321,000000,19.545,19.704,19.12,19.12,0,0
ZAB_PB,D,20250324,000000,19.178,19.788,19.178,19.788,0,0
ZAB_PB,D,20250325,000000,19.788,19.788,15.286,15.286,0,0
ZAB_PB,D,20250326,000000,15.48,15.48,14.814,15.275,0,0
ZAB_PB,D,20250327,000000,15.275,15.581,15.275,15.534,0,0
ZAB_PB,D,20250328,000000,15.534,15.566,15.34,15.448,0,0
ZAB_PB,D,20250331,000000,15.408,15.408,14.879,14.893,0,0
ZAB_PB,D,20250401,000000,14.911,15.264,14.911,15.264,0,0
ZAB_PB,D,20250402,000000,15.336,15.437,15.156,15.343,0,0
ZAB_PB,D,20250403,000000,15.156,15.242,14.998,15.091,0,0
ZAB_PB,D,20250404,000000,15.055,15.372,14.803,14.832,0,0
ZAB_PB,D,20250407,000000,14.58,14.882,14.18,14.702,0,0
ZAB_PB,D,20250408,000000,14.76,15.106,14.76,15.041,0,0
ZAB_PB,D,20250409,000000,14.652,14.767,14.479,14.508,0,0
ZAB_PB,D,20250410,000000,15.12,15.12,14.674,14.868,0,0
ZAB_PB,D,20250411,000000,14.868,14.954,14.288,14.288,0,0
ZAB_PB,D,20250414,000000,14.587,14.796,14.587,14.796,0,0
ZAB_PB,D,20250415,000000,14.803,15.062,14.753,15.019,0,0
ZAB_PB,D,20250416,000000,14.825,15.264,14.825,15.07,0,0
ZAB_PB,D,20250417,000000,14.94,15.134,14.94,15.07,0,0
ZAB_PB,D,20250422,000000,15.07,15.35,15.062,15.35,0,0
ZAB_PB,D,20250423,000000,15.408,15.811,15.394,15.674,0,0
ZAB_PB,D,20250424,000000,15.667,15.667,15.358,15.588,0,0
ZAB_PB,D,20250425,000000,15.624,15.833,15.624,15.804,0,0
ZAB_PB,D,20250428,000000,15.804,16.013,15.804,15.984,0,0
ZAB_PB,D,20250429,000000,15.991,16.099,15.876,15.977,0,0
ZAB_PB,D,20250430,000000,15.977,16.128,15.473,15.473,0,0
ZAB_PB,D,20250502,000000,15.84,16.186,15.494,16.186,0,0
ZAB_PB,D,20250505,000000,16.178,16.474,16.135,16.459,0,0
ZAB_PB,D,20250506,000000,16.459,16.488,16.178,16.43,0,0
ZAB_PB,D,20250507,000000,16.416,16.668,16.416,16.625,0,0
ZAB_PB,D,20250508,000000,16.639,16.942,16.445,16.646,0,0
ZAB_PB,D,20250509,000000,16.884,17.165,16.834,17.071,0,0
ZAB_PB,D,20250512,000000,17.172,17.172,16.776,16.834,0,0
ZAB_PB,D,20250513,000000,16.56,16.567,16.286,16.488,0,0
ZAB_PB,D,20250514,000000,16.495,16.495,15.847,15.847,0,0
ZAB_PB,D,20250515,000000,15.847,16.315,15.797,16.243,0,0
ZAB_PB,D,20250516,000000,16.243,16.409,16.128,16.128,0,0
ZAB_PB,D,20250519,000000,16.128,16.805,15.797,16.805,0,0
ZAB_PB,D,20250520,000000,16.805,16.805,16.578,16.669,0,0
ZAB_PB,D,20250521,000000,16.942,17.396,16.836,17.282,0,0
ZAB_PB,D,20250522,000000,17.335,17.381,17.139,17.139,0,0
ZAB_PB,D,20250523,000000,17.161,17.366,17.048,17.29,0,0
ZAB_PB,D,20250526,000000,17.373,17.858,17.373,17.85,0,0
ZAB_PB,D,20250527,000000,17.858,17.971,17.737,17.82,0,0
ZAB_PB,D,20250528,000000,17.964,17.964,17.752,17.774,0,0
ZAB_PB,D,20250529,000000,17.911,17.986,17.388,17.411,0,0
ZAB_PB,D,20250530,000000,17.343,17.403,16.995,17.116,0,0
ZAB_PB,D,20250602,000000,17.26,17.313,16.639,16.76,0,0
ZAB_PB,D,20250603,000000,16.919,16.919,16.404,16.684,0,0
ZAB_PB,D,20250604,000000,16.843,16.949,16.654,16.654,0,0
ZAB_PB,D,20250605,000000,16.654,16.995,16.654,16.745,0,0
ZAB_PB,D,20250606,000000,16.942,16.942,16.488,16.752,0,0
ZAB_PB,D,20250609,000000,16.752,16.919,16.624,16.836,0,0
ZAB_PB,D,20250610,000000,16.919,16.919,16.336,16.419,0,0
ZAB_PB,D,20250611,000000,16.488,16.578,16.2,16.578,0,0
ZAB_PB,D,20250612,000000,16.563,16.563,16.185,16.245,0,0
ZAB_PB,D,20250613,000000,16.011,16.321,16.011,16.283,0,0
ZAB_PB,D,20250616,000000,16.283,16.631,16.283,16.419,0,0
ZAB_PB,D,20250617,000000,16.525,16.548,16.382,16.382,0,0
ZAB_PB,D,20250618,000000,16.503,16.571,16.344,16.427,0,0
ZAB_PB,D,20250620,000000,16.533,16.533,16.336,16.488,0,0
ZAB_PB,D,20250623,000000,16.427,16.427,15.814,15.973,0,0
ZAB_PB,D,20250624,000000,16.071,16.465,16.071,16.253,0,0
ZAB_PB,D,20250625,000000,16.253,16.503,16.238,16.465,0,0
ZAB_PB,D,20250626,000000,16.563,16.858,16.45,16.813,0,0
ZAB_PB,D,20250627,000000,16.821,16.904,16.745,16.805,0,0
ZAB_PB,D,20250630,000000,16.911,16.911,16.321,16.382,0,0
ZAB_PB,D,20250701,000000,16.427,16.631,16.366,16.571,0,0
