<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZUK_MV,D,20070813,000000,130.749,130.749,130.749,130.749,0,0
ZUK_MV,D,20070814,000000,131.224,131.224,131.224,131.224,0,0
ZUK_MV,D,20070816,000000,127.186,127.186,127.186,127.186,0,0
ZUK_MV,D,20070817,000000,128.963,128.963,128.963,128.963,0,0
ZUK_MV,D,20070820,000000,130.787,130.787,130.787,130.787,0,0
ZUK_MV,D,20070821,000000,129.476,129.476,129.476,129.476,0,0
ZUK_MV,D,20070822,000000,139.84,139.84,139.84,139.84,0,0
ZUK_MV,D,20070823,000000,138.491,138.491,138.491,138.491,0,0
ZUK_MV,D,20070824,000000,141.398,141.398,141.398,141.398,0,0
ZUK_MV,D,20070827,000000,138.13,138.13,138.13,138.13,0,0
ZUK_MV,D,20070828,000000,134.492,134.492,134.492,134.492,0,0
ZUK_MV,D,20070829,000000,138.13,138.13,138.13,138.13,0,0
ZUK_MV,D,20070830,000000,141.655,141.655,141.655,141.655,0,0
ZUK_MV,D,20070831,000000,141.731,141.731,141.731,141.731,0,0
ZUK_MV,D,20070903,000000,142.491,142.491,142.491,142.491,0,0
ZUK_MV,D,20070904,000000,152.675,152.675,152.675,152.675,0,0
ZUK_MV,D,20070905,000000,153.216,153.216,153.216,153.216,0,0
ZUK_MV,D,20070906,000000,152.675,152.675,152.675,152.675,0,0
ZUK_MV,D,20070907,000000,145.806,145.806,145.806,145.806,0,0
ZUK_MV,D,20070910,000000,145.768,145.768,145.768,145.768,0,0
ZUK_MV,D,20070911,000000,152.304,152.304,152.304,152.304,0,0
ZUK_MV,D,20070912,000000,152.304,152.304,152.304,152.304,0,0
ZUK_MV,D,20070913,000000,152.304,152.304,152.304,152.304,0,0
ZUK_MV,D,20070914,000000,152.304,152.304,152.304,152.304,0,0
ZUK_MV,D,20070917,000000,166.953,166.953,166.953,166.953,0,0
ZUK_MV,D,20070918,000000,166.953,166.953,166.953,166.953,0,0
ZUK_MV,D,20070919,000000,167.514,167.514,167.514,167.514,0,0
ZUK_MV,D,20070920,000000,167.514,167.514,167.514,167.514,0,0
ZUK_MV,D,20070921,000000,167.514,167.514,167.514,167.514,0,0
ZUK_MV,D,20070924,000000,167.352,167.352,167.352,167.352,0,0
ZUK_MV,D,20070925,000000,165.557,165.557,165.557,165.557,0,0
ZUK_MV,D,20070926,000000,165.557,165.557,165.557,165.557,0,0
ZUK_MV,D,20070927,000000,163.163,163.163,163.163,163.163,0,0
