<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZUK_PB,D,20070813,000000,8.01658,8.01658,8.01658,8.01658,0,0
ZUK_PB,D,20070814,000000,8.04356,8.04356,8.04356,8.04356,0,0
ZUK_PB,D,20070816,000000,7.80064,7.80064,7.80064,7.80064,0,0
ZUK_PB,D,20070817,000000,7.90856,7.90856,7.90856,7.90856,0,0
ZUK_PB,D,20070820,000000,8.01658,8.01658,8.01658,8.01658,0,0
ZUK_PB,D,20070821,000000,7.93564,7.93564,7.93564,7.93564,0,0
ZUK_PB,D,20070822,000000,8.57442,8.57442,8.57442,8.57442,0,0
ZUK_PB,D,20070823,000000,8.49348,8.49348,8.49348,8.49348,0,0
ZUK_PB,D,20070824,000000,8.67341,8.67341,8.67341,8.67341,0,0
ZUK_PB,D,20070827,000000,8.4665,8.4665,8.4665,8.4665,0,0
ZUK_PB,D,20070828,000000,8.25047,8.25047,8.25047,8.25047,0,0
ZUK_PB,D,20070829,000000,8.4665,8.4665,8.4665,8.4665,0,0
ZUK_PB,D,20070830,000000,9.73465,9.73465,9.73465,9.73465,0,0
ZUK_PB,D,20070831,000000,9.74415,9.74415,9.74415,9.74415,0,0
ZUK_PB,D,20070903,000000,9.7983,9.7983,9.7983,9.7983,0,0
ZUK_PB,D,20070904,000000,10.5004,10.5004,10.5004,10.5004,0,0
ZUK_PB,D,20070905,000000,10.5355,10.5355,10.5355,10.5355,0,0
ZUK_PB,D,20070906,000000,10.5004,10.5004,10.5004,10.5004,0,0
ZUK_PB,D,20070907,000000,10.014,10.014,10.014,10.014,0,0
ZUK_PB,D,20070910,000000,10.014,10.014,10.014,10.014,0,0
ZUK_PB,D,20070911,000000,10.4728,10.4728,10.4728,10.4728,0,0
ZUK_PB,D,20070912,000000,10.4728,10.4728,10.4728,10.4728,0,0
ZUK_PB,D,20070913,000000,10.4728,10.4728,10.4728,10.4728,0,0
ZUK_PB,D,20070914,000000,10.4728,10.4728,10.4728,10.4728,0,0
ZUK_PB,D,20070917,000000,11.4713,11.4713,11.4713,11.4713,0,0
ZUK_PB,D,20070918,000000,11.4713,11.4713,11.4713,11.4713,0,0
ZUK_PB,D,20070919,000000,11.5169,11.5169,11.5169,11.5169,0,0
ZUK_PB,D,20070920,000000,11.5169,11.5169,11.5169,11.5169,0,0
ZUK_PB,D,20070921,000000,11.5169,11.5169,11.5169,11.5169,0,0
ZUK_PB,D,20070924,000000,11.4988,11.4988,11.4988,11.4988,0,0
ZUK_PB,D,20070925,000000,11.3725,11.3725,11.3725,11.3725,0,0
ZUK_PB,D,20070926,000000,11.3725,11.3725,11.3725,11.3725,0,0
ZUK_PB,D,20070927,000000,11.211,11.211,11.211,11.211,0,0
ZUK_PB,D,20070928,000000,11.2376,11.2376,11.2376,11.2376,0,0
ZUK_PB,D,20071001,000000,11.1122,11.1122,11.1122,11.1122,0,0
ZUK_PB,D,20071002,000000,11.0761,11.0761,11.0761,11.0761,0,0
ZUK_PB,D,20071003,000000,10.9678,10.9678,10.9678,10.9678,0,0
ZUK_PB,D,20071004,000000,10.9678,10.9678,10.9678,10.9678,0,0
ZUK_PB,D,20071005,000000,10.9678,10.9678,10.9678,10.9678,0,0
